넷게임즈(225570),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-09-25,10975,11135,10975,11085,1763360,18914.0,9050000.0
2015-09-30,11055,11400,11055,11215,286106,19141.0,9050000.0
2015-10-01,11215,11240,11135,11215,114924,19141.0,9050000.0
2015-10-02,11160,11240,11160,11215,37338,19141.0,9050000.0
2015-10-05,11215,11320,11135,11320,83962,19322.0,9050000.0
2015-10-06,11295,11400,11160,11190,43804,19096.0,9050000.0
2015-10-07,11265,11480,11240,11430,97432,19503.0,9050000.0
2015-10-08,11400,11400,11240,11350,18921,19367.0,9050000.0
2015-10-12,11295,11400,11215,11400,84668,19458.0,9050000.0
2015-10-13,11450,11450,11160,11215,14221,19141.0,9050000.0
2015-10-14,11345,11345,11215,11240,3520,19186.0,9050000.0
2015-10-15,11240,11240,11185,11215,17423,19141.0,9050000.0
2015-10-16,11375,11375,11185,11270,30122,19231.0,9050000.0
2015-10-19,11265,11345,11265,11270,44734,19231.0,9050000.0
2015-10-20,11240,11295,11240,11295,6309,19276.0,9050000.0
2015-10-21,11375,11375,11135,11240,36138,19186.0,9050000.0
2015-10-22,11160,11240,11160,11240,44105,19186.0,9050000.0
2015-10-23,11240,11425,11215,11350,83476,19367.0,9050000.0
2015-10-26,11185,11345,11185,11350,158103,19367.0,9050000.0
2015-10-27,11345,11345,11160,11270,10426,19231.0,9050000.0
2015-10-28,11295,11295,11240,11240,21171,19186.0,9050000.0
2015-10-29,11160,11295,11160,11295,79956,19276.0,9050000.0
2015-10-30,11160,11240,11160,11190,71817,19096.0,9050000.0
2015-11-02,11160,11295,11160,11240,25348,19186.0,9050000.0
2015-11-03,11185,11240,11160,11190,22622,19096.0,9050000.0
2015-11-04,11160,11240,11160,11215,13834,19141.0,9050000.0
2015-11-05,11215,11215,11135,11135,21650,19005.0,9050000.0
2015-11-06,11135,11160,11135,11135,25746,19005.0,9050000.0
2015-11-09,11295,11295,11135,11135,43594,19005.0,9050000.0
2015-11-10,11080,11080,10895,11085,24424,18914.0,9050000.0
2015-11-11,10975,11240,10975,11085,20689,18914.0,9050000.0
2015-11-12,10895,11135,10870,11055,9533,18869.0,9050000.0
2015-11-13,10950,11105,10950,10975,7189,18734.0,9050000.0
2015-11-16,10895,10895,10840,10845,20998,18507.0,9050000.0
2015-11-17,10840,11080,10815,10820,6138,18462.0,9050000.0
2015-11-18,10815,10920,10790,10790,5628,18417.0,9050000.0
2015-11-19,10815,10840,10655,10765,6306,18372.0,9050000.0
2015-11-20,10655,10735,10605,10635,87926,18145.0,9050000.0
2015-11-23,10655,10710,10575,10710,10363,18281.0,9050000.0
2015-11-24,10710,10710,10605,10635,5547,18145.0,9050000.0
2015-11-25,10655,10710,10605,10635,18765,18145.0,9050000.0
2015-11-26,10630,10840,10630,10845,2181,18507.0,9050000.0
2015-11-27,10685,10790,10605,10685,15177,18236.0,9050000.0
2015-11-30,10605,10790,10605,10660,6053,18190.0,9050000.0
2015-12-01,10655,10655,10605,10605,3851,18100.0,9050000.0
2015-12-02,10605,10630,10605,10605,28892,18100.0,9050000.0
2015-12-03,10605,10655,10605,10635,3457,18145.0,9050000.0
2015-12-04,10655,10735,10630,10740,6268,18326.0,9050000.0
2015-12-07,10605,10655,10605,10660,10010,18190.0,9050000.0
2015-12-08,10655,10655,10630,10660,14008,18190.0,9050000.0
2015-12-09,10630,10630,10630,10635,807,18145.0,9050000.0
2015-12-10,10605,10630,10605,10605,2783,18100.0,9050000.0
2015-12-11,10605,10630,10575,10635,6573,18145.0,9050000.0
2015-12-14,10605,10630,10605,10605,10730,18100.0,9050000.0
2015-12-15,10630,10685,10575,10605,24681,18100.0,9050000.0
2015-12-16,10605,10605,10605,10605,19851,18100.0,9050000.0
2015-12-17,10575,10605,10575,10580,5369,18055.0,9050000.0
2015-12-18,10575,10605,10575,10605,11421,18100.0,9050000.0
2015-12-21,10630,10630,10575,10605,3939,18100.0,9050000.0
2015-12-22,10605,10655,10605,10660,9123,18190.0,9050000.0
2015-12-23,10655,10655,10575,10605,20884,18100.0,9050000.0
2015-12-24,10605,10630,10470,10605,105806,18100.0,9050000.0
2015-12-28,10605,10605,10550,10605,42406,18100.0,9050000.0
2015-12-29,10575,10605,10575,10580,49742,18055.0,9050000.0
2015-12-30,10575,10605,10550,10580,52102,18055.0,9050000.0
2016-01-04,10605,10605,10575,10605,15019,18100.0,9050000.0
2016-01-05,10605,10655,10550,10605,10228,18100.0,9050000.0
2016-01-06,10605,10605,10605,10605,6810,18100.0,9050000.0
