파티게임즈(194510),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2014-11-21,12521,14399,12521,14399,957589,137313.0,4592400.0
2014-11-24,15169,16542,13724,16542,1193161,157749.0,4592400.0
2014-11-25,16951,18468,16421,16856,1115566,160734.0,4592400.0
2014-11-26,17336,17698,15987,16831,444691,160504.0,4592400.0
2014-11-27,17144,18805,16999,17915,630842,170837.0,4592400.0
2014-11-28,18275,19648,16108,16470,552066,157060.0,4592400.0
2014-12-01,16445,17264,15266,15507,265496,147875.0,4592400.0
2014-12-02,15458,15506,14351,14688,234693,140068.0,4592400.0
2014-12-03,15169,16614,15001,15555,397177,148335.0,4592400.0
2014-12-04,15723,16132,15290,15531,174292,148105.0,4592400.0
2014-12-05,15747,15747,15121,15314,99422,146038.0,4592400.0
2014-12-08,15290,15458,14471,14857,165883,141676.0,4592400.0
2014-12-09,14736,14784,13652,13773,145341,131343.0,4592400.0
2014-12-10,13941,14784,13460,13749,94738,131113.0,4592400.0
2014-12-11,13773,14495,13652,13966,93071,133180.0,4592400.0
2014-12-12,13965,14158,12737,13051,124472,124454.0,4592400.0
2014-12-15,12906,13339,12496,12545,82427,119632.0,4592400.0
2014-12-16,12472,12665,11028,11101,140655,105855.0,4592400.0
2014-12-17,10859,11461,10642,11269,145784,107462.0,4592400.0
2014-12-18,11268,11268,10498,10788,83618,102870.0,4592400.0
2014-12-19,10907,12400,10907,12401,279678,118254.0,4592400.0
2014-12-22,12063,12208,11557,11919,392315,113662.0,4592400.0
2014-12-23,11798,13700,11702,13533,600045,129046.0,4592400.0
2014-12-24,13243,13652,12713,13340,210357,127209.0,4592400.0
2014-12-26,13989,14615,12713,12714,368037,121239.0,4592400.0
2014-12-29,12496,13074,12039,12088,135798,115269.0,4592400.0
2014-12-30,12063,13387,12063,12545,201624,119632.0,4592400.0
2015-01-02,12424,13917,12424,13484,224039,128587.0,4592400.0
2015-01-05,13676,14640,13676,14014,220125,133639.0,4592400.0
2015-01-06,13893,14591,13725,14472,149688,138002.0,4592400.0
2015-01-07,14471,15025,14110,14351,213977,136854.0,4592400.0
2015-01-08,14519,15434,14302,15026,192701,143283.0,4592400.0
2015-01-09,15121,17264,15121,17265,434293,164638.0,4592400.0
2015-01-12,17433,17914,17047,17506,208503,166934.0,4592400.0
2015-01-13,17770,20081,17409,18541,524786,176807.0,4592400.0
2015-01-14,18829,19311,17938,18469,198753,176119.0,4592400.0
2015-01-15,18637,18829,17625,18469,284735,176119.0,4592400.0
2015-01-16,18613,19937,18540,18734,370761,178644.0,4592400.0
2015-01-19,18637,20996,18203,20227,434888,192881.0,4592400.0
2015-01-20,20418,23260,19744,23261,476451,221813.0,4592400.0
2015-01-21,25957,26246,23717,24320,649933,231916.0,4592400.0
2015-01-22,24464,25523,21863,22683,668902,216302.0,4592400.0
2015-01-23,22778,24078,21767,23405,605674,223191.0,4592400.0
2015-01-26,23260,26775,22706,25957,680212,247530.0,4592400.0
2015-01-27,26149,29375,25908,27258,749380,259930.0,4592400.0
2015-01-28,27690,29761,27642,28702,324707,273707.0,4592400.0
2015-01-29,27979,28702,26486,27209,185743,259471.0,4592400.0
2015-01-30,27449,27835,24849,26102,220862,248908.0,4592400.0
2015-02-02,25427,25716,24175,25235,189993,240642.0,4592400.0
2015-02-03,23115,27401,22730,25765,483564,245693.0,4592400.0
2015-02-04,25957,26631,24705,25476,125405,242938.0,4592400.0
2015-02-05,25763,26005,24656,25139,75757,239723.0,4592400.0
2015-02-06,25042,25668,24223,24368,67684,232375.0,4592400.0
2015-02-09,24223,24319,20756,20756,232921,197932.0,4592400.0
2015-02-10,19889,20467,19166,20010,287574,190814.0,4592400.0
2015-02-11,20394,21574,19744,20877,154300,199081.0,4592400.0
2015-02-12,20274,21117,17746,18541,280269,176807.0,4592400.0
2015-02-13,18300,19648,17962,19263,204882,183696.0,4592400.0
2015-02-16,19455,19913,18733,18806,95216,179333.0,4592400.0
2015-02-17,18348,19600,18059,19263,94808,183696.0,4592400.0
2015-02-23,19142,20274,18829,19287,88183,183926.0,4592400.0
2015-02-24,19359,19624,18950,19287,63371,183926.0,4592400.0
2015-02-25,19841,22176,19768,22177,340084,211480.0,4592400.0
2015-02-26,23260,24078,21935,22177,355531,211480.0,4592400.0
2015-02-27,22778,24801,22634,24224,345090,230998.0,4592400.0
2015-03-02,24753,25620,24078,24176,147736,230538.0,4592400.0
2015-03-03,24512,24849,23139,23429,105366,223420.0,4592400.0
2015-03-04,23043,23597,22513,22634,122967,215843.0,4592400.0
2015-03-05,22947,26005,22875,26006,256419,247990.0,4592400.0
2015-03-06,26968,28075,25427,25428,371820,242479.0,4592400.0
2015-03-09,25042,25860,23958,24368,140705,232375.0,4592400.0
2015-03-10,24656,25042,23235,23862,113526,227553.0,4592400.0
2015-03-11,24464,26872,23886,25524,378416,243397.0,4592400.0
2015-03-12,26005,26342,23476,24079,396527,229620.0,4592400.0
2015-03-13,24319,24511,23428,23694,117398,225946.0,4592400.0
2015-03-16,24078,24656,23886,24079,120430,229620.0,4592400.0
2015-03-17,24223,24512,23645,24513,95079,233753.0,4592400.0
2015-03-18,24849,25331,23260,23261,132723,221813.0,4592400.0
2015-03-19,23597,23838,22176,23164,109077,220894.0,4592400.0
2015-03-20,23404,23525,22561,22731,88897,216761.0,4592400.0
2015-03-23,22706,22923,21911,21936,99740,209184.0,4592400.0
2015-03-24,22152,22899,21911,22249,83425,212169.0,4592400.0
2015-03-25,22610,23019,22393,22803,72237,217450.0,4592400.0
2015-03-26,22802,22802,21935,22249,58912,212169.0,4592400.0
2015-03-27,22417,24560,22080,22081,188884,210562.0,4592400.0
2015-03-30,22248,23765,22032,23477,132590,223880.0,4592400.0
2015-03-31,23814,25475,23380,23549,210776,224568.0,4592400.0
2015-04-01,23958,24416,23019,23044,85544,219746.0,4592400.0
2015-04-02,23212,23476,22465,22803,86096,217450.0,4592400.0
2015-04-03,22875,24006,22802,23694,110518,225946.0,4592400.0
2015-04-06,23717,24006,22923,23285,61789,222043.0,4592400.0
2015-04-07,23501,23501,22706,22972,57983,219057.0,4592400.0
2015-04-08,23332,23597,22634,22923,71009,218598.0,4592400.0
2015-04-09,22923,23380,22802,22947,66215,218828.0,4592400.0
2015-04-10,23115,24656,23115,23670,169672,225716.0,4592400.0
2015-04-13,23838,23958,22393,22394,138705,213547.0,4592400.0
2015-04-14,22393,22778,20587,20612,175322,196555.0,4592400.0
2015-04-15,20996,21671,20756,20925,75572,199540.0,4592400.0
2015-04-16,21478,21478,20924,21238,39806,202525.0,4592400.0
2015-04-17,21165,21478,20683,20804,77671,198392.0,4592400.0
2015-04-20,20587,21358,20250,21069,83247,200918.0,4592400.0
2015-04-21,21406,21671,20876,21214,86584,202295.0,4592400.0
2015-04-22,21430,21478,20202,20323,95415,193799.0,4592400.0
2015-04-23,20467,21069,20105,20299,56926,193570.0,4592400.0
2015-04-24,20418,20924,20202,20419,44668,194718.0,4592400.0
2015-04-27,20274,21117,20274,20660,48040,197014.0,4592400.0
2015-04-28,20780,20900,20274,20323,43166,193799.0,4592400.0
2015-04-29,20322,20418,18564,18686,126784,178185.0,4592400.0
2015-04-30,18781,18950,17890,18180,44705,173363.0,4592400.0
2015-05-04,18083,18179,15699,15916,184248,151779.0,4592400.0
2015-05-06,15266,16229,15049,15772,105191,150401.0,4592400.0
2015-05-07,16060,18131,15819,18132,221155,172904.0,4592400.0
2015-05-08,18011,20322,17938,19263,222603,183696.0,4592400.0
2015-05-11,19744,20683,19190,20130,102486,191962.0,4592400.0
2015-05-12,20226,20539,19287,20202,82608,192651.0,4592400.0
2015-05-13,20322,20370,19600,19601,58840,186911.0,4592400.0
2015-05-14,20081,20154,18757,18782,74564,179104.0,4592400.0
2015-05-15,18853,21189,18853,20540,167930,195866.0,4592400.0
2015-05-18,20707,21646,19431,20853,107219,198851.0,4592400.0
2015-05-19,20972,21550,20443,20756,49567,197932.0,4592400.0
2015-05-20,21069,22537,21069,22273,155159,212398.0,4592400.0
2015-05-21,22489,23572,21911,22996,184292,219287.0,4592400.0
2015-05-22,23597,24367,23356,24272,221871,231457.0,4592400.0
2015-05-26,24271,24945,21839,22153,536068,211250.0,4592400.0
2015-05-27,21863,21935,18829,19673,505095,187600.0,4592400.0
2015-05-28,19792,20154,18540,19552,148368,186451.0,4592400.0
2015-05-29,19455,20033,18781,19408,122969,185074.0,4592400.0
2015-06-01,19118,20876,18540,20804,238473,198392.0,4592400.0
2015-06-02,20996,21887,20491,21671,268284,206658.0,4592400.0
2015-06-03,21839,22008,20852,21045,94027,200688.0,4592400.0
2015-06-04,21045,22008,20756,21527,85191,205280.0,4592400.0
2015-06-05,21406,24753,21382,23694,316639,225946.0,4592400.0
2015-06-08,23790,25282,23308,24416,181299,232835.0,4592400.0
2015-06-09,24463,25042,23934,24994,125008,238346.0,4592400.0
2015-06-10,25523,28702,25475,28702,344995,273707.0,4592400.0
2015-06-11,29617,32988,28461,32988,679316,341979.0,4992400.0
2015-06-12,34192,36840,31784,32555,705741,337486.0,4992400.0
2015-06-15,32795,37129,32024,36600,550242,379422.0,4992400.0
2015-06-16,35107,35685,32891,34867,518643,361450.0,4992400.0
2015-06-17,35251,36648,32313,32507,252594,339987.0,5036844.0
2015-06-18,32554,34432,31302,34337,502696,359127.0,5036844.0
2015-06-19,34866,34866,32988,33903,192958,354594.0,5036844.0
2015-06-22,33469,34095,31013,32748,259607,342505.0,5036844.0
2015-06-23,32843,33036,30387,31303,264601,327395.0,5036844.0
2015-06-24,31447,34047,31061,33037,312864,345527.0,5036844.0
2015-06-25,33132,36744,31880,36071,329389,377260.0,5036844.0
2015-06-26,36166,39633,33951,35830,317358,374741.0,5036844.0
2015-06-29,34336,35155,33132,33711,214569,352579.0,5036844.0
2015-06-30,33228,34625,31784,34337,111183,359127.0,5036844.0
2015-07-01,34336,35925,33517,35444,121221,370712.0,5036844.0
2015-07-02,35636,36696,34384,36359,105464,380282.0,5036844.0
2015-07-03,36359,39971,36214,36600,260494,382800.0,5036844.0
2015-07-06,35973,36022,33806,33807,148730,353586.0,5036844.0
2015-07-07,34288,36503,32073,33711,228354,352579.0,5036844.0
2015-07-08,34914,38044,34192,37323,368138,390355.0,5036844.0
2015-07-09,36118,39248,34962,39249,197032,410503.0,5036844.0
2015-07-10,39248,40693,36792,37323,203185,390355.0,5036844.0
2015-07-13,37563,38478,36840,37563,99858,392874.0,5036844.0
2015-07-14,37852,37996,35540,35637,143925,372726.0,5036844.0
2015-07-15,36118,36311,34673,35589,84774,372223.0,5036844.0
2015-07-16,35685,38237,35299,37515,154438,392370.0,5036844.0
2015-07-17,37755,37996,36070,36456,60687,381289.0,5036844.0
2015-07-20,36888,38189,36600,38045,93025,397911.0,5036844.0
2015-07-21,37900,38044,35396,36263,90324,379274.0,5036844.0
2015-07-22,36648,42523,35685,37563,554021,392874.0,5036844.0
2015-07-23,37707,38718,35636,37563,155949,392874.0,5036844.0
2015-07-24,37226,38478,36840,37756,95040,394889.0,5036844.0
2015-07-27,35636,36359,30869,31062,273201,324876.0,5036844.0
2015-07-28,30098,31591,28942,29136,172131,304729.0,5036844.0
2015-07-29,29472,29857,26294,26680,229392,279041.0,5036844.0
2015-07-30,27305,27642,26486,26535,81643,277530.0,5036844.0
2015-07-31,26390,26823,24608,26535,148316,277530.0,5036844.0
2015-08-03,26583,27979,26390,26632,93782,278537.0,5036844.0
2015-08-04,26631,27594,26535,27595,44839,288611.0,5036844.0
2015-08-05,27690,28846,27161,28462,89505,297677.0,5036844.0
2015-08-06,28268,30772,28220,30340,186543,317321.0,5036844.0
2015-08-07,29665,30050,28316,28654,122316,299692.0,5036844.0
2015-08-10,28605,29280,27064,27547,71826,288107.0,5036844.0
2015-08-11,27642,27883,24897,25091,165729,262420.0,5036844.0
2015-08-12,24271,24512,20900,21479,389989,224643.0,5036844.0
2015-08-13,21671,22489,20707,22105,199929,231191.0,5036844.0
2015-08-17,22393,23308,21815,21912,112708,229176.0,5036844.0
2015-08-18,21719,22875,21622,21623,69981,226154.0,5036844.0
2015-08-19,21622,21911,19166,20251,131056,211799.0,5036844.0
2015-08-20,20033,22393,20033,21190,126174,221621.0,5036844.0
2015-08-21,19744,22152,19720,21069,123057,220362.0,5036844.0
2015-08-24,21093,21815,18300,18300,175794,191400.0,5036844.0
2015-08-25,18564,19455,17673,19239,185832,201222.0,5036844.0
2015-08-26,19648,20611,19215,20178,126672,211044.0,5036844.0
2015-08-27,20491,22537,20298,21671,109600,226658.0,5036844.0
2015-08-28,22393,22634,21502,21599,87299,225902.0,5036844.0
2015-08-31,21454,21815,20948,20949,48570,219103.0,5036844.0
2015-09-01,21117,22032,20948,20973,52414,219355.0,5036844.0
2015-09-02,20515,20948,20081,20371,67573,213059.0,5036844.0
2015-09-03,20707,22465,20611,21599,105440,225902.0,5036844.0
2015-09-04,21984,22104,20443,20516,54768,214570.0,5036844.0
2015-09-07,20394,22080,19600,21093,162346,220614.0,5036844.0
2015-09-08,21526,22152,21093,21599,101670,225902.0,5036844.0
2015-09-09,22056,23356,21767,23357,186136,244287.0,5036844.0
2015-09-10,23115,25331,23019,25187,191869,263427.0,5036844.0
2015-09-11,24993,25812,24560,25331,116346,264938.0,5036844.0
2015-09-14,25427,25812,22128,22129,196938,231443.0,5036844.0
2015-09-15,21598,22899,20515,22875,217091,239250.0,5036844.0
2015-09-16,23250,23499,22600,22850,69925,230184.0,5036844.0
2015-09-17,22650,23200,22000,22950,60286,231191.0,5036844.0
2015-09-18,23250,29549,23149,27650,413340,278537.0,5036844.0
2015-09-21,27049,27300,25800,26550,118182,267456.0,5036844.0
2015-09-22,26950,28450,26250,27250,138469,274508.0,5036844.0
2015-09-23,27000,28950,26749,27250,117654,274508.0,5036844.0
