지스마트글로벌(114570),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2010-02-04,2688,2893,2287,2639,3126015,72575.0,4697433.0
2010-02-05,2423,2671,2372,2442,936366,67173.0,4697433.0
2010-02-08,2509,2595,2185,2237,859773,61536.0,4697433.0
2010-02-09,2236,2330,2134,2211,291574,60832.0,4697433.0
2010-02-10,2252,2279,2082,2083,236841,57309.0,4697433.0
2010-02-11,2125,2168,2014,2024,256915,55665.0,4697433.0
2010-02-12,2073,2227,2065,2143,405354,58953.0,4697433.0
2010-02-16,2125,2134,2048,2066,133564,56839.0,4697433.0
2010-02-17,2107,2185,2090,2117,175968,58248.0,4697433.0
2010-02-18,2125,2252,2082,2228,364095,61302.0,4697433.0
2010-02-19,2185,2236,2022,2024,306840,55665.0,4697433.0
2010-02-22,2073,2151,2039,2058,310762,56604.0,4697433.0
2010-02-23,2073,2125,2065,2100,121485,57778.0,4697433.0
2010-02-24,2065,2082,2022,2032,146946,55899.0,4697433.0
2010-02-25,2065,2065,1877,1879,249407,51672.0,4697433.0
2010-02-26,1911,1937,1852,1862,94060,51202.0,4697433.0
2010-03-02,1886,1911,1808,1810,134060,49793.0,4697433.0
2010-03-03,1808,1869,1800,1827,79903,50263.0,4697433.0
2010-03-04,1852,1911,1843,1844,136653,50732.0,4697433.0
2010-03-05,1877,1911,1843,1844,73732,50732.0,4697433.0
2010-03-08,1877,1928,1843,1921,105048,52846.0,4697433.0
2010-03-09,1911,1920,1877,1896,66478,52142.0,4697433.0
2010-03-10,1920,1920,1835,1835,87279,50497.0,4697433.0
2010-03-11,1835,1869,1808,1810,62653,49793.0,4697433.0
2010-03-12,1826,1835,1800,1810,67511,49793.0,4697433.0
2010-03-15,1826,1860,1800,1810,58659,49793.0,4697433.0
2010-03-16,1817,1903,1800,1862,95140,51202.0,4697433.0
2010-03-17,1877,1877,1817,1844,74906,50732.0,4697433.0
2010-03-18,1843,1971,1835,1870,256902,51437.0,4697433.0
2010-03-19,1911,2048,1869,2024,479570,55665.0,4697433.0
2010-03-22,2014,2022,1962,2006,179940,55195.0,4697433.0
