덕우전자(263600),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-08-28,8450,8700,7825,7925,3529636,128545.0,8110066.0
2017-08-29,7975,8275,7825,8025,1037240,130167.0,8110066.0
2017-08-30,8075,8175,7875,7925,713302,128545.0,8110066.0
2017-08-31,8225,8375,7950,7950,726696,128950.0,8110066.0
2017-09-01,7975,8075,7875,7900,280479,128139.0,8110066.0
2017-09-04,7600,7674,7500,7550,295634,122462.0,8110066.0
2017-09-05,7625,7750,7400,7425,200512,120434.0,8110066.0
2017-09-06,7424,7575,7250,7250,157906,117596.0,8110066.0
2017-09-07,7400,7550,7224,7250,150865,117596.0,8110066.0
2017-09-08,7200,7300,6950,7050,191586,114352.0,8110066.0
2017-09-11,7125,7325,7025,7325,171016,118812.0,8110066.0
2017-09-12,7350,7449,7249,7325,186431,118812.0,8110066.0
2017-09-13,7350,7775,7125,7125,371115,115568.0,8110066.0
2017-09-14,7149,7175,6825,6875,152945,111513.0,8110066.0
2017-09-15,6875,6875,6475,6500,257342,105431.0,8110066.0
2017-09-18,6500,6625,6375,6575,101864,106647.0,8110066.0
2017-09-19,6600,6700,6450,6575,108852,106647.0,8110066.0
2017-09-20,6600,6725,6375,6375,115689,103403.0,8110066.0
2017-09-21,6400,6625,6300,6525,101167,105836.0,8110066.0
2017-09-22,6425,6600,6275,6425,122992,104214.0,8110066.0
2017-09-25,6449,6700,6375,6525,106572,105836.0,8110066.0
2017-09-26,6525,6749,6525,6675,133233,108269.0,8110066.0
2017-09-27,6750,7175,6675,7000,255098,113541.0,8110066.0
2017-09-28,7025,7225,6900,6925,90315,112324.0,8110066.0
2017-09-29,7000,7275,6950,7250,112158,117596.0,8110066.0
2017-10-10,7375,7400,7125,7125,72852,115568.0,8110066.0
2017-10-11,7125,7425,7000,7375,109514,119623.0,8110066.0
2017-10-12,7375,7700,7350,7650,183196,124084.0,8110066.0
2017-10-13,7750,7750,7150,7350,177946,119218.0,8110066.0
2017-10-16,7224,7500,6950,7050,109264,114352.0,8110066.0
2017-10-17,7050,7625,7050,7500,122991,121651.0,8110066.0
2017-10-18,7525,8275,7525,8100,521745,131383.0,8110066.0
2017-10-19,8175,8375,7900,8050,195428,130572.0,8110066.0
2017-10-20,8050,8600,8050,8350,245345,135438.0,8110066.0
2017-10-23,8375,8425,8000,8300,252328,134627.0,8110066.0
