동운아나텍(094170),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-06-30,5511,5996,4893,5644,2919410,71386.0,5577000.0
2015-07-01,6106,6525,5929,6327,1715182,80030.0,5577000.0
2015-07-02,6018,6172,5775,5931,570974,75011.0,5577000.0
2015-07-03,6040,6569,5687,6107,841104,77241.0,5577000.0
2015-07-06,6128,6239,5753,5842,342253,73895.0,5577000.0
2015-07-07,5907,5974,5136,5291,329263,66924.0,5577000.0
2015-07-08,5290,5576,5092,5203,124034,65809.0,5577000.0
2015-07-09,5246,5313,4738,5005,128725,63299.0,5577000.0
2015-07-10,5290,5775,5114,5489,168357,74588.0,5991000.0
2015-07-13,5533,5709,5423,5423,48602,73689.0,5991000.0
2015-07-14,5423,5511,5246,5247,72388,71293.0,5991000.0
2015-07-15,5268,5488,5202,5357,56344,72791.0,5991000.0
2015-07-16,5753,5907,5554,5601,131258,76086.0,5991000.0
2015-07-17,5731,6370,5621,6349,612066,86270.0,5991000.0
2015-07-20,6613,6855,6128,6437,455952,87469.0,5991000.0
2015-07-21,6392,6679,6260,6658,192564,90464.0,5991000.0
2015-07-22,6657,6921,6415,6526,188557,88667.0,5991000.0
2015-07-23,6525,6833,6349,6415,136661,87169.0,5991000.0
2015-07-24,6415,6480,6040,6195,231337,84174.0,5991000.0
2015-07-27,6172,6172,5576,5732,205920,77883.0,5991000.0
2015-07-28,5576,5797,5334,5622,123975,76385.0,5991000.0
2015-07-29,5554,5863,5423,5423,105259,73689.0,5991000.0
2015-07-30,5554,5687,5423,5512,52042,74888.0,5991000.0
2015-07-31,5599,5643,5070,5335,114556,72491.0,5991000.0
2015-08-03,5444,5466,5114,5203,75484,70694.0,5991000.0
2015-08-04,5246,5797,5202,5489,178407,74588.0,5991000.0
2015-08-05,5488,5599,5356,5489,47398,74588.0,5991000.0
2015-08-06,5511,5643,5400,5601,58123,76086.0,5991000.0
2015-08-07,5731,5929,5533,5799,119562,78782.0,5991000.0
2015-08-10,5797,5797,5444,5578,74762,75786.0,5991000.0
2015-08-11,5576,5687,5423,5423,47316,73689.0,5991000.0
2015-08-12,5400,5599,5114,5335,60115,72491.0,5991000.0
2015-08-13,5334,5533,5290,5423,22415,73689.0,5991000.0
2015-08-17,5423,5599,5202,5225,38677,70993.0,5991000.0
2015-08-18,5334,5334,4805,4806,111563,65302.0,5991000.0
2015-08-19,4672,4738,3914,4343,282651,59011.0,5991000.0
2015-08-20,4408,4497,4197,4216,57027,57274.0,5991000.0
2015-08-21,3879,4095,3760,3762,183033,51103.0,5991000.0
2015-08-24,3760,3967,3738,3752,62337,50983.0,5991000.0
2015-08-25,3809,4046,3751,4035,70640,54818.0,5991000.0
2015-08-26,4214,4628,4188,4409,160127,59910.0,5991000.0
2015-08-27,4518,5004,4452,4630,121659,62906.0,5991000.0
2015-08-28,4783,4783,4518,4696,51823,63804.0,5991000.0
2015-08-31,4672,4805,4562,4675,40222,63505.0,5991000.0
2015-09-01,4562,4871,4518,4675,37708,63505.0,5991000.0
2015-09-02,4672,4827,4562,4762,39212,64703.0,5991000.0
2015-09-03,4982,4982,4760,4873,29701,66201.0,5991000.0
2015-09-04,4871,4871,4400,4405,122682,59850.0,5991000.0
2015-09-07,4386,4497,4320,4409,59917,59910.0,5991000.0
2015-09-08,4452,4497,4408,4431,29814,60210.0,5991000.0
2015-09-09,4738,5356,4562,5071,168948,68896.0,5991000.0
2015-09-10,5290,5488,4982,5203,150907,70694.0,5991000.0
2015-09-11,5114,5202,4937,4961,38125,67399.0,5991000.0
2015-09-14,5048,5048,4738,4785,38855,65002.0,5991000.0
2015-09-15,4783,4915,4672,4895,35826,66500.0,5991000.0
2015-09-16,4937,5224,4827,5005,49204,67998.0,5991000.0
2015-09-17,4982,5158,4893,5115,32866,69496.0,5991000.0
2015-09-18,5158,5246,5070,5159,30382,70095.0,5991000.0
2015-09-21,5158,5202,5004,5159,22184,70095.0,5991000.0
2015-09-22,5180,5313,5092,5137,42080,69795.0,5991000.0
2015-09-23,5136,5136,4893,4916,28790,66800.0,5991000.0
2015-09-24,4959,5048,4849,4983,25290,67698.0,5991000.0
2015-09-25,5026,5114,4849,5115,20050,69496.0,5991000.0
2015-09-30,5114,5136,4915,5093,22715,69196.0,5991000.0
2015-10-01,5070,5180,5048,5159,33364,70095.0,5991000.0
2015-10-02,5576,5731,5400,5423,331120,73689.0,5991000.0
2015-10-05,5423,5554,5313,5512,111690,74888.0,5991000.0
2015-10-06,5621,5885,5511,5601,151449,76086.0,5991000.0
2015-10-07,5687,5709,5313,5601,153314,76086.0,5991000.0
2015-10-08,5576,5576,5423,5534,42630,75187.0,5991000.0
