오디텍(080520),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2007-10-08,3916,4495,3780,3817,1950115,40735.0,4486252.0
2007-10-09,3861,3861,3242,3245,668048,34634.0,4486252.0
2007-10-10,3277,3277,2908,3080,476979,32884.0,4486252.0
2007-10-11,3033,3332,2987,3080,284530,32884.0,4486252.0
2007-10-12,3025,3121,2898,2943,193678,31404.0,4486252.0
2007-10-15,2902,3120,2860,2984,192110,31852.0,4486252.0
2007-10-16,2962,3036,2861,2892,96840,30865.0,4486252.0
2007-10-17,2847,2918,2595,2628,133382,28039.0,4486252.0
2007-10-18,2646,2671,2503,2521,97235,26918.0,4486252.0
2007-10-19,2479,2848,2466,2732,223255,29161.0,4486252.0
2007-10-22,2530,2748,2499,2744,55134,29295.0,4486252.0
2007-10-23,2773,2814,2651,2777,83706,29654.0,4486252.0
2007-10-24,2802,2848,2680,2682,47341,28622.0,4486252.0
2007-10-25,2668,2731,2516,2521,76331,26918.0,4486252.0
2007-10-26,2526,2580,2496,2514,34683,26828.0,4486252.0
2007-10-29,2530,2680,2530,2648,58104,28263.0,4486252.0
2007-10-30,2646,2710,2575,2656,17643,28353.0,4486252.0
2007-10-31,2655,2688,2601,2656,26837,28353.0,4486252.0
2007-11-01,2670,2684,2605,2686,23284,28667.0,4486252.0
2007-11-02,2679,2792,2541,2678,28129,28577.0,4486252.0
2007-11-05,2731,2844,2584,2585,82719,27590.0,4486252.0
2007-11-06,2646,2710,2541,2656,33824,28353.0,4486252.0
2007-11-07,2641,2663,2586,2623,23398,27994.0,4486252.0
2007-11-08,2495,2554,2331,2408,138775,25706.0,4486252.0
2007-11-09,2458,2475,2382,2442,35441,26065.0,4486252.0
2007-11-12,2357,2440,2310,2371,38542,25302.0,4486252.0
2007-11-13,2369,2382,2281,2353,26797,25123.0,4486252.0
2007-11-14,2394,2394,2303,2325,43954,24809.0,4486252.0
2007-11-15,2323,2368,2310,2371,25907,25302.0,4486252.0
2007-11-16,2381,2381,2323,2371,42286,25302.0,4486252.0
2007-11-19,2368,2428,2368,2400,23841,25616.0,4486252.0
2007-11-20,2373,2407,2331,2408,11681,25706.0,4486252.0
2007-11-21,2432,2462,2331,2371,14099,25302.0,4486252.0
2007-11-22,2365,2391,2277,2341,13174,24988.0,4486252.0
2007-11-23,2306,2349,2269,2336,50533,24944.0,4486252.0
2007-11-26,2353,2353,2269,2312,42859,24674.0,4486252.0
2007-11-27,2309,2309,2251,2274,30453,24271.0,4486252.0
2007-11-28,2309,2330,2250,2329,27368,24854.0,4486252.0
2007-11-29,2353,2432,2314,2341,31889,24988.0,4486252.0
2007-11-30,2309,2376,2309,2366,26674,25258.0,4486252.0
2007-12-03,2372,2456,2372,2455,17480,26200.0,4486252.0
2007-12-04,2437,2475,2361,2430,44873,25931.0,4486252.0
2007-12-05,2424,2470,2390,2447,28753,26110.0,4486252.0
2007-12-06,2432,2602,2432,2514,74517,26828.0,4486252.0
2007-12-07,2561,2561,2478,2539,15649,27097.0,4486252.0
