아이씨디(040910),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2011-08-05,31400,36100,30050,36100,2823855,557516.0,7721832.0
2011-08-08,36250,36700,32300,35100,1281645,542073.0,7721832.0
2011-08-09,34300,35250,30550,34600,644851,534351.0,7721832.0
2011-08-10,36450,37000,33150,34150,452524,527401.0,7721832.0
2011-08-11,32100,34250,31750,33450,370245,516591.0,7721832.0
2011-08-12,34550,37000,34100,34950,736128,539756.0,7721832.0
2011-08-16,36450,36650,34700,34950,415451,539756.0,7721832.0
2011-08-17,36000,40000,35350,39200,1460659,605392.0,7721832.0
2011-08-18,38950,40450,38000,39400,827860,608480.0,7721832.0
2011-08-19,38000,41500,37700,38000,772692,586859.0,7721832.0
2011-08-22,39250,39750,36800,38000,413644,586859.0,7721832.0
2011-08-23,39000,39750,38250,39250,297512,606164.0,7721832.0
2011-08-24,39500,39900,37250,37250,267844,575276.0,7721832.0
2011-08-25,38400,39000,34700,35950,349423,555200.0,7721832.0
2011-08-26,36050,36600,34700,35600,242003,549794.0,7721832.0
2011-08-29,36450,36900,35400,35650,270668,550567.0,7721832.0
2011-08-30,35999,36800,30550,32050,637789,494969.0,7721832.0
2011-08-31,32450,32900,31100,32050,476946,494969.0,7721832.0
2011-09-01,32300,33650,31600,33000,313093,509641.0,7721832.0
2011-09-02,33150,35500,33050,34550,371251,533579.0,7721832.0
2011-09-05,33900,34250,32350,32500,438854,501919.0,7721832.0
2011-09-06,31500,32500,30500,31550,304705,487248.0,7721832.0
2011-09-07,32250,35250,31949,33950,343098,524312.0,7721832.0
2011-09-08,34550,35150,32950,34000,186344,525085.0,7721832.0
2011-09-09,35100,36150,34500,35550,445141,551369.0,7754832.0
2011-09-14,36100,36150,34750,34800,220175,539736.0,7754832.0
2011-09-15,35750,36050,33000,34550,296616,535859.0,7754832.0
2011-09-16,35100,35350,33750,34100,188339,528880.0,7754832.0
2011-09-19,34050,34050,31550,32250,298623,500187.0,7754832.0
2011-09-20,31650,33500,31350,33500,210540,519574.0,7754832.0
2011-09-21,33050,33600,32350,32650,224717,506391.0,7754832.0
2011-09-22,31750,32399,30700,31250,268063,484677.0,7754832.0
2011-09-23,29500,30350,27650,28250,391034,438148.0,7754832.0
2011-09-26,28800,28850,24050,24050,482686,373007.0,7754832.0
2011-09-27,24900,25600,22725,25300,669103,392394.0,7754832.0
2011-09-28,26250,26750,24600,24600,345841,381538.0,7754832.0
2011-09-29,24000,25200,22900,25050,440928,388517.0,7754832.0
2011-09-30,25600,27350,25200,26850,372906,416434.0,7754832.0
2011-10-04,24700,25150,23525,24700,247790,383089.0,7754832.0
2011-10-05,24950,25050,21000,21000,580248,325703.0,7754832.0
2011-10-06,21900,22650,21000,21100,538625,327254.0,7754832.0
2011-10-07,22050,22750,21675,22275,378709,345478.0,7754832.0
2011-10-10,22850,25600,22750,25600,604149,397047.0,7754832.0
2011-10-11,26200,27000,25100,26150,652395,405578.0,7754832.0
2011-10-12,26500,28550,26450,27500,647068,426516.0,7754832.0
2011-10-13,28200,28450,26750,27900,414187,432720.0,7754832.0
2011-10-14,27250,27500,25650,26050,373054,404027.0,7754832.0
2011-10-17,26300,27050,25800,26650,280413,413333.0,7754832.0
2011-10-18,25500,27350,25100,26950,279843,417985.0,7754832.0
2011-10-19,27399,27850,26500,26900,267257,417210.0,7754832.0
2011-10-20,27350,30150,26650,27250,786988,422638.0,7754832.0
