픽셀플러스(087600),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-06-12,27000,30550,25000,29000,2090373,236830.0,8166558.0
2015-06-15,29400,30300,28550,29500,487564,240913.0,8166558.0
2015-06-16,29900,29900,26950,28800,319771,235197.0,8166558.0
2015-06-17,28300,28750,27100,27200,208578,222130.0,8166558.0
2015-06-18,27300,28000,26850,27000,200044,220497.0,8166558.0
2015-06-19,27400,27550,25150,25600,203122,209064.0,8166558.0
2015-06-22,25650,27300,24450,25850,233836,211106.0,8166558.0
2015-06-23,26150,28400,26050,27200,215131,222130.0,8166558.0
2015-06-24,27350,27600,26500,26600,74009,217230.0,8166558.0
2015-06-25,25800,27050,25800,26650,45638,217639.0,8166558.0
2015-06-26,26900,29000,26650,27800,187910,227030.0,8166558.0
2015-06-29,27400,28100,26750,27750,79090,226622.0,8166558.0
2015-06-30,27250,29200,26800,28800,120742,235197.0,8166558.0
2015-07-01,28950,31400,28350,30700,205657,250713.0,8166558.0
2015-07-02,30750,32200,30200,31500,141590,257247.0,8166558.0
2015-07-03,31400,31550,30350,31300,93561,255613.0,8166558.0
2015-07-06,30500,31850,30000,31000,105380,253163.0,8166558.0
2015-07-07,31450,31800,29250,29600,116911,241730.0,8166558.0
2015-07-08,29600,29950,28900,29300,49113,239280.0,8166558.0
2015-07-09,28650,29000,27900,28550,57866,233155.0,8166558.0
2015-07-10,28900,30600,28400,30000,46655,244997.0,8166558.0
2015-07-13,30450,30650,29550,30200,30636,246630.0,8166558.0
2015-07-14,30300,30850,30100,30300,32118,247447.0,8166558.0
2015-07-15,30500,33500,30400,32400,196419,264596.0,8166558.0
2015-07-16,32100,33750,31800,33750,108379,275621.0,8166558.0
2015-07-17,35000,35650,33750,34250,128628,279705.0,8166558.0
2015-07-20,34900,34950,33750,34700,62392,283380.0,8166558.0
2015-07-21,34900,34900,33400,34050,51374,278071.0,8166558.0
2015-07-22,34100,34900,33500,34800,57049,284196.0,8166558.0
