세종메디칼(258830),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-05-29,23100,30000,22600,30000,1714776,203332.0,6777741.0
2018-05-30,32850,37800,31600,33700,2867170,228410.0,6777741.0
2018-05-31,33000,33000,28550,28600,591364,193843.0,6777741.0
2018-06-01,28050,33650,27450,28800,839916,195199.0,6777741.0
2018-06-04,28200,29900,27700,27950,145063,189438.0,6777741.0
2018-06-05,27600,28500,25650,26800,177508,181643.0,6777741.0
2018-06-07,26900,31700,26850,29150,701003,197571.0,6777741.0
2018-06-08,28900,30450,28250,29750,143418,201638.0,6777741.0
2018-06-11,30200,30250,28000,28000,131143,189777.0,6777741.0
2018-06-12,28100,28150,26300,26400,127163,178932.0,6777741.0
2018-06-14,25650,25800,24400,24550,92385,166394.0,6777741.0
2018-06-15,24150,25450,23600,24600,79234,166732.0,6777741.0
2018-06-18,24050,24750,22600,22600,67070,153177.0,6777741.0
2018-06-19,23000,23250,20200,20550,103319,139283.0,6777741.0
2018-06-20,20350,24850,20050,21650,259218,146738.0,6777741.0
2018-06-21,21700,21800,20100,20200,58910,136910.0,6777741.0
2018-06-22,20450,21000,19800,20150,41725,136571.0,6777741.0
2018-06-25,19850,21200,19600,20950,45737,141994.0,6777741.0
2018-06-26,20900,20900,20000,20600,25279,139621.0,6777741.0
2018-06-27,20550,20800,19900,20000,36063,135555.0,6777741.0
2018-06-28,19900,20300,18350,18400,55490,124710.0,6777741.0
2018-06-29,17750,18000,16700,17200,203102,116577.0,6777741.0
2018-07-02,17400,20500,17250,18400,503672,124710.0,6777741.0
2018-07-03,18450,18600,17600,18100,78127,122677.0,6777741.0
2018-07-04,17700,19450,17700,18150,73663,123016.0,6777741.0
2018-07-05,18200,19000,18000,18050,69505,122338.0,6777741.0
2018-07-06,18200,18550,17200,17600,53888,119288.0,6777741.0
2018-07-09,17400,18200,17400,17850,30120,120983.0,6777741.0
2018-07-10,18150,22000,17850,20250,540727,137249.0,6777741.0
2018-07-11,20500,23300,20500,21300,678691,144366.0,6777741.0
2018-07-12,21750,21800,20350,21100,137975,143010.0,6777741.0
2018-07-13,20600,21500,20450,21500,115302,145721.0,6777741.0
2018-07-16,21800,22350,20950,22000,119686,149110.0,6777741.0
2018-07-17,22350,22350,21100,21100,78682,143010.0,6777741.0
2018-07-18,21150,21550,20000,20000,81160,135555.0,6777741.0
2018-07-19,19900,21700,19900,20950,121274,141994.0,6777741.0
2018-07-20,22000,22650,21200,21350,109754,144705.0,6777741.0
2018-07-23,21750,21750,20050,20100,46914,136233.0,6777741.0
2018-07-24,19900,20450,19850,20000,37729,135555.0,6777741.0
2018-07-25,20300,20400,18700,19000,55752,128777.0,6777741.0
2018-07-26,19050,19800,18300,19700,42517,133521.0,6777741.0
2018-07-27,19500,19600,18900,19100,34807,129455.0,6777741.0
2018-07-30,19150,19200,18350,18500,38199,125388.0,6777741.0
2018-07-31,18250,19400,18000,19200,44256,130133.0,6777741.0
2018-08-01,19200,19750,19100,19550,29275,132505.0,6777741.0
2018-08-02,19700,19800,19100,19200,19347,130133.0,6777741.0
2018-08-03,19100,19750,19050,19550,19584,132505.0,6777741.0
2018-08-06,19500,19700,19200,19700,19134,133521.0,6777741.0
2018-08-07,19800,19800,19150,19250,11626,130472.0,6777741.0
2018-08-08,19350,19350,18700,19150,14875,129794.0,6777741.0
2018-08-09,19500,19500,18800,19000,10047,128777.0,6777741.0
2018-08-10,19200,19200,18550,18550,18486,125727.0,6777741.0
2018-08-13,18200,18350,17500,17500,32665,118610.0,6777741.0
2018-08-14,17400,18400,17400,17650,11283,119627.0,6777741.0
2018-08-16,17000,17650,16800,17550,24949,118949.0,6777741.0
2018-08-17,17550,17800,17300,17400,21298,117933.0,6777741.0
2018-08-20,17750,17800,17300,17550,12608,118949.0,6777741.0
2018-08-21,17550,18000,17200,17900,14883,121322.0,6777741.0
2018-08-22,18100,18550,18000,18050,32433,122338.0,6777741.0
2018-08-23,18400,18400,17650,18150,12704,123016.0,6777741.0
2018-08-24,18150,18150,17600,17950,16164,121660.0,6777741.0
2018-08-27,17750,18150,17750,18050,15110,122338.0,6777741.0
2018-08-28,18100,18250,17600,17800,24074,120644.0,6777741.0
2018-08-29,17250,17400,16400,16950,212370,114883.0,6777741.0
2018-08-30,17000,17200,16750,17000,72377,115222.0,6777741.0
2018-08-31,17000,17200,16750,17200,37678,116577.0,6777741.0
2018-09-03,17200,17450,16950,17000,32940,115222.0,6777741.0
2018-09-04,17450,18400,17400,17850,174638,120983.0,6777741.0
2018-09-05,18350,18600,18100,18200,103892,123355.0,6777741.0
2018-09-06,18200,18500,17600,17900,51104,121322.0,6777741.0
2018-09-07,17800,17850,17100,17150,78318,116238.0,6777741.0
2018-09-10,17350,17450,17100,17350,22782,117594.0,6777741.0
2018-09-11,17350,17350,17000,17200,36567,116577.0,6777741.0
2018-09-12,17200,17600,17000,17250,33305,116916.0,6777741.0
2018-09-13,17250,17650,17150,17250,23592,116916.0,6777741.0
2018-09-14,17300,17450,17000,17100,37438,115899.0,6777741.0
2018-09-17,17100,17100,16900,17000,24967,115222.0,6777741.0
2018-09-18,16950,19300,16500,18400,281870,124710.0,6777741.0
2018-09-19,18550,18900,17900,18900,161315,128099.0,6777741.0
2018-09-20,19000,19500,18450,19000,194092,128777.0,6777741.0
2018-09-21,19300,19350,18500,18600,59134,126066.0,6777741.0
2018-09-27,18600,19350,18100,19200,85787,130133.0,6777741.0
2018-09-28,19200,19550,18700,18950,80845,128438.0,6777741.0
2018-10-01,19000,19000,17800,18000,56117,121999.0,6777741.0
2018-10-02,17850,18300,17050,17500,64456,118610.0,6777741.0
2018-10-04,17450,17700,16950,17250,27498,116916.0,6777741.0
2018-10-05,17050,17450,16900,17050,34109,115560.0,6777741.0
2018-10-08,17100,17450,17000,17100,11426,115899.0,6777741.0
2018-10-10,17100,17150,15250,15350,87750,104038.0,6777741.0
2018-10-11,14500,14800,13550,13800,63260,93533.0,6777741.0
2018-10-12,13150,14150,13150,14050,68688,95227.0,6777741.0
2018-10-15,13850,14300,13600,13700,43603,92855.0,6777741.0
2018-10-16,13650,15500,13650,14500,77386,98277.0,6777741.0
2018-10-17,14600,15250,14500,14600,23409,98955.0,6777741.0
2018-10-18,14650,14900,14250,14250,20785,96583.0,6777741.0
2018-10-19,14150,14500,13700,14050,47220,95227.0,6777741.0
2018-10-22,13950,14350,13800,14300,28055,96922.0,6777741.0
2018-10-23,14300,14450,13650,13700,19970,92855.0,6777741.0
2018-10-24,13750,14200,13200,13400,22582,90822.0,6777741.0
2018-10-25,13000,13500,12650,13250,29911,89805.0,6777741.0
2018-10-26,14050,14050,12800,12950,18534,87772.0,6777741.0
2018-10-29,12850,12950,11600,11600,35373,78622.0,6777741.0
2018-10-30,11000,12450,11000,12400,16649,84044.0,6777741.0
2018-10-31,12850,12850,12400,12750,14831,86416.0,6777741.0
2018-11-01,13050,13100,12550,12700,20689,86077.0,6777741.0
2018-11-02,13150,13200,12750,13100,37400,88788.0,6777741.0
2018-11-05,13200,13200,12700,12900,17317,87433.0,6777741.0
2018-11-06,13150,13800,12950,13500,30551,91500.0,6777741.0
2018-11-07,13650,13800,12900,13000,18689,88111.0,6777741.0
2018-11-08,13300,13450,13100,13350,14134,90483.0,6777741.0
2018-11-09,13200,13650,13000,13550,12242,91838.0,6777741.0
2018-11-12,13200,13750,12700,12900,24189,87433.0,6777741.0
2018-11-13,12500,12700,12250,12600,15703,85400.0,6777741.0
2018-11-14,12600,12900,12400,12600,6893,85400.0,6777741.0
2018-11-15,12850,13000,12100,12500,14982,84722.0,6777741.0
2018-11-16,12700,12750,12200,12700,19884,86077.0,6777741.0
2018-11-19,12550,13350,12450,13300,20216,90144.0,6777741.0
2018-11-20,13150,13200,12800,12950,10396,87772.0,6777741.0
2018-11-21,12700,13000,12450,12800,6531,86755.0,6777741.0
2018-11-22,12800,13000,12500,12500,10345,84722.0,6777741.0
2018-11-23,12500,12800,12150,12150,12654,82350.0,6777741.0
2018-11-26,12150,12500,11950,12250,12934,83027.0,6777741.0
2018-11-27,12250,12700,12200,12700,9586,86077.0,6777741.0
2018-11-28,12650,13300,12600,13100,18747,88788.0,6777741.0
2018-11-29,12800,12900,12400,12550,76893,85061.0,6777741.0
2018-11-30,12450,12450,12100,12200,37907,82688.0,6777741.0
2018-12-03,12250,12550,12100,12250,43975,83027.0,6777741.0
2018-12-04,12350,12800,12100,12650,45988,85738.0,6777741.0
2018-12-05,12350,13400,12350,13400,93739,90822.0,6777741.0
2018-12-06,13350,13600,12250,12450,47588,84383.0,6777741.0
2018-12-07,12500,13100,12200,12500,43363,84722.0,6777741.0
2018-12-10,12450,12900,12300,12600,20050,85400.0,6777741.0
2018-12-11,12600,13250,12600,13150,42018,89127.0,6777741.0
2018-12-12,13200,13750,12950,13700,43024,92855.0,6777741.0
2018-12-13,13600,13800,13000,13350,29663,90483.0,6777741.0
2018-12-14,13350,13350,12550,12800,33657,86755.0,6777741.0
2018-12-17,12650,12700,12400,12400,19823,84044.0,6777741.0
2018-12-18,12400,12400,11950,12000,25985,81333.0,6777741.0
2018-12-19,12100,12300,11550,11750,42191,79638.0,6777741.0
2018-12-20,11750,11850,11000,11250,72539,76250.0,6777741.0
2018-12-21,11150,11350,10900,11100,39344,75233.0,6777741.0
2018-12-24,11100,11350,10850,11000,37876,74555.0,6777741.0
2018-12-26,10850,10900,10350,10600,51896,71844.0,6777741.0
2018-12-27,10850,10850,10400,10600,27101,71844.0,6777741.0
2018-12-28,10800,10800,10500,10700,41252,72522.0,6777741.0
2019-01-02,10750,12700,10750,11900,232818,80655.0,6777741.0
2019-01-03,12200,12200,11150,11150,48812,75572.0,6777741.0
2019-01-04,11200,11850,11150,11600,39014,78622.0,6777741.0
2019-01-07,11750,11800,10800,11200,69300,75911.0,6777741.0
2019-01-08,11200,11450,10950,11000,38154,74555.0,6777741.0
2019-01-09,11100,11400,11000,11400,33389,77266.0,6777741.0
2019-01-10,11400,11550,11200,11400,16816,77266.0,6777741.0
2019-01-11,11500,11650,11350,11600,15616,78622.0,6777741.0
2019-01-14,11750,11750,11350,11600,15405,78622.0,6777741.0
2019-01-15,11550,11950,11450,11700,26133,79300.0,6777741.0
2019-01-16,11750,11800,11400,11450,19542,77605.0,6777741.0
2019-01-17,11450,11500,11050,11200,10262,75911.0,6777741.0
2019-01-18,11400,11450,11200,11200,12981,75911.0,6777741.0
2019-01-21,11200,11350,11050,11300,11476,76588.0,6777741.0
2019-01-22,11350,11650,11200,11200,18477,75911.0,6777741.0
2019-01-23,11100,11550,11000,11400,24472,77266.0,6777741.0
2019-01-24,11500,11500,11050,11250,43088,76250.0,6777741.0
2019-01-25,11300,11800,11300,11400,66366,77266.0,6777741.0
2019-01-28,11500,12400,11500,11950,182190,80994.0,6777741.0
2019-01-29,11750,11950,11600,11800,34438,79977.0,6777741.0
2019-01-30,11800,12150,11800,11950,56581,80994.0,6777741.0
2019-01-31,11950,12000,11750,11850,18338,80316.0,6777741.0
2019-02-01,11800,12100,11750,11850,25990,80316.0,6777741.0
