바른테크놀로지(029480),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,19212,19212,19212,19199,0,13965.0,700000.0
1999-01-05,18298,18298,18298,18285,190,13300.0,700000.0
1999-01-06,18298,18298,18298,18285,0,13300.0,700000.0
1999-01-07,17322,20455,17322,17322,340,12600.0,700000.0
1999-01-08,16844,19401,16844,17322,1170,12600.0,700000.0
1999-01-11,17424,19405,17424,19391,1700,14105.0,700000.0
1999-01-12,19397,21700,19397,21701,1360,15785.0,700000.0
1999-01-13,21756,24299,21756,24299,1350,17675.0,700000.0
1999-01-14,24299,24299,24299,24299,0,17675.0,700000.0
1999-01-15,25994,26964,21666,21653,550,15750.0,700000.0
1999-01-18,24068,24265,21665,24251,2100,17640.0,700000.0
1999-01-19,24262,26959,24262,26946,500,19600.0,700000.0
1999-01-20,25994,28691,25994,28678,480,20860.0,700000.0
1999-01-21,25266,28679,25266,28582,370,20790.0,700000.0
1999-01-22,25171,27811,25171,27812,350,20230.0,700000.0
1999-01-25,26959,26959,26959,26946,0,19600.0,700000.0
1999-01-26,26959,26959,25990,26946,540,19600.0,700000.0
1999-01-27,25983,25983,25983,25983,0,18900.0,700000.0
1999-01-28,25990,26959,25990,26946,200,19600.0,700000.0
1999-01-29,26967,26967,24072,24059,360,17500.0,700000.0
1999-02-01,24065,26959,24065,26946,3970,19600.0,700000.0
1999-02-02,28877,28877,27907,27908,750,20300.0,700000.0
1999-02-03,27915,27915,26959,26946,1060,19600.0,700000.0
1999-02-04,24059,25983,24059,25983,500,18900.0,700000.0
1999-02-05,25986,29062,25986,29063,9760,21140.0,700000.0
1999-02-08,32442,32541,31768,32527,3730,23660.0,700000.0
1999-02-09,36010,36010,33214,33201,6000,24150.0,700000.0
1999-02-10,29265,32637,29265,32623,3490,23730.0,700000.0
1999-02-11,29837,31564,29837,31565,900,22960.0,700000.0
1999-02-12,31560,31757,31560,31757,500,23100.0,700000.0
1999-02-18,31757,31757,31757,31757,0,23100.0,700000.0
1999-02-19,27951,33682,27951,33682,140,24500.0,700000.0
1999-02-22,31757,31757,31757,31757,0,23100.0,700000.0
1999-02-23,27950,31757,27950,31757,160,23100.0,700000.0
1999-02-24,33681,33681,29833,31757,400,23100.0,700000.0
1999-02-25,30710,30809,30710,30795,150,22400.0,700000.0
1999-02-26,32060,32060,32060,32046,300,23310.0,700000.0
1999-03-02,28877,31757,28877,31757,280,23100.0,700000.0
1999-03-03,31757,31757,31757,31757,700,23100.0,700000.0
1999-03-04,31279,31757,31279,31757,1170,23100.0,700000.0
1999-03-05,29833,31757,29833,31757,200,23100.0,700000.0
1999-03-08,29365,33692,29365,33201,6930,24150.0,700000.0
1999-03-09,29362,33689,29362,32720,3390,23800.0,700000.0
1999-03-10,29355,31757,29355,31757,1330,23100.0,700000.0
1999-03-11,30321,32204,29366,32190,3600,23415.0,700000.0
1999-03-12,28884,28884,28884,28870,10,21000.0,700000.0
1999-03-15,28879,31759,28879,31661,2120,23030.0,700000.0
1999-03-16,31179,31179,31179,31180,100,22680.0,700000.0
1999-03-17,27530,31083,27473,31084,2450,22610.0,700000.0
1999-03-18,30809,30809,30809,30795,0,22400.0,700000.0
1999-03-19,30809,30809,30809,30795,0,22400.0,700000.0
1999-03-22,27623,29365,27623,29351,15080,21350.0,700000.0
1999-03-23,30702,31278,27907,27908,26260,20300.0,700000.0
1999-03-24,28884,28884,28884,28870,5180,21000.0,700000.0
1999-03-25,28018,28018,28018,28004,40,20370.0,700000.0
1999-03-26,28013,28884,28013,28870,900,21000.0,700000.0
1999-03-29,27907,27907,27907,27908,20,20300.0,700000.0
1999-03-30,27907,27907,27907,27908,130,20300.0,700000.0
1999-03-31,25983,25983,25983,25983,50,18900.0,700000.0
1999-04-01,25983,25983,25983,25983,5030,18900.0,700000.0
1999-04-02,25990,28884,25990,28870,2010,21000.0,700000.0
1999-04-06,28884,28884,26088,28870,1890,21000.0,700000.0
1999-04-07,28884,28884,28884,28870,0,21000.0,700000.0
1999-04-08,26959,26959,26959,26946,0,19600.0,700000.0
1999-04-09,26967,26967,24072,24059,3620,17500.0,700000.0
1999-04-12,23096,26959,23096,26946,3200,19600.0,700000.0
1999-04-13,26959,26959,24065,26946,3020,19600.0,700000.0
1999-04-14,26952,28877,26952,27908,2870,20300.0,700000.0
1999-04-15,27908,29832,27908,29833,5530,21700.0,700000.0
1999-04-16,28884,29839,28884,28870,8200,21000.0,700000.0
1999-04-19,28006,30801,28006,29833,10410,21700.0,700000.0
1999-04-20,30036,30809,28111,28870,23270,21000.0,700000.0
1999-04-21,28884,28884,28884,28870,0,,
1999-04-22,28006,28006,25407,27908,3490,20300.0,700000.0
1999-04-23,26961,30712,26961,30699,2480,22330.0,700000.0
1999-04-26,28884,28884,28392,28870,5530,21000.0,700000.0
1999-04-27,28884,28884,27915,28870,8930,21000.0,700000.0
1999-04-28,28877,28877,26952,27908,11510,20300.0,700000.0
1999-04-29,27915,27915,26959,26946,1700,19600.0,700000.0
1999-04-30,26953,28878,26026,26561,1860,19320.0,700000.0
1999-05-03,26955,29736,26955,29736,20830,21630.0,700000.0
1999-05-04,32735,33311,31667,33297,7530,24220.0,700000.0
1999-05-06,34650,37290,34158,37291,19510,27125.0,700000.0
1999-05-07,39455,39455,37292,37531,17980,27300.0,700000.0
1999-05-10,33790,37542,33692,37050,9130,26950.0,700000.0
1999-05-11,37431,41477,36575,41477,42020,30170.0,700000.0
1999-05-12,42247,46433,42247,46433,19480,33775.0,700000.0
1999-05-13,51966,51966,51966,51967,5600,37800.0,700000.0
1999-05-14,58139,58139,57746,58126,41440,42280.0,700000.0
1999-05-17,64490,64490,58717,58703,48760,42700.0,700000.0
1999-05-18,55826,55826,51682,53410,13550,38850.0,700000.0
1999-05-19,52939,59766,48220,54372,10040,39550.0,700000.0
1999-05-20,60820,60820,57744,60820,15680,44240.0,700000.0
1999-05-21,61119,61119,53617,58703,10800,42700.0,700000.0
1999-05-24,53793,58035,53793,57741,690,42000.0,700000.0
1999-05-25,58812,62071,58812,62071,22590,45150.0,700000.0
1999-05-26,65341,67363,63515,65439,18210,47600.0,700000.0
1999-05-27,67363,73234,67363,73234,25290,53270.0,700000.0
1999-05-28,81805,81805,73237,76988,10810,56000.0,700000.0
1999-05-31,80751,80751,77001,76988,9270,56000.0,700000.0
1999-06-01,76998,86226,72180,86226,62190,62720.0,700000.0
1999-06-02,85647,86223,75928,81799,28880,59500.0,700000.0
1999-06-03,72179,72179,71983,71983,19350,52360.0,700000.0
1999-06-04,63413,69284,63413,66883,28100,48650.0,700000.0
1999-06-07,73140,74011,67367,73042,10140,53130.0,700000.0
1999-06-08,73060,73060,67469,70251,9410,51100.0,700000.0
1999-06-09,63515,66408,63515,65439,5780,47600.0,700000.0
1999-06-10,67365,73138,67365,73138,18870,53200.0,700000.0
1999-06-11,71319,77963,67568,76025,23280,55300.0,700000.0
1999-06-14,77954,82772,77954,79682,38960,57960.0,700000.0
1999-06-15,74101,75154,70154,70155,17250,51030.0,700000.0
1999-06-16,73133,78527,73133,78527,41000,57120.0,700000.0
1999-06-17,85460,87876,78928,87862,54640,63910.0,700000.0
1999-06-18,90466,90466,79875,85649,12470,62300.0,700000.0
1999-06-21,83723,84594,77080,81799,9760,59500.0,700000.0
1999-06-22,84706,84706,71993,74101,10960,53900.0,700000.0
1999-06-23,76516,76516,66416,70251,10820,51100.0,700000.0
1999-06-24,74107,76031,70258,73138,9270,53200.0,700000.0
1999-06-25,74591,74591,69787,72176,2200,52500.0,700000.0
1999-06-28,69288,71213,65440,69289,239370,50400.0,700000.0
1999-06-29,61021,76038,61021,66402,11810,48300.0,700000.0
1999-06-30,66890,74307,66890,74293,4400,54040.0,700000.0
1999-07-01,74782,83154,74782,80837,16790,58800.0,700000.0
1999-07-02,83722,83722,79874,79875,14000,58100.0,700000.0
1999-07-05,77006,88553,77006,79971,48260,58170.0,700000.0
1999-07-06,80171,81800,79974,80452,7650,58520.0,700000.0
1999-07-07,79881,79881,76032,78912,23440,57400.0,700000.0
1999-07-08,78823,78823,73134,74582,22090,54250.0,700000.0
1999-07-09,74004,83526,74004,81799,25720,59500.0,700000.0
1999-07-12,84692,91321,78048,79875,66360,58100.0,700000.0
1999-07-13,77003,85656,74110,76891,39310,55930.0,700000.0
1999-07-14,77474,78921,73625,77854,28710,56630.0,700000.0
1999-07-15,76515,78833,74211,77372,17260,56280.0,700000.0
1999-07-16,75556,78928,75556,76891,11630,55930.0,700000.0
1999-07-19,77949,77949,75056,77950,22440,56700.0,700000.0
1999-07-20,78330,84201,77951,83724,50730,60900.0,700000.0
1999-07-21,83725,83725,76028,76506,37980,55650.0,700000.0
1999-07-22,76039,76039,73145,74101,30580,53900.0,700000.0
1999-07-23,74108,81426,73138,76988,60010,56000.0,700000.0
1999-07-26,77000,77000,68431,69289,15680,50400.0,700000.0
1999-07-27,63515,69779,63515,67364,13740,49000.0,700000.0
1999-07-28,68340,71136,67371,70251,7000,51100.0,700000.0
1999-07-29,71221,75941,69789,70829,40840,51520.0,700000.0
1999-07-30,70840,70840,62370,68326,23800,49700.0,700000.0
1999-08-02,67557,74004,64481,74004,44170,53830.0,700000.0
1999-08-03,68336,73140,68336,73042,9080,53130.0,700000.0
1999-08-04,69292,76905,69292,76891,24580,55930.0,700000.0
1999-08-05,70831,75831,70831,71983,20460,52360.0,700000.0
1999-08-06,72189,73144,69492,70251,10380,51100.0,700000.0
1999-08-09,67367,71707,67367,68519,16400,49840.0,700000.0
1999-08-10,67364,70257,66408,67364,30300,49000.0,700000.0
1999-08-11,67364,67364,67364,67364,0,49000.0,700000.0
1999-08-12,67364,67364,67364,67364,0,,
1999-08-13,67364,67364,67364,67364,0,,
1999-08-16,64013,64013,59672,60628,29320,44100.0,7000000.0
1999-08-17,60644,60644,53424,53410,8626,38850.0,7000000.0
1999-08-18,47072,47929,47072,47059,895,34230.0,7000000.0
1999-08-19,41474,51011,41474,44172,157687,32130.0,7000000.0
1999-08-20,44176,45145,40032,43305,78079,31500.0,7000000.0
1999-08-23,42349,48502,40425,48502,73796,35280.0,7000000.0
1999-08-24,54276,54276,52941,54276,86703,39480.0,7000000.0
1999-08-25,59670,59670,53896,54276,81821,39480.0,7000000.0
1999-08-26,53894,56788,49077,54372,18124,39550.0,7000000.0
1999-08-27,54469,54469,50045,50523,14942,36750.0,7000000.0
1999-08-30,48128,56599,46681,56586,71726,41160.0,7000000.0
1999-08-31,55827,55827,50053,50138,30785,36470.0,7000000.0
1999-09-01,51969,52938,48120,48598,27165,35350.0,7000000.0
1999-09-02,49086,49086,46304,48117,12733,35000.0,7000000.0
1999-09-03,42352,48126,42352,47059,10980,34230.0,7000000.0
1999-09-06,48119,51012,48020,48021,32999,34930.0,7000000.0
1999-09-07,49076,49076,43303,43402,24133,31570.0,7000000.0
1999-09-08,42350,45229,40425,43305,16449,31500.0,7000000.0
1999-09-09,41870,43302,41378,41477,4307,30170.0,7000000.0
1999-09-10,39661,42358,39661,40996,7322,29820.0,7000000.0
1999-09-13,40039,40432,37538,40418,26288,29400.0,7000000.0
1999-09-14,37528,39453,36573,38301,12166,27860.0,7000000.0
1999-09-15,36575,40423,36575,38879,37556,28280.0,7000000.0
1999-09-16,37531,38879,37531,37531,16330,27300.0,7000000.0
1999-09-17,36579,36579,33208,36088,14349,26250.0,7000000.0
1999-09-20,39461,39461,32437,35992,6657,26180.0,7000000.0
1999-09-21,37062,37062,31766,36473,7104,26530.0,7000000.0
1999-09-22,35617,36390,33116,35126,9923,25550.0,7000000.0
1999-09-27,33692,35617,32821,35126,4028,25550.0,7000000.0
1999-09-28,32737,33214,31290,33201,11971,24150.0,7000000.0
1999-09-29,32730,33685,30805,32239,7499,23450.0,7000000.0
1999-09-30,29839,32733,29839,30795,6878,22400.0,7000000.0
1999-10-01,29839,29839,27142,28870,8035,21000.0,7000000.0
1999-10-04,25516,31768,25516,25502,6667,18550.0,7000000.0
1999-10-05,26954,28485,26954,28485,8715,20720.0,7000000.0
1999-10-06,29640,30216,25215,29640,11228,21560.0,7000000.0
1999-10-07,28877,33104,28877,33105,24275,24080.0,7000000.0
1999-10-08,37064,37064,31767,37050,47748,26950.0,7000000.0
1999-10-11,38499,41477,38499,41477,13904,30170.0,7000000.0
1999-10-12,46399,46399,46202,46385,30067,33740.0,7000000.0
1999-10-13,51870,51870,47151,51870,160522,37730.0,7000000.0
1999-10-14,46304,55830,45728,46193,77837,33600.0,7000000.0
1999-10-15,46199,51677,46199,51678,68011,37590.0,7000000.0
1999-10-18,46298,54670,46298,51004,76138,37100.0,7000000.0
1999-10-19,51601,52950,46684,48117,34280,35000.0,7000000.0
1999-10-20,48131,50055,47653,48117,26307,35000.0,7000000.0
1999-10-21,46396,50048,46396,47155,21893,34300.0,7000000.0
1999-10-22,46204,52750,46204,52736,134607,38360.0,7000000.0
1999-10-25,57545,58991,54862,58992,197100,42910.0,7000000.0
1999-10-26,65440,66016,60637,66017,326554,48020.0,7000000.0
1999-10-27,66019,72663,58813,58799,346805,42770.0,7000000.0
1999-10-28,58808,62362,54370,57067,95550,41510.0,7000000.0
1999-10-29,58716,62565,57747,59377,194873,43190.0,7000000.0
1999-11-01,65436,65928,61110,63611,169927,46270.0,7000000.0
1999-11-02,62558,68331,58710,66787,193390,48580.0,7000000.0
1999-11-03,69285,74776,67360,74004,349692,53830.0,7000000.0
1999-11-04,77004,80657,70262,75544,303843,54950.0,7000000.0
1999-11-05,72375,75549,68330,74004,182796,53830.0,7000000.0
1999-11-08,74585,81805,72661,78912,389691,57400.0,7000000.0
