한화에이스스팩3호(264290),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-05-02,2000,2015,2000,2010,182798,6191.0,3080000.0
2017-05-04,2005,2015,2000,2015,40620,6206.0,3080000.0
2017-05-08,2010,2025,2005,2020,58832,6222.0,3080000.0
2017-05-10,2020,2025,2015,2015,20510,6206.0,3080000.0
2017-05-11,2015,2020,2015,2015,7628,6206.0,3080000.0
2017-05-12,2015,2015,2010,2015,12583,6206.0,3080000.0
2017-05-15,2010,2015,2010,2010,12150,6191.0,3080000.0
2017-05-16,2010,2010,2005,2005,5179,6175.0,3080000.0
2017-05-17,2005,2010,2005,2005,7702,6175.0,3080000.0
2017-05-18,2005,2010,2005,2010,11500,6191.0,3080000.0
2017-05-19,2010,2015,2010,2015,3554,6206.0,3080000.0
2017-05-22,2010,2020,2005,2020,14089,6222.0,3080000.0
2017-05-23,2020,2020,2020,2020,0,6222.0,3080000.0
2017-05-24,2020,2020,2010,2020,2564,6222.0,3080000.0
2017-05-25,2020,2030,2015,2015,6570,6206.0,3080000.0
2017-05-26,2015,2015,2010,2010,3290,6191.0,3080000.0
2017-05-29,2005,2010,2005,2010,123,6191.0,3080000.0
2017-05-30,2020,2020,2010,2010,1923,6191.0,3080000.0
2017-05-31,2015,2015,2010,2010,770,6191.0,3080000.0
2017-06-01,2015,2020,2005,2005,4588,6175.0,3080000.0
2017-06-02,2010,2015,2010,2015,557,6206.0,3080000.0
2017-06-05,2025,2025,2025,2025,1,6237.0,3080000.0
2017-06-07,2025,2025,2005,2005,87,6175.0,3080000.0
2017-06-08,2005,2005,2005,2005,6000,6175.0,3080000.0
2017-06-09,2005,2025,2005,2025,9888,6237.0,3080000.0
2017-06-12,2010,2020,2010,2020,5881,6222.0,3080000.0
2017-06-13,2005,2015,2005,2005,5893,6175.0,3080000.0
2017-06-14,2020,2020,2005,2005,8425,6175.0,3080000.0
2017-06-15,2005,2005,2005,2005,4913,6175.0,3080000.0
2017-06-16,2005,2005,2000,2005,1651,6175.0,3080000.0
2017-06-19,2020,2020,2000,2000,105,6160.0,3080000.0
2017-06-20,2025,2025,2025,2025,1,6237.0,3080000.0
2017-06-21,2015,2025,2015,2015,1058,6206.0,3080000.0
2017-06-22,2015,2025,1995,1995,5196,6145.0,3080000.0
2017-06-23,1995,2030,1995,2030,10253,6252.0,3080000.0
2017-06-26,2015,2030,2015,2030,11643,6252.0,3080000.0
2017-06-27,2035,2050,2020,2050,34997,6314.0,3080000.0
2017-06-28,2040,2080,2040,2050,2561,6314.0,3080000.0
2017-06-29,2035,2090,2035,2075,11119,6391.0,3080000.0
2017-06-30,2090,2440,2080,2290,1666335,7053.0,3080000.0
2017-07-03,2300,2350,2055,2090,476255,6437.0,3080000.0
2017-07-04,2185,2275,2045,2045,293482,6299.0,3080000.0
2017-07-05,2030,2075,2030,2060,128673,6345.0,3080000.0
2017-07-06,2085,2425,2060,2065,1937206,6360.0,3080000.0
2017-07-07,2060,2100,2040,2060,202526,6345.0,3080000.0
2017-07-10,2060,2100,2045,2045,101164,6299.0,3080000.0
2017-07-11,2060,2300,2060,2090,920630,6437.0,3080000.0
2017-07-12,2270,2460,2090,2130,931559,6560.0,3080000.0
2017-07-13,2130,2130,2070,2085,132209,6422.0,3080000.0
2017-07-14,2085,2130,2060,2100,80330,6468.0,3080000.0
2017-07-17,2085,2100,2065,2070,46280,6376.0,3080000.0
2017-07-18,2100,2135,2060,2080,50786,6406.0,3080000.0
2017-07-19,2065,2090,2060,2080,12950,6406.0,3080000.0
2017-07-20,2085,2095,2075,2090,116860,6437.0,3080000.0
2017-07-21,2070,2085,2070,2070,16960,6376.0,3080000.0
2017-07-24,2060,2075,2050,2070,18819,6376.0,3080000.0
2017-07-25,2050,2065,2045,2065,24984,6360.0,3080000.0
2017-07-26,2060,2080,2060,2065,24689,6360.0,3080000.0
2017-07-27,2055,2075,2055,2070,24822,6376.0,3080000.0
2017-07-28,2055,2065,2055,2060,8393,6345.0,3080000.0
2017-07-31,2055,2110,2055,2060,14458,6345.0,3080000.0
2017-08-01,2060,2090,2060,2080,3211,6406.0,3080000.0
2017-08-02,2070,2095,2070,2090,8012,6437.0,3080000.0
2017-08-03,2075,2135,2070,2080,6043,6406.0,3080000.0
2017-08-04,2060,2100,2060,2100,6472,6468.0,3080000.0
2017-08-07,2060,2100,2060,2075,1165,6391.0,3080000.0
2017-08-08,2065,2090,2060,2090,5415,6437.0,3080000.0
2017-08-09,2060,2140,2060,2080,1352,6406.0,3080000.0
2017-08-10,2065,2130,2065,2085,8186,6422.0,3080000.0
2017-08-11,2065,2065,2055,2060,7995,6345.0,3080000.0
2017-08-14,2055,2100,2055,2060,4721,6345.0,3080000.0
2017-08-16,2055,2100,2055,2075,4813,6391.0,3080000.0
2017-08-17,2070,2095,2070,2095,110,6453.0,3080000.0
2017-08-18,2105,2105,2065,2095,2411,6453.0,3080000.0
2017-08-21,2095,2095,2065,2095,24,6453.0,3080000.0
2017-08-22,2055,2120,2055,2105,1587,6483.0,3080000.0
2017-08-23,2060,2100,2060,2100,2449,6468.0,3080000.0
2017-08-24,2095,2095,2080,2085,8187,6422.0,3080000.0
2017-08-25,2100,2165,2095,2100,3817,6468.0,3080000.0
2017-08-28,2110,2135,2100,2105,5895,6483.0,3080000.0
2017-08-29,2080,2125,2080,2100,10121,6468.0,3080000.0
2017-08-30,2100,2100,2100,2100,11545,6468.0,3080000.0
2017-08-31,2160,2160,2060,2125,315,6545.0,3080000.0
2017-09-01,2150,2150,2100,2105,5859,6483.0,3080000.0
2017-09-04,2070,2145,2070,2100,110,6468.0,3080000.0
2017-09-05,2095,2130,2090,2110,9174,6499.0,3080000.0
2017-09-06,2090,2120,2090,2105,1582,6483.0,3080000.0
2017-09-07,2140,2140,2100,2100,11237,6468.0,3080000.0
2017-09-08,2100,2130,2100,2105,12860,6483.0,3080000.0
2017-09-11,2140,2140,2105,2105,220,6483.0,3080000.0
2017-09-12,2140,2140,2095,2125,2355,6545.0,3080000.0
2017-09-13,2085,2115,2085,2115,3519,6514.0,3080000.0
2017-09-14,2085,2120,2080,2090,3037,6437.0,3080000.0
2017-09-15,2130,2130,2105,2130,1628,6560.0,3080000.0
2017-09-18,2130,2155,2130,2130,6289,6560.0,3080000.0
2017-09-19,2170,2170,2095,2120,5591,6530.0,3080000.0
2017-09-20,2130,2130,2095,2125,503,6545.0,3080000.0
2017-09-21,2150,2150,2095,2095,6394,6453.0,3080000.0
2017-09-22,2085,2095,2080,2095,7697,6453.0,3080000.0
