리켐(131100),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2011-06-14,46841,53788,46841,53796,1314950,89243.0,4270000.0
2011-06-15,54437,57784,47486,51479,3339762,85400.0,4270000.0
2011-06-16,53535,59196,53400,59201,1619153,98210.0,4270000.0
2011-06-17,62927,67432,56878,60486,2521340,100345.0,4270000.0
2011-06-20,61770,62538,55333,55339,809103,91805.0,4270000.0
2011-06-21,55332,57134,51602,53152,623412,88176.0,4270000.0
2011-06-22,53274,55076,50315,50577,471934,113970.0,5800000.0
2011-06-23,49801,53276,47486,51350,701594,115710.0,5800000.0
2011-06-24,50703,51730,49028,49933,238727,112520.0,5800000.0
2011-06-27,49282,49926,46197,46459,265960,104690.0,5800000.0
2011-06-28,46842,47098,41564,43114,595755,97150.0,5800000.0
2011-06-29,43235,44137,41947,42340,377683,95410.0,5800000.0
2011-06-30,42593,44140,41567,43243,361130,97440.0,5800000.0
2011-07-01,44266,48385,43234,45301,932178,102080.0,5800000.0
2011-07-04,45941,49414,45424,47490,702612,107010.0,5800000.0
2011-07-05,47226,47485,44912,46329,309386,104400.0,5800000.0
2011-07-06,45809,48770,45553,46847,281583,105560.0,5800000.0
2011-07-07,47099,49031,46711,48775,281056,109910.0,5800000.0
2011-07-08,48900,49027,45037,45559,313505,102660.0,5800000.0
2011-07-11,45424,45424,43749,45171,161764,101790.0,5800000.0
2011-07-12,43878,47224,43748,45815,204479,103240.0,5800000.0
2011-07-13,45811,49416,45299,47746,337089,107590.0,5800000.0
2011-07-14,47484,50059,45425,49933,272976,112520.0,5800000.0
2011-07-15,50706,52506,48772,50192,292653,113100.0,5800000.0
2011-07-18,50186,51862,50186,50836,160422,114550.0,5800000.0
2011-07-19,50956,53020,50186,52123,317581,117450.0,5800000.0
2011-07-20,52632,52761,51474,52123,158292,117450.0,5800000.0
2011-07-21,52759,52891,50705,51994,158481,117160.0,5800000.0
2011-07-22,52116,52631,49028,49034,122292,110490.0,5800000.0
2011-07-25,49157,49799,47613,49289,163110,111070.0,5800000.0
2011-07-26,49287,49419,47226,48131,197131,108460.0,5800000.0
2011-07-27,48772,55336,48643,55210,370898,124410.0,5800000.0
2011-07-28,54046,55851,53019,55339,231685,124700.0,5800000.0
2011-07-29,55334,55460,53019,53925,148629,121510.0,5800000.0
2011-08-01,55853,58038,54182,56241,303915,126730.0,5800000.0
2011-08-02,55336,56107,52116,54824,153883,123540.0,5800000.0
2011-08-03,53534,54046,51344,52637,212588,118610.0,5800000.0
2011-08-04,53277,53277,48642,50063,173325,112810.0,5800000.0
2011-08-05,45166,46968,42590,44657,252536,100630.0,5800000.0
2011-08-08,42722,43749,37961,37966,385819,85550.0,5800000.0
2011-08-09,33588,37961,32300,36808,281511,82940.0,5800000.0
2011-08-10,38608,42211,36803,42211,351482,95120.0,5800000.0
2011-08-11,39116,42592,38350,41441,304601,93380.0,5800000.0
2011-08-12,43367,44782,40535,41697,265497,93960.0,5800000.0
2011-08-16,43367,43752,42081,42470,133411,95700.0,5800000.0
2011-08-17,43108,44396,42720,43499,159002,98020.0,5800000.0
2011-08-18,43367,45299,40664,41697,356286,93960.0,5800000.0
2011-08-19,39118,39118,35515,35521,209012,80040.0,5800000.0
2011-08-22,34743,36413,32428,33460,119795,75400.0,5800000.0
2011-08-23,34742,36418,34227,36035,91305,81200.0,5800000.0
2011-08-24,36930,37062,34228,34233,112735,77140.0,5800000.0
2011-08-25,35389,35904,33201,33590,74722,75690.0,5800000.0
2011-08-26,33198,38471,33198,35391,304157,79750.0,5800000.0
2011-08-29,36030,36418,35132,35521,163225,80040.0,5800000.0
2011-08-30,36159,38349,35776,36808,237945,82940.0,5800000.0
2011-08-31,36929,37705,36156,36935,116214,83230.0,5800000.0
2011-09-01,37444,37830,35900,36035,136364,81200.0,5800000.0
2011-09-02,35389,36286,34745,35521,131581,80040.0,5800000.0
2011-09-05,37189,37832,35645,35650,410120,80330.0,5800000.0
2011-09-06,35130,35513,33972,34748,129558,78300.0,5800000.0
2011-09-07,35386,36930,35259,36035,163243,81200.0,5800000.0
2011-09-08,36544,36929,34871,36935,157638,83230.0,5800000.0
2011-09-09,37575,39761,37446,39125,448977,88160.0,5800000.0
2011-09-14,38859,38859,35513,36035,246851,81200.0,5800000.0
2011-09-15,36930,38218,33586,36035,249037,81200.0,5800000.0
2011-09-16,36156,37061,35900,36679,131430,82650.0,5800000.0
2011-09-19,36288,36803,34745,35262,116493,79460.0,5800000.0
2011-09-20,34489,35389,34230,35006,109707,78880.0,5800000.0
2011-09-21,35259,36929,35129,36935,133043,83230.0,5800000.0
2011-09-22,36031,39246,35775,38737,530036,87290.0,5800000.0
2011-09-23,36671,37703,35518,35906,206163,80910.0,5800000.0
2011-09-26,37574,38218,33586,34492,452905,77720.0,5800000.0
2011-09-27,35776,36671,35261,36550,194188,82360.0,5800000.0
2011-09-28,37318,38349,35642,36035,236119,81200.0,5800000.0
2011-09-29,35132,36547,34227,36165,199635,81490.0,5800000.0
2011-09-30,36285,37185,35515,37064,141004,83520.0,5800000.0
2011-10-04,34357,35133,33713,34233,159907,77140.0,5800000.0
2011-10-05,35131,35517,30883,30888,181533,69600.0,5800000.0
2011-10-06,32040,34228,31911,33460,133503,75400.0,5800000.0
2011-10-07,34228,35130,33842,34492,102419,77720.0,5800000.0
2011-10-10,34488,35132,33971,35133,75926,79170.0,5800000.0
2011-10-11,36157,36157,34099,34104,123252,76850.0,5800000.0
2011-10-12,33970,39117,33712,38995,275711,87870.0,5800000.0
2011-10-13,38604,42856,38221,40412,626400,91060.0,5800000.0
2011-10-14,40664,42467,38988,42340,300982,95410.0,5800000.0
2011-10-17,43750,43750,41823,42340,256185,95410.0,5800000.0
2011-10-18,40920,43623,40537,43114,277263,97150.0,5800000.0
2011-10-19,43881,47998,43881,44530,586828,100340.0,5800000.0
2011-10-20,44526,45170,40023,40024,293236,90190.0,5800000.0
2011-10-21,41949,45941,40792,45944,625393,103530.0,5800000.0
2011-10-24,47099,49802,46199,47875,613268,107880.0,5800000.0
2011-10-25,48256,48512,44780,45815,373960,103240.0,5800000.0
2011-10-26,45297,47482,44780,47102,201923,106140.0,5800000.0
2011-10-27,47614,47871,44656,46074,252504,103820.0,5800000.0
2011-10-28,46454,46454,41949,45688,305247,102950.0,5800000.0
2011-10-31,45300,45939,44013,44530,252152,100340.0,5800000.0
2011-11-01,43751,45941,43107,45301,244888,102080.0,5800000.0
2011-11-02,43105,45037,42466,44272,326659,99760.0,5800000.0
2011-11-03,44264,44264,41567,41955,200655,94540.0,5800000.0
2011-11-04,42466,44910,42207,44915,230847,101210.0,5800000.0
2011-11-07,45299,47870,44655,47875,551283,107880.0,5800000.0
2011-11-08,48258,48773,46067,46973,427034,105850.0,5800000.0
2011-11-09,47872,48643,47355,48261,712889,108750.0,5800000.0
2011-11-10,46327,46586,43234,44013,411281,99180.0,5800000.0
2011-11-11,45166,45683,42978,45045,359957,101500.0,5800000.0
2011-11-14,46068,47227,45300,46074,255380,103820.0,5800000.0
2011-11-15,45427,45810,43234,44013,214733,99180.0,5800000.0
2011-11-16,44267,44911,41564,41697,253382,93960.0,5800000.0
2011-11-17,42591,44266,41564,44272,135263,99760.0,5800000.0
2011-11-18,42723,43493,42591,42984,82599,96860.0,5800000.0
2011-11-21,42591,43106,41823,42340,80083,95410.0,5800000.0
2011-11-22,41179,43367,41047,42340,83954,95410.0,5800000.0
2011-11-23,42336,43880,40665,40797,214471,91930.0,5800000.0
2011-11-24,40403,42335,40147,42085,138341,94830.0,5800000.0
2011-11-25,42336,42724,38863,39768,170109,89610.0,5800000.0
2011-11-28,40277,41179,39633,41053,100629,92510.0,5800000.0
2011-11-29,41306,41826,40921,41182,91488,92800.0,5800000.0
2011-11-30,41179,44137,40403,43628,362270,98310.0,5800000.0
2011-12-01,44522,44781,43234,44272,285753,99760.0,5800000.0
