엔지스테크널러지(208860),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-07-28,6335,8236,6319,8237,564018,77241.0,3127180.0
2016-07-29,8586,10487,7169,8887,3949532,83339.0,3127180.0
2016-08-01,9253,10237,8503,8503,1192305,79743.0,3127180.0
2016-08-02,8770,9403,8170,8637,573474,80994.0,3127180.0
2016-08-03,8386,11204,8220,10304,2373913,96630.0,3127180.0
2016-08-04,10237,11988,10037,10688,1757638,100226.0,3127180.0
2016-08-05,11337,11704,10237,10804,557191,101321.0,3127180.0
2016-08-08,10704,11037,10170,10171,285949,95379.0,3127180.0
2016-08-09,10337,11654,10337,11155,680095,104604.0,3127180.0
2016-08-10,10887,11554,10704,10704,323100,100382.0,3127180.0
2016-08-11,10354,10570,10037,10121,204072,94910.0,3127180.0
2016-08-12,9970,11287,9320,9937,523446,93190.0,3127180.0
2016-08-16,9970,11004,9854,10504,366725,98506.0,3127180.0
2016-08-17,10504,11271,10420,10621,231162,99601.0,3127180.0
2016-08-18,10654,10937,10004,10204,149277,95692.0,3127180.0
2016-08-19,10187,10337,9820,9837,73727,92252.0,3127180.0
2016-08-22,9720,10337,9470,9554,83778,89594.0,3127180.0
2016-08-23,9703,10187,9587,9821,107429,92095.0,3127180.0
2016-08-24,9987,9987,9503,9504,39817,89125.0,3127180.0
2016-08-25,9670,10254,9553,10071,110189,94441.0,3127180.0
2016-08-26,10220,10754,9854,9854,136772,92408.0,3127180.0
2016-08-29,9837,9954,9003,9004,111790,84434.0,3127180.0
2016-08-30,9253,9603,8836,8970,81675,84121.0,3127180.0
2016-08-31,9037,9137,8336,8553,214376,80212.0,3127180.0
2016-09-01,8436,8803,8320,8403,75704,78805.0,3127180.0
2016-09-02,8403,8503,7436,7636,200408,71612.0,3127180.0
2016-09-05,7586,7869,7386,7837,139634,73489.0,3127180.0
2016-09-06,7836,8119,7703,7853,89775,73645.0,3127180.0
2016-09-07,7936,8236,7636,7703,71336,72238.0,3127180.0
2016-09-08,7703,7819,7169,7520,98792,70518.0,3127180.0
2016-09-09,7569,7653,6836,7286,73090,68329.0,3127180.0
2016-09-12,7102,7119,6736,6769,54449,63482.0,3127180.0
2016-09-13,6936,7336,6886,7153,47835,67078.0,3127180.0
2016-09-19,7036,7286,7002,7086,18147,66453.0,3127180.0
2016-09-20,7086,7569,7086,7553,67412,70831.0,3127180.0
2016-09-21,7536,8236,7386,7603,153343,71300.0,3127180.0
2016-09-22,7686,7986,7586,7620,49288,71456.0,3127180.0
2016-09-23,7603,7786,7553,7570,19141,70987.0,3127180.0
2016-09-26,7486,7803,7269,7570,18704,70987.0,3127180.0
2016-09-27,7453,7636,7269,7370,32233,69111.0,3127180.0
2016-09-28,7119,7252,7002,7103,71459,66609.0,3127180.0
2016-09-29,7169,7169,6752,6869,44273,64420.0,3127180.0
2016-09-30,6769,6952,6335,6669,112680,62544.0,3127180.0
2016-10-04,6569,6852,6419,6786,40598,63638.0,3127180.0
2016-10-05,6702,7503,6702,7253,89469,68016.0,3127180.0
2016-10-06,7319,7719,7169,7553,95341,70831.0,3127180.0
2016-10-07,7553,7619,7102,7103,53791,66609.0,3127180.0
2016-10-10,7036,7186,6902,6953,16497,65202.0,3127180.0
2016-10-11,6919,7052,6686,6686,31752,62700.0,3127180.0
2016-10-12,6669,6836,6536,6819,31289,63951.0,3127180.0
2016-10-13,6819,6902,6586,6586,19122,61762.0,3127180.0
2016-10-14,6619,7703,6602,7020,177824,65827.0,3127180.0
2016-10-17,6886,7169,6619,7170,78886,67234.0,3127180.0
2016-10-18,7336,7536,7102,7303,74285,68485.0,3127180.0
2016-10-19,7419,7553,7202,7453,53355,69892.0,3127180.0
2016-10-20,7586,7586,7302,7470,38237,70049.0,3127180.0
2016-10-21,7503,7553,7236,7320,23414,68642.0,3127180.0
2016-10-24,7336,7436,7086,7220,47139,67703.0,3127180.0
2016-10-25,7252,7803,7236,7736,295008,72551.0,3127180.0
2016-10-26,7836,8170,7453,7870,256911,73801.0,3127180.0
2016-10-27,7969,8003,7653,8003,78704,75052.0,3127180.0
2016-10-28,7986,8036,7386,7553,106928,70831.0,3127180.0
2016-10-31,7553,7553,6936,6936,68047,65045.0,3127180.0
2016-11-01,6619,6869,6536,6603,79228,61918.0,3127180.0
2016-11-02,6536,6702,5902,6586,104853,61762.0,3127180.0
