AP위성(211270),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-03-04,12400,12900,10650,10750,5691206,140801.0,13097740.0
2016-03-07,10900,11250,10600,10750,1465249,140801.0,13097740.0
2016-03-08,10850,10850,10150,10300,959606,134907.0,13097740.0
2016-03-09,10400,10550,10300,10450,666997,136871.0,13097740.0
2016-03-10,10650,11450,10550,10800,2691142,141456.0,13097740.0
2016-03-11,11000,11150,10500,11050,999372,144730.0,13097740.0
2016-03-14,11000,11050,10700,10750,575027,140801.0,13097740.0
2016-03-15,10700,10700,10200,10300,515752,134907.0,13097740.0
2016-03-16,10350,10500,10200,10400,334962,136216.0,13097740.0
2016-03-17,10500,10500,10100,10150,406453,132942.0,13097740.0
2016-03-18,10300,10350,10100,10200,421687,133597.0,13097740.0
2016-03-21,10200,10350,9940,10150,538656,132942.0,13097740.0
2016-03-22,10200,10200,9950,9970,263966,130584.0,13097740.0
2016-03-23,9990,10150,9950,9950,278071,130323.0,13097740.0
2016-03-24,9910,9970,9700,9740,359585,127572.0,13097740.0
2016-03-25,9760,9800,9500,9610,347411,125869.0,13097740.0
2016-03-28,9630,9860,9520,9520,214603,124690.0,13097740.0
2016-03-29,9540,9580,9400,9440,242807,123643.0,13097740.0
2016-03-30,9500,9630,9410,9500,237601,124429.0,13097740.0
2016-03-31,9510,9970,9430,9700,425017,127048.0,13097740.0
2016-04-01,9900,9980,9590,9600,241865,125738.0,13097740.0
2016-04-04,9720,9720,9510,9600,103906,125738.0,13097740.0
2016-04-05,9600,9650,9400,9400,183071,123119.0,13097740.0
2016-04-06,9410,9460,9080,9160,290325,119975.0,13097740.0
2016-04-07,9200,9230,8990,9000,247345,117880.0,13097740.0
2016-04-08,9060,9160,8880,9080,261423,118927.0,13097740.0
2016-04-11,9100,9230,9050,9070,129518,118797.0,13097740.0
2016-04-12,9110,9210,9000,9190,144914,120368.0,13097740.0
2016-04-14,9240,9300,9060,9100,134012,119189.0,13097740.0
2016-04-15,9090,9720,9050,9390,567580,122988.0,13097740.0
2016-04-18,9620,9900,9570,9640,502327,126262.0,13097740.0
2016-04-19,9640,9730,9490,9510,156453,124560.0,13097740.0
2016-04-20,9550,9550,9330,9460,159768,123905.0,13097740.0
2016-04-21,9460,9510,9270,9270,178016,121416.0,13097740.0
2016-04-22,9300,9390,9150,9390,140019,122988.0,13097740.0
2016-04-25,9350,9470,9300,9440,92797,123643.0,13097740.0
2016-04-26,9420,9450,9240,9240,113958,121023.0,13097740.0
2016-04-27,9240,9430,9240,9290,120199,121678.0,13097740.0
2016-04-28,9320,9340,9240,9250,63598,121154.0,13097740.0
2016-04-29,9290,9340,9140,9170,70202,120106.0,13097740.0
2016-05-02,9270,9270,9050,9050,79554,118535.0,13097740.0
2016-05-03,9100,9130,9000,9100,84389,119189.0,13097740.0
2016-05-04,9090,9160,9020,9090,78266,119058.0,13097740.0
2016-05-09,9080,9130,8940,9010,57225,118011.0,13097740.0
2016-05-10,9010,9070,8980,9010,61229,118011.0,13097740.0
2016-05-11,9090,9090,8940,8980,68775,117618.0,13097740.0
2016-05-12,8910,9190,8910,9020,130752,118142.0,13097740.0
2016-05-13,9020,9090,8910,8950,76397,117225.0,13097740.0
2016-05-16,8630,8630,8210,8210,459096,107532.0,13097740.0
