비피도(238200),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-12-26,36000,37050,26700,36500,3025901,149285.0,4090000.0
2018-12-27,36350,38950,31300,31300,1385880,128017.0,4090000.0
2018-12-28,31300,33000,29500,29650,1099929,121268.0,4090000.0
2019-01-02,29750,33500,28900,30200,1047401,123518.0,4090000.0
2019-01-03,33100,33900,30000,30100,737825,123109.0,4090000.0
2019-01-04,29550,29750,27850,28350,316084,115952.0,4090000.0
2019-01-07,28400,28700,27550,28150,194077,115134.0,4090000.0
2019-01-08,28150,30750,28000,29150,492349,119224.0,4090000.0
2019-01-09,29300,29950,29050,29450,182064,120450.0,4090000.0
2019-01-10,31150,31350,28850,28850,301787,117996.0,4090000.0
2019-01-11,28600,28850,28200,28200,84378,115338.0,4090000.0
2019-01-14,27800,28050,26900,27100,119599,110839.0,4090000.0
2019-01-15,27350,27650,26900,27200,64120,111248.0,4090000.0
2019-01-16,27200,27250,25000,25500,165918,104295.0,4090000.0
2019-01-17,25350,25500,24000,24000,121841,98160.0,4090000.0
2019-01-18,24250,24600,23350,24050,74907,98364.0,4090000.0
2019-01-21,24050,24400,23650,24250,45554,99182.0,4090000.0
2019-01-22,24750,25300,24300,24400,55018,99796.0,4090000.0
2019-01-23,24250,24300,23750,24000,35473,98160.0,4090000.0
2019-01-24,24000,24000,23250,23600,40094,96524.0,4090000.0
2019-01-25,23800,24250,23450,23900,35618,97751.0,4090000.0
2019-01-28,24200,26550,24000,25800,188113,105522.0,4090000.0
2019-01-29,25800,25850,24600,24600,62982,100614.0,4090000.0
2019-01-30,25050,25250,24300,24400,46183,99796.0,4090000.0
2019-01-31,24700,25600,24100,25600,40206,104704.0,4090000.0
2019-02-01,25800,26300,25000,25600,85743,104704.0,4090000.0
2019-02-07,25600,26050,25200,25550,23263,104500.0,4090000.0
2019-02-08,25000,25450,24700,24700,38461,101023.0,4090000.0
2019-02-11,25000,26450,24800,26250,98227,107362.0,4090000.0
2019-02-12,26450,27100,25750,26000,58977,106340.0,4090000.0
2019-02-13,26150,26600,25650,26600,37759,108794.0,4090000.0
2019-02-14,26400,26800,25800,26100,34238,106749.0,4090000.0
2019-02-15,26100,26350,25500,25550,22924,104500.0,4090000.0
2019-02-18,25550,25850,25300,25350,37062,103682.0,4090000.0
2019-02-19,25700,26100,25500,25900,26519,105931.0,4090000.0
2019-02-20,26400,26400,25400,26000,27937,106340.0,4090000.0
2019-02-21,26150,27750,25400,27300,123445,111657.0,4090000.0
2019-02-22,27000,27500,26750,27050,69875,110634.0,4090000.0
2019-02-25,27700,28650,27550,28500,143862,116565.0,4090000.0
2019-02-26,28800,29450,28000,29300,104320,119837.0,4090000.0
2019-02-27,29500,29550,28850,29100,60866,119019.0,4090000.0
2019-02-28,28750,29600,27600,28100,71672,114929.0,4090000.0
2019-03-04,28950,29500,28500,28950,42341,118406.0,4090000.0
2019-03-05,29200,30500,28600,30350,120477,124132.0,4090000.0
2019-03-06,30350,30450,29000,29000,44031,118610.0,4090000.0
2019-03-07,28700,29800,28050,29050,40000,118814.0,4090000.0
2019-03-08,28850,30700,28850,30500,106734,124745.0,4090000.0
2019-03-11,30500,32450,30100,31900,127871,130471.0,4090000.0
2019-03-12,32650,32900,30800,31600,111650,129244.0,4090000.0
2019-03-13,31800,35000,31400,33750,240530,138038.0,4090000.0
2019-03-14,33800,34750,33400,34000,74213,139060.0,4090000.0
2019-03-15,34900,41000,34200,37500,1049794,153375.0,4090000.0
2019-03-18,37400,46100,37400,43600,1091100,178324.0,4090000.0
2019-03-19,43750,45150,42350,43600,371006,178324.0,4090000.0
2019-03-20,44750,44800,40300,42000,407669,171780.0,4090000.0
2019-03-21,42000,42850,40350,42500,217124,173825.0,4090000.0
2019-03-22,42100,42400,40200,40300,161880,164827.0,4090000.0
2019-03-25,39100,40700,38650,39300,209298,160737.0,4090000.0
2019-03-26,39850,41300,39050,40900,202316,167281.0,4090000.0
2019-03-27,41800,43750,39100,39400,316496,161146.0,4090000.0
2019-03-28,39350,39800,37100,37700,106170,154193.0,4090000.0
2019-03-29,37400,38350,36500,37600,116233,153784.0,4090000.0
2019-04-01,38000,40600,38000,39500,120589,161555.0,4090000.0
2019-04-02,39550,39800,38150,38350,70087,156852.0,4090000.0
2019-04-03,38350,38650,37700,37900,53103,155011.0,4090000.0
2019-04-04,38300,39250,37950,38500,73174,157465.0,4090000.0
2019-04-05,38800,38850,35850,35950,122414,147036.0,4090000.0
2019-04-08,35650,37350,34550,37300,141422,152557.0,4090000.0
2019-04-09,37300,37800,36150,36600,45922,149694.0,4090000.0
2019-04-10,36600,38450,36200,38050,85842,155624.0,4090000.0
2019-04-11,38500,38900,38050,38750,76085,158488.0,4090000.0
2019-04-12,38750,38800,38000,38300,48240,156647.0,4090000.0
2019-04-15,38550,38600,36550,37000,73624,151330.0,4090000.0
2019-04-16,37000,37400,35650,36900,64493,150921.0,4090000.0
2019-04-17,36900,39250,36900,37500,149998,153375.0,4090000.0
2019-04-18,37350,37500,35600,35600,173280,145604.0,4090000.0
2019-04-19,35900,36400,35400,35400,50379,144786.0,4090000.0
2019-04-22,35200,36100,35100,35250,27744,144172.0,4090000.0
2019-04-23,35150,36700,34900,36700,60556,150103.0,4090000.0
2019-04-24,36700,37150,35800,35850,52076,146626.0,4090000.0
2019-04-25,35900,36100,34900,34950,26396,142946.0,4090000.0
2019-04-26,34400,35100,33300,33950,62725,138856.0,4090000.0
2019-04-29,33950,34600,33800,34100,19934,139469.0,4090000.0
2019-04-30,34150,35400,33950,34700,30027,141923.0,4090000.0
2019-05-02,34700,35550,34550,35350,28148,144582.0,4090000.0
2019-05-03,35500,35500,34350,34650,33563,141718.0,4090000.0
2019-05-07,33950,35150,33700,34250,18586,140082.0,4090000.0
2019-05-08,34650,36300,34300,35150,102610,143764.0,4090000.0
2019-05-09,35400,35600,32700,33700,60600,137833.0,4090000.0
2019-05-10,33450,33900,31650,32200,43624,131698.0,4090000.0
