클래시스(214150),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-04-03,4300,4360,4280,4340,1260743,11935.0,5500000.0
2015-04-06,4340,4390,4340,4370,223102,12018.0,5500000.0
2015-04-07,4380,4400,4340,4400,130265,12100.0,5500000.0
2015-04-08,4400,4400,4370,4390,113251,12072.0,5500000.0
2015-04-09,4390,4400,4380,4400,39072,12100.0,5500000.0
2015-04-10,4400,4440,4380,4440,60475,12210.0,5500000.0
2015-04-13,4450,4450,4380,4420,118871,12155.0,5500000.0
2015-04-14,4420,4420,4400,4410,8458,12128.0,5500000.0
2015-04-15,4420,4500,4410,4480,27178,12320.0,5500000.0
2015-04-16,4490,4490,4410,4470,51844,12292.0,5500000.0
2015-04-17,4470,4480,4460,4470,8587,12292.0,5500000.0
2015-04-20,4490,4510,4490,4510,9983,12402.0,5500000.0
2015-04-21,4540,4600,4540,4580,27078,12595.0,5500000.0
2015-04-22,4630,4630,4550,4550,26413,12512.0,5500000.0
2015-04-23,4540,4570,4540,4550,17058,12512.0,5500000.0
2015-04-24,4580,4580,4400,4520,85819,12430.0,5500000.0
2015-04-27,4500,4510,4480,4510,23425,12402.0,5500000.0
2015-04-28,4480,4520,4480,4520,12231,12430.0,5500000.0
2015-04-29,4540,4540,4500,4520,35138,12430.0,5500000.0
2015-04-30,4470,4540,4470,4540,10216,12485.0,5500000.0
2015-05-04,4500,4530,4480,4530,13726,12458.0,5500000.0
2015-05-06,4520,4530,4500,4530,22844,12458.0,5500000.0
2015-05-07,4480,4500,4420,4500,10880,12375.0,5500000.0
2015-05-08,4460,4480,4440,4460,9136,12265.0,5500000.0
2015-05-11,4460,4460,4440,4460,6265,12265.0,5500000.0
2015-05-12,4440,4450,4400,4450,61611,12238.0,5500000.0
2015-05-13,4450,4480,4440,4470,20071,12292.0,5500000.0
2015-05-14,4480,4500,4480,4500,6326,12375.0,5500000.0
2015-05-15,4480,4560,4480,4560,8013,12540.0,5500000.0
2015-05-18,4510,4550,4510,4550,6606,12512.0,5500000.0
2015-05-19,4550,4560,4470,4560,71283,12540.0,5500000.0
2015-05-20,4510,4540,4500,4520,24535,12430.0,5500000.0
2015-05-21,4490,4520,4440,4500,73343,12375.0,5500000.0
2015-05-22,4480,4580,4470,4500,18984,12375.0,5500000.0
2015-05-26,4500,4500,4440,4450,31815,12238.0,5500000.0
2015-05-27,4450,4470,4420,4450,22027,12238.0,5500000.0
2015-05-28,4440,4470,4440,4460,7896,12265.0,5500000.0
2015-05-29,4500,4500,4460,4470,16887,12292.0,5500000.0
2015-06-01,4460,4500,4460,4480,16475,12320.0,5500000.0
2015-06-02,4470,4490,4460,4480,9171,12320.0,5500000.0
