디엔에이링크(127120),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2011-12-26,15400,17700,15400,17700,220738,72852.0,4115930.0
2011-12-27,17700,19300,16750,17850,2359670,73469.0,4115930.0
2011-12-28,17650,18950,16500,16950,588567,69765.0,4115930.0
2011-12-29,16950,17150,16000,16400,182926,67501.0,4115930.0
2012-01-02,16400,17400,16350,16850,249077,69353.0,4115930.0
2012-01-03,17350,18750,17300,17650,772408,72646.0,4115930.0
2012-01-04,18000,19000,17250,18300,475121,75322.0,4115930.0
2012-01-05,18300,21000,17950,20450,1173112,84171.0,4115930.0
2012-01-06,20200,22300,19700,21200,575798,87258.0,4115930.0
2012-01-09,20900,21400,20050,21150,187218,87052.0,4115930.0
2012-01-10,21350,21800,20700,21000,182484,86435.0,4115930.0
2012-01-11,21150,21450,20050,20050,165061,82524.0,4115930.0
2012-01-12,20600,20600,19400,19500,195460,80261.0,4115930.0
2012-01-13,19800,22150,19750,21800,537774,89727.0,4115930.0
2012-01-16,21600,22550,20800,22250,285252,91579.0,4115930.0
2012-01-17,22500,23050,21400,21850,250289,89933.0,4115930.0
2012-01-18,21600,22050,20350,20400,228358,83965.0,4115930.0
2012-01-19,20650,20650,19500,20350,230829,83759.0,4115930.0
2012-01-20,20450,20450,19100,19400,139143,92446.0,4765276.0
2012-01-25,19200,19900,18850,19100,115763,91092.0,4769194.0
2012-01-26,18900,19450,18500,19250,221936,91807.0,4769194.0
2012-01-27,19700,20400,19150,19550,316475,93238.0,4769194.0
2012-01-30,19200,19400,18150,18150,209890,86561.0,4769194.0
2012-01-31,18000,18350,17450,18100,180294,86322.0,4769194.0
2012-02-01,18100,19000,17800,19000,109270,90615.0,4769194.0
2012-02-02,19200,19400,18600,18700,73448,89184.0,4769194.0
2012-02-03,18950,18950,18050,18250,66758,87038.0,4769194.0
2012-02-06,18650,18700,17650,17850,55892,85130.0,4769194.0
2012-02-07,17650,17950,17150,17500,100559,83461.0,4769194.0
2012-02-08,17600,17900,17400,17450,83025,83222.0,4769194.0
2012-02-09,17450,17650,16750,16900,79881,80599.0,4769194.0
2012-02-10,16800,17800,16800,17550,85626,83699.0,4769194.0
2012-02-13,17450,18300,17450,18100,94077,86322.0,4769194.0
2012-02-14,18100,18150,16900,16900,239497,80599.0,4769194.0
2012-02-15,16600,16850,15850,16350,321827,77976.0,4769194.0
2012-02-16,16400,16700,16050,16150,90764,77022.0,4769194.0
2012-02-17,16700,17500,16500,17000,356196,81076.0,4769194.0
2012-02-20,17200,17250,16450,16850,91241,80361.0,4769194.0
2012-02-21,16800,17000,15900,16550,95789,78930.0,4769194.0
2012-02-22,16300,16550,16150,16250,51866,77499.0,4769194.0
2012-02-23,16700,16850,16100,16100,95112,76784.0,4769194.0
2012-02-24,16100,16250,14900,15100,246513,72015.0,4769194.0
2012-02-27,14800,15100,13800,14000,311485,66769.0,4769194.0
2012-02-28,14100,14150,12750,13250,430606,63192.0,4769194.0
2012-02-29,13350,14200,13100,13850,336233,66053.0,4769194.0
2012-03-02,13800,14500,13550,14350,138295,68438.0,4769194.0
2012-03-05,14400,14550,14000,14250,92412,67961.0,4769194.0
2012-03-06,14100,14300,13300,13900,99147,66292.0,4769194.0
2012-03-07,13750,13850,13450,13500,53829,64384.0,4769194.0
2012-03-08,13500,14050,13400,13600,211123,64861.0,4769194.0
2012-03-09,13650,13900,13450,13650,81356,65099.0,4769194.0
2012-03-12,13700,14800,13400,14800,203180,70584.0,4769194.0
2012-03-13,14800,14800,14200,14400,110547,68676.0,4769194.0
2012-03-14,14600,14750,14150,14650,133269,69869.0,4769194.0
2012-03-15,14700,15050,14400,14400,155807,68676.0,4769194.0
2012-03-16,14550,15900,14300,15800,359910,75353.0,4769194.0
2012-03-19,15750,16000,15550,15800,139274,75353.0,4769194.0
2012-03-20,16250,16300,15400,15600,190504,74399.0,4769194.0
2012-03-21,15350,16050,15250,15250,127393,73104.0,4793694.0
2012-03-22,15100,15300,14750,14800,164932,70947.0,4793694.0
2012-03-23,14800,15000,13700,14050,164454,67351.0,4793694.0
2012-03-26,14150,14150,13500,13500,170079,64715.0,4793694.0
2012-03-27,13550,13850,13300,13750,113355,65913.0,4793694.0
2012-03-28,13700,13950,13350,13700,95545,65674.0,4793694.0
2012-03-29,13600,13850,13050,13050,97981,62558.0,4793694.0
2012-03-30,12950,13350,12750,13000,75667,62318.0,4793694.0
2012-04-02,13000,13250,12850,13050,48755,62558.0,4793694.0
2012-04-03,13200,13750,12950,13150,114655,63037.0,4793694.0
2012-04-04,13150,13400,12000,12400,112527,59442.0,4793694.0
2012-04-05,12100,12250,11300,11300,201115,54169.0,4793694.0
2012-04-06,11300,12150,11200,11850,167868,56805.0,4793694.0
2012-04-09,11800,12100,11300,11300,91680,54169.0,4793694.0
2012-04-10,11150,12300,11150,12200,86014,58483.0,4793694.0
2012-04-12,11950,12100,11700,11900,41004,57045.0,4793694.0
2012-04-13,12100,12400,11650,11800,121488,56566.0,4793694.0
2012-04-16,11900,11900,11450,11600,61314,58988.0,5085194.0
2012-04-17,11650,11700,10900,11400,107695,57971.0,5085194.0
2012-04-18,11500,11750,11200,11300,51429,57463.0,5085194.0
2012-04-19,11100,12050,11100,11700,133941,59497.0,5085194.0
2012-04-20,11650,11850,11050,11050,121566,56191.0,5085194.0
2012-04-23,11050,11300,10200,10750,143157,54666.0,5085194.0
2012-04-24,10600,10800,10000,10000,87275,50852.0,5085194.0
2012-04-25,10100,10200,9300,9300,177504,47292.0,5085194.0
2012-04-26,9480,9720,8900,9300,100877,47292.0,5085194.0
2012-04-27,9380,9550,8900,9100,119900,46275.0,5085194.0
2012-04-30,9290,10450,8930,9830,368017,49987.0,5085194.0
2012-05-02,9840,9950,9630,9780,40986,49733.0,5085194.0
2012-05-03,9850,10600,9850,10000,128124,50852.0,5085194.0
2012-05-04,9850,10200,9780,10050,39072,51106.0,5085194.0
2012-05-07,10150,10550,9870,9870,119363,50191.0,5085194.0
2012-05-08,9830,10000,9830,9870,22452,50191.0,5085194.0
2012-05-09,9850,10000,9400,9470,51894,48157.0,5085194.0
2012-05-10,9470,9700,9400,9450,47637,48055.0,5085194.0
2012-05-11,9450,9920,9430,9450,154072,48055.0,5085194.0
2012-05-14,9580,9980,9470,9700,122713,49326.0,5085194.0
2012-05-15,9760,9980,8830,9300,183134,47292.0,5085194.0
2012-05-16,9150,9300,8800,8800,62715,44750.0,5085194.0
2012-05-17,8900,8900,8400,8750,36715,44495.0,5085194.0
2012-05-18,8490,8730,7870,8010,84931,40732.0,5085194.0
2012-05-21,7900,8180,7290,7450,197385,37885.0,5085194.0
2012-05-22,7530,8130,7530,7740,222816,39359.0,5085194.0
2012-05-23,7800,7970,7550,7700,72147,39156.0,5085194.0
2012-05-24,7640,7980,7490,7970,90774,40529.0,5085194.0
