로보로보(215100),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-04-22,6020,6800,5120,5120,2951416,7168.0,2800000.0
2015-04-23,4970,4980,4620,4650,1055580,6510.0,2800000.0
2015-04-24,4690,4720,4570,4600,246307,6440.0,2800000.0
2015-04-27,4590,4700,4560,4600,189444,6440.0,2800000.0
2015-04-28,4590,4720,4570,4610,150274,6454.0,2800000.0
2015-04-29,4610,4630,4530,4570,107744,6398.0,2800000.0
2015-04-30,4570,4590,4540,4540,49658,6356.0,2800000.0
2015-05-04,4560,4560,4530,4540,21172,6356.0,2800000.0
2015-05-06,4530,4580,4520,4550,17143,6370.0,2800000.0
2015-05-07,4540,4560,4520,4530,61205,6342.0,2800000.0
2015-05-08,4530,4550,4500,4500,51224,6300.0,2800000.0
2015-05-11,4500,4560,4490,4500,9505,6300.0,2800000.0
2015-05-12,4500,4520,4450,4470,21808,6258.0,2800000.0
2015-05-13,4500,4550,4480,4530,33032,6342.0,2800000.0
2015-05-14,4540,4620,4530,4560,15123,6384.0,2800000.0
2015-05-15,4570,4770,4570,4660,80876,6524.0,2800000.0
2015-05-18,4700,4700,4580,4600,22817,6440.0,2800000.0
2015-05-19,4590,4700,4590,4640,50757,6496.0,2800000.0
2015-05-20,4600,4660,4600,4650,13149,6510.0,2800000.0
2015-05-21,4610,4620,4560,4610,49604,6454.0,2800000.0
2015-05-22,4520,4620,4520,4600,14650,6440.0,2800000.0
2015-05-26,4550,4600,4510,4560,5938,6384.0,2800000.0
2015-05-27,4570,4570,4400,4500,46253,6300.0,2800000.0
2015-05-28,4570,4570,4500,4510,22037,6314.0,2800000.0
2015-05-29,4510,4520,4440,4520,25772,6328.0,2800000.0
2015-06-01,4500,4530,4440,4490,29012,6286.0,2800000.0
2015-06-02,4530,4540,4470,4530,29177,6342.0,2800000.0
2015-06-03,4540,4540,4460,4480,23700,6272.0,2800000.0
2015-06-04,4440,4470,4420,4450,21816,6230.0,2800000.0
2015-06-05,4460,4500,4440,4460,14384,6244.0,2800000.0
2015-06-08,4460,4480,4410,4440,17337,6216.0,2800000.0
2015-06-09,4480,4480,4440,4450,8714,6230.0,2800000.0
2015-06-10,4430,4450,4400,4400,13009,6160.0,2800000.0
2015-06-11,4410,4430,4390,4420,51604,6188.0,2800000.0
2015-06-12,4390,4400,4350,4370,35930,6118.0,2800000.0
2015-06-15,4330,4400,4330,4360,8880,6104.0,2800000.0
2015-06-16,4340,4370,4330,4350,39110,6090.0,2800000.0
2015-06-17,4350,4390,4310,4380,8022,6132.0,2800000.0
2015-06-18,4300,4370,4120,4280,39625,5992.0,2800000.0
2015-06-19,4300,4300,4150,4270,4170,5978.0,2800000.0
2015-06-22,4360,4360,4150,4190,6834,5866.0,2800000.0
2015-06-23,4270,4270,4200,4200,1455,5880.0,2800000.0
2015-06-24,4270,4270,4200,4240,8065,5936.0,2800000.0
2015-06-25,4280,4280,4180,4210,10655,5894.0,2800000.0
2015-06-26,4220,4280,4220,4280,27149,5992.0,2800000.0
2015-06-29,4280,4340,4260,4320,50698,6048.0,2800000.0
2015-06-30,4350,4380,4340,4360,20004,6104.0,2800000.0
2015-07-01,4390,4450,4350,4450,15613,6230.0,2800000.0
2015-07-02,4450,4510,4450,4450,9553,6230.0,2800000.0
2015-07-03,4490,4490,4340,4460,36933,6244.0,2800000.0
2015-07-06,4460,4640,4370,4530,55208,6342.0,2800000.0
2015-07-07,4420,4580,4420,4520,12013,6328.0,2800000.0
2015-07-08,4500,4550,4440,4550,6459,6370.0,2800000.0
2015-07-09,4400,4580,4400,4470,14456,6258.0,2800000.0
2015-07-10,4420,4550,4400,4470,11045,6258.0,2800000.0
2015-07-13,4480,4490,4430,4490,10005,6286.0,2800000.0
2015-07-14,4530,4530,4420,4460,4751,6244.0,2800000.0
2015-07-15,4480,4530,4430,4460,3298,6244.0,2800000.0
2015-07-16,4500,4500,4410,4450,4335,6230.0,2800000.0
2015-07-17,4450,4460,4340,4410,13678,6174.0,2800000.0
2015-07-20,4550,4550,4380,4480,595,6272.0,2800000.0
2015-07-21,4530,4530,4470,4500,1949,6300.0,2800000.0
2015-07-22,4520,4520,4480,4500,792,6300.0,2800000.0
2015-07-23,4540,4540,4500,4520,1526,6328.0,2800000.0
2015-07-24,4500,4540,4500,4500,12665,6300.0,2800000.0
2015-07-27,4500,4680,4500,4590,21766,6426.0,2800000.0
2015-07-28,4530,4700,4530,4580,42499,6412.0,2800000.0
2015-07-29,4590,4650,4590,4590,2986,6426.0,2800000.0
2015-07-30,4680,4840,4590,4600,27423,6440.0,2800000.0
2015-07-31,4900,4900,4660,4760,22234,6664.0,2800000.0
2015-08-03,4780,4780,4730,4750,9060,6650.0,2800000.0
2015-08-04,4720,4860,4720,4770,14732,6678.0,2800000.0
2015-08-05,4750,4770,4710,4770,5280,6678.0,2800000.0
2015-08-06,4790,5510,4740,4910,547506,6874.0,2800000.0
2015-08-07,5240,5650,4760,5100,623091,7140.0,2800000.0
2015-08-10,5090,5170,4840,4960,80079,6944.0,2800000.0
2015-08-11,4910,5160,4690,4770,253890,6678.0,2800000.0
2015-08-12,4680,4780,4600,4710,106303,6594.0,2800000.0
2015-08-13,4720,4940,4570,4580,20454,6412.0,2800000.0
2015-08-17,4560,4660,4460,4540,42140,6356.0,2800000.0
2015-08-18,4500,4650,4500,4530,20885,6342.0,2800000.0
2015-08-19,4530,4560,4480,4520,25058,6328.0,2800000.0
2015-08-20,4470,4570,4470,4570,2521,6398.0,2800000.0
2015-08-21,4510,4550,4460,4460,64888,6244.0,2800000.0
2015-08-24,4520,4640,4340,4360,58450,6104.0,2800000.0
2015-08-25,4360,4490,4360,4450,33990,6230.0,2800000.0
2015-08-26,4420,4480,4410,4460,29369,6244.0,2800000.0
2015-08-27,4460,4500,4410,4500,14140,6300.0,2800000.0
2015-08-28,4500,4690,4460,4480,5002,6272.0,2800000.0
2015-08-31,4500,4520,4470,4480,5068,6272.0,2800000.0
2015-09-01,4500,4630,4470,4480,8911,6272.0,2800000.0
2015-09-02,4380,4490,4380,4460,3408,6244.0,2800000.0
2015-09-03,4480,4480,4420,4470,1304,6258.0,2800000.0
2015-09-04,4430,4450,4420,4450,5054,6230.0,2800000.0
2015-09-07,4510,4510,4460,4460,15,6244.0,2800000.0
2015-09-08,4390,4480,4390,4460,1805,6244.0,2800000.0
2015-09-09,4480,4480,4480,4480,2,6272.0,2800000.0
2015-09-10,4400,4470,4400,4460,3341,6244.0,2800000.0
2015-09-11,4400,4470,4400,4470,19207,6258.0,2800000.0
2015-09-14,4390,4460,4390,4460,3141,6244.0,2800000.0
2015-09-15,4460,4460,4400,4450,4337,6230.0,2800000.0
2015-09-16,4360,4380,4320,4370,32439,6118.0,2800000.0
2015-09-17,4390,4390,4310,4330,9366,6062.0,2800000.0
2015-09-18,4300,4350,4290,4340,5712,6076.0,2800000.0
2015-09-21,4300,4320,4280,4290,17812,6006.0,2800000.0
2015-09-22,4390,4390,4380,4390,1005,6146.0,2800000.0
2015-09-23,4310,4350,4300,4350,3227,6090.0,2800000.0
2015-09-24,4280,4380,4210,4380,1041,6132.0,2800000.0
2015-09-25,4290,4360,4290,4320,9303,6048.0,2800000.0
2015-09-30,4300,4300,4200,4300,11776,6020.0,2800000.0
2015-10-01,4280,4280,4250,4280,1680,5992.0,2800000.0
2015-10-02,4260,4410,4260,4410,8647,6174.0,2800000.0
2015-10-05,4280,4380,4280,4310,1518,6034.0,2800000.0
2015-10-06,4250,4330,4250,4330,12221,6062.0,2800000.0
2015-10-07,4250,4500,4250,4500,2652,6300.0,2800000.0
2015-10-08,4400,4500,4330,4340,20600,6076.0,2800000.0
2015-10-12,4240,4320,4240,4320,1170,6048.0,2800000.0
2015-10-13,4400,4400,4280,4320,8987,6048.0,2800000.0
2015-10-14,4280,4320,4280,4320,11932,6048.0,2800000.0
2015-10-15,4260,4390,4260,4320,7457,6048.0,2800000.0
2015-10-16,4310,4310,4300,4310,2077,6034.0,2800000.0
2015-10-19,4300,4300,4270,4270,6144,5978.0,2800000.0
2015-10-20,4270,4360,4250,4350,1506,6090.0,2800000.0
2015-10-21,4210,4310,4210,4260,7274,5964.0,2800000.0
2015-10-22,4200,4260,4200,4260,8313,5964.0,2800000.0
2015-10-23,4390,4390,4220,4240,4597,5936.0,2800000.0
2015-10-26,4290,4290,4220,4240,1739,5936.0,2800000.0
2015-10-27,4220,4240,4210,4240,11340,5936.0,2800000.0
2015-10-28,4210,4460,4210,4230,2098,5922.0,2800000.0
2015-10-29,4390,4390,4210,4210,10553,5894.0,2800000.0
2015-10-30,4210,4230,4210,4230,214,5922.0,2800000.0
2015-11-02,4220,4290,4220,4290,2472,6006.0,2800000.0
2015-11-03,4290,4290,4180,4240,37682,5936.0,2800000.0
2015-11-04,4170,4240,4150,4240,19065,5936.0,2800000.0
2015-11-05,4150,4240,4100,4140,10654,5796.0,2800000.0
2015-11-06,4140,4180,4110,4180,9289,5852.0,2800000.0
2015-11-09,4160,4160,4100,4120,15513,5768.0,2800000.0
2015-11-10,4100,4120,4080,4110,18563,5754.0,2800000.0
2015-11-11,4110,4110,4100,4110,2183,5754.0,2800000.0
2015-11-12,4110,4110,4110,4110,100,5754.0,2800000.0
2015-11-13,4130,4140,4100,4130,16906,5782.0,2800000.0
2015-11-16,4040,4060,4040,4060,418,5684.0,2800000.0
2015-11-17,4080,4170,4040,4050,6513,5670.0,2800000.0
2015-11-18,4160,4160,4050,4150,3537,5810.0,2800000.0
2015-11-19,4120,4120,4000,4010,19998,5614.0,2800000.0
2015-11-20,4030,4110,4030,4050,1882,5670.0,2800000.0
2015-11-23,4070,4070,3990,4030,13544,5642.0,2800000.0
2015-11-24,4010,4050,4010,4040,10788,5656.0,2800000.0
2015-11-25,4010,4030,4000,4030,9751,5642.0,2800000.0
2015-11-26,3990,4060,3990,4050,489,5670.0,2800000.0
2015-11-27,4050,4080,4050,4050,197,5670.0,2800000.0
2015-11-30,3990,4070,3990,4070,19259,5698.0,2800000.0
2015-12-01,4060,4060,4000,4040,8198,5656.0,2800000.0
2015-12-02,4060,4060,3990,4000,2042,5600.0,2800000.0
2015-12-03,4000,4020,4000,4020,11336,5628.0,2800000.0
2015-12-04,4020,4050,4020,4020,7005,5628.0,2800000.0
2015-12-07,4020,4070,4000,4040,3519,5656.0,2800000.0
2015-12-08,4060,4060,3990,3990,2277,5586.0,2800000.0
2015-12-09,4010,4060,3990,3990,4063,5586.0,2800000.0
2015-12-10,4010,4010,4000,4000,7381,5600.0,2800000.0
2015-12-11,3980,4000,3980,4000,5573,5600.0,2800000.0
2015-12-14,4000,4020,3990,4000,12548,5600.0,2800000.0
2015-12-15,4040,4040,4000,4000,6202,5600.0,2800000.0
2015-12-16,4080,4080,4000,4000,1768,5600.0,2800000.0
2015-12-17,3980,4020,3980,4020,5905,5628.0,2800000.0
2015-12-18,4030,4030,4000,4000,4395,5600.0,2800000.0
2015-12-21,4020,4020,4010,4010,399,5614.0,2800000.0
2015-12-22,4080,4080,4080,4080,1,5712.0,2800000.0
2015-12-23,4070,4070,3990,3990,10123,5586.0,2800000.0
2015-12-24,4010,4010,4000,4000,598,5600.0,2800000.0
2015-12-28,4000,4000,4000,4000,1000,5600.0,2800000.0
2015-12-29,4020,4050,3990,3990,1676,5586.0,2800000.0
2015-12-30,4040,4060,3980,4060,6620,5684.0,2800000.0
2016-01-04,4090,4090,4040,4040,39227,5656.0,2800000.0
2016-01-05,4020,4050,4020,4050,6850,5670.0,2800000.0
2016-01-06,4020,4050,4020,4040,2919,5656.0,2800000.0
2016-01-07,4030,4030,4030,4030,375,5642.0,2800000.0
2016-01-08,4020,4050,4020,4020,2969,5628.0,2800000.0
2016-01-11,4040,4040,4040,4040,79,5656.0,2800000.0
2016-01-12,4040,4050,4000,4010,4118,5614.0,2800000.0
2016-01-13,4010,4020,4010,4010,21000,5614.0,2800000.0
2016-01-14,4010,4010,4010,4010,0,5614.0,2800000.0
2016-01-15,4000,4010,4000,4000,21087,5600.0,2800000.0
2016-01-18,4000,4010,4000,4010,304,5614.0,2800000.0
2016-01-19,4000,4020,4000,4020,3317,5628.0,2800000.0
2016-01-20,4000,4010,4000,4000,7130,5600.0,2800000.0
2016-01-21,4000,4020,4000,4020,1748,5628.0,2800000.0
2016-01-22,4020,4020,4020,4020,0,5628.0,2800000.0
2016-01-25,4000,4010,4000,4010,1197,5614.0,2800000.0
2016-01-26,4010,4010,4010,4010,0,,
2016-01-27,4010,4010,4000,4000,1065,5600.0,2800000.0
2016-01-28,4000,4000,4000,4000,5,5600.0,2800000.0
2016-01-29,4020,4020,4020,4020,106,5628.0,2800000.0
2016-02-01,4020,4020,4020,4020,0,,
2016-02-02,4010,4020,4010,4020,1591,5628.0,2800000.0
2016-02-03,4020,4020,4020,4020,0,,
2016-02-04,4000,4020,4000,4020,2086,5628.0,2800000.0
2016-02-05,4020,4020,4000,4020,8415,5628.0,2800000.0
2016-02-11,4000,4040,4000,4040,9345,5656.0,2800000.0
2016-02-12,4010,4050,4000,4050,8960,5670.0,2800000.0
2016-02-15,4010,4010,4010,4010,1272,5614.0,2800000.0
2016-02-16,4020,4020,4020,4020,9,5628.0,2800000.0
2016-02-17,4010,4010,4010,4010,3000,5614.0,2800000.0
2016-02-18,4010,4010,4010,4010,10000,5614.0,2800000.0
2016-02-19,3990,4050,3990,4050,3,5670.0,2800000.0
2016-02-22,4010,4130,4010,4080,21,5712.0,2800000.0
2016-02-23,4080,4080,4030,4030,32,5642.0,2800000.0
2016-02-24,4030,4030,4030,4030,0,5642.0,2800000.0
2016-02-25,3990,4000,3990,3990,1199,5586.0,2800000.0
2016-02-26,3980,4050,3980,4050,1048,5670.0,2800000.0
2016-02-29,3990,4000,3990,3990,312,5586.0,2800000.0
2016-03-02,3990,4050,3990,4020,1386,5628.0,2800000.0
2016-03-03,3980,4020,3980,3980,4443,5572.0,2800000.0
2016-03-04,4020,4020,4010,4010,4855,5614.0,2800000.0
2016-03-07,3990,4020,3990,4020,2172,5628.0,2800000.0
2016-03-08,3980,3980,3980,3980,90,5572.0,2800000.0
2016-03-09,3970,4000,3970,4000,3925,5600.0,2800000.0
2016-03-10,4010,4010,3980,4010,2829,5614.0,2800000.0
2016-03-11,3980,4000,3960,4000,4687,5600.0,2800000.0
2016-03-14,4000,4000,3960,3960,523,5544.0,2800000.0
2016-03-15,3960,3990,3960,3970,1088,5558.0,2800000.0
2016-03-16,3960,3990,3960,3990,872,5586.0,2800000.0
2016-03-17,3970,3990,3970,3990,1023,5586.0,2800000.0
2016-03-18,3990,4010,3990,4000,21158,5600.0,2800000.0
2016-03-21,3980,3980,3980,3980,100,5572.0,2800000.0
2016-03-22,3990,3990,3980,3980,2700,5572.0,2800000.0
2016-03-23,3980,3980,3980,3980,0,5572.0,2800000.0
2016-03-24,4090,4090,4090,4090,2,5726.0,2800000.0
2016-03-25,4000,4000,3960,3980,1125,5572.0,2800000.0
2016-03-28,3990,3990,3970,3990,2549,5586.0,2800000.0
2016-03-29,3990,4060,3990,3990,3763,5586.0,2800000.0
2016-03-30,4030,4030,4030,4030,1,5642.0,2800000.0
2016-03-31,4030,4030,3960,4030,734,5642.0,2800000.0
2016-04-01,4070,4070,4060,4060,2,5684.0,2800000.0
2016-04-04,4060,4060,4050,4060,346,5684.0,2800000.0
2016-04-05,4050,4050,3990,3990,146,5586.0,2800000.0
2016-04-06,4020,4020,4000,4020,1607,5628.0,2800000.0
2016-04-07,3990,4000,3990,4000,316,5600.0,2800000.0
2016-04-08,4060,4060,3990,3990,317,5586.0,2800000.0
2016-04-11,4080,4080,3990,3990,11546,5586.0,2800000.0
2016-04-12,4080,4080,3980,3980,237,5572.0,2800000.0
2016-04-14,4070,4070,3980,3980,49,5572.0,2800000.0
2016-04-15,4000,4000,4000,4000,927,5600.0,2800000.0
2016-04-18,3980,3980,3980,3980,735,5572.0,2800000.0
2016-04-19,3970,4020,3960,3960,7581,5544.0,2800000.0
2016-04-20,4000,4060,4000,4000,3304,5600.0,2800000.0
2016-04-21,4000,4000,4000,4000,0,5600.0,2800000.0
2016-04-22,4040,4040,3990,3990,101,5586.0,2800000.0
2016-04-25,3990,4010,3990,4010,953,5614.0,2800000.0
2016-04-26,4020,4020,4020,4020,1,5628.0,2800000.0
2016-04-27,3990,4010,3990,4000,617,5600.0,2800000.0
2016-04-28,4000,4000,4000,4000,10242,5600.0,2800000.0
2016-04-29,3970,4000,3970,4000,436,5600.0,2800000.0
2016-05-02,4000,4000,4000,4000,99,5600.0,2800000.0
2016-05-03,3970,4010,3970,4000,4390,5600.0,2800000.0
2016-05-04,4040,4040,4000,4000,1037,5600.0,2800000.0
2016-05-09,4060,4060,4000,4010,369,5614.0,2800000.0
2016-05-10,4000,4000,4000,4000,10046,5600.0,2800000.0
2016-05-11,4020,4020,4020,4020,11,5628.0,2800000.0
2016-05-12,4000,4000,4000,4000,5091,5600.0,2800000.0
2016-05-13,4000,4010,4000,4000,1300,5600.0,2800000.0
2016-05-16,3970,4010,3970,4010,6102,5614.0,2800000.0
2016-05-17,4010,4010,4010,4010,0,,
2016-05-18,4010,4010,4010,4010,0,,
2016-05-19,3970,4010,3960,4010,10529,5614.0,2800000.0
2016-05-20,4000,4000,4000,4000,0,5600.0,2800000.0
2016-05-23,4000,4000,3960,3960,2612,5544.0,2800000.0
2016-05-24,4000,4000,4000,4000,1,5600.0,2800000.0
2016-05-25,4000,4000,4000,4000,0,,
2016-05-26,4010,4010,3950,3990,4002,5586.0,2800000.0
2016-05-27,3950,3990,3950,3990,551,5586.0,2800000.0
2016-05-30,3940,4000,3940,4000,3997,5600.0,2800000.0
2016-05-31,3930,3980,3900,3980,9265,5572.0,2800000.0
2016-06-01,3930,3980,3930,3970,1268,5558.0,2800000.0
2016-06-02,3920,3990,3920,3990,2229,5586.0,2800000.0
2016-06-03,3990,4000,3990,4000,10837,5600.0,2800000.0
2016-06-07,4000,4000,3960,3990,40026,5586.0,2800000.0
2016-06-08,4000,4000,3990,4000,15425,5600.0,2800000.0
2016-06-09,3990,4000,3980,3980,25125,5572.0,2800000.0
2016-06-10,3990,3990,3980,3980,1873,5572.0,2800000.0
2016-06-13,3970,3970,3940,3970,665,5558.0,2800000.0
2016-06-14,3930,3970,3930,3930,907,5502.0,2800000.0
2016-06-15,3930,3930,3930,3930,200,5502.0,2800000.0
2016-06-16,3960,3990,3960,3990,4,5586.0,2800000.0
2016-06-17,3960,3980,3920,3980,2232,5572.0,2800000.0
2016-06-20,3960,3960,3960,3960,11,5544.0,2800000.0
2016-06-21,3990,4000,3990,3990,1708,5586.0,2800000.0
2016-06-22,3960,3990,3960,3990,35,5586.0,2800000.0
2016-06-23,3950,3990,3950,3990,132,5586.0,2800000.0
2016-06-24,3950,3980,3900,3980,5636,5572.0,2800000.0
2016-06-27,3930,3960,3930,3960,4,5544.0,2800000.0
2016-06-28,3990,4020,3990,4020,2000,5628.0,2800000.0
2016-06-29,3970,4000,3970,4000,630,5600.0,2800000.0
2016-06-30,3990,4010,3990,4010,1521,5614.0,2800000.0
2016-07-01,4700,4700,4120,4140,44613,5796.0,2800000.0
2016-07-04,4060,4110,4040,4110,5331,5754.0,2800000.0
2016-07-05,4050,4090,4020,4020,1222,5628.0,2800000.0
2016-07-06,4010,4080,4010,4050,2202,5670.0,2800000.0
2016-07-07,4120,4200,4120,4160,4657,5824.0,2800000.0
2016-07-08,4210,4380,4210,4220,22349,5908.0,2800000.0
2016-07-11,4220,4330,4100,4270,17975,5978.0,2800000.0
2016-07-12,4390,4390,4280,4280,4762,5992.0,2800000.0
2016-07-13,4320,4320,4200,4260,6572,5964.0,2800000.0
2016-07-14,4200,4200,4100,4140,5361,5796.0,2800000.0
2016-07-15,4110,4200,4110,4170,11632,5838.0,2800000.0
2016-07-18,4160,4180,4030,4110,2910,5754.0,2800000.0
2016-07-19,4190,4190,4000,4150,18025,5810.0,2800000.0
2016-07-20,4060,4180,4060,4180,848,5852.0,2800000.0
2016-07-21,4110,4220,4110,4200,4284,5880.0,2800000.0
2016-07-22,4200,4200,4130,4190,951,5866.0,2800000.0
2016-07-25,4080,4210,4080,4170,2182,5838.0,2800000.0
2016-07-26,4110,4180,4110,4180,391,5852.0,2800000.0
2016-07-27,4110,4200,4110,4160,176,5824.0,2800000.0
2016-07-28,4110,4150,4110,4150,435,5810.0,2800000.0
2016-07-29,4110,4150,4110,4140,980,5796.0,2800000.0
2016-08-01,4210,4310,4120,4190,15777,5866.0,2800000.0
2016-08-02,4200,4230,4180,4190,7748,5866.0,2800000.0
2016-08-03,4270,4270,4120,4230,6064,5922.0,2800000.0
2016-08-04,4140,4140,4090,4090,7840,5726.0,2800000.0
2016-08-05,4100,4200,4090,4180,4408,5852.0,2800000.0
2016-08-08,4090,4100,4080,4100,1426,5740.0,2800000.0
2016-08-09,4150,4160,4100,4120,3877,5768.0,2800000.0
2016-08-10,4030,4240,4030,4240,2080,5936.0,2800000.0
2016-08-11,4190,4190,4190,4190,0,5866.0,2800000.0
2016-08-12,4320,4320,4110,4110,4738,5754.0,2800000.0
2016-08-16,4070,4100,4070,4100,9397,5740.0,2800000.0
2016-08-17,4030,4070,4030,4060,14054,5684.0,2800000.0
2016-08-18,4050,4070,4050,4070,13131,5698.0,2800000.0
2016-08-19,4040,4180,4040,4180,717,5852.0,2800000.0
2016-08-22,4080,4200,4080,4190,15062,5866.0,2800000.0
2016-08-23,4070,4190,4070,4190,4840,5866.0,2800000.0
2016-08-24,4180,4210,4180,4210,7850,5894.0,2800000.0
2016-08-25,4210,4440,4210,4300,59587,6020.0,2800000.0
2016-08-26,4200,4370,4160,4270,14247,5978.0,2800000.0
2016-08-29,4170,4220,4170,4200,7648,5880.0,2800000.0
2016-08-30,4290,4290,4110,4250,9767,5950.0,2800000.0
2016-08-31,4290,4290,4290,4290,137,6006.0,2800000.0
2016-09-01,4200,4250,4200,4250,14275,5950.0,2800000.0
2016-09-02,4310,4310,4310,4310,258,6034.0,2800000.0
2016-09-05,4280,4280,4270,4270,236,5978.0,2800000.0
2016-09-06,4280,4280,4180,4230,8804,5922.0,2800000.0
2016-09-07,4440,4440,4260,4290,6675,6006.0,2800000.0
2016-09-08,4200,4270,4200,4260,3532,5964.0,2800000.0
2016-09-09,4210,4280,4200,4260,50877,5964.0,2800000.0
2016-09-12,4260,4310,4220,4220,1385,5908.0,2800000.0
2016-09-13,4220,4280,4220,4280,12,5992.0,2800000.0
2016-09-19,4200,4270,4190,4270,974,5978.0,2800000.0
2016-09-20,4270,4270,4200,4270,4796,5978.0,2800000.0
2016-09-21,4200,4210,4200,4210,320,5894.0,2800000.0
2016-09-22,4210,4220,4200,4220,7055,5908.0,2800000.0
2016-09-23,4280,4280,4190,4270,1293,5978.0,2800000.0
2016-09-26,4340,4340,4130,4170,3170,5838.0,2800000.0
2016-09-27,4170,4200,4170,4180,1228,5852.0,2800000.0
2016-09-28,4170,4170,4170,4170,942,5838.0,2800000.0
2016-09-29,4180,4300,4150,4300,32107,6020.0,2800000.0
2016-09-30,4050,4140,4050,4120,26069,5768.0,2800000.0
2016-10-04,4280,4280,4090,4100,2516,5740.0,2800000.0
2016-10-05,4130,4130,4100,4100,2513,5740.0,2800000.0
2016-10-06,4270,4270,4100,4110,1987,5754.0,2800000.0
2016-10-07,4110,4110,4110,4110,170,5754.0,2800000.0
2016-10-10,4310,4310,4090,4100,1194,5740.0,2800000.0
2016-10-11,4100,4110,4100,4110,554,5754.0,2800000.0
2016-10-12,4090,4140,4090,4130,5355,5782.0,2800000.0
2016-10-13,4100,4160,4090,4160,9081,5824.0,2800000.0
2016-10-14,4100,4160,4100,4160,2607,5824.0,2800000.0
2016-10-17,4080,4100,4080,4090,1564,5726.0,2800000.0
2016-10-18,4080,4100,4080,4100,2437,5740.0,2800000.0
2016-10-19,4100,4150,4100,4150,1025,5810.0,2800000.0
2016-10-20,4150,4160,4150,4160,816,5824.0,2800000.0
2016-10-21,4110,4130,4110,4110,609,5754.0,2800000.0
2016-10-24,4110,4110,4110,4110,500,5754.0,2800000.0
2016-10-25,4100,4190,4100,4190,570,5866.0,2800000.0
2016-10-26,4190,4190,4190,4190,0,5866.0,2800000.0
2016-10-27,4190,4190,4190,4190,90,5866.0,2800000.0
2016-10-28,4080,4120,4060,4070,17162,5698.0,2800000.0
2016-10-31,4040,4080,4040,4070,3923,5698.0,2800000.0
2016-11-01,4070,4070,4060,4070,7039,5698.0,2800000.0
2016-11-02,4050,4120,4040,4120,2701,5768.0,2800000.0
2016-11-03,4060,4060,4040,4040,34330,5656.0,2800000.0
2016-11-04,4040,4040,4040,4040,1049,5656.0,2800000.0
2016-11-07,4040,4040,4040,4040,0,5656.0,2800000.0
2016-11-08,4010,4070,4010,4070,5275,5698.0,2800000.0
2016-11-09,4000,4010,4000,4000,9792,5600.0,2800000.0
2016-11-10,4030,4030,4030,4030,1520,5642.0,2800000.0
2016-11-11,4100,4100,4040,4040,106,5656.0,2800000.0
2016-11-14,4040,4040,4040,4040,6,5656.0,2800000.0
2016-11-15,4030,4040,4030,4040,4000,5656.0,2800000.0
2016-11-16,4040,4040,4040,4040,0,,
2016-11-17,4120,4140,4020,4130,7002,5782.0,2800000.0
2016-11-18,4020,4110,4020,4110,11,5754.0,2800000.0
2016-11-21,4000,4100,4000,4100,1180,5740.0,2800000.0
2016-11-22,4170,4170,4170,4170,194,5838.0,2800000.0
2016-11-23,4010,4150,4010,4130,1011,5782.0,2800000.0
2016-11-24,4020,4090,4020,4070,219,5698.0,2800000.0
2016-11-25,4160,4160,4030,4030,47,5642.0,2800000.0
