바텍(043150),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2006-09-29,8920,10250,8600,9000,3761074,76889.0,8543170.0
2006-10-02,9100,9100,7700,7800,794415,66637.0,8543170.0
2006-10-04,7700,8300,7400,7470,531466,63817.0,8543170.0
2006-10-09,7390,7770,6350,6350,700816,54249.0,8543170.0
2006-10-10,6300,6600,6260,6460,581485,55189.0,8543170.0
2006-10-11,6350,7310,6160,6960,1296215,59460.0,8543170.0
2006-10-12,7050,7490,6910,7030,542006,60058.0,8543170.0
2006-10-13,7200,7240,6830,6890,310592,58862.0,8543170.0
2006-10-16,6990,7360,6950,7320,400439,62536.0,8543170.0
2006-10-17,7290,7320,6800,6900,290751,58948.0,8543170.0
2006-10-18,6950,7000,6700,6720,198196,57410.0,8543170.0
2006-10-19,6870,7030,6720,6750,231698,57666.0,8543170.0
2006-10-20,6770,6890,6650,6660,165778,56898.0,8543170.0
2006-10-23,6740,6820,6630,6700,136566,57239.0,8543170.0
2006-10-24,6750,7000,6690,7000,265115,59802.0,8543170.0
2006-10-25,7000,7280,6970,7080,245019,60486.0,8543170.0
2006-10-26,7080,7090,6760,6780,156408,57923.0,8543170.0
2006-10-27,6720,6790,6650,6650,119240,56812.0,8543170.0
2006-10-30,6550,6740,6540,6650,113390,56812.0,8543170.0
2006-10-31,6620,6720,6530,6600,146563,56385.0,8543170.0
2006-11-01,6650,6850,6650,6720,204461,57410.0,8543170.0
2006-11-02,6720,6750,6420,6420,267085,54847.0,8543170.0
2006-11-03,6420,6490,6170,6260,163227,53480.0,8543170.0
2006-11-06,6300,6410,6230,6300,105688,53822.0,8543170.0
2006-11-07,6420,6530,6380,6440,164030,55018.0,8543170.0
2006-11-08,6420,6510,6350,6380,96186,54505.0,8543170.0
2006-11-09,6460,6720,6360,6640,193704,56727.0,8543170.0
2006-11-10,6580,6880,6570,6770,186198,57837.0,8543170.0
2006-11-13,6830,6870,6670,6700,135215,57239.0,8543170.0
2006-11-14,6700,6700,6570,6580,100536,56214.0,8543170.0
2006-11-15,6600,6650,6390,6390,169269,54591.0,8543170.0
2006-11-16,6450,6450,6310,6440,83318,55018.0,8543170.0
2006-11-17,6590,6590,6470,6520,116294,55701.0,8543170.0
2006-11-20,6490,6550,6350,6410,62166,54762.0,8543170.0
2006-11-21,6440,6580,6290,6370,69157,54420.0,8543170.0
2006-11-22,6320,6410,6310,6380,51756,54505.0,8543170.0
2006-11-23,6380,6380,6180,6180,109574,52797.0,8543170.0
2006-11-24,6200,6350,5920,6200,124633,52968.0,8543170.0
2006-11-27,6340,6980,6200,6650,400903,56812.0,8543170.0
2006-11-28,6700,6700,6500,6660,95415,56898.0,8543170.0
2006-11-29,6660,7060,6660,7050,273475,60229.0,8543170.0
2006-11-30,7000,7170,6940,7140,154286,60998.0,8543170.0
2006-12-01,7190,7270,6940,7000,124475,59802.0,8543170.0
2006-12-04,6940,7640,6730,7500,427232,64074.0,8543170.0
2006-12-05,7590,7920,7350,7880,244811,67320.0,8543170.0
2006-12-06,7800,7800,7450,7450,160917,63647.0,8543170.0
2006-12-07,7450,7560,7000,7000,97922,59802.0,8543170.0
2006-12-08,7030,7200,6830,7000,102813,59802.0,8543170.0
