쎄트렉아이(099320),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2008-06-13,24186,27058,20558,20558,742209,95276.0,2335200.0
2008-06-16,20406,20608,17585,18190,372133,84301.0,2335200.0
2008-06-17,18467,19701,17786,18744,222532,86869.0,2335200.0
2008-06-18,17988,19147,16905,17056,172291,79047.0,2335200.0
2008-06-19,17182,17736,15594,15771,178222,73092.0,2335200.0
2008-06-20,15897,16350,14914,15242,167703,70640.0,2335200.0
2008-06-23,15141,15544,14662,15192,76010,70406.0,2335200.0
2008-06-24,15191,17459,15191,15671,331781,72625.0,2335200.0
2008-06-25,15872,16275,15141,15519,73316,71924.0,2335200.0
2008-06-26,15544,15771,14864,14864,61373,68888.0,2335200.0
2008-06-27,14360,14360,12647,12647,159789,72137.0,2874000.0
2008-06-30,12344,13529,11815,12093,132578,68976.0,2874000.0
2008-07-01,12168,12395,11286,11438,71263,65240.0,2874000.0
2008-07-02,11689,12848,11135,12269,170135,69982.0,2874000.0
2008-07-03,11790,12798,11664,12496,78974,71275.0,2874000.0
2008-07-04,12596,14259,12294,13151,215024,75011.0,2874000.0
2008-07-07,13151,13831,11841,11917,104869,67970.0,2874000.0
2008-07-08,11916,12017,10153,10455,108954,59636.0,2874000.0
2008-07-09,10656,11009,9951,10002,64724,57049.0,2874000.0
2008-07-10,9624,10505,9573,10481,53152,59779.0,2874000.0
2008-07-11,10329,10707,10178,10682,45326,60929.0,2874000.0
2008-07-14,10707,12269,10707,12269,55661,69982.0,2874000.0
2008-07-15,13453,13478,12093,12093,139267,68976.0,2874000.0
2008-07-16,12546,13403,11841,12320,107612,70269.0,2874000.0
2008-07-17,12798,14108,12546,13302,150557,75874.0,2874000.0
2008-07-18,13604,14713,12899,13302,170700,75874.0,2874000.0
2008-07-21,13554,13579,12823,12849,76310,73287.0,2874000.0
2008-07-22,12722,13755,12420,12496,82159,71275.0,2874000.0
2008-07-23,12672,13151,12496,12597,49503,71850.0,2874000.0
2008-07-24,12697,14486,12697,14486,166618,82628.0,2874000.0
2008-07-25,14436,16124,14234,14688,363685,83777.0,2874000.0
2008-07-28,14889,15544,14284,15041,155921,85789.0,2874000.0
2008-07-29,14763,15645,13680,13983,153601,79754.0,2874000.0
2008-07-30,14436,16073,14158,16074,306271,91681.0,2874000.0
2008-07-31,16073,16250,14939,14965,235836,85358.0,2874000.0
2008-08-01,14965,15897,14965,15016,169006,85645.0,2874000.0
2008-08-04,15166,15569,14612,14612,65717,83346.0,2874000.0
2008-08-05,14436,14813,13151,13554,83207,77311.0,2874000.0
2008-08-06,13655,14687,13655,14260,113129,81334.0,2874000.0
2008-08-07,14511,15846,13881,14008,186375,79897.0,2874000.0
2008-08-08,14209,14360,13277,13353,79256,76161.0,2874000.0
2008-08-11,13554,13730,12496,12622,58706,71994.0,2874000.0
2008-08-12,12798,13025,12395,12849,32059,73287.0,2874000.0
2008-08-13,12974,13251,12168,12169,27549,69407.0,2874000.0
2008-08-14,12042,12319,11916,12169,20893,69407.0,2874000.0
2008-08-18,12093,12596,11790,12194,24440,69551.0,2874000.0
2008-08-19,12093,12344,11689,11917,21720,67970.0,2874000.0
2008-08-20,11866,12093,11261,11262,37134,64234.0,2874000.0
2008-08-21,11463,11589,10656,10657,25878,60785.0,2874000.0
2008-08-22,10354,10656,9775,10002,38150,57049.0,2874000.0
2008-08-25,10228,10833,10102,10455,30064,59636.0,2874000.0
2008-08-26,10077,10732,9875,10733,24686,61216.0,2874000.0
2008-08-27,10782,11715,10782,11388,98518,64952.0,2874000.0
2008-08-28,11488,11488,10077,10380,37180,59204.0,2874000.0
2008-08-29,10430,10631,9976,10078,31752,57480.0,2874000.0
2008-09-01,9825,10027,8616,8616,39488,49145.0,2874000.0
2008-09-02,8616,9019,7482,7709,60420,43972.0,2874000.0
2008-09-03,7961,8288,7608,8112,48640,46271.0,2874000.0
2008-09-04,8011,8817,7810,8440,48696,48140.0,2874000.0
2008-09-05,8036,8792,7986,8364,21810,47708.0,2874000.0
2008-09-08,8691,9120,8565,8969,30911,51157.0,2874000.0
2008-09-09,9069,9372,8717,8818,29175,50295.0,2874000.0
2008-09-10,8666,8994,8616,8843,21128,50439.0,2874000.0
2008-09-11,8767,9372,8767,9145,25219,52163.0,2874000.0
2008-09-12,9220,9498,9220,9473,18849,54031.0,2874000.0
2008-09-16,8137,8616,8062,8062,51273,45984.0,2874000.0
2008-09-17,8414,8666,8364,8516,23105,48571.0,2874000.0
2008-09-18,8087,8288,8011,8213,20537,46846.0,2874000.0
2008-09-19,8465,8994,8465,8490,44147,48427.0,2874000.0
2008-09-22,8641,8792,8213,8238,21339,46990.0,2874000.0
2008-09-23,8238,9472,8213,9473,46764,54031.0,2874000.0
2008-09-24,10127,10833,9875,9876,166859,56330.0,2874000.0
2008-09-25,9825,10329,9775,10153,55788,57911.0,2874000.0
2008-09-26,10253,10707,9926,10581,78669,60354.0,2874000.0
2008-09-29,11211,11488,9573,9826,79496,56043.0,2874000.0
2008-09-30,8641,9447,8439,9246,46889,52738.0,2874000.0
2008-10-01,9397,10077,9246,9322,55008,53169.0,2874000.0
2008-10-02,9372,9674,9170,9246,20007,52738.0,2874000.0
2008-10-06,9094,9271,8263,8339,36825,47565.0,2874000.0
2008-10-07,7885,8339,7709,8264,28308,47134.0,2874000.0
2008-10-08,7784,8112,7104,7281,30425,41529.0,2874000.0
2008-10-09,7180,7608,7079,7432,26326,42392.0,2874000.0
2008-10-10,6802,7054,6474,6953,31102,39661.0,2874000.0
2008-10-13,7129,7810,7129,7709,29135,43972.0,2874000.0
2008-10-14,8187,8263,7961,7961,26635,45409.0,2874000.0
2008-10-15,7961,8112,7658,7911,15892,45122.0,2874000.0
2008-10-16,7306,7507,6726,6752,38763,38512.0,2874000.0
2008-10-17,7054,7155,6348,6752,21216,38512.0,2874000.0
2008-10-20,7054,7759,7054,7760,72484,44260.0,2874000.0
2008-10-21,7936,8062,7155,7357,63782,41960.0,2874000.0
2008-10-22,7306,7532,6726,6777,28035,38655.0,2874000.0
2008-10-23,6374,6625,5895,6097,38965,34775.0,2874000.0
2008-10-24,6096,6323,5189,5190,48058,29602.0,2874000.0
2008-10-27,4791,5341,4580,4621,38773,26355.0,2874000.0
2008-10-28,4282,5290,4192,5291,55817,30177.0,2874000.0
2008-10-29,5517,5794,4509,4595,48091,26211.0,2874000.0
2008-10-30,5114,5265,4887,5266,24133,30033.0,2874000.0
2008-10-31,5542,5970,5265,5795,63544,33051.0,2874000.0
2008-11-03,5844,6348,5794,6248,39931,35638.0,2874000.0
2008-11-04,6273,6500,5920,6349,26957,36212.0,2874000.0
2008-11-05,6701,7281,6500,6576,46194,37506.0,2874000.0
2008-11-06,6172,6323,5693,5795,31904,33051.0,2874000.0
2008-11-07,5366,6474,5265,6172,46253,35206.0,2874000.0
2008-11-10,6273,6676,6046,6500,35451,37075.0,2874000.0
2008-11-11,6374,6751,6172,6450,22253,36787.0,2874000.0
2008-11-12,6399,7406,6248,6777,101734,38655.0,2874000.0
2008-11-13,6424,6625,6222,6424,31545,36644.0,2874000.0
2008-11-14,6903,7029,6500,6500,32502,37075.0,2874000.0
2008-11-17,6348,7129,6348,6777,36562,38655.0,2874000.0
2008-11-18,6625,6953,6449,6450,17653,36787.0,2874000.0
2008-11-19,6701,6953,6248,6903,33334,39374.0,2874000.0
2008-11-20,6449,6751,6071,6248,24801,35638.0,2874000.0
2008-11-21,5794,7003,5668,6853,52632,39086.0,2874000.0
2008-11-24,6877,7633,6348,6349,146621,36212.0,2874000.0
2008-11-25,6701,6802,6298,6450,42925,36787.0,2874000.0
2008-11-26,6600,7104,6449,6953,90334,39661.0,2874000.0
2008-11-27,7155,7608,7054,7155,71815,40811.0,2874000.0
2008-11-28,7457,7810,7205,7407,68714,42248.0,2874000.0
2008-12-01,7734,8515,7482,8516,113999,48571.0,2874000.0
2008-12-02,8364,9321,7986,7986,428675,45553.0,2874000.0
2008-12-03,8313,9170,8112,8818,579894,50295.0,2874000.0
2008-12-04,8817,8994,7507,7508,347715,42823.0,2874000.0
2008-12-05,7482,7658,7003,7558,169119,43110.0,2874000.0
2008-12-08,7608,7936,7532,7583,130647,43254.0,2874000.0
2008-12-09,7658,7709,7079,7231,173598,41242.0,2874000.0
2008-12-10,7331,7885,7255,7407,174629,42248.0,2874000.0
2008-12-11,7558,7608,7205,7382,100848,42104.0,2874000.0
2008-12-12,7381,7936,7180,7533,143901,42966.0,2874000.0
2008-12-15,7885,7986,7759,7860,91104,44834.0,2874000.0
2008-12-16,7885,8591,7709,8289,130434,47277.0,2874000.0
2008-12-17,8515,8565,7910,7961,98026,45409.0,2874000.0
2008-12-18,8162,8616,7986,8238,88457,46990.0,2874000.0
2008-12-19,8213,8490,8137,8390,60129,47852.0,2874000.0
2008-12-22,8616,8616,8062,8213,80966,46846.0,2874000.0
2008-12-23,8213,8364,7910,8012,37286,45697.0,2874000.0
2008-12-24,8213,8414,7583,7659,55087,43685.0,2874000.0
2008-12-26,7658,8112,7306,7558,48720,43110.0,2874000.0
2008-12-29,7759,7835,7306,7558,30839,43110.0,2874000.0
2008-12-30,7633,7734,7432,7483,23911,42679.0,2874000.0
2009-01-02,7709,7885,7608,7734,26929,44116.0,2874000.0
2009-01-05,7910,8465,7860,8339,79233,47565.0,2874000.0
2009-01-06,8339,8565,8162,8415,55714,49348.0,2955000.0
2009-01-07,8666,8717,8313,8339,36465,48905.0,2955000.0
2009-01-08,8465,9573,8465,9574,121927,56145.0,2955000.0
2009-01-09,10228,10833,9624,9952,198179,58361.0,2955000.0
2009-01-12,10077,10127,9346,9624,75401,56440.0,2955000.0
2009-01-13,9573,10405,9094,9246,169001,54224.0,2955000.0
2009-01-14,9271,9649,9170,9473,116680,55554.0,2955000.0
2009-01-15,9120,9321,8565,8667,86089,50826.0,2955000.0
2009-01-16,8918,9120,8742,8969,88434,52599.0,2955000.0
2009-01-19,9170,9800,9094,9221,213853,54076.0,2955000.0
2009-01-20,9220,9271,8742,8767,66092,51417.0,2955000.0
2009-01-21,8263,9195,8062,9196,103289,53929.0,2955000.0
2009-01-22,9321,9346,8792,8969,58726,52599.0,2955000.0
2009-01-23,8767,9120,8666,9045,65803,57099.0,3181000.0
2009-01-28,9321,9372,8994,9045,96807,57099.0,3181000.0
2009-01-29,9044,9145,8565,8591,79702,54236.0,3181000.0
2009-01-30,8414,8666,8313,8465,50655,53441.0,3181000.0
2009-02-02,8666,8717,8364,8516,41167,53759.0,3181000.0
2009-02-03,8641,8641,8313,8465,41514,53441.0,3181000.0
2009-02-04,8641,9472,8565,9120,219333,57576.0,3181000.0
2009-02-05,8968,9321,8918,9019,109559,56940.0,3181000.0
2009-02-06,9321,9800,9120,9574,226162,60439.0,3181000.0
2009-02-09,9875,9875,8968,9019,132053,56940.0,3181000.0
2009-02-10,9120,9246,8691,8868,74287,55986.0,3181000.0
2009-02-11,8565,9145,8565,9019,104639,56940.0,3181000.0
2009-02-12,9019,9246,8893,9070,90218,57258.0,3181000.0
2009-02-13,9195,9472,9044,9347,136335,59008.0,3181000.0
2009-02-16,9422,10178,9346,9826,254625,62030.0,3181000.0
2009-02-17,9825,10001,9145,9372,136242,59167.0,3181000.0
2009-02-18,9296,9699,8968,9700,85505,61234.0,3181000.0
2009-02-19,9724,11135,9724,10733,398483,67755.0,3181000.0
2009-02-20,10531,10833,9271,9599,173017,60598.0,3181000.0
2009-02-23,9598,10405,9472,10329,209322,65210.0,3181000.0
2009-02-24,9825,10405,9775,10329,182345,65210.0,3181000.0
2009-02-25,10757,11815,10631,10632,402330,67119.0,3181000.0
2009-02-26,10757,10984,9674,10078,202603,63620.0,3181000.0
2009-02-27,10077,10631,9926,10178,232272,64256.0,3181000.0
2009-03-02,10304,10707,9825,10581,239592,66801.0,3181000.0
2009-03-03,10077,11286,10077,11186,292955,70618.0,3181000.0
2009-03-04,11337,11765,11085,11211,333744,70777.0,3181000.0
2009-03-05,11337,11967,10959,11690,370738,73799.0,3181000.0
2009-03-06,11538,12848,11463,12849,448717,81116.0,3181000.0
2009-03-09,12596,13075,11941,13076,684126,82547.0,3181000.0
2009-03-10,12874,13352,11992,12194,354321,76980.0,3181000.0
2009-03-11,12344,13125,12118,13126,296775,82865.0,3181000.0
2009-03-12,13125,14763,13000,13302,509387,83978.0,3181000.0
2009-03-13,13680,14813,13453,14814,390912,93521.0,3181000.0
2009-03-16,14813,15418,14360,14915,269511,94158.0,3181000.0
2009-03-17,15065,15368,14587,15368,150525,97020.0,3181000.0
2009-03-18,15468,16804,15191,15948,192891,100679.0,3181000.0
2009-03-19,16224,17358,16023,17031,280167,107518.0,3181000.0
2009-03-20,17232,17585,16199,17132,248243,108154.0,3181000.0
2009-03-23,17610,19701,17434,19702,258512,124377.0,3181000.0
2009-03-24,21162,22624,20180,20407,530072,128830.0,3181000.0
2009-03-25,20003,21616,19701,20634,296906,130262.0,3181000.0
2009-03-26,21263,21389,20029,20911,204101,132012.0,3181000.0
2009-03-27,21162,21364,19071,19777,264680,124854.0,3181000.0
2009-03-30,19399,20684,19046,19147,206264,120878.0,3181000.0
2009-03-31,19399,21036,18895,20508,350609,129467.0,3181000.0
