다산네트웍스(039560),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2000-06-22,14539,14539,14539,14539,2,97548.0,2640000.0
2000-06-23,16271,16271,16271,16270,42,109164.0,2640000.0
2000-06-26,18219,18219,18219,18218,15,122232.0,2640000.0
2000-06-27,20383,20383,20383,20382,97,136752.0,2640000.0
2000-06-28,22822,22822,22822,22822,25,153120.0,2640000.0
2000-06-29,25537,25537,25537,25537,216,171336.0,2640000.0
2000-06-30,28567,28567,22508,23609,396273,158400.0,2640000.0
2000-07-03,23609,26442,22862,26442,104452,177408.0,2640000.0
2000-07-04,26442,29590,26010,29590,114326,198528.0,2640000.0
2000-07-05,30928,31873,26049,26048,134725,174768.0,2640000.0
2000-07-06,26088,29158,25183,28921,113834,194040.0,2640000.0
2000-07-07,28134,29708,25459,25576,92048,171600.0,2640000.0
2000-07-10,25616,26954,24790,26245,44215,176088.0,2640000.0
2000-07-11,26246,26246,23098,23097,40283,154968.0,2640000.0
2000-07-12,22311,24003,20461,21838,40254,146520.0,2640000.0
2000-07-13,21091,23255,20855,21838,33195,146520.0,2640000.0
2000-07-14,22429,23964,21642,23215,66446,155760.0,2640000.0
2000-07-18,24003,24987,23255,23609,41150,158400.0,2640000.0
2000-07-19,22822,23216,20816,22428,20595,150480.0,2640000.0
2000-07-20,21091,22429,20068,22389,17796,150216.0,2640000.0
2000-07-21,22232,22822,20894,22035,14605,147840.0,2640000.0
2000-07-24,20461,21091,19399,20854,30998,139920.0,2640000.0
2000-07-25,18494,20855,18494,20461,25478,137280.0,2640000.0
2000-07-26,19360,22232,19360,22035,34627,147840.0,2640000.0
2000-07-27,21957,22390,20855,21327,21913,143088.0,2640000.0
2000-07-28,20501,22508,20461,21799,31095,146256.0,2640000.0
2000-07-31,21248,21642,20658,21641,8328,145200.0,2640000.0
2000-08-01,21052,24003,21052,23412,38595,157080.0,2640000.0
2000-08-02,22626,24200,22626,23215,15745,155760.0,2640000.0
2000-08-03,23216,25970,23216,25970,89272,174240.0,2640000.0
