케이비제18호스팩(323940),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-06-24,2300,2990,2160,2990,35662448,23388.0,7822000.0
2019-06-25,3150,3300,2355,2495,18135014,19516.0,7822000.0
2019-06-26,2480,2640,2265,2300,7924389,17991.0,7822000.0
2019-06-27,2350,2390,2180,2215,5522457,17326.0,7822000.0
2019-06-28,2250,2290,2135,2165,3409323,16935.0,7822000.0
2019-07-01,2135,2175,2090,2095,2051606,16387.0,7822000.0
2019-07-02,2090,2115,2070,2080,1361893,16270.0,7822000.0
2019-07-03,2085,2105,2070,2075,1406607,16231.0,7822000.0
2019-07-04,2085,2125,2075,2075,924764,16231.0,7822000.0
2019-07-05,2075,2140,2065,2110,1163781,16504.0,7822000.0
2019-07-08,2110,2135,2075,2075,698827,16231.0,7822000.0
2019-07-09,2080,2095,2070,2070,515422,16192.0,7822000.0
2019-07-10,2075,2075,2060,2065,471534,16152.0,7822000.0
2019-07-11,2075,2085,2065,2070,331985,16192.0,7822000.0
2019-07-12,2070,2080,2065,2075,234162,16231.0,7822000.0
2019-07-15,2070,2080,2065,2070,331644,16192.0,7822000.0
2019-07-16,2075,2080,2060,2065,342330,16152.0,7822000.0
2019-07-17,2070,2070,2055,2060,334504,16113.0,7822000.0
2019-07-18,2060,2065,2050,2060,178821,16113.0,7822000.0
2019-07-19,2060,2065,2050,2060,166012,16113.0,7822000.0
2019-07-22,2065,2165,2055,2085,1536698,16309.0,7822000.0
2019-07-23,2080,2090,2065,2065,450551,16152.0,7822000.0
2019-07-24,2070,2080,2060,2060,317452,16113.0,7822000.0
2019-07-25,2070,2070,2060,2060,164829,16113.0,7822000.0
2019-07-26,2065,2070,2055,2055,197662,16074.0,7822000.0
2019-07-29,2060,2065,2050,2050,202450,16035.0,7822000.0
2019-07-30,2055,2065,2050,2055,61723,16074.0,7822000.0
2019-07-31,2055,2060,2045,2060,170545,16113.0,7822000.0
2019-08-01,2055,2065,2050,2055,124429,16074.0,7822000.0
2019-08-02,2060,2065,2055,2055,117089,16074.0,7822000.0
2019-08-05,2055,2060,2040,2050,164805,16035.0,7822000.0
2019-08-06,2050,2055,2030,2045,210370,15996.0,7822000.0
2019-08-07,2055,2055,2040,2040,123849,15957.0,7822000.0
2019-08-08,2040,2055,2040,2050,70851,16035.0,7822000.0
2019-08-09,2055,2055,2040,2050,83704,16035.0,7822000.0
2019-08-12,2050,2055,2045,2055,61337,16074.0,7822000.0
2019-08-13,2050,2060,2045,2060,70469,16113.0,7822000.0
2019-08-14,2060,2065,2045,2060,53341,16113.0,7822000.0
2019-08-16,2060,2070,2050,2065,98722,16152.0,7822000.0
2019-08-19,2070,2070,2050,2065,46760,16152.0,7822000.0
2019-08-20,2070,2070,2050,2060,98256,16113.0,7822000.0
2019-08-21,2060,2075,2055,2065,62870,16152.0,7822000.0
2019-08-22,2060,2065,2055,2060,54748,16113.0,7822000.0
2019-08-23,2065,2070,2055,2060,34917,16113.0,7822000.0
2019-08-26,2050,2065,2050,2055,46364,16074.0,7822000.0
2019-08-27,2060,2065,2050,2055,57545,16074.0,7822000.0
2019-08-28,2050,2060,2050,2060,15534,16113.0,7822000.0
2019-08-29,2055,2065,2050,2060,68900,16113.0,7822000.0
2019-08-30,2055,2065,2055,2060,44202,16113.0,7822000.0
2019-09-02,2060,2065,2055,2065,30835,16152.0,7822000.0
2019-09-03,2055,2070,2055,2065,68662,16152.0,7822000.0
2019-09-04,2065,2065,2060,2060,21110,16113.0,7822000.0
2019-09-05,2060,2060,2050,2050,40910,16035.0,7822000.0
2019-09-06,2050,2060,2050,2050,16705,16035.0,7822000.0
2019-09-09,2055,2060,2050,2060,14776,16113.0,7822000.0
2019-09-10,2055,2060,2055,2055,34691,16074.0,7822000.0
2019-09-11,2055,2065,2055,2060,22468,16113.0,7822000.0
2019-09-16,2065,2070,2060,2060,23924,16113.0,7822000.0
2019-09-17,2055,2065,2050,2060,114951,16113.0,7822000.0
2019-09-18,2065,2070,2055,2055,60407,16074.0,7822000.0
2019-09-19,2055,2070,2055,2070,48391,16192.0,7822000.0
2019-09-20,2060,2075,2060,2070,76872,16192.0,7822000.0
2019-09-23,2070,2075,2065,2075,31629,16231.0,7822000.0
2019-09-24,2065,2070,2065,2065,19784,16152.0,7822000.0
2019-09-25,2065,2075,2060,2075,57665,16231.0,7822000.0
2019-09-26,2080,2080,2065,2075,20667,16231.0,7822000.0
2019-09-27,2075,2095,2070,2085,47070,16309.0,7822000.0
2019-09-30,2085,2090,2070,2080,14372,16270.0,7822000.0
2019-10-01,2085,2085,2075,2080,19639,16270.0,7822000.0
2019-10-02,2085,2085,2065,2080,29700,16270.0,7822000.0
2019-10-04,2075,2085,2065,2075,21555,16231.0,7822000.0
2019-10-07,2065,2080,2065,2070,32269,16192.0,7822000.0
