THE MIDONG(161570),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2013-11-13,6470,6653,5502,5503,1639377,49500.0,3000000.0
2013-11-14,5636,5703,5186,5403,464330,48600.0,3000000.0
2013-11-15,5519,5619,5352,5436,428131,48900.0,3000000.0
2013-11-18,5452,5703,5169,5186,531452,46650.0,3000000.0
2013-11-19,5269,5319,4752,4853,336375,43650.0,3000000.0
2013-11-20,4852,4885,4619,4686,184229,42150.0,3000000.0
2013-11-21,4702,4919,4635,4803,174172,43200.0,3000000.0
2013-11-22,4885,4902,4719,4736,212979,42600.0,3000000.0
2013-11-25,4802,4969,4702,4869,189326,43800.0,3000000.0
2013-11-26,4835,4852,4752,4803,73411,43200.0,3000000.0
2013-11-27,4769,4969,4752,4753,100061,42750.0,3000000.0
2013-11-28,4752,4919,4735,4869,86196,43800.0,3000000.0
2013-11-29,4902,4902,4602,4686,155270,42150.0,3000000.0
2013-12-02,4685,4702,4469,4486,97522,40350.0,3000000.0
2013-12-03,4469,4469,4202,4202,129655,37800.0,3000000.0
2013-12-04,4168,4252,4118,4186,72009,37650.0,3000000.0
2013-12-05,4252,4569,4252,4552,223527,40950.0,3000000.0
2013-12-06,4552,4802,4485,4753,135319,42750.0,3000000.0
2013-12-09,4802,5452,4719,5453,735922,49050.0,3000000.0
2013-12-10,5719,6270,5603,6270,926582,56400.0,3000000.0
2013-12-11,6320,7203,6270,7204,827296,64800.0,3000000.0
2013-12-12,7504,8104,6736,6920,1316703,62250.0,3000000.0
2013-12-13,7003,7103,6536,6737,848887,60600.0,3000000.0
2013-12-16,6736,6836,6386,6620,488436,59550.0,3000000.0
2013-12-17,6703,6987,6186,6287,853258,56550.0,3000000.0
2013-12-18,6386,6520,6186,6437,391904,57900.0,3000000.0
2013-12-19,6653,7070,6403,6837,819455,61500.0,3000000.0
2013-12-20,6920,7070,6169,6220,710607,55950.0,3000000.0
2013-12-23,7150,7150,7150,7150,24637,21450.0,3000000.0
2013-12-24,8220,8220,8220,8220,9464,24660.0,3000000.0
2013-12-26,9450,9450,7830,7830,1918687,23490.0,3000000.0
2013-12-27,7980,8950,7670,8430,2080663,25290.0,3000000.0
2013-12-30,8400,8860,8190,8260,543820,24780.0,3000000.0
2014-01-02,8300,8390,7350,7500,700845,22500.0,3000000.0
2014-01-03,7560,7570,7000,7200,598357,21600.0,3000000.0
2014-01-06,7200,7490,7140,7390,514532,22170.0,3000000.0
2014-01-07,7310,8290,7240,7620,1272834,22860.0,3000000.0
2014-01-08,7750,7830,7550,7560,425514,22680.0,3000000.0
2014-01-09,7450,7480,7180,7220,395820,21660.0,3000000.0
2014-01-10,7140,7320,6900,6900,319483,20700.0,3000000.0
2014-01-13,6840,7100,6690,6900,397937,20700.0,3000000.0
2014-01-14,6410,6550,6240,6420,1343331,57780.0,9000000.0
2014-01-15,6490,6750,6370,6430,1324509,57870.0,9000000.0
2014-01-16,6590,6590,6270,6280,553925,56520.0,9000000.0
2014-01-17,6220,6300,5940,5970,598383,53730.0,9000000.0
2014-01-20,5930,6100,5860,5930,493623,53370.0,9000000.0
2014-01-21,5990,6290,5970,6030,979384,54270.0,9000000.0
2014-01-22,6110,6300,6100,6180,626496,55620.0,9000000.0
2014-01-23,6140,6220,5980,5980,402520,53820.0,9000000.0
2014-01-24,5910,5950,5570,5600,638158,50400.0,9000000.0
2014-01-27,5460,5470,5220,5240,495552,47160.0,9000000.0
2014-01-28,5270,5360,5170,5310,303328,47790.0,9000000.0
2014-01-29,5370,5400,5260,5270,254380,47430.0,9000000.0
2014-02-03,5260,5340,5090,5090,224768,45810.0,9000000.0
2014-02-04,4965,5400,4900,5290,741415,47610.0,9000000.0
2014-02-05,5320,6080,5300,6080,2226869,54720.0,9000000.0
2014-02-06,6220,6310,5770,5770,2517226,51930.0,9000000.0
2014-02-07,5820,5950,5640,5940,1057417,53460.0,9000000.0
2014-02-10,5960,6140,5760,5770,1104838,51930.0,9000000.0
2014-02-11,5740,5950,5710,5790,766247,52110.0,9000000.0
2014-02-12,5930,6240,5870,6050,1941431,54450.0,9000000.0
2014-02-13,6150,6190,5930,5930,790304,53370.0,9000000.0
2014-02-14,6010,6250,5950,6050,1404576,54450.0,9000000.0
2014-02-17,5780,5840,5260,5360,1343489,48240.0,9000000.0
2014-02-18,5440,5450,5150,5300,596523,47700.0,9000000.0
2014-02-19,5320,5450,5210,5420,475312,48780.0,9000000.0
2014-02-20,5420,5420,5230,5260,382936,47340.0,9000000.0
2014-02-21,5340,5400,5250,5260,312039,47340.0,9000000.0
2014-02-24,5300,5490,5240,5450,447660,49050.0,9000000.0
2014-02-25,5510,5610,5410,5420,331688,48780.0,9000000.0
2014-02-26,5490,5860,5410,5750,941213,51750.0,9000000.0
2014-02-27,5770,5860,5660,5750,562246,51750.0,9000000.0
2014-02-28,5780,5920,5680,5700,467063,51300.0,9000000.0
2014-03-03,5700,5700,5370,5400,347442,48600.0,9000000.0
2014-03-04,5370,5550,5340,5550,183879,49950.0,9000000.0
2014-03-05,5580,5590,5480,5510,228625,49590.0,9000000.0
2014-03-06,5480,5590,5480,5560,158243,50040.0,9000000.0
2014-03-07,5550,5800,5520,5770,576347,51930.0,9000000.0
2014-03-10,5780,5840,5610,5680,322203,51120.0,9000000.0
2014-03-11,5740,5870,5680,5770,440338,51930.0,9000000.0
2014-03-12,5770,5840,5380,5420,520019,48780.0,9000000.0
2014-03-13,5470,5510,5370,5420,254384,48780.0,9000000.0
2014-03-14,5360,5360,5210,5230,352533,47070.0,9000000.0
2014-03-17,5310,5320,5120,5280,148872,47520.0,9000000.0
2014-03-18,5320,5390,5190,5380,241058,48420.0,9000000.0
2014-03-19,5410,5520,5250,5490,246875,49410.0,9000000.0
2014-03-20,5530,5730,5420,5550,960950,49950.0,9000000.0
2014-03-21,5580,5630,5480,5520,269411,49680.0,9000000.0
2014-03-24,5570,5580,5400,5420,279323,48780.0,9000000.0
2014-03-25,5400,5490,5320,5340,180115,48060.0,9000000.0
2014-03-26,5380,5460,5340,5410,112803,48690.0,9000000.0
2014-03-27,5430,5630,5420,5450,232297,49050.0,9000000.0
2014-03-28,5450,5620,5440,5530,328981,49770.0,9000000.0
2014-03-31,5530,5530,5290,5310,240256,47790.0,9000000.0
2014-04-01,5370,5560,5300,5540,358951,49860.0,9000000.0
2014-04-02,5580,5600,5500,5500,239389,49500.0,9000000.0
2014-04-03,5520,5700,5520,5660,507902,50940.0,9000000.0
2014-04-04,5630,6400,5630,6210,3112386,55890.0,9000000.0
2014-04-07,6220,7010,6120,6590,4059480,59310.0,9000000.0
2014-04-08,6650,6670,6230,6430,1354281,57870.0,9000000.0
2014-04-09,6530,6940,6340,6340,2132452,57060.0,9000000.0
2014-04-10,6430,6700,6310,6440,989645,57960.0,9000000.0
2014-04-11,6590,6860,6550,6750,2137003,60750.0,9000000.0
2014-04-14,6750,6900,6610,6710,843323,60390.0,9000000.0
2014-04-15,6940,7390,6920,7130,3028672,64170.0,9000000.0
2014-04-16,7420,8190,7400,8190,2972989,73710.0,9000000.0
2014-04-17,8550,8770,7950,8360,3760587,75240.0,9000000.0
2014-04-18,8270,8320,8000,8000,1352547,72000.0,9000000.0
2014-04-21,8030,8090,7770,8080,1360990,72720.0,9000000.0
2014-04-22,8190,8600,7980,8010,2508572,72090.0,9000000.0
2014-04-23,8070,8400,7860,7930,1557290,71370.0,9000000.0
2014-04-24,8050,8230,7550,8100,1072160,72900.0,9000000.0
2014-04-25,8390,8500,8020,8130,1199892,73170.0,9000000.0
2014-04-28,8080,8180,7870,7940,663378,71460.0,9000000.0
2014-04-29,8020,8020,7400,7410,1141648,66690.0,9000000.0
2014-04-30,7500,8270,7330,7750,2626449,69750.0,9000000.0
2014-05-02,7760,8190,7680,7810,1133723,70290.0,9000000.0
2014-05-07,7820,8270,7820,8070,1205232,72630.0,9000000.0
2014-05-08,8070,8240,7850,7930,734455,71370.0,9000000.0
2014-05-09,8000,8420,7970,8410,1672222,75690.0,9000000.0
2014-05-12,8390,8450,8140,8350,735111,75150.0,9000000.0
2014-05-13,8400,8530,8100,8100,979587,72900.0,9000000.0
