인탑스(049070),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2002-02-21,6966,6966,6966,6967,307772,119540.0,8600000.0
2002-02-22,7618,7793,7417,7793,125713,133730.0,8600000.0
2002-02-25,8520,8670,7793,7944,517299,136310.0,8600000.0
2002-02-26,8019,8194,7643,7894,180386,135450.0,8600000.0
2002-02-27,7968,8820,7968,8821,456918,151360.0,8600000.0
2002-02-28,9221,9848,8896,9021,585623,154800.0,8600000.0
2002-03-04,10023,10023,9171,9297,232820,159530.0,8600000.0
2002-03-05,9723,9723,8294,8896,283452,152650.0,8600000.0
2002-03-06,8770,9948,8595,9848,410742,168990.0,8600000.0
2002-03-07,10274,11026,9973,10249,1324576,175870.0,8600000.0
2002-03-08,10499,10725,10023,10350,526163,177590.0,8600000.0
2002-03-11,10524,11226,9948,11026,646325,189200.0,8600000.0
2002-03-12,11276,11652,10800,11252,379276,193070.0,8600000.0
2002-03-13,11276,11376,11026,11252,180514,193070.0,8600000.0
2002-03-14,11326,12279,11326,11953,449351,205110.0,8600000.0
2002-03-15,11978,12228,11527,11778,255837,202100.0,8600000.0
2002-03-18,11928,12354,11828,12304,271771,211130.0,8600000.0
2002-03-19,12504,12730,11853,12530,283266,215000.0,8600000.0
2002-03-20,12955,12955,11802,11978,219872,205540.0,8600000.0
2002-03-21,11577,11777,11076,11151,248624,191350.0,8600000.0
2002-03-22,11026,12078,11026,11778,320205,202100.0,8600000.0
2002-03-25,11777,13181,11777,12530,413214,215000.0,8600000.0
2002-03-26,12429,12429,11828,12179,101745,208980.0,8600000.0
2002-03-27,12178,13431,12178,12379,345883,212420.0,8600000.0
2002-03-28,12629,13857,12629,13783,995405,236500.0,8600000.0
2002-03-29,14033,14584,13632,14209,658361,243810.0,8600000.0
2002-04-01,14785,15411,13331,13332,589426,228760.0,8600000.0
2002-04-02,13782,14384,13456,14384,446209,246820.0,8600000.0
2002-04-03,14584,16088,14183,16013,871542,274770.0,8600000.0
2002-04-04,15787,15937,15085,15712,379752,269610.0,8600000.0
2002-04-08,15536,16038,14108,14534,414379,249400.0,8600000.0
2002-04-09,14308,14709,13582,13808,396861,236930.0,8600000.0
2002-04-10,13582,13657,12203,12229,342334,209840.0,8600000.0
2002-04-11,12429,13431,12354,13432,347385,230480.0,8600000.0
2002-04-12,12780,14133,12680,13056,340524,224030.0,8600000.0
2002-04-15,13281,13732,13281,13632,207263,233920.0,8600000.0
2002-04-16,13933,13933,13281,13532,177166,232200.0,8600000.0
2002-04-17,13933,14634,13933,14309,331721,245530.0,8600000.0
2002-04-18,14208,14233,13532,14033,145142,240800.0,8600000.0
2002-04-19,13582,13807,12780,12931,266806,221880.0,8600000.0
2002-04-22,12755,12780,11402,11402,107838,195650.0,8600000.0
2002-04-23,10775,11903,10048,11602,952733,199090.0,8600000.0
2002-04-24,11727,12103,11076,11477,233176,196940.0,8600000.0
2002-04-25,11276,11351,10675,10675,202363,183180.0,8600000.0
2002-04-26,10524,11326,10123,11277,271040,193500.0,8600000.0
2002-04-29,10524,12128,10524,11427,308029,196080.0,8600000.0
2002-04-30,11627,12504,11226,12480,371954,214140.0,8600000.0
2002-05-02,12880,13080,12379,12455,288320,213710.0,8600000.0
2002-05-03,12529,12755,11828,11828,210369,202960.0,8600000.0
2002-05-06,11627,11878,11301,11377,136885,195220.0,8600000.0
2002-05-07,10675,11351,10675,11277,225381,193500.0,8600000.0
2002-05-08,11577,11953,11276,11377,238514,195220.0,8600000.0
2002-05-09,11903,12103,11477,11678,251939,200380.0,8600000.0
2002-05-10,11527,11677,10925,11527,152067,197800.0,8600000.0
