바른손(018700),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,42535,42535,42535,42522,0,5130.0,1140000.0
1999-01-05,42535,42535,42535,42522,0,,
1999-01-06,42535,42535,42535,42522,0,,
1999-01-07,42535,42535,42535,42522,0,,
1999-01-08,42535,42535,42535,42522,0,,
1999-01-11,42535,42535,42535,42522,0,,
1999-01-12,42535,42535,42535,42522,0,,
1999-01-13,42535,42535,42535,42522,0,,
1999-01-14,42535,42535,42535,42522,0,,
1999-01-15,42535,42535,42535,42522,0,,
1999-01-18,42535,42535,42535,42522,0,,
1999-01-19,42535,42535,42535,42522,0,,
1999-01-20,42535,42535,42535,42522,0,,
1999-01-21,42535,42535,42535,42522,0,,
1999-01-22,42535,42535,42535,42522,0,,
1999-01-25,42535,42535,42535,42522,0,,
1999-01-26,42535,42535,42535,42522,0,,
1999-01-27,42535,42535,42535,42522,0,,
1999-01-28,42535,42535,42535,42522,0,,
1999-01-29,42535,42535,42535,42522,0,,
1999-02-01,47613,47613,47613,47600,0,5746.0,1140000.0
1999-02-02,47613,47613,47613,47600,0,5746.0,1140000.0
1999-02-03,47613,47613,47613,47600,0,,
1999-02-04,47613,47613,47613,47600,0,,
1999-02-05,47613,47613,47613,47600,0,,
1999-02-08,47613,47613,47613,47600,0,,
1999-02-09,47613,47613,47613,47600,0,,
1999-02-10,47613,47613,47613,47600,0,,
1999-02-11,47613,47613,47613,47600,0,,
1999-02-12,47613,47613,47613,47600,0,,
1999-02-18,47613,47613,47613,47600,0,,
1999-02-19,47613,47613,47613,47600,0,,
1999-02-22,47613,47613,47613,47600,0,,
1999-02-23,47613,47613,47613,47600,0,,
1999-02-24,47613,47613,47613,47600,0,,
1999-02-25,47613,47613,47613,47600,0,,
1999-02-26,47613,47613,47613,47600,0,,
1999-03-02,47613,47613,47613,47600,0,,
1999-03-03,47613,47613,47613,47600,0,,
1999-03-04,47613,47613,47613,47600,0,,
1999-03-05,47613,47613,47613,47600,0,,
1999-03-08,47613,47613,47613,47600,0,,
1999-03-09,47613,47613,47613,47600,0,,
1999-03-10,47613,47613,47613,47600,0,,
1999-03-11,47613,47613,47613,47600,0,,
1999-03-12,47613,47613,47613,47600,0,,
1999-03-15,47613,47613,47613,47600,0,,
1999-03-16,47613,47613,47613,47600,0,,
1999-03-17,47613,47613,47613,47600,0,,
1999-03-18,47613,47613,47613,47600,0,,
1999-03-19,47613,47613,47613,47600,0,,
1999-03-22,47613,47613,47613,47600,0,,
1999-03-23,41937,41937,41937,41939,5000,5062.0,1140000.0
1999-03-24,37048,37048,37048,37035,2330,4469.0,1140000.0
1999-03-25,37048,37048,37048,37035,0,4469.0,1140000.0
1999-03-26,37048,37048,37048,37035,0,,
1999-03-29,37048,37048,37048,37035,0,,
1999-03-30,37048,37048,37048,37035,0,,
1999-03-31,37048,37048,37048,37035,0,,
1999-04-01,37048,37048,37048,37035,0,,
1999-04-02,37048,37048,37048,37035,0,,
1999-04-06,37048,37048,37048,37035,0,,
1999-04-07,37048,37048,37048,37035,0,,
1999-04-08,37048,37048,37048,37035,0,,
1999-04-09,37048,37048,37048,37035,0,,
1999-04-12,37048,37048,37048,37035,0,,
1999-04-13,37048,37048,37048,37035,0,,
1999-04-14,37048,37048,37048,37035,0,,
1999-04-15,37048,37048,37048,37035,0,,
1999-04-16,37048,37048,37048,37035,0,,
1999-04-19,37048,37048,37048,37035,0,,
1999-04-20,37048,37048,37048,37035,0,,
1999-04-21,37048,37048,37048,37035,0,,
1999-04-22,37048,37048,37048,37035,0,,
1999-04-23,37048,37048,37048,37035,0,,
1999-04-26,37048,37048,37048,37035,0,,
1999-04-27,37048,37048,37048,37035,0,,
1999-04-28,37048,37048,37048,37035,0,,
1999-04-29,37048,37048,37048,37035,0,,
1999-04-30,37048,37048,37048,37035,0,,
1999-05-03,37048,37048,37048,37035,0,,
1999-05-04,37093,37093,37093,37093,0,4480.0,1140000.0
1999-05-06,37217,41572,37217,41559,4300,5016.0,1140000.0
1999-05-07,46458,46458,46458,46462,50,5609.0,1140000.0
1999-05-10,52061,52061,52061,52065,5600,6281.0,1140000.0
1999-05-11,58295,58295,45821,58282,180,7034.0,1140000.0
1999-05-12,65262,65262,51276,51278,17450,6190.0,1140000.0
1999-05-13,45366,45366,45366,45353,0,5472.0,1140000.0
1999-05-14,45366,45366,45366,45353,0,5472.0,1140000.0
1999-05-17,39953,39953,39953,39953,100,4822.0,1140000.0
1999-05-18,35327,35327,35327,35313,10,4264.0,1140000.0
1999-05-19,35327,35327,35327,35313,0,4264.0,1140000.0
1999-05-20,35327,35327,35327,35313,0,,
1999-05-21,31197,32145,31197,32133,40,3876.0,1140000.0
1999-05-24,32565,32565,32565,32570,0,3933.0,1140000.0
1999-05-25,32565,32565,32565,32570,0,3933.0,1140000.0
1999-05-26,36450,36450,36450,36452,10,4400.0,1140000.0
1999-05-27,36450,36450,36450,36452,0,4400.0,1140000.0
1999-05-28,40842,40842,40842,40829,1000,4925.0,1140000.0
1999-05-31,45629,45629,45629,45615,30,5506.0,1140000.0
1999-06-01,51011,51011,51011,51015,13890,6156.0,1140000.0
1999-06-02,57039,57039,57039,57027,27830,6886.0,1140000.0
1999-06-03,63868,63868,63868,63855,51050,7706.0,1140000.0
1999-06-04,71515,71515,71515,71502,61250,8630.0,1140000.0
1999-06-07,80008,80008,80008,79995,30010,9656.0,1140000.0
1999-06-08,89534,89534,89534,89538,1100,10807.0,1140000.0
1999-06-09,100117,100117,78856,86883,96570,10488.0,1140000.0
1999-06-10,85948,97271,85948,97272,74390,11742.0,1140000.0
1999-06-11,105765,108592,97268,108596,109780,13110.0,1140000.0
1999-06-14,121367,121367,114276,119948,303410,14478.0,1140000.0
1999-06-15,118983,123703,105763,105765,42180,12768.0,1140000.0
1999-06-16,105791,118078,94464,117117,691010,14136.0,1140000.0
1999-06-17,113326,117102,103409,107662,380010,12996.0,1140000.0
1999-06-18,104836,107680,94920,99169,510250,11970.0,1140000.0
1999-06-21,103891,109073,94446,102934,440190,12426.0,1140000.0
1999-06-22,100105,100105,90660,90648,73590,10944.0,1140000.0
1999-06-23,79815,79815,79815,79820,25390,9633.0,1140000.0
1999-06-24,71050,79838,70287,72553,264170,8755.0,1140000.0
1999-06-25,71798,71798,63865,64235,362140,7752.0,1140000.0
1999-06-28,60457,70850,57813,64235,196230,7752.0,1140000.0
1999-06-29,57809,64243,56585,56589,73720,6829.0,1140000.0
1999-06-30,56698,63301,50079,63301,222850,7638.0,1140000.0
1999-07-01,69898,70739,60456,70743,382330,8539.0,1140000.0
1999-07-02,70871,70871,63321,68029,88320,8208.0,1140000.0
1999-07-05,68951,68951,59889,65928,216010,7957.0,1140000.0
1999-07-06,70845,70845,58561,62338,130530,7524.0,1140000.0
1999-07-07,60559,62823,58099,61404,105030,7410.0,1140000.0
1999-07-08,62332,65175,56678,59507,193410,7182.0,1140000.0
1999-07-09,61415,61415,55744,58573,89260,7068.0,1140000.0
1999-07-12,54792,58569,51583,54779,232000,6612.0,1140000.0
1999-07-13,56866,56866,51945,51949,106250,6270.0,1140000.0
1999-07-14,53852,58193,53852,58194,190930,7022.0,1140000.0
1999-07-15,63300,63300,58486,61317,148420,7399.0,1140000.0
1999-07-16,59490,59490,54020,55626,154010,6715.0,1140000.0
1999-07-19,50363,54811,50363,53758,48640,6487.0,1140000.0
1999-07-20,53860,56685,48373,55742,53590,6726.0,1140000.0
1999-07-21,52900,54795,50529,52795,71150,6373.0,1140000.0
1999-07-22,47225,51949,47225,48359,51550,5837.0,1140000.0
1999-07-23,44394,52416,44394,47221,66290,5700.0,1140000.0
1999-07-26,48178,48178,41572,41559,73460,5016.0,1140000.0
1999-07-27,37782,45335,37782,42113,20070,5084.0,1140000.0
1999-07-28,40628,43943,38363,39866,40040,4811.0,1140000.0
1999-07-29,37789,44590,37789,44594,145240,5381.0,1140000.0
1999-07-30,49879,49879,44882,46199,121630,5575.0,1140000.0
1999-08-02,42512,46103,40709,42697,51030,5153.0,1140000.0
1999-08-03,38737,43656,38737,43660,45680,5267.0,1140000.0
1999-08-04,47223,47223,43635,44857,12530,5415.0,1140000.0
1999-08-05,42506,46296,39677,41559,71490,5016.0,1140000.0
1999-08-06,43653,44310,39678,43456,44260,5244.0,1140000.0
1999-08-09,43439,43439,39662,40887,56370,4936.0,1140000.0
1999-08-10,39296,40531,39296,39953,26270,4822.0,1140000.0
1999-08-11,40631,40631,37805,37882,44720,4571.0,1140000.0
1999-08-12,39671,39671,35898,38728,42120,4674.0,1140000.0
1999-08-13,38721,38721,34107,35897,32490,4332.0,1140000.0
1999-08-16,37776,40147,34003,38728,76980,4674.0,1140000.0
1999-08-17,38761,40640,34130,34117,74720,4115.0,1140000.0
1999-08-18,30234,32499,30035,31170,63610,3762.0,1140000.0
1999-08-19,28357,32134,28357,31081,39460,3751.0,1140000.0
1999-08-20,31180,34771,31180,34759,102650,4195.0,1140000.0
1999-08-23,34785,38945,33075,38932,400840,4697.0,1140000.0
1999-08-24,39217,43575,39217,42522,392870,5130.0,1140000.0
1999-08-25,41566,42972,38723,38728,114100,4674.0,1140000.0
1999-08-26,39213,39213,34201,37794,92370,4560.0,1140000.0
1999-08-27,37806,39701,33266,33270,77370,4013.0,1140000.0
1999-08-30,31257,35979,31257,34467,158920,4161.0,1140000.0
1999-08-31,33074,35917,32126,32220,102860,3887.0,1140000.0
1999-09-01,32311,34863,30707,32774,60890,3956.0,1140000.0
1999-09-02,32116,32116,29287,31170,45190,3762.0,1140000.0
1999-09-03,31197,34023,28919,32133,93280,3876.0,1140000.0
1999-09-06,30252,35923,28356,34963,181470,4218.0,1140000.0
1999-09-07,34949,35420,31172,31724,109330,3830.0,1140000.0
1999-09-08,33367,33367,30248,30236,49440,3648.0,1140000.0
1999-09-09,30333,33740,29769,32978,79170,3979.0,1140000.0
1999-09-10,29935,33051,29935,32015,52800,3865.0,1140000.0
1999-09-13,32975,32975,30330,30790,43670,3716.0,1140000.0
1999-09-14,30016,30688,28320,30585,77980,3694.0,1140000.0
1999-09-15,30236,31658,29763,31081,40940,3751.0,1140000.0
1999-09-16,31171,31171,29475,30118,33280,3637.0,1140000.0
1999-09-17,29485,30706,29300,30236,53100,3648.0,1140000.0
1999-09-20,31163,31163,28337,29273,109050,3534.0,1140000.0
1999-09-21,28897,29280,28148,28426,92900,3431.0,1140000.0
1999-09-22,28532,29189,27861,28339,88240,3420.0,1140000.0
1999-09-27,29778,30144,26658,26646,55330,3215.0,1140000.0
1999-09-28,28067,28067,24564,25974,37090,3135.0,1140000.0
1999-09-29,25899,25899,22876,24573,16670,2964.0,1140000.0
1999-09-30,24083,25506,22770,25507,56060,3078.0,1140000.0
1999-10-01,22485,25495,22485,22472,29850,2713.0,1140000.0
1999-10-04,22857,24554,21711,23610,18460,2850.0,1140000.0
1999-10-05,23504,26436,23504,26150,69580,3158.0,1140000.0
