에코바이오(038870),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2001-05-29,251288,251288,251288,251241,14,56423.0,15249400.0
2001-05-30,281116,281116,281116,281121,68,63133.0,15249400.0
2001-05-31,314438,314438,314438,314392,1171,70605.0,15249400.0
2001-06-01,351738,351738,351738,351738,124529,78992.0,15249400.0
2001-06-04,387107,393888,342951,393841,10477600,88447.0,15249400.0
2001-06-05,407417,440715,347005,347666,9534186,78077.0,15249400.0
2001-06-07,366703,366703,333406,340193,2763685,76399.0,15249400.0
2001-06-08,329384,362629,327346,353097,1999766,79297.0,15249400.0
2001-06-11,353114,395227,353114,377540,4852263,84787.0,15249400.0
2001-06-12,380303,389788,368727,373470,1756984,83872.0,15249400.0
2001-06-13,373553,379620,336838,342911,1867921,77009.0,15249400.0
2001-06-14,346333,361273,346333,355819,1368329,79907.0,15249400.0
2001-06-15,359925,369410,347028,359212,2001857,80669.0,15249400.0
2001-06-18,353796,357874,334774,339517,850774,76247.0,15249400.0
2001-06-19,330707,346360,315767,346308,1041903,77772.0,15249400.0
2001-06-20,356576,363362,332103,332051,1372546,74570.0,15249400.0
2001-06-21,321884,347023,321884,329332,1500168,73960.0,15249400.0
2001-06-22,329369,335437,321215,322540,1259652,72435.0,15249400.0
2001-06-25,316460,331400,283832,283833,1661119,63742.0,15249400.0
2001-06-26,279747,288620,249871,258032,1285062,57948.0,15249400.0
2001-06-27,264829,279105,258708,271611,1063015,60998.0,15249400.0
2001-06-28,258730,284582,258730,268217,726252,60235.0,15249400.0
2001-06-29,272345,282543,266890,268217,536756,60235.0,15249400.0
2001-07-02,268229,276388,266190,272972,673464,61303.0,15249400.0
2001-07-03,272982,289300,270283,288587,983188,64810.0,15249400.0
2001-07-04,292016,292725,281867,284518,510661,63895.0,15249400.0
2001-07-05,281141,287922,270278,273647,458033,61455.0,15249400.0
2001-07-06,273684,281791,261448,272972,588038,61303.0,15249400.0
2001-07-09,261450,268231,253290,262111,346817,58863.0,15249400.0
2001-07-10,262144,289981,258061,287229,796861,64505.0,15249400.0
2001-07-11,254679,283847,254679,271611,336302,60998.0,15249400.0
2001-07-12,273684,290663,273684,287913,759527,64657.0,15249400.0
2001-07-13,287930,292667,269619,271611,795044,60998.0,15249400.0
2001-07-16,271641,277761,257366,258032,531121,57948.0,15249400.0
2001-07-18,258066,261483,227525,227473,919582,51085.0,15249400.0
2001-07-19,224070,224070,200315,202355,1308058,45443.0,15249400.0
2001-07-20,193542,207104,188081,205066,953087,46053.0,15249400.0
2001-07-23,188829,201018,180675,180623,780102,40563.0,15249400.0
2001-07-24,170480,182716,159617,174510,1085343,39191.0,15249400.0
2001-07-25,171833,194880,171833,194881,1307470,43766.0,15249400.0
2001-07-26,201016,205806,188827,193523,1190848,43461.0,15249400.0
2001-07-27,196974,212579,194935,203708,1054424,45748.0,15249400.0
2001-07-30,204440,211221,198320,200312,506148,44986.0,15249400.0
2001-07-31,198315,205809,195616,195563,473518,43918.0,15249400.0
2001-08-01,203047,209167,197639,205752,680906,46206.0,15249400.0
2001-08-02,211193,226129,205786,213894,899890,48036.0,15249400.0
2001-08-03,210546,239048,207842,229516,2017476,51543.0,15249400.0
2001-08-06,226150,251288,220743,251241,1091690,56423.0,15249400.0
2001-08-07,251288,261485,243842,251241,1313288,56423.0,15249400.0
2001-08-08,249899,251278,232920,244450,873460,54898.0,15249400.0
2001-08-09,234967,239757,227525,227473,453686,51085.0,15249400.0
2001-08-10,227490,237688,224073,224079,337371,50323.0,15249400.0
2001-08-13,227530,245888,224113,234265,733185,52610.0,15249400.0
2001-08-14,237708,246532,234296,237661,580939,53373.0,15249400.0
2001-08-16,225467,248561,225467,245810,695916,55203.0,15249400.0
2001-08-17,248538,262765,227487,236307,1562333,53068.0,15249400.0
2001-08-20,230863,235654,217302,220007,813318,49408.0,15249400.0
2001-08-21,221369,232892,219996,230194,1094037,51695.0,15249400.0
2001-08-22,229554,248571,224758,246486,1384430,55355.0,15249400.0
2001-08-23,253336,254709,217329,223403,2100936,50171.0,15249400.0
2001-08-24,226819,227484,215248,219331,475022,49256.0,15249400.0
2001-08-27,221412,224115,207845,208463,419487,46816.0,15249400.0
2001-08-28,203777,209898,184755,189450,557160,42546.0,15249400.0
2001-08-29,186778,194937,179284,181984,494042,40868.0,15249400.0
2001-08-30,179290,192186,167761,186731,436210,41936.0,15249400.0
2001-08-31,182711,185415,164354,169762,357442,38124.0,15249400.0
2001-09-03,169784,175239,165041,166368,322907,37361.0,15249400.0
2001-09-04,173153,186108,171168,186056,316447,41783.0,15249400.0
2001-09-05,203755,207832,194931,207785,1486486,46663.0,15249400.0
2001-09-06,210532,221390,204411,215936,966595,48493.0,15249400.0
2001-09-07,220003,228823,207815,222042,851711,49866.0,15249400.0
2001-09-10,220739,245164,217322,233589,1058725,52458.0,15249400.0
2001-09-11,237718,239043,228180,233589,588721,52458.0,15249400.0
2001-09-12,205798,205798,205798,205752,27581,46206.0,15249400.0
2001-09-13,194214,224807,194214,215936,1250544,48493.0,15249400.0
2001-09-14,211889,226830,190120,196241,1155818,44071.0,15249400.0
2001-09-17,198289,198289,173204,173157,477898,38886.0,15249400.0
2001-09-18,173898,191542,173898,183335,890671,41173.0,15249400.0
2001-09-19,184004,205060,184004,205066,1155639,46053.0,15249400.0
2001-09-20,207106,211897,194204,194205,919822,43613.0,15249400.0
2001-09-21,194235,196273,180668,193523,530872,43461.0,15249400.0
2001-09-24,192900,207132,192900,201672,645375,45291.0,15249400.0
2001-09-25,210510,211883,178597,185378,826271,41631.0,15249400.0
2001-09-26,187433,192176,179987,186056,380125,41783.0,15249400.0
2001-09-27,186751,192153,183334,185378,311279,41631.0,15249400.0
2001-09-28,182001,192864,182001,191486,401509,43003.0,15249400.0
2001-10-04,196989,208518,196276,206426,582278,46358.0,15249400.0
2001-10-05,206431,225448,205052,215252,1514762,48341.0,15249400.0
2001-10-08,207825,226129,202369,213894,1437864,48036.0,15249400.0
2001-10-09,218678,239021,217965,236983,2152404,53220.0,15249400.0
2001-10-10,241062,264822,241062,264823,2943468,59473.0,15249400.0
2001-10-11,275048,287289,260108,266181,2394402,59778.0,15249400.0
2001-10-12,277789,294055,266213,284518,2676002,63895.0,15249400.0
2001-10-15,292004,318516,290679,318469,2456995,71520.0,15249400.0
2001-10-16,319193,340254,311034,319147,2893804,71672.0,15249400.0
2001-10-17,329382,334119,314436,316427,2256500,71062.0,15249400.0
2001-10-18,306292,321897,304253,304206,1018381,68317.0,15249400.0
2001-10-19,305619,329379,305619,329332,1719746,73960.0,15249400.0
2001-10-22,332723,368719,332063,364643,2663621,81889.0,15249400.0
2001-10-23,364655,370111,348388,354458,1497820,79602.0,15249400.0
2001-10-24,353784,373514,325947,345630,1625370,77619.0,15249400.0
2001-10-25,345622,355160,332725,332726,1135356,74722.0,15249400.0
2001-10-26,332758,359935,326690,359888,1399308,80822.0,15249400.0
2001-10-29,363332,378272,362618,363285,1474729,81584.0,15249400.0
2001-10-30,350357,357856,319821,319822,1443542,71825.0,15249400.0
2001-10-31,322608,351115,304916,336123,1659088,75485.0,15249400.0
2001-11-01,342916,352448,335474,349703,755352,78534.0,15249400.0
2001-11-02,353121,360562,336142,347666,1157171,78077.0,15249400.0
2001-11-05,349714,361950,344311,354458,1002202,79602.0,15249400.0
2001-11-06,357236,367429,351115,359888,1087287,80822.0,15249400.0
2001-11-07,363311,402672,361268,383656,2541958,86159.0,15249400.0
2001-11-08,380296,400639,380296,390446,1081769,87684.0,15249400.0
2001-11-09,392494,397289,343601,348345,1312372,78229.0,15249400.0
2001-11-12,349720,376236,349720,374146,1179226,84024.0,15249400.0
2001-11-13,376901,383682,351103,361248,1086379,81127.0,15249400.0
2001-11-14,366700,369452,353139,363285,851609,81584.0,15249400.0
2001-11-15,360565,383660,360565,375506,1241375,84329.0,15249400.0
2001-11-16,373479,396574,373479,393158,1193523,88294.0,15249400.0
2001-11-19,400672,410870,383033,391804,1233950,87989.0,15249400.0
2001-11-20,395889,397214,380949,385691,938309,86617.0,15249400.0
2001-11-21,380333,385735,339590,349027,1092555,78382.0,15249400.0
2001-11-22,342939,355175,307602,333401,1335851,74875.0,15249400.0
2001-11-23,314446,336832,310369,312355,927479,70147.0,15249400.0
2001-11-26,319199,337551,308336,327971,970995,73655.0,15249400.0
2001-11-27,319187,344325,319187,338156,610767,75942.0,15249400.0
2001-11-28,334784,343604,310359,316427,505622,71062.0,15249400.0
2001-11-29,311006,325941,302186,315750,363181,70910.0,15249400.0
2001-11-30,319196,325977,306299,306247,552996,68775.0,15249400.0
2001-12-03,316495,342959,315782,342911,1202384,77009.0,15249400.0
2001-12-04,346333,370753,342916,355819,1182886,79907.0,15249400.0
2001-12-05,356561,370788,333462,353097,1056780,79297.0,15249400.0
2001-12-06,363339,363339,339580,346308,506691,77772.0,15249400.0
2001-12-07,346366,368087,332751,368040,976700,82652.0,15249400.0
2001-12-10,373489,376906,364670,368040,799732,82652.0,15249400.0
2001-12-11,361290,370111,357213,369398,513137,82957.0,15249400.0
2001-12-12,373532,390511,373532,380261,1029268,85397.0,15249400.0
2001-12-13,361961,380318,361961,370074,438081,83109.0,15249400.0
2001-12-14,360560,380285,346333,349703,599316,78534.0,15249400.0
2001-12-17,349737,373497,349737,366004,741286,82194.0,15249400.0
2001-12-18,364655,370111,339569,339517,738215,76247.0,15249400.0
2001-12-19,339511,352408,298772,298773,818921,67097.0,15249400.0
2001-12-20,268249,295426,263506,295379,2486940,66335.0,15249400.0
2001-12-21,260066,285201,260066,260068,630979,58405.0,15249400.0
2001-12-24,245829,260109,229563,229516,853979,51543.0,15249400.0
2001-12-26,222782,237722,210546,229516,807700,51543.0,15249400.0
2001-12-27,224750,247898,224750,247847,699682,55660.0,15249400.0
2001-12-28,249876,272311,249876,268900,492532,60388.0,15249400.0
2002-01-02,268920,275701,261474,261426,588759,58710.0,15249400.0
2002-01-03,265520,266185,247833,258032,798438,57948.0,15249400.0
2002-01-04,268244,280481,265540,275691,776899,61913.0,15249400.0
2002-01-07,278427,283169,266850,266857,501905,59930.0,15249400.0
2002-01-08,264844,264844,241080,250565,608827,56270.0,15249400.0
2002-01-09,250610,251940,240417,246486,470205,55355.0,15249400.0
2002-01-10,244484,275685,233621,275691,1604349,61913.0,15249400.0
2002-01-11,281163,287944,262806,265505,741235,59625.0,15249400.0
2002-01-14,265542,268246,256723,258715,281270,58100.0,15249400.0
2002-01-15,256028,266891,249912,253276,367668,56880.0,15249400.0
2002-01-16,256733,259437,249239,250565,301895,56270.0,15249400.0
2002-01-17,246525,247190,236327,243774,286360,54745.0,15249400.0
2002-01-18,244472,250587,239016,241055,214279,54135.0,15249400.0
2002-01-21,244484,268909,237703,254635,440073,57185.0,15249400.0
2002-01-22,251278,256020,244497,244450,295843,54898.0,15249400.0
2002-01-23,241069,247850,239030,243774,250019,54745.0,15249400.0
2002-01-24,244461,244461,230851,236307,400989,53068.0,15249400.0
2002-01-25,228807,247825,228807,236307,322040,53068.0,15249400.0
2002-01-28,232888,249866,232888,247168,382030,55508.0,15249400.0
2002-01-29,245160,267594,244495,261426,513857,58710.0,15249400.0
2002-01-30,261453,285218,252634,279763,657235,62828.0,15249400.0
2002-01-31,277772,289960,271651,279763,403014,62828.0,15249400.0
2002-02-01,285226,286551,261465,271611,387179,60998.0,15249400.0
2002-02-04,270929,285206,270264,275008,321190,61760.0,15249400.0
2002-02-05,264151,296779,264151,287913,818454,64657.0,15249400.0
2002-02-06,288627,293370,283837,285876,380621,64200.0,15249400.0
2002-02-07,280483,285226,262125,271611,378687,60998.0,15249400.0
2002-02-08,267579,278442,254682,260750,322541,58558.0,15249400.0
2002-02-14,260730,270927,258031,258032,287017,57948.0,15249400.0
2002-02-15,258059,266878,256733,259390,205393,58253.0,15249400.0
2002-02-18,261485,265562,249910,251241,264627,56423.0,15249400.0
2002-02-19,251288,256743,246546,251241,233073,56423.0,15249400.0
2002-02-20,248571,255352,248571,252602,202944,56728.0,15249400.0
2002-02-21,247830,263483,247830,260068,247625,58405.0,15249400.0
2002-02-22,260071,281128,260071,275008,435716,61760.0,15249400.0
2002-02-25,277710,284540,274346,275008,295899,61760.0,15249400.0
2002-02-26,275038,279115,268917,278402,314526,62523.0,15249400.0
2002-02-27,282535,292019,281156,291307,402060,65420.0,15249400.0
2002-02-28,289297,305563,287259,305564,323845,68622.0,15249400.0
2002-03-04,309628,318500,300808,302853,698497,68012.0,15249400.0
2002-03-05,311702,311702,277084,287229,530091,64505.0,15249400.0
2002-03-06,288644,321227,288644,321180,1034661,72130.0,15249400.0
2002-03-07,315106,340245,314446,321180,1003893,72130.0,15249400.0
2002-03-08,319188,334129,306292,312355,808971,70147.0,15249400.0
2002-03-11,315746,326605,312378,317786,726890,71367.0,15249400.0
2002-03-12,319858,330056,317155,319147,626550,71672.0,15249400.0
2002-03-13,313738,320567,301549,304206,527664,68317.0,15249400.0
2002-03-14,292735,312422,292022,300134,495069,67402.0,15249400.0
2002-03-15,293370,307640,292705,304889,444001,68470.0,15249400.0
2002-03-18,305563,317800,305563,305564,431771,68622.0,15249400.0
2002-03-19,306282,328003,300826,316427,837496,71062.0,15249400.0
2002-03-20,319826,327980,313705,315750,882977,70910.0,15249400.0
2002-03-21,315784,327360,315784,317111,633650,71215.0,15249400.0
2002-03-22,319203,321242,285241,300134,815713,67402.0,15249400.0
2002-03-25,302842,306259,291984,291984,429232,65572.0,15249400.0
2002-03-26,289950,298769,281791,281797,658117,63285.0,15249400.0
2002-03-27,275709,281830,253988,268217,948950,60235.0,15249400.0
2002-03-28,271679,300181,263520,300134,1041656,67402.0,15249400.0
2002-03-29,305627,315111,294715,297415,862560,66792.0,15249400.0
2002-04-01,292001,317140,292001,305564,777358,68622.0,15249400.0
2002-04-02,306264,317787,306264,315750,677650,70910.0,15249400.0
2002-04-03,317815,322557,309656,319147,731478,71672.0,15249400.0
2002-04-04,323263,355182,319186,344272,1826498,77314.0,15249400.0
2002-04-08,351078,359897,332725,338842,1455065,76095.0,15249400.0
2002-04-09,338846,344302,298772,298773,884694,67097.0,15249400.0
2002-04-10,291991,304888,264814,283833,865690,63742.0,15249400.0
2002-04-11,285231,300171,284566,297415,575507,66792.0,15249400.0
2002-04-12,286584,332725,285871,332726,533409,74722.0,15249400.0
2002-04-15,345642,352476,315767,331368,1482437,74417.0,15249400.0
2002-04-16,331438,338219,310377,332051,662371,74570.0,15249400.0
2002-04-17,336167,336832,312407,312355,570905,70147.0,15249400.0
2002-04-18,310369,323931,310369,312355,459545,70147.0,15249400.0
2002-04-19,309650,329385,306286,327295,743665,73502.0,15249400.0
2002-04-22,334111,334111,312390,328656,567029,73807.0,15249400.0
2002-04-23,320579,353824,289325,289273,2535094,64962.0,15249400.0
2002-04-24,272986,295421,254682,254635,1224643,57185.0,15249400.0
2002-04-25,237688,238353,224073,224079,591513,50323.0,15249400.0
2002-04-26,200980,220706,198276,198278,2016376,44528.0,15249400.0
2002-04-29,195618,197661,174557,174510,1129781,39191.0,15249400.0
2002-04-30,171138,185418,169813,176546,1047995,39648.0,15249400.0
2002-05-02,178601,197614,178601,190126,1037720,42698.0,15249400.0
2002-05-03,188796,192165,175186,179265,758311,40258.0,15249400.0
2002-05-06,179299,192201,177261,189450,822365,42546.0,15249400.0
2002-05-07,185395,188807,179274,186056,531103,41783.0,15249400.0
2002-05-08,190112,195568,185375,187414,578331,42088.0,15249400.0
2002-05-09,193554,193554,177901,179941,848221,40411.0,15249400.0
2002-05-10,180020,182719,168444,172473,549324,38733.0,15249400.0
2002-05-13,170462,172501,164342,165007,442863,37056.0,15249400.0
2002-05-14,166355,176552,161613,170438,1353350,38276.0,15249400.0
2002-05-15,173143,175895,164323,164325,664299,36904.0,15249400.0
2002-05-16,166393,168431,162316,167719,555539,37666.0,15249400.0
2002-05-17,168421,170459,163678,167043,480338,37514.0,15249400.0
2002-05-20,168411,180648,166373,175193,1471204,39343.0,15249400.0
2002-05-21,173143,178598,166362,168402,597895,37819.0,15249400.0
2002-05-22,168401,171813,166362,168402,553611,37819.0,15249400.0
2002-05-23,171107,178601,168403,177228,1477744,39801.0,15249400.0
2002-05-24,180013,190163,178640,183335,1634268,41173.0,15249400.0
2002-05-27,186083,191544,177977,178589,1537122,40106.0,15249400.0
2002-05-28,177261,181338,161655,163646,880306,36751.0,15249400.0
2002-05-29,163046,165750,144689,144636,1021876,32481.0,15249400.0
2002-05-30,142643,153501,131114,146673,881960,32939.0,15249400.0
2002-05-31,143287,150782,137880,139206,335920,31261.0,15249400.0
2002-06-03,133806,138548,131102,131054,310968,29431.0,15249400.0
2002-06-04,129708,130373,124252,128335,252709,28821.0,15249400.0
2002-06-05,129063,133806,127020,131054,359112,29431.0,15249400.0
2002-06-07,129056,133803,124318,124266,299598,27906.0,15249400.0
2002-06-10,122275,127017,121561,124266,238657,27906.0,15249400.0
2002-06-11,122942,126306,122228,122230,195011,27449.0,15249400.0
2002-06-12,119540,124282,118875,122905,216665,27601.0,15249400.0
2002-06-14,122917,124242,118122,121544,285981,27296.0,15249400.0
2002-06-17,121561,127017,121561,124266,412145,27906.0,15249400.0
2002-06-18,126318,129736,124279,124941,361686,28059.0,15249400.0
2002-06-19,125659,127032,110052,110001,493650,24704.0,15249400.0
2002-06-20,106633,110050,99187,103217,214532,23179.0,15249400.0
2002-06-21,101871,101871,95755,100498,267695,22569.0,15249400.0
2002-06-24,98489,99202,88999,88952,393606,19977.0,15249400.0
