실리콘웍스(108320),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2010-06-08,26768,29889,26168,28369,2303762,461256.0,6505720.0
2010-06-09,29129,29329,28088,28409,521102,461906.0,6505720.0
2010-06-10,29209,30369,29009,29809,688481,484676.0,6505720.0
2010-06-11,30329,30609,29649,30010,476100,487929.0,6505720.0
2010-06-14,29929,30249,29129,29729,270034,483375.0,6505720.0
2010-06-15,30009,31650,29769,31450,617325,511350.0,6505720.0
2010-06-16,31730,32170,30929,31770,395841,516554.0,6505720.0
2010-06-17,31890,32290,31049,31610,207172,513952.0,6505720.0
2010-06-18,31570,31690,30929,31330,136520,509398.0,6505720.0
2010-06-21,31530,31770,30049,30050,244552,488580.0,6505720.0
2010-06-22,30409,30889,30009,30810,197991,500940.0,6505720.0
2010-06-23,30969,32810,30609,32810,247347,533469.0,6505720.0
2010-06-24,33130,33850,32290,33651,319385,547131.0,6505720.0
2010-06-25,33330,33850,33090,33851,115092,550384.0,6505720.0
2010-06-28,33850,33930,33130,33331,74743,541926.0,6505720.0
2010-06-29,33450,33570,31409,31410,217246,510699.0,6505720.0
2010-06-30,30609,31730,30049,31570,193423,513301.0,6505720.0
2010-07-01,30969,31129,30209,30810,121253,500940.0,6505720.0
2010-07-02,30409,31249,28649,28849,204698,469062.0,6505720.0
2010-07-05,28849,29129,27768,28209,107852,458653.0,6505720.0
2010-07-06,28449,29889,28088,29609,138095,481423.0,6505720.0
2010-07-07,30089,30129,29169,29409,103013,478170.0,6505720.0
2010-07-08,29689,30009,29289,29409,79395,478170.0,6505720.0
2010-07-09,29809,29849,28969,29609,87026,481423.0,6505720.0
2010-07-12,29809,30929,29409,30450,84665,495085.0,6505720.0
2010-07-13,30809,31009,29209,29489,148290,479472.0,6505720.0
2010-07-14,29769,30289,29409,29609,75828,481423.0,6505720.0
2010-07-15,29489,29569,28529,28689,93087,466460.0,6505720.0
2010-07-16,28729,29129,28409,28609,67863,465159.0,6505720.0
2010-07-19,28008,28529,27528,27609,109570,448895.0,6505720.0
2010-07-20,27888,28128,27448,27849,59569,452798.0,6505720.0
2010-07-21,28088,28969,27968,28969,162410,471014.0,6505720.0
2010-07-22,28809,29649,28449,29129,157181,473616.0,6505720.0
2010-07-23,29409,29529,27808,28609,100857,465159.0,6505720.0
2010-07-26,28008,28609,27888,28129,63041,457352.0,6505720.0
2010-07-27,28128,28569,27928,28409,63959,461906.0,6505720.0
2010-07-28,28449,28449,27408,27889,105805,453449.0,6505720.0
2010-07-29,28248,28809,26968,27009,114628,439136.0,6505720.0
2010-07-30,27048,27608,26408,27609,72369,448895.0,6505720.0
2010-08-02,27528,28809,27368,27489,88501,446943.0,6505720.0
2010-08-03,27968,28128,27128,28129,68470,457352.0,6505720.0
2010-08-04,27968,28769,27968,28209,64929,458653.0,6505720.0
2010-08-05,28689,29289,28609,29089,94222,472966.0,6505720.0
2010-08-06,29209,29249,28168,28449,61753,462557.0,6505720.0
2010-08-09,28449,28489,27608,27649,57331,449545.0,6505720.0
2010-08-10,27648,27728,26648,27009,91822,439136.0,6505720.0
2010-08-11,26968,27408,26648,27049,54100,439787.0,6505720.0
2010-08-12,26608,27008,26488,26568,33757,431980.0,6505720.0
2010-08-13,26728,27128,26488,27129,37858,441088.0,6505720.0
2010-08-16,27168,27208,26608,26728,28503,434582.0,6505720.0
2010-08-17,26608,26768,24687,25368,151702,412463.0,6505720.0
2010-08-18,25808,26968,25047,26809,192282,435883.0,6505720.0
2010-08-19,27088,28008,26848,27409,142509,445642.0,6505720.0
2010-08-20,27488,28969,27408,28409,282199,461906.0,6505720.0
2010-08-23,28329,28329,26488,26608,113677,432630.0,6505720.0
2010-08-24,27208,27208,25408,26128,79892,424824.0,6505720.0
2010-08-25,25608,26208,25608,26008,34364,422872.0,6505720.0
