테라젠이텍스(066700),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2004-05-27,5510,6170,5060,6170,1483632,54913.0,8900000.0
2004-05-28,6250,6590,5780,6000,860428,53400.0,8900000.0
2004-05-31,6010,6100,5720,5760,239372,51264.0,8900000.0
2004-06-01,5650,5870,5550,5820,289380,51798.0,8900000.0
2004-06-02,5700,5790,5490,5600,150993,49840.0,8900000.0
2004-06-03,5590,5980,5410,5800,556352,51620.0,8900000.0
2004-06-04,5750,6080,5750,6020,256271,53578.0,8900000.0
2004-06-07,6150,6370,6090,6150,312346,54735.0,8900000.0
2004-06-08,6200,6580,6100,6500,416572,57850.0,8900000.0
2004-06-09,6600,7280,6570,7280,1278947,64792.0,8900000.0
2004-06-10,7450,7990,7060,7400,872143,65860.0,8900000.0
2004-06-11,7420,7850,7120,7600,483342,67640.0,8900000.0
2004-06-14,7450,7830,7450,7480,293290,66572.0,8900000.0
2004-06-15,7390,7750,6610,7750,275042,68975.0,8900000.0
2004-06-16,7800,7940,7630,7900,173306,70310.0,8900000.0
2004-06-17,8000,8020,7610,7700,171144,68530.0,8900000.0
2004-06-18,7500,7650,7030,7400,164555,65860.0,8900000.0
2004-06-21,7310,7330,6900,6950,175599,61855.0,8900000.0
2004-06-22,6950,6950,6420,6760,141047,60164.0,8900000.0
2004-06-23,6610,7110,6610,7020,102293,62478.0,8900000.0
2004-06-24,7000,7090,6700,6800,184219,60520.0,8900000.0
2004-06-25,6650,6970,6420,6650,209754,59185.0,8900000.0
2004-06-28,6610,6690,6070,6300,465471,56070.0,8900000.0
2004-06-29,6430,7040,6300,6910,483479,61499.0,8900000.0
2004-06-30,7140,7170,6820,7030,292349,62567.0,8900000.0
2004-07-01,7050,7350,6860,7320,284366,65148.0,8900000.0
2004-07-02,7120,7420,7110,7210,562528,64169.0,8900000.0
2004-07-05,7210,7280,6400,6800,474415,60520.0,8900000.0
2004-07-06,6800,6880,6650,6830,171322,60787.0,8900000.0
2004-07-07,6500,6800,6460,6780,125689,60342.0,8900000.0
2004-07-08,6610,6800,6270,6490,164098,57761.0,8900000.0
2004-07-09,6350,6610,6320,6550,125795,58295.0,8900000.0
2004-07-12,6550,6690,6240,6340,158869,56426.0,8900000.0
2004-07-13,6350,6600,6350,6400,126686,56960.0,8900000.0
2004-07-14,6310,6400,5800,5920,189454,52688.0,8900000.0
2004-07-15,5810,6160,5210,5660,564081,50374.0,8900000.0
2004-07-16,5560,5770,5350,5660,147605,50374.0,8900000.0
2004-07-19,5430,5630,5400,5570,85708,49573.0,8900000.0
2004-07-20,5570,5910,5520,5520,237509,49128.0,8900000.0
2004-07-21,5580,5800,5580,5800,114627,51620.0,8900000.0
2004-07-22,5660,5910,5620,5620,143269,50018.0,8900000.0
2004-07-23,5630,5660,5430,5590,112822,49751.0,8900000.0
2004-07-26,5440,5660,5310,5310,79712,47259.0,8900000.0
2004-07-27,5130,5380,4690,4800,333841,42720.0,8900000.0
2004-07-28,4875,5020,4625,4750,323108,42275.0,8900000.0
2004-07-29,4760,4830,4180,4180,220820,37202.0,8900000.0
2004-07-30,4160,4230,3925,4135,303007,36802.0,8900000.0
2004-08-02,4135,4260,4055,4140,128994,36846.0,8900000.0
2004-08-03,4035,4200,3945,4145,161826,36890.0,8900000.0
2004-08-04,4110,4350,4015,4300,150814,38270.0,8900000.0
2004-08-05,4350,4815,4300,4815,188041,42854.0,8900000.0
2004-08-06,4690,5390,4620,5390,296835,47971.0,8900000.0
2004-08-09,5400,5770,5300,5660,187694,50374.0,8900000.0
2004-08-10,5610,5750,5320,5580,165581,49662.0,8900000.0
2004-08-11,5590,5700,5230,5250,228739,46725.0,8900000.0
2004-08-12,5170,5490,5170,5350,106430,47615.0,8900000.0
2004-08-13,5400,5730,5300,5540,272897,49306.0,8900000.0
2004-08-16,5800,5800,5450,5450,160327,48505.0,8900000.0
2004-08-17,5600,5600,5120,5370,193660,47793.0,8900000.0
2004-08-18,5300,5390,5190,5350,56317,47615.0,8900000.0
2004-08-19,5350,5620,5350,5580,160452,49662.0,8900000.0
2004-08-20,5590,5590,5400,5470,62205,48683.0,8900000.0
2004-08-23,5550,5600,5390,5460,109097,48594.0,8900000.0
2004-08-24,5360,5550,5320,5550,100914,49395.0,8900000.0
2004-08-25,5570,5900,5550,5890,341556,52421.0,8900000.0
2004-08-26,5890,5980,5790,5840,215112,51976.0,8900000.0
2004-08-27,5890,5890,5380,5450,226265,48505.0,8900000.0
2004-08-30,5400,5540,5320,5320,103755,47348.0,8900000.0
2004-08-31,5330,5610,5300,5400,412942,48060.0,8900000.0
2004-09-01,5410,5500,5350,5350,118429,47615.0,8900000.0
2004-09-02,5320,5400,5150,5190,109930,46191.0,8900000.0
2004-09-03,5190,5280,5030,5030,75282,44767.0,8900000.0
2004-09-06,5010,5180,5010,5040,135433,44856.0,8900000.0
2004-09-07,5040,5130,4990,4990,175881,44411.0,8900000.0
2004-09-08,4950,5000,4470,4545,250529,40450.0,8900000.0
2004-09-09,4500,4610,4400,4540,115609,40406.0,8900000.0
2004-09-10,4500,4840,4500,4840,205705,43076.0,8900000.0
2004-09-13,4870,4950,4665,4750,151014,42275.0,8900000.0
2004-09-14,4810,4810,4530,4690,119391,41741.0,8900000.0
2004-09-15,4650,4800,4625,4655,107873,41430.0,8900000.0
2004-09-16,4600,4615,4325,4550,230813,40495.0,8900000.0
2004-09-17,4620,4620,4440,4520,101408,40228.0,8900000.0
2004-09-20,4500,4750,4490,4715,110421,41964.0,8900000.0
2004-09-21,4700,4900,4650,4715,130584,41964.0,8900000.0
2004-09-22,4710,4785,4390,4500,138046,40050.0,8900000.0
2004-09-23,4430,4545,4400,4450,47780,39605.0,8900000.0
2004-09-24,4380,4770,4380,4745,166363,42230.0,8900000.0
2004-09-30,4795,5070,4735,5050,167839,44945.0,8900000.0
2004-10-01,5090,5290,4950,5130,184931,45657.0,8900000.0
2004-10-04,5220,5230,4950,5190,136680,46191.0,8900000.0
2004-10-05,5120,5240,5120,5130,60411,45657.0,8900000.0
2004-10-06,5180,5390,5130,5240,214460,46636.0,8900000.0
2004-10-07,5300,5320,5100,5230,132212,46547.0,8900000.0
2004-10-08,5220,5850,5160,5850,539173,52065.0,8900000.0
2004-10-11,6100,6490,6050,6170,491496,54913.0,8900000.0
2004-10-12,6200,6210,5910,6050,187771,53845.0,8900000.0
2004-10-13,6280,6450,6010,6030,313423,53667.0,8900000.0
2004-10-14,6010,6220,5880,6190,133610,55091.0,8900000.0
2004-10-15,6150,6250,5920,5950,198561,52955.0,8900000.0
2004-10-18,5890,6000,5370,5700,120903,50730.0,8900000.0
2004-10-19,5760,5960,5570,5760,281474,51264.0,8900000.0
