테크윙(089030),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2011-11-10,10014,10348,8512,8512,2484495,121662.0,4771040.0
2011-11-11,8612,8645,7510,7744,1016760,110688.0,4771040.0
2011-11-14,7877,8094,7577,7644,457359,109257.0,4771040.0
2011-11-15,7594,8028,7594,7628,384702,109018.0,4771040.0
2011-11-16,7777,7861,6759,6843,391236,97806.0,4771040.0
2011-11-17,6943,7510,6826,7277,423172,104009.0,4771040.0
2011-11-18,7060,7126,6909,6927,147743,98999.0,4771040.0
2011-11-21,6926,6976,6559,6559,148558,93751.0,4771040.0
2011-11-22,7193,7527,7176,7527,228000,107587.0,4771040.0
2011-11-23,0,0,0,7728,592977,127286.0,5498320.0
2011-11-24,8879,8879,8729,8879,341400,146255.0,5498320.0
2011-11-25,9313,9947,9062,9530,1084940,156977.0,5498320.0
2011-11-28,9613,9647,8996,9263,403341,152578.0,5498320.0
2011-11-29,9296,9563,8996,9330,363485,153678.0,5498320.0
2011-11-30,9346,9463,8845,8879,421756,146255.0,5498320.0
2011-12-01,9079,9112,8595,8829,363895,145431.0,5498320.0
2011-12-02,8779,9380,8745,9196,340117,151479.0,5498320.0
2011-12-05,9246,9380,9046,9196,209603,151479.0,5498320.0
2011-12-06,9112,9196,8862,8896,131574,146530.0,5498320.0
2011-12-07,8895,9046,8812,8996,125179,148180.0,5498320.0
2011-12-08,9029,9780,8946,9547,354343,157252.0,5498320.0
2011-12-09,9396,9763,9296,9480,287543,156152.0,5498320.0
2011-12-12,9680,9897,9380,9380,735446,154503.0,5498320.0
2011-12-13,10300,10400,8810,8950,942268,49210.0,5498320.0
2011-12-14,8950,8950,8380,8500,273920,46736.0,5498320.0
2011-12-15,8240,8980,8240,8410,278419,46241.0,5498320.0
2011-12-16,8640,8740,8420,8630,150662,47451.0,5498320.0
2011-12-19,8520,8780,7650,8260,309296,45416.0,5498320.0
2011-12-20,8130,8430,8130,8330,130930,45801.0,5498320.0
2011-12-21,8440,8640,8350,8350,187890,45911.0,5498320.0
2011-12-22,8330,8510,8260,8270,96148,45471.0,5498320.0
2011-12-23,8500,8520,8330,8360,107120,45966.0,5498320.0
2011-12-26,8430,8460,8210,8300,78210,45636.0,5498320.0
2011-12-27,8390,8390,8070,8120,138470,44646.0,5498320.0
2011-12-28,8030,8170,7920,7920,85138,43547.0,5498320.0
2011-12-29,7610,7800,7320,7600,940259,125210.0,16474960.0
2012-01-02,7700,7950,7300,7950,648609,130976.0,16474960.0
2012-01-03,8000,8350,7850,8300,593001,136742.0,16474960.0
2012-01-04,8600,8760,8420,8490,1098654,139872.0,16474960.0
2012-01-05,8520,8670,8430,8490,477902,139872.0,16474960.0
2012-01-06,8580,8950,8520,8800,986101,144980.0,16474960.0
2012-01-09,8970,9220,8820,8950,904091,147451.0,16474960.0
2012-01-10,9170,9170,8800,8870,544624,146133.0,16474960.0
2012-01-11,9010,9300,8820,9170,997241,151075.0,16474960.0
2012-01-12,9140,9170,8880,8970,528628,147780.0,16474960.0
2012-01-13,8980,9200,8920,9000,418494,148275.0,16474960.0
2012-01-16,8820,8920,8570,8610,464862,141849.0,16474960.0
2012-01-17,8760,8820,8630,8680,281188,143003.0,16474960.0
2012-01-18,8680,8800,8380,8560,491482,141026.0,16474960.0
2012-01-19,8570,8630,8390,8470,356880,139543.0,16474960.0
2012-01-20,8390,8490,8050,8180,657890,134765.0,16474960.0
2012-01-25,8090,8200,8050,8150,190875,134271.0,16474960.0
2012-01-26,8190,8390,8150,8280,213709,136413.0,16474960.0
