엔에이치스팩11호(256840),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-12-28,2182,2182,2155,2161,287593,13455.0,6830000.0
2016-12-29,2160,2166,2155,2166,42032,13489.0,6830000.0
2017-01-02,2160,2160,2149,2150,22062,13387.0,6830000.0
2017-01-03,2155,2166,2122,2144,51714,13353.0,6830000.0
2017-01-04,2149,2160,2127,2133,35633,13284.0,6830000.0
2017-01-05,2133,2149,2133,2150,1108,13387.0,6830000.0
2017-01-06,2138,2166,2138,2166,5656,13489.0,6830000.0
2017-01-09,2144,2166,2133,2139,26378,13318.0,6830000.0
2017-01-10,2138,2138,2127,2133,24102,13284.0,6830000.0
2017-01-11,2138,2138,2138,2139,7000,13318.0,6830000.0
2017-01-12,2133,2138,2133,2133,2205,13284.0,6830000.0
2017-01-13,2133,2138,2127,2139,119,13318.0,6830000.0
2017-01-16,2133,2138,2133,2139,6714,13318.0,6830000.0
2017-01-17,2138,2138,2122,2139,23262,13318.0,6830000.0
2017-01-18,2138,2138,2138,2139,95,13318.0,6830000.0
2017-01-19,2133,2138,2127,2139,4766,13318.0,6830000.0
2017-01-20,2122,2127,2122,2128,10001,13250.0,6830000.0
2017-01-23,2127,2133,2127,2128,1527,13250.0,6830000.0
2017-01-24,2133,2138,2127,2139,14852,13318.0,6830000.0
2017-01-25,2138,2138,2133,2139,5362,13318.0,6830000.0
2017-01-26,2138,2138,2127,2128,16665,13250.0,6830000.0
2017-01-31,2133,2133,2122,2133,2233,13284.0,6830000.0
2017-02-01,2133,2133,2122,2133,10305,13284.0,6830000.0
2017-02-02,2111,2133,2111,2128,18035,13250.0,6830000.0
2017-02-03,2127,2133,2127,2133,10001,13284.0,6830000.0
2017-02-06,2127,2133,2127,2128,411,13250.0,6830000.0
2017-02-07,2122,2127,2111,2128,3907,13250.0,6830000.0
2017-02-08,2127,2127,2116,2128,526,13250.0,6830000.0
2017-02-09,2116,2127,2116,2128,2317,13250.0,6830000.0
2017-02-10,2116,2122,2116,2117,708,13182.0,6830000.0
2017-02-13,2122,2122,2072,2095,176291,13045.0,6830000.0
2017-02-14,2083,2094,2072,2095,191762,13045.0,6830000.0
2017-02-15,2094,2100,2094,2100,9215,13079.0,6830000.0
2017-02-16,2100,2100,2094,2100,16843,13079.0,6830000.0
2017-02-17,2100,2111,2100,2100,10877,13079.0,6830000.0
2017-02-20,2105,2111,2105,2111,3019,13148.0,6830000.0
2017-02-21,2105,2105,2100,2100,4893,13079.0,6830000.0
2017-02-22,2100,2105,2094,2106,5455,13114.0,6830000.0
