에이치시티(072990),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-10-17,13010,13343,11075,11709,2583403,80378.0,4579934.0
2016-10-18,11875,11909,10608,10808,744714,74195.0,4579934.0
2016-10-19,10741,11041,10007,10208,602223,70073.0,4579934.0
2016-10-20,10274,10708,10141,10408,674204,71447.0,4579934.0
2016-10-21,10608,13510,10174,13510,3516243,92744.0,4579934.0
2016-10-24,13310,15745,12643,14078,2765417,96637.0,4579934.0
2016-10-25,14144,14811,12876,12943,1295248,88851.0,4579934.0
2016-10-26,12743,13076,10574,11075,829033,76027.0,4579934.0
2016-10-27,11041,11775,10541,10608,515848,72821.0,4579934.0
2016-10-28,10608,10975,9974,10208,401529,70073.0,4579934.0
2016-10-31,10241,10608,10107,10141,206353,69615.0,4579934.0
2016-11-01,10307,10408,9073,9107,324376,62516.0,4579934.0
2016-11-02,9207,9240,8339,8406,206968,57707.0,4579934.0
2016-11-03,8239,8740,8239,8306,148580,57020.0,4579934.0
2016-11-04,8206,8439,8006,8106,141130,55646.0,4579934.0
2016-11-07,8273,8506,8172,8406,80106,57707.0,4579934.0
2016-11-08,8640,10808,8606,9841,1467964,67554.0,4579934.0
2016-11-09,9707,9740,8006,8507,540103,58394.0,4579934.0
2016-11-10,8840,9440,8673,9007,336228,61829.0,4579934.0
2016-11-11,8973,9140,8773,8840,93284,60684.0,4579934.0
2016-11-14,8873,9307,8873,9007,148368,61829.0,4579934.0
2016-11-15,9173,9373,8806,8907,115544,61142.0,4579934.0
2016-11-16,9040,9273,8906,9074,128060,62287.0,4579934.0
2016-11-17,9073,9507,8973,9040,179676,62058.0,4579934.0
2016-11-18,9140,9140,8640,8640,103270,59310.0,4579934.0
2016-11-21,8640,8706,8306,8306,48843,57020.0,4579934.0
2016-11-22,8439,8573,8139,8240,54506,56562.0,4579934.0
2016-11-23,8273,8373,7939,8006,47757,54959.0,4579934.0
2016-11-24,8139,8206,7872,7873,45675,54043.0,4579934.0
2016-11-25,7872,8039,7672,7839,44164,53814.0,4579934.0
2016-11-28,7972,8172,7806,8073,40719,55417.0,4579934.0
2016-11-29,8106,8172,7672,7873,57218,54043.0,4579934.0
2016-11-30,7939,8239,7739,7873,29695,54043.0,4579934.0
2016-12-01,7906,8072,7739,7773,40689,53356.0,4579934.0
2016-12-02,7772,7772,7405,7439,48608,51066.0,4579934.0
2016-12-05,7338,7539,7072,7072,53489,48547.0,4579934.0
2016-12-06,7238,7405,7172,7272,42634,49921.0,4579934.0
2016-12-07,7405,7472,7038,7072,41231,48547.0,4579934.0
2016-12-08,7172,7505,7105,7406,47755,50837.0,4579934.0
2016-12-09,7372,7705,7272,7439,32768,51066.0,4579934.0
2016-12-12,7605,7739,7505,7606,30168,52211.0,4579934.0
2016-12-13,7605,8006,7472,8006,54216,54959.0,4579934.0
2016-12-14,8039,8573,8006,8306,148396,57020.0,4579934.0
2016-12-15,8206,8439,8139,8373,25441,57478.0,4579934.0
2016-12-16,8406,8473,8106,8340,24052,57249.0,4579934.0
2016-12-19,8373,8439,8072,8206,46611,56333.0,4579934.0
2016-12-20,8206,8273,8072,8273,19836,56791.0,4579934.0
2016-12-21,8339,8339,8072,8073,24553,55417.0,4579934.0
2016-12-22,8139,8139,7872,7939,20253,54501.0,4579934.0
2016-12-23,8106,8106,7872,7873,13170,54043.0,4579934.0
2016-12-26,7872,8039,7839,7873,14010,54043.0,4579934.0
2016-12-27,7939,7972,7605,7639,24056,52440.0,4579934.0
2016-12-28,7705,8573,7705,8173,158197,56104.0,4579934.0
2016-12-29,8206,8573,8172,8373,91037,57478.0,4579934.0
2017-01-02,8406,8506,8206,8273,48787,56791.0,4579934.0
2017-01-03,8273,8640,8206,8573,59104,58852.0,4579934.0
2017-01-04,8573,8740,8473,8507,42810,58394.0,4579934.0
2017-01-05,8506,8606,8373,8473,35343,58165.0,4579934.0
2017-01-06,8506,8573,8373,8507,39609,58394.0,4579934.0
2017-01-09,8606,8640,8439,8473,33450,58165.0,4579934.0
2017-01-10,8573,8573,7872,8306,58153,57020.0,4579934.0
2017-01-11,8406,8840,8273,8640,83629,59310.0,4579934.0
2017-01-12,8640,9607,8606,9207,435312,63203.0,4579934.0
2017-01-13,9207,9407,9006,9140,103611,62745.0,4579934.0
2017-01-16,9140,9140,8773,9040,56922,62058.0,4579934.0
2017-01-17,9006,9640,8906,9474,192924,65035.0,4579934.0
2017-01-18,9440,9507,9040,9040,118518,62058.0,4579934.0
2017-01-19,9073,9073,8806,8807,54339,60455.0,4579934.0
2017-01-20,8806,8840,8539,8707,50017,59768.0,4579934.0
2017-01-23,8806,8873,8573,8573,27614,58852.0,4579934.0
2017-01-24,8573,8973,8373,8974,67401,61600.0,4579934.0
2017-01-25,8973,9073,8640,8874,36510,60913.0,4579934.0
2017-01-26,8773,9140,8773,9007,49444,61829.0,4579934.0
2017-01-31,9073,9207,8873,9074,29982,62287.0,4579934.0
2017-02-01,9073,9407,8973,9140,76361,62745.0,4579934.0
2017-02-02,9140,9273,8806,9007,39148,61829.0,4579934.0
2017-02-03,9006,9006,8740,8807,38448,60455.0,4579934.0
2017-02-06,8673,8806,8339,8473,47929,58165.0,4579934.0
2017-02-07,8473,8539,8206,8240,38199,56562.0,4579934.0
2017-02-08,8273,8406,8106,8373,26511,57478.0,4579934.0
2017-02-09,8273,8673,8239,8540,29296,58623.0,4579934.0
2017-02-10,8539,8639,8273,8273,27824,56791.0,4579934.0
2017-02-13,8273,8373,8072,8273,26088,56791.0,4579934.0
2017-02-14,8273,8473,8273,8373,16549,57478.0,4579934.0
2017-02-15,8373,8740,8373,8640,37916,59310.0,4579934.0
2017-02-16,8706,8740,8506,8640,19946,59310.0,4579934.0
2017-02-17,8606,8740,8539,8607,16809,59081.0,4579934.0
2017-02-20,8606,8673,8473,8607,16084,59081.0,4579934.0
2017-02-21,8606,8640,8473,8607,14179,59081.0,4579934.0
2017-02-22,8773,8806,8539,8573,11573,58852.0,4579934.0
2017-02-23,8539,8673,8506,8573,11806,58852.0,4579934.0
2017-02-24,8539,8606,8406,8406,11271,57707.0,4579934.0
2017-02-27,8439,8873,8339,8406,24737,57707.0,4579934.0
2017-02-28,8373,8406,8139,8340,24367,57249.0,4579934.0
2017-03-02,8306,8473,8139,8206,20982,56333.0,4579934.0
2017-03-03,8172,8206,7772,7773,30646,53356.0,4579934.0
2017-03-06,7806,8306,7672,8306,19125,57020.0,4579934.0
2017-03-07,8139,8406,8139,8373,9898,57478.0,4579934.0
2017-03-08,8339,8473,8206,8240,10800,56562.0,4579934.0
2017-03-09,8306,8339,8106,8273,9858,56791.0,4579934.0
2017-03-10,8106,8373,8106,8173,5521,56104.0,4579934.0
2017-03-13,8306,8306,8139,8140,9681,55875.0,4579934.0
2017-03-14,8306,8306,8106,8140,12253,55875.0,4579934.0
2017-03-15,8106,8206,8039,8140,5791,55875.0,4579934.0
2017-03-16,8139,8239,8039,8140,6876,55875.0,4579934.0
2017-03-17,8139,8139,8006,8040,7252,55188.0,4579934.0
2017-03-20,7939,7972,7806,7973,20294,54730.0,4579934.0
2017-03-21,8106,8106,7939,7973,7408,54730.0,4579934.0
2017-03-22,7906,8039,7872,7973,7971,54730.0,4579934.0
2017-03-23,7906,7939,7806,7873,12753,54043.0,4579934.0
2017-03-24,7839,8506,7839,8106,76637,55646.0,4579934.0
2017-03-27,8106,8406,7872,7939,20702,54501.0,4579934.0
2017-03-28,7939,8006,7872,7873,18946,54043.0,4579934.0
2017-03-29,8039,8039,7872,8006,11303,54959.0,4579934.0
2017-03-30,8006,8006,7872,7939,13774,54501.0,4579934.0
2017-03-31,8006,8139,7906,8140,21978,55875.0,4579934.0
2017-04-03,8139,8273,7939,8206,21536,56333.0,4579934.0
2017-04-04,8139,8206,8006,8140,24742,55875.0,4579934.0
2017-04-05,8172,8206,8039,8173,18000,56104.0,4579934.0
2017-04-06,8139,8239,8072,8140,10085,55875.0,4579934.0
