현성바이탈(204990),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-04-03,3485,3485,3485,3485,2000,69700.0,20000000.0
2015-04-06,4005,4005,4005,4005,80,80100.0,20000000.0
2015-04-07,4605,4605,4605,4605,0,92100.0,20000000.0
2015-04-08,5290,5290,5290,5290,0,105800.0,20000000.0
2015-04-09,6080,6080,6080,6080,0,121600.0,20000000.0
2015-04-10,6080,6080,6080,6080,0,121600.0,20000000.0
2015-04-13,6080,6080,6080,6080,0,,
2015-04-14,6080,6080,6080,6080,0,,
2015-04-15,6080,6080,6080,6080,0,,
2015-04-16,6080,6080,6080,6080,0,,
2015-04-17,6080,6080,6080,6080,0,,
2015-04-20,6990,6990,6990,6990,100,139800.0,20000000.0
2015-04-21,8030,8030,8030,8030,50,160600.0,20000000.0
2015-04-22,9230,9230,9230,9230,30,184600.0,20000000.0
2015-04-23,10600,10600,10600,10600,80,212000.0,20000000.0
2015-04-24,12150,12150,12150,12150,1,243000.0,20000000.0
2015-04-27,12150,12150,12150,12150,0,243000.0,20000000.0
2015-04-28,13950,13950,13950,13950,200,279000.0,20000000.0
2015-04-29,11900,11900,11900,11900,49,238000.0,20000000.0
2015-04-30,13600,13600,13600,13600,50,272000.0,20000000.0
2015-05-04,13600,13600,13600,13600,0,272000.0,20000000.0
2015-05-06,13600,13600,13600,13600,0,,
2015-05-07,13600,13600,13600,13600,0,,
2015-05-08,13600,13600,13600,13600,0,,
2015-05-11,13600,13600,13600,13600,0,,
2015-05-12,13600,13600,13600,13600,0,,
2015-05-13,13600,13600,13600,13600,1849,272000.0,20000000.0
2015-05-14,13600,13600,13600,13600,0,,
2015-05-15,13600,13600,13600,13600,0,,
2015-05-18,13600,13600,13600,13600,0,,
2015-05-19,13600,13600,13600,13600,0,,
2015-05-20,13600,13600,13600,13600,0,,
2015-05-21,13600,13600,13600,13600,0,,
2015-05-22,13600,13600,13600,13600,0,,
2015-05-26,13600,13600,13600,13600,0,,
2015-05-27,13600,13600,13600,13600,0,,
2015-05-28,13600,13600,13600,13600,0,,
2015-05-29,13600,13600,13600,13600,0,,
2015-06-01,13600,13600,13600,13600,0,,
2015-06-02,13600,13600,13600,13600,0,,
2015-06-03,13600,13600,13600,13600,0,,
2015-06-04,13600,13600,13600,13600,0,,
2015-06-05,13600,13600,13600,13600,0,,
2015-06-08,13600,13600,13600,13600,0,,
2015-06-09,13600,13600,13600,13600,0,,
2015-06-10,13600,13600,13600,13600,0,,
2015-06-11,13600,13600,13600,13600,0,,
2015-06-12,13600,13600,13600,13600,0,,
2015-06-15,13600,13600,13600,13600,0,,
2015-06-16,13600,13600,13600,13600,0,,
2015-06-17,13600,13600,13600,13600,0,,
2015-06-18,13600,13600,13600,13600,0,,
2015-06-19,13600,13600,13600,13600,0,,
2015-06-22,13600,13600,13600,13600,0,,
2015-06-23,13600,13600,13600,13600,0,,
2015-06-24,13600,13600,13600,13600,0,,
2015-06-25,13600,13600,13600,13600,0,,
2015-06-26,13600,13600,13600,13600,0,,
2015-06-29,13600,13600,13600,13600,0,,
2015-06-30,13600,13600,13600,13600,0,,
2015-07-01,13600,13600,13600,13600,0,,
2015-07-02,13600,13600,13600,13600,0,,
2015-07-03,13600,13600,13600,13600,0,,
2015-07-06,13600,13600,13600,13600,0,,
2015-07-07,13600,13600,13600,13600,0,,
2015-07-08,13600,13600,13600,13600,0,,
2015-07-09,13600,13600,13600,13600,0,,
2015-07-10,13600,13600,13600,13600,0,,
2015-07-13,15600,15600,15600,15600,100,312000.0,20000000.0
2015-07-14,15600,15600,15600,15600,0,312000.0,20000000.0
2015-07-15,15600,15600,15600,15600,0,,
2015-07-16,15600,15600,15600,15600,0,,
2015-07-17,15600,15600,15600,15600,0,,
2015-07-20,17900,17900,17900,17900,0,358000.0,20000000.0
2015-07-21,20000,20000,20000,20000,0,400000.0,20000000.0
2015-07-22,23000,23000,23000,23000,0,460000.0,20000000.0
2015-07-23,26450,26450,26450,26450,0,529000.0,20000000.0
2015-07-24,26450,26450,26450,26450,0,529000.0,20000000.0
2015-07-27,26450,26450,26450,26450,0,,
2015-07-28,26450,26450,26450,26450,0,,
2015-07-29,26450,26450,26450,26450,0,,
2015-07-30,26450,26450,26450,26450,0,,
2015-07-31,27000,27000,27000,27000,0,540000.0,20000000.0
2015-08-03,27500,27500,27500,27500,0,550000.0,20000000.0
2015-08-04,31600,31600,31600,31600,0,632000.0,20000000.0
2015-08-05,36300,36300,36300,36300,0,726000.0,20000000.0
2015-08-06,36300,36300,36300,36300,0,726000.0,20000000.0
2015-08-07,36300,36300,36300,36300,0,,
2015-08-10,36300,36300,36300,36300,0,,
2015-08-11,41700,41700,41700,41700,40,834000.0,20000000.0
2015-08-12,37000,37000,37000,37000,0,740000.0,20000000.0
2015-08-13,35000,35000,35000,35000,0,700000.0,20000000.0
2015-08-17,35000,35000,35000,35000,5,700000.0,20000000.0
2015-08-18,35000,35000,35000,35000,900,700000.0,20000000.0
2015-08-19,35000,35000,35000,35000,600,700000.0,20000000.0
2015-08-20,35000,35000,35000,35000,0,700000.0,20000000.0
2015-08-21,34000,34000,34000,34000,0,680000.0,20000000.0
2015-08-24,39100,39100,34000,34000,201,680000.0,20000000.0
2015-08-25,34000,34000,34000,34000,150,680000.0,20000000.0
2015-08-26,34000,34000,34000,34000,1110,680000.0,20000000.0
2015-08-27,34000,34000,29000,34000,102,680000.0,20000000.0
2015-08-28,30000,30000,30000,30000,50,600000.0,20000000.0
2015-08-31,30000,30000,30000,30000,0,600000.0,20000000.0
2015-09-01,29000,29000,29000,29000,265,580000.0,20000000.0
2015-09-02,29000,29000,29000,29000,0,580000.0,20000000.0
2015-09-03,24650,24650,24650,24650,1,493000.0,20000000.0
2015-09-04,27000,27000,27000,27000,1,540000.0,20000000.0
2015-09-07,27000,27000,27000,27000,1000,540000.0,20000000.0
2015-09-08,27000,27000,27000,27000,0,540000.0,20000000.0
2015-09-09,27000,27000,27000,27000,0,,
2015-09-10,22950,25000,22950,22950,3,459000.0,20000000.0
2015-09-11,25000,25000,19550,19550,4,391000.0,20000000.0
2015-09-14,22000,22000,22000,22000,1,440000.0,20000000.0
2015-09-15,22000,22000,22000,22000,0,440000.0,20000000.0
2015-09-16,21000,21000,21000,21000,5,420000.0,20000000.0
2015-09-17,17850,17850,17850,17850,1,357000.0,20000000.0
2015-09-18,15200,15200,15200,15200,1,304000.0,20000000.0
2015-09-21,12950,12950,12950,12950,1,259000.0,20000000.0
2015-09-22,12950,13200,12950,13200,112,264000.0,20000000.0
2015-09-23,13000,13000,13000,13000,4,260000.0,20000000.0
2015-09-24,11050,11050,11050,11050,1,221000.0,20000000.0
2015-09-25,12650,12650,9450,9450,2,189000.0,20000000.0
2015-09-30,10000,10000,10000,10000,399,200000.0,20000000.0
2015-10-01,9870,9870,9870,9870,12,197400.0,20000000.0
2015-10-02,8500,8500,8500,8500,920,170000.0,20000000.0
2015-10-05,8000,8000,8000,8000,2000,160000.0,20000000.0
2015-10-06,7790,7790,7790,7790,1,155800.0,20000000.0
2015-10-07,7800,7800,7800,7800,150,156000.0,20000000.0
2015-10-08,8050,8050,8050,8050,3000,161000.0,20000000.0
2015-10-12,9200,9200,9200,9200,3,184000.0,20000000.0
2015-10-13,9200,9200,9200,9200,0,184000.0,20000000.0
2015-10-14,8000,8050,8000,8050,7581,161000.0,20000000.0
2015-10-15,8050,8070,8050,8070,7350,161400.0,20000000.0
2015-10-16,8030,9280,8030,8050,16295,161000.0,20000000.0
2015-10-19,8020,8060,8000,8000,26140,160000.0,20000000.0
2015-10-20,8060,9200,8060,9190,3634,183800.0,20000000.0
2015-10-21,8050,10550,8050,10500,7603,210000.0,20000000.0
2015-10-22,10200,12050,9250,9250,4076,185000.0,20000000.0
2015-10-23,8020,10600,8020,9250,7046,185000.0,20000000.0
2015-10-26,10600,10600,8080,10500,16917,210000.0,20000000.0
2015-10-27,11500,11500,9460,11450,112,229000.0,20000000.0
2015-10-28,11450,11450,9750,10800,577,216000.0,20000000.0
2015-10-29,9200,11800,9200,9250,2792,185000.0,20000000.0
2015-10-30,8220,10500,8000,8340,32638,166800.0,20000000.0
2015-11-02,9590,9590,8210,9040,25317,180800.0,20000000.0
2015-11-03,9050,10200,8770,10000,8664,200000.0,20000000.0
2015-11-04,10250,10250,10250,10250,1,205000.0,20000000.0
2015-11-05,9140,9160,9140,9160,1463,183200.0,20000000.0
2015-11-06,9170,10500,8010,10500,8542,210000.0,20000000.0
2015-11-09,12050,12050,8980,9070,10563,181400.0,20000000.0
2015-11-10,8510,10400,8510,8730,14037,174600.0,20000000.0
2015-11-11,8740,8740,8530,8620,4083,172400.0,20000000.0
2015-11-12,8060,9030,8060,9030,19735,180600.0,20000000.0
2015-11-13,8920,10000,7990,8310,57422,166200.0,20000000.0
2015-11-16,8820,9440,8820,8820,3779,176400.0,20000000.0
2015-11-17,9440,10050,8900,8910,2752,178200.0,20000000.0
2015-11-18,8900,10000,8900,9100,13959,182000.0,20000000.0
2015-11-19,9150,10000,8920,9030,10356,180600.0,20000000.0
2015-11-20,8940,9110,8940,9010,28459,180200.0,20000000.0
