레이언스(228850),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-04-11,23800,24800,23000,23050,2158121,382423.0,16591014.0
2016-04-12,23200,23850,23100,23850,573642,395696.0,16591014.0
2016-04-14,23800,24300,23050,23150,425178,384082.0,16591014.0
2016-04-15,23050,23200,22100,22350,348445,370809.0,16591014.0
2016-04-18,22200,22450,21750,21950,238537,364173.0,16591014.0
2016-04-19,22300,22800,22100,22350,202370,370809.0,16591014.0
2016-04-20,22300,22550,21550,21750,265670,360855.0,16591014.0
2016-04-21,21800,22000,21350,21500,203650,356707.0,16591014.0
2016-04-22,21550,22050,21450,21500,169684,356707.0,16591014.0
2016-04-25,21600,22200,21400,21800,179373,361684.0,16591014.0
2016-04-26,21800,22050,21550,22000,99408,365002.0,16591014.0
2016-04-27,22050,22150,21550,21650,91788,359195.0,16591014.0
2016-04-28,21800,21800,21400,21700,76135,360025.0,16591014.0
2016-04-29,21800,22300,21650,22000,151354,365002.0,16591014.0
2016-05-02,21900,22000,21150,21250,117685,352559.0,16591014.0
2016-05-03,21300,21300,20700,20750,254122,344264.0,16591014.0
2016-05-04,20900,21000,20500,20750,92952,344264.0,16591014.0
2016-05-09,20900,20900,19750,19800,176488,328502.0,16591014.0
2016-05-10,19800,20500,19550,20350,70781,337627.0,16591014.0
2016-05-11,20450,21650,20400,21500,173568,356707.0,16591014.0
2016-05-12,21450,21700,21250,21600,81127,358366.0,16591014.0
2016-05-13,21650,21700,21100,21550,52959,357536.0,16591014.0
2016-05-16,21650,21900,21150,21450,66420,355877.0,16591014.0
2016-05-17,21550,21550,20700,21000,70741,348411.0,16591014.0
2016-05-18,21050,21050,20650,20950,54641,347582.0,16591014.0
2016-05-19,20750,20900,19700,20150,94836,334309.0,16591014.0
2016-05-20,20300,20400,19850,20150,70296,334309.0,16591014.0
2016-05-23,20200,20550,19750,20450,62511,339286.0,16591014.0
2016-05-24,20450,20600,20150,20400,39472,338457.0,16591014.0
2016-05-25,20500,20950,20000,20100,66758,333479.0,16591014.0
2016-05-26,20100,20900,20000,20150,93845,334309.0,16591014.0
2016-05-27,20150,20800,20150,20750,77769,344264.0,16591014.0
2016-05-30,20900,21000,20400,20600,24972,341775.0,16591014.0
2016-05-31,20600,20700,20300,20700,37312,343434.0,16591014.0
2016-06-01,20650,20950,20450,20650,32275,342604.0,16591014.0
2016-06-02,20650,20900,20250,20400,42169,338457.0,16591014.0
2016-06-03,20400,21300,20250,21150,136274,350900.0,16591014.0
2016-06-07,21350,21800,21350,21550,114484,357536.0,16591014.0
2016-06-08,21350,21550,21150,21450,39989,355877.0,16591014.0
2016-06-09,21450,21700,21000,21350,70981,354218.0,16591014.0
2016-06-10,21400,21550,20900,21500,48553,356707.0,16591014.0
2016-06-13,21300,21400,21000,21100,47105,350070.0,16591014.0
2016-06-14,21000,21500,20600,21450,111642,355877.0,16591014.0
2016-06-15,21300,21400,21000,21250,74786,352559.0,16591014.0
2016-06-16,21250,21300,20750,20800,88481,345093.0,16591014.0
2016-06-17,20700,21000,20350,20650,95999,342604.0,16591014.0
2016-06-20,20500,20850,20500,20750,23897,344264.0,16591014.0
2016-06-21,20850,21100,20450,20600,47650,341775.0,16591014.0
2016-06-22,20750,20850,20450,20600,28475,341775.0,16591014.0
2016-06-23,20600,20800,19950,20250,57547,335968.0,16591014.0
2016-06-24,20350,20400,18250,19000,198434,315229.0,16591014.0
2016-06-27,18250,18950,18250,18350,98755,304445.0,16591014.0
2016-06-28,18350,18750,18150,18700,37406,310252.0,16591014.0
2016-06-29,19000,19250,18600,18850,62241,312741.0,16591014.0
2016-06-30,18950,18950,18250,18550,143325,307763.0,16591014.0
2016-07-01,18550,19150,18400,19050,105347,316059.0,16591014.0
2016-07-04,19100,19350,18950,19000,51704,315229.0,16591014.0
2016-07-05,18800,19050,18700,18750,43856,311082.0,16591014.0
2016-07-06,18750,18850,18500,18700,50658,310252.0,16591014.0
2016-07-07,18800,19050,18700,18950,89635,314400.0,16591014.0
2016-07-08,19000,19850,19000,19150,147385,317718.0,16591014.0
2016-07-11,19300,19900,19100,19450,98653,322695.0,16591014.0
2016-07-12,19550,20000,19300,19950,79227,330991.0,16591014.0
2016-07-13,19950,20050,19650,19800,40886,328502.0,16591014.0
