큐로홀딩스(051780),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2001-06-26,33546,33546,33546,33539,110567,41711.0,3972500.0
2001-06-27,37540,37540,36098,37532,799221,46677.0,3972500.0
2001-06-28,42011,42011,33061,33061,1975431,41115.0,3972500.0
2001-06-29,33541,33857,29898,31075,675894,38652.0,3972500.0
2001-07-02,31596,31596,29704,29864,276980,37143.0,3972500.0
2001-07-03,29747,30256,29231,29324,283976,36468.0,3972500.0
2001-07-04,29455,29547,28588,28715,262464,35713.0,3972500.0
2001-07-05,29354,31237,29070,29864,434703,37143.0,3972500.0
2001-07-06,33387,33387,29937,30030,344612,37342.0,3972500.0
2001-07-09,28757,29648,27823,28300,293407,35196.0,3972500.0
2001-07-10,28436,29236,27986,28113,166656,34958.0,3972500.0
2001-07-11,27631,28114,27314,27691,170717,34442.0,3972500.0
2001-07-12,27764,28597,27764,28431,133029,35355.0,3972500.0
2001-07-13,29231,29231,27539,27531,130574,34243.0,3972500.0
2001-07-16,27694,27919,27344,27469,112427,34164.0,3972500.0
2001-07-18,27344,27694,27052,27054,111953,33647.0,3972500.0
2001-07-19,26994,27152,26861,27054,130632,33647.0,3972500.0
2001-07-20,27060,27060,26835,26895,157514,33448.0,3972500.0
2001-07-23,26868,26993,26835,26895,195009,33448.0,3972500.0
2001-07-24,26825,26925,26825,26825,158990,33369.0,3972500.0
2001-07-25,26825,26892,26825,26825,278871,33369.0,3972500.0
2001-07-26,26892,26892,26825,26825,577990,33369.0,3972500.0
2001-07-27,26869,30028,26869,27504,122107,34203.0,3972500.0
2001-07-30,28429,28429,27154,27787,26018,34561.0,3972500.0
2001-07-31,27217,28075,27217,27310,20620,33965.0,3972500.0
2001-08-01,27318,27735,27060,27635,35052,34362.0,3972500.0
2001-08-02,27628,28620,27345,27947,27976,34759.0,3972500.0
2001-08-03,28146,29071,28146,29006,37248,36070.0,3972500.0
2001-08-06,29225,30183,28942,29642,45666,36865.0,3972500.0
2001-08-07,29743,29743,28851,28943,29344,35991.0,3972500.0
2001-08-08,28935,29069,27660,28362,20317,35276.0,3972500.0
2001-08-09,27513,27513,26454,26514,29650,32972.0,3972500.0
2001-08-10,26512,27029,26354,26639,14494,33131.0,3972500.0
2001-08-13,26827,26993,26443,26445,11143,32892.0,3972500.0
2001-08-14,24053,26512,24053,25870,19012,32177.0,3972500.0
2001-08-16,25396,26930,25396,26348,23808,32773.0,3972500.0
2001-08-17,26676,27409,25718,25718,38947,31979.0,3972500.0
2001-08-20,24944,26160,24785,25137,10512,31264.0,3972500.0
2001-08-21,25236,25528,24278,24403,12864,30350.0,3972500.0
2001-08-22,23956,24247,23481,24016,17607,29873.0,3972500.0
2001-08-23,24019,24502,23802,23829,16934,29635.0,3972500.0
2001-08-24,23800,25042,23475,24085,28177,29953.0,3972500.0
2001-08-27,24279,25396,24120,24597,18589,30588.0,3972500.0
2001-08-28,24599,26291,23324,25358,67530,31542.0,3972500.0
2001-08-29,25565,25565,24281,24341,22187,30270.0,3972500.0
2001-08-30,24281,24923,23323,24915,12250,30986.0,3972500.0
2001-08-31,23706,24923,23264,24915,13660,30986.0,3972500.0
2001-09-03,23736,24695,23736,23953,2212,29794.0,3972500.0
2001-09-04,24595,25170,23962,24562,127105,30549.0,3972500.0
2001-09-05,24795,24795,24120,24597,14291,30588.0,3972500.0
2001-09-06,24340,26157,24274,25234,21900,31383.0,3972500.0
2001-09-07,24507,25399,24373,24465,10553,30429.0,3972500.0
2001-09-10,24502,25110,24085,24279,6493,30191.0,3972500.0
2001-09-11,24279,25521,24054,24721,76166,30747.0,3972500.0
2001-09-12,21787,21787,21787,21787,5737,27092.0,3972500.0
2001-09-13,19803,21245,19803,20887,33789,25980.0,3972500.0
2001-09-14,21119,21119,18402,18527,25798,23040.0,3972500.0
2001-09-17,17602,17602,16327,16769,12732,20856.0,3972500.0
2001-09-18,16775,18051,16775,17794,10223,22127.0,3972500.0
2001-09-19,17919,19161,17919,18811,3936,23398.0,3972500.0
2001-09-20,18205,20031,18205,18714,2381,23279.0,3972500.0
2001-09-21,18557,19958,18557,19801,6817,24630.0,3972500.0
2001-09-24,19173,20615,19173,20382,1736,25345.0,3972500.0
2001-09-25,20602,21244,20444,20444,3183,25424.0,3972500.0
2001-09-26,20097,20447,19588,20347,2214,25305.0,3972500.0
2001-09-27,19674,20249,19583,20126,474,25027.0,3972500.0
2001-09-28,20861,22361,20127,22361,8403,27808.0,3972500.0
2001-10-04,23000,23000,22458,22742,7088,28284.0,3972500.0
2001-10-05,22649,22649,21724,21884,3932,27212.0,3972500.0
2001-10-08,21503,21887,20670,21337,3195,26536.0,3972500.0
2001-10-09,22049,22074,21090,21399,9536,26616.0,3972500.0
2001-10-10,20762,21721,20762,21656,1380,26934.0,3972500.0
2001-10-11,22202,22361,21719,22036,6863,27410.0,3972500.0
2001-10-12,22048,22973,20764,21081,16193,26218.0,3972500.0
2001-10-15,21402,22293,21118,21912,2468,27251.0,3972500.0
2001-10-16,21077,22644,21077,22036,29725,27410.0,3972500.0
2001-10-17,22516,23949,22483,23026,195851,28642.0,3972500.0
2001-10-18,22044,22969,21402,22521,34570,28006.0,3972500.0
2001-10-19,22396,23513,21629,22839,40790,28403.0,3972500.0
2001-10-22,23351,23384,22684,23351,39851,29039.0,3972500.0
2001-10-23,23997,24289,22689,22874,72454,28443.0,3972500.0
2001-10-24,22973,23706,22523,22548,37183,28046.0,3972500.0
2001-10-25,22711,23411,22486,22645,41056,28165.0,3972500.0
2001-10-26,22044,23128,22044,22361,19184,27808.0,3972500.0
2001-10-29,23037,23037,22271,22396,14903,27847.0,3972500.0
2001-10-30,22078,22362,21695,21787,19476,27092.0,3972500.0
2001-10-31,21412,22404,21412,22396,16818,27847.0,3972500.0
2001-11-01,22365,23990,22206,23317,49702,28999.0,3972500.0
2001-11-02,23637,23829,22395,22964,22499,28562.0,3972500.0
2001-11-05,23162,23162,22554,22964,11845,28562.0,3972500.0
2001-11-06,23481,23481,22814,22998,9545,28602.0,3972500.0
2001-11-07,22708,23925,22675,23635,21344,29396.0,3972500.0
2001-11-08,23760,26443,23635,26445,199633,32892.0,3972500.0
2001-11-09,25877,26036,24277,24279,36118,30191.0,3972500.0
2001-11-12,24267,27175,24267,26825,75437,33369.0,3972500.0
2001-11-13,23632,26449,23632,25234,39038,31383.0,3972500.0
