마니커에프앤지(195500),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-08-20,8000,10400,6950,6950,16932834,72127.0,10378000.0
2019-08-21,6990,8900,6550,8300,12941725,86137.0,10378000.0
2019-08-22,7930,9500,7650,7830,9593033,81260.0,10378000.0
2019-08-23,7910,8990,7720,8420,6470346,87383.0,10378000.0
2019-08-26,8070,8360,7410,7410,1420941,76901.0,10378000.0
2019-08-27,7470,7920,6680,6700,1167277,69533.0,10378000.0
2019-08-28,6860,7330,6780,6980,2135284,72438.0,10378000.0
2019-08-29,7180,7890,6960,7230,5592169,75033.0,10378000.0
2019-08-30,8310,8380,7240,7270,4039022,75448.0,10378000.0
2019-09-02,7350,7590,7090,7450,1291992,77316.0,10378000.0
2019-09-03,7330,7440,7130,7160,1049153,74306.0,10378000.0
2019-09-04,7420,7490,7260,7310,1330244,75863.0,10378000.0
2019-09-05,7300,7320,6960,7000,817647,72646.0,10378000.0
2019-09-06,7050,7120,6750,6830,432022,70882.0,10378000.0
2019-09-09,6730,6910,6630,6630,415944,68806.0,10378000.0
2019-09-10,6680,7040,6530,6880,893581,71401.0,10378000.0
2019-09-11,6820,7500,6720,6900,2111660,71608.0,10378000.0
2019-09-16,7010,7050,6880,6910,294010,71712.0,10378000.0
2019-09-17,8600,8980,7770,8980,6187467,93194.0,10378000.0
2019-09-18,9440,11200,9420,10350,6436975,107412.0,10378000.0
2019-09-19,9840,9850,8450,8700,1969290,90289.0,10378000.0
2019-09-20,8400,10150,8200,9080,4887122,94232.0,10378000.0
2019-09-23,8490,8880,8050,8090,1217669,83958.0,10378000.0
2019-09-24,9370,9650,8450,8680,2704727,90081.0,10378000.0
2019-09-25,8800,11250,8770,11250,6071028,116752.0,10378000.0
2019-09-26,12750,13750,11550,12300,9473219,127649.0,10378000.0
2019-09-27,13350,15950,13150,15950,9905693,165529.0,10378000.0
2019-09-30,16000,20400,15550,19050,9160399,197701.0,10378000.0
2019-10-01,18000,18150,14750,15550,3137160,161378.0,10378000.0
2019-10-02,16100,19950,16000,18850,6598315,195625.0,10378000.0
2019-10-04,20250,20850,17000,18700,4383242,194069.0,10378000.0
2019-10-07,16800,18300,15650,16150,1913467,167605.0,10378000.0
