한국맥널티(222980),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-12-23,16000,20250,13250,13250,4700216,65919.0,4975000.0
2015-12-24,12950,14300,12000,12850,950620,63929.0,4975000.0
2015-12-28,12900,13350,12150,12150,179607,60446.0,4975000.0
2015-12-29,12150,13000,11700,12550,311976,62436.0,4975000.0
2015-12-30,12650,15250,12600,13650,759426,67909.0,4975000.0
2016-01-04,13650,14500,13300,13300,272143,66168.0,4975000.0
2016-01-05,13300,14550,13000,14400,471569,71640.0,4975000.0
2016-01-06,15500,18700,15300,18700,2133901,93032.0,4975000.0
2016-01-07,18950,19200,16700,18350,1604310,91291.0,4975000.0
2016-01-08,17650,19000,17350,17650,820257,87809.0,4975000.0
2016-01-11,18400,20200,17700,19900,813751,99002.0,4975000.0
2016-01-12,19400,19950,17700,17850,612312,88804.0,4975000.0
2016-01-13,21200,23200,20150,23200,2178126,115420.0,4975000.0
2016-01-14,23450,24400,22200,23200,1338324,115420.0,4975000.0
2016-01-15,23600,29300,21800,25500,1746964,126862.0,4975000.0
2016-01-18,25250,30850,24500,26700,1641250,132832.0,4975000.0
2016-01-19,27400,29800,26450,26600,535599,132335.0,4975000.0
2016-01-20,27250,27600,24300,24800,323018,123380.0,4975000.0
2016-01-21,24600,25100,23150,24000,212769,119400.0,4975000.0
2016-01-22,24350,29750,24050,26350,988911,131091.0,4975000.0
2016-01-25,27300,28950,26500,26900,354296,133828.0,4975000.0
2016-01-26,25750,26200,25000,25550,166988,127111.0,4975000.0
2016-01-27,25900,26100,23900,24850,138451,123629.0,4975000.0
2016-01-28,24450,25250,24200,25250,98533,125619.0,4975000.0
2016-01-29,25250,25250,24250,24850,57608,123629.0,4975000.0
2016-02-01,24600,24850,23750,23950,86252,119151.0,4975000.0
2016-02-02,23950,25600,23950,24850,116996,123629.0,4975000.0
2016-02-03,24350,24400,23800,24400,64286,121390.0,4975000.0
2016-02-04,24750,25950,24150,25500,153438,126862.0,4975000.0
2016-02-05,25700,26850,25400,26350,103256,131091.0,4975000.0
2016-02-11,25500,25650,23250,23950,98936,119151.0,4975000.0
2016-02-12,23300,24850,18600,21000,194005,104475.0,4975000.0
2016-02-15,21100,24700,21100,22850,160788,113679.0,4975000.0
2016-02-16,23100,23900,23000,23650,71938,117659.0,4975000.0
2016-02-17,23800,23850,21700,22700,74547,112932.0,4975000.0
2016-02-18,23250,23400,22350,22800,47827,113430.0,4975000.0
2016-02-19,22300,23900,22300,22350,75727,111191.0,4975000.0
2016-02-22,22500,22900,21900,21900,76188,108952.0,4975000.0
2016-02-23,22200,22350,20150,21150,110290,105221.0,4975000.0
2016-02-24,21050,21400,20450,20700,55329,102982.0,4975000.0
2016-02-25,20700,21050,20600,20800,55876,103480.0,4975000.0
2016-02-26,20900,21050,20100,20250,29409,100744.0,4975000.0
