EDGC(245620),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-06-26,9000,11700,9000,11100,28355668,398478.0,35898940.0
2018-06-27,11800,12100,9000,9200,11148575,330270.0,35898940.0
2018-06-28,9300,9560,7750,8050,6076015,288986.0,35898940.0
2018-06-29,7950,9720,7800,8150,19255822,292576.0,35898940.0
2018-07-02,8410,9100,7830,8020,8254542,287909.0,35898940.0
2018-07-03,8640,8720,7950,8450,3563355,303346.0,35898940.0
2018-07-04,8200,8320,8030,8270,1915222,296884.0,35898940.0
2018-07-05,8370,8420,7700,7760,2244519,278576.0,35898940.0
2018-07-06,7700,7760,6960,7170,2413884,257395.0,35898940.0
2018-07-09,7090,7850,7000,7250,4432902,260267.0,35898940.0
2018-07-10,7360,7500,7190,7300,1096881,262062.0,35898940.0
2018-07-11,7180,7200,6970,6980,1086192,250575.0,35898940.0
2018-07-12,6950,7020,6690,7000,1321650,251293.0,35898940.0
2018-07-13,6910,7040,6850,6950,820930,249498.0,35898940.0
2018-07-16,7000,7280,6930,7000,1422596,251293.0,35898940.0
2018-07-17,7050,7140,6580,6660,990111,239087.0,35898940.0
2018-07-18,6710,6710,6110,6240,1510187,224009.0,35898940.0
2018-07-19,6160,6220,5870,5920,855557,212522.0,35898940.0
2018-07-20,5940,6500,5920,6090,1784211,218625.0,35898940.0
2018-07-23,6050,6220,5540,5540,703101,198880.0,35898940.0
2018-07-24,5510,6110,5510,5640,1100189,202470.0,35898940.0
2018-07-25,5780,6800,5570,6220,5628006,223291.0,35898940.0
2018-07-26,6160,6290,5900,6040,1088862,216830.0,35898940.0
2018-07-27,6150,6530,6080,6350,2500145,228841.0,36037940.0
2018-07-30,6320,6480,6290,6480,1015084,233526.0,36037940.0
2018-07-31,6500,6570,6280,6280,943737,226318.0,36037940.0
2018-08-01,6340,6480,6290,6310,675341,227399.0,36037940.0
2018-08-02,6310,6370,6110,6120,500495,220552.0,36037940.0
2018-08-03,6080,6300,6050,6070,397845,218750.0,36037940.0
2018-08-06,6060,6230,6030,6050,394570,218030.0,36037940.0
2018-08-07,6060,6340,6010,6120,676466,220552.0,36037940.0
2018-08-08,6160,6240,6040,6100,418432,219831.0,36037940.0
2018-08-09,6090,6160,6040,6040,342004,217669.0,36037940.0
2018-08-10,6110,6480,6030,6090,1705026,219471.0,36037940.0
2018-08-13,6060,6080,5750,5760,834910,207579.0,36037940.0
2018-08-14,5730,5870,5680,5710,281087,205777.0,36037940.0
2018-08-16,5650,5650,5450,5530,309995,199290.0,36037940.0
2018-08-17,5550,5740,5550,5680,335999,204695.0,36037940.0
2018-08-20,5690,6250,5670,6050,1901578,218030.0,36037940.0
2018-08-21,6110,6280,6090,6170,987645,222354.0,36037940.0
2018-08-22,6390,6460,6140,6190,1191820,223075.0,36037940.0
2018-08-23,6210,6370,6120,6350,528832,228841.0,36037940.0
2018-08-24,6330,6440,6250,6380,469696,229922.0,36037940.0
2018-08-27,6420,6600,6310,6450,1234043,232445.0,36037940.0
2018-08-28,6540,6540,6310,6450,442428,232445.0,36037940.0
2018-08-29,6470,7330,6460,6940,6209454,250103.0,36037940.0
2018-08-30,6890,7080,6780,7070,933312,254788.0,36037940.0
