KH바텍(060720),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2002-05-21,7015,7015,7015,7017,202077,140000.0,4000000.0
2002-05-22,7859,7859,7859,7859,31000,156800.0,4000000.0
2002-05-23,8801,8801,8801,8801,5951,175600.0,4000000.0
2002-05-24,8912,9383,7758,8822,296135,176000.0,4000000.0
2002-05-27,8620,8720,8199,8421,56891,168000.0,4000000.0
2002-05-28,8521,9423,8420,9423,88658,188000.0,4000000.0
2002-05-29,10023,10544,9442,10546,199087,210400.0,4000000.0
2002-05-30,10986,11807,10765,11810,189777,235600.0,4000000.0
2002-05-31,11908,11908,10404,10406,93807,207600.0,4000000.0
2002-06-03,9673,10626,9161,10626,79485,212000.0,4000000.0
2002-06-04,10404,11888,10224,11890,103455,237200.0,4000000.0
2002-06-05,11928,12469,11326,11328,96552,226000.0,4000000.0
2002-06-07,11348,12089,10866,11428,73706,228000.0,4000000.0
2002-06-10,11747,11827,10986,11028,40757,220000.0,4000000.0
2002-06-11,10445,10886,10024,10245,39948,204400.0,4000000.0
2002-06-12,10144,10464,9773,10426,34013,208000.0,4000000.0
2002-06-14,10063,11026,10063,10566,36810,210800.0,4000000.0
2002-06-17,10445,10706,10225,10626,32754,212000.0,4000000.0
2002-06-18,10625,10905,10344,10606,23566,211600.0,4000000.0
2002-06-19,10626,10626,9343,9343,36582,186400.0,4000000.0
2002-06-20,9041,9382,8820,9043,24712,180400.0,4000000.0
2002-06-21,8840,9592,8520,9564,24733,190800.0,4000000.0
2002-06-24,8620,9020,8419,8421,31026,168000.0,4000000.0
2002-06-25,8690,8901,8420,8621,43469,172000.0,4000000.0
2002-06-26,8159,8521,7588,7589,33393,151400.0,4000000.0
2002-06-27,7799,8019,7157,7218,21240,144000.0,4000000.0
2002-06-28,7438,8079,7438,8080,36782,161200.0,4000000.0
2002-07-02,7717,8620,7677,8421,20697,168000.0,4000000.0
2002-07-03,8419,8640,8118,8441,15171,168400.0,4000000.0
