리더스 기술투자(019570),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,1757,1757,1757,1757,100,6200.0,4000000.0
1999-01-05,1815,1815,1815,1814,962,6400.0,4000000.0
1999-01-06,1813,2025,1696,2029,2290,7160.0,4000000.0
1999-01-07,2270,2270,2270,2267,2985,8000.0,4000000.0
1999-01-08,2541,2541,2541,2539,600,8960.0,4000000.0
1999-01-11,2830,2830,2830,2834,145,10000.0,4000000.0
1999-01-12,3177,3177,3177,3174,870,11200.0,4000000.0
1999-01-13,3404,3551,3347,3344,1150,11800.0,4000000.0
1999-01-14,3347,3347,3292,3344,40,11800.0,4000000.0
1999-01-15,3334,3733,2947,3730,3941,13160.0,4000000.0
1999-01-18,3288,3731,3288,3684,750,13000.0,4000000.0
1999-01-19,3242,3242,3242,3242,955,11440.0,4000000.0
1999-01-20,2949,2949,2892,2902,1566,10240.0,4000000.0
1999-01-21,2576,3044,2568,2573,1573,9080.0,4000000.0
1999-01-22,2877,2877,2830,2834,678,10000.0,4000000.0
1999-01-25,2490,2932,2490,2936,916,10360.0,4000000.0
1999-01-26,2774,3023,2581,3027,665,10680.0,4000000.0
1999-01-27,2847,3177,2847,3174,410,11200.0,4000000.0
1999-01-28,3162,3548,3162,3548,3688,12520.0,4000000.0
1999-01-29,3964,3964,3964,3968,397,14000.0,4000000.0
1999-02-01,4449,4449,4449,4444,4651,15680.0,4000000.0
1999-02-02,4980,4980,4466,4977,26787,17560.0,4000000.0
1999-02-03,4978,4978,4389,4387,13400,15480.0,4000000.0
1999-02-04,3865,4905,3865,4909,16110,17320.0,4000000.0
1999-02-05,4875,4875,4330,4331,3305,15280.0,4000000.0
1999-02-08,4365,4365,3820,3821,4149,13480.0,4000000.0
1999-02-09,3400,3400,3368,3367,4143,11880.0,4000000.0
1999-02-10,2966,3762,2966,2970,2216,10480.0,4000000.0
1999-02-11,3318,3318,2843,3322,679,11720.0,4000000.0
1999-02-12,2927,3718,2927,3718,3421,13120.0,4000000.0
1999-02-18,4158,4158,3296,3968,1300,14000.0,4000000.0
1999-02-19,3488,4292,3488,3492,2444,12320.0,4000000.0
1999-02-22,3719,3719,3096,3095,22,10920.0,4000000.0
1999-02-23,3289,3402,2734,3401,2139,12000.0,4000000.0
1999-02-24,3813,3813,3177,3174,2684,11200.0,4000000.0
1999-02-25,3515,3515,3177,3401,1772,12000.0,4000000.0
1999-02-26,3718,3718,3718,3718,1,13120.0,4000000.0
1999-03-02,3715,3715,3272,3276,757,11560.0,4000000.0
1999-03-03,2947,3292,2947,3288,1415,11600.0,4000000.0
1999-03-04,3232,3232,3232,3231,0,11400.0,4000000.0
1999-03-05,3402,3402,3232,3231,101,11400.0,4000000.0
1999-03-08,2852,2876,2844,2880,2794,10160.0,4000000.0
1999-03-09,2881,3008,2664,2948,7308,10400.0,4000000.0
1999-03-10,2790,3006,2790,2993,2818,10560.0,4000000.0
1999-03-11,3161,3161,2847,3152,326,11120.0,4000000.0
1999-03-12,3232,3232,3232,3231,1,11400.0,4000000.0
1999-03-15,3232,3232,3232,3231,2939,11400.0,4000000.0
1999-03-16,3176,3176,2903,3163,752,11160.0,4000000.0
1999-03-17,2944,3062,2887,3061,3230,10800.0,4000000.0
1999-03-18,3007,3007,3007,3004,1056,10600.0,4000000.0
1999-03-19,2947,3292,2939,3288,312754,11600.0,4000000.0
1999-03-22,3179,3631,3009,3288,3272,11600.0,4000000.0
1999-03-23,3122,3122,3041,3118,1065,11000.0,4000000.0
1999-03-24,3007,3007,3007,3004,0,10600.0,4000000.0
1999-03-25,2944,2944,2887,2891,1000,10200.0,4000000.0
1999-03-26,2947,2947,2947,2948,92,10400.0,4000000.0
1999-03-29,2942,2942,2932,2936,454,10360.0,4000000.0
1999-03-30,3289,3289,3289,3288,10,9720.0,4000000.0
1999-03-31,3516,3516,3244,3247,300,9600.0,4000000.0
1999-04-01,3246,3628,3180,3626,2531,10720.0,4000000.0
1999-04-02,3628,3656,3614,3626,1000,10720.0,4000000.0
1999-04-06,3626,3979,3626,3978,420,11760.0,4000000.0
1999-04-07,3920,3920,3920,3924,300,11600.0,4000000.0
1999-04-08,3859,3859,3788,3789,11,11200.0,4000000.0
1999-04-09,3340,3655,3340,3653,791,10800.0,4000000.0
1999-04-12,3382,3655,3382,3653,1558,10800.0,4000000.0
1999-04-13,3655,4088,3655,4086,5177,12080.0,4000000.0
1999-04-14,4330,4330,3788,4059,3918,12000.0,4000000.0
1999-04-15,4328,4328,3786,4316,8918,12760.0,4000000.0
1999-04-16,3817,4186,3817,4181,1141,12360.0,4000000.0
1999-04-19,3992,4199,3723,4195,4113,12400.0,4000000.0
1999-04-20,4195,4693,3857,4330,11292,12800.0,4000000.0
1999-04-21,4601,4601,3815,4452,19308,13160.0,4000000.0
1999-04-22,4585,4976,4195,4979,38809,14720.0,4000000.0
1999-04-23,4738,4738,4384,4560,10226,13480.0,4000000.0
1999-04-26,4559,4559,4074,4073,1153,12040.0,4000000.0
1999-04-27,4043,4557,4043,4330,1852,12800.0,4000000.0
1999-04-28,3938,4603,3938,4533,6222,13400.0,4000000.0
1999-04-29,4601,5070,4601,5074,23801,15000.0,4000000.0
1999-04-30,5684,5684,5684,5683,5721,16800.0,4000000.0
1999-05-03,6361,6361,6361,6360,3511,18800.0,4000000.0
1999-05-04,7119,7119,7119,7117,4794,21040.0,4000000.0
1999-05-06,7974,7974,7974,7970,4939,23560.0,4000000.0
1999-05-07,8916,8916,8916,8917,31771,26360.0,4000000.0
1999-05-10,9985,9985,8917,9972,64596,29480.0,4000000.0
1999-05-11,9474,11096,9474,10284,57621,30400.0,4000000.0
1999-05-12,10890,11511,10824,11515,32521,34040.0,4000000.0
1999-05-13,12896,12896,12896,12895,7387,38120.0,4000000.0
1999-05-14,14415,14415,14415,14411,23215,42600.0,4000000.0
1999-05-17,16101,16101,14750,15019,118186,44400.0,4000000.0
1999-05-18,13257,13531,13257,13260,21845,39200.0,4000000.0
1999-05-19,11676,14343,11676,12178,61373,36000.0,4000000.0
1999-05-20,13598,13598,12177,13531,31177,40000.0,4000000.0
1999-05-21,11906,12650,11906,12178,23009,36000.0,4000000.0
1999-05-24,11634,12310,10824,12178,17368,36000.0,4000000.0
1999-05-25,12043,12310,11501,12178,16906,36000.0,4000000.0
1999-05-26,12851,13595,12447,12854,24649,38000.0,4000000.0
1999-05-27,14346,14346,14346,14343,17731,42400.0,4000000.0
1999-05-28,15896,16034,14884,16034,41745,47400.0,4000000.0
1999-05-31,16777,17930,16099,17929,44146,53000.0,4000000.0
1999-06-01,20022,20022,19891,20026,43545,59200.0,4000000.0
1999-06-02,22193,22193,17655,18267,41799,54000.0,4000000.0
1999-06-03,16370,17452,16097,16237,23787,48000.0,4000000.0
1999-06-04,16101,16914,15560,16102,28700,47600.0,4000000.0
1999-06-07,14209,17995,14209,17590,112165,52000.0,4000000.0
1999-06-08,19347,19347,16370,17996,78944,53200.0,4000000.0
1999-06-09,17997,17997,16237,16914,41302,50000.0,4000000.0
1999-06-10,16779,18134,15561,17049,54914,50400.0,4000000.0
1999-06-11,16916,18944,16440,18808,79682,55600.0,4000000.0
1999-06-14,18807,21037,17654,21041,117295,62200.0,4000000.0
1999-06-15,21651,22193,18536,19349,91240,57200.0,4000000.0
1999-06-16,19889,21375,19480,21379,125836,63200.0,4000000.0
1999-06-17,22194,22325,20499,21244,89955,62800.0,4000000.0
1999-06-18,21919,23743,21782,23409,105204,69200.0,4000000.0
1999-06-21,23406,23406,21651,21920,48189,64800.0,4000000.0
1999-06-22,21515,21515,19351,19349,20187,57200.0,4000000.0
1999-06-23,17052,17052,17052,17049,27479,50400.0,4000000.0
1999-06-24,17591,18471,17049,17455,43308,51600.0,4000000.0
1999-06-25,17588,17994,15693,16237,42072,48000.0,4000000.0
1999-06-28,16371,16913,14343,14884,33618,44000.0,4000000.0
1999-06-29,14073,15833,13127,15290,44987,45200.0,4000000.0
1999-06-30,15829,16639,15288,16237,48235,48000.0,4000000.0
1999-07-01,16643,17188,15970,17049,42923,50400.0,4000000.0
1999-07-02,16778,16778,15019,16102,25679,47600.0,4000000.0
1999-07-05,16101,16512,14888,15425,24328,45600.0,4000000.0
1999-07-06,14887,15427,14345,15155,31263,44800.0,4000000.0
1999-07-07,15561,15900,15090,15425,34485,45600.0,4000000.0
1999-07-08,15559,17253,14816,17252,110109,51000.0,4000000.0
1999-07-09,19278,19278,17994,19282,108004,57000.0,4000000.0
1999-07-12,19216,19893,18270,18673,100599,55200.0,4000000.0
1999-07-13,18674,18674,17592,17726,43504,52400.0,4000000.0
1999-07-14,18401,19352,17727,18538,75412,54800.0,4000000.0
1999-07-15,18810,19214,17859,18538,36545,54800.0,4000000.0
1999-07-16,19218,19218,17594,18132,42811,53600.0,4000000.0
1999-07-19,18403,18403,16441,17049,38962,50400.0,4000000.0
1999-07-20,17320,18675,16642,17184,43941,50800.0,4000000.0
1999-07-21,17191,17191,15836,15831,31865,46800.0,4000000.0
1999-07-22,15833,17730,15357,16914,77800,50000.0,4000000.0
1999-07-23,17456,17593,16101,16102,39993,47600.0,4000000.0
1999-07-26,14476,15427,14209,14208,34704,42000.0,4000000.0
1999-07-27,12852,14885,12514,14546,33150,43000.0,4000000.0
1999-07-28,14209,15559,14209,15019,23508,44400.0,4000000.0
1999-07-29,15561,16780,15090,16508,42734,48800.0,4000000.0
1999-07-30,16848,17188,14886,15628,22025,46200.0,4000000.0
1999-08-02,14753,14753,13873,14749,10425,43600.0,4000000.0
1999-08-03,14887,14887,13936,14478,16373,42800.0,4000000.0
1999-08-04,14750,15156,14346,14478,18455,42800.0,4000000.0
1999-08-05,14887,14887,13805,14208,14222,42000.0,4000000.0
1999-08-06,13533,15155,13533,14343,18760,42400.0,4000000.0
1999-08-09,15426,16034,15017,16034,36558,47400.0,4000000.0
1999-08-10,16914,17520,16236,16779,49010,49600.0,4000000.0
1999-08-11,16778,16778,15832,16779,28840,49600.0,4000000.0
1999-08-12,16774,17046,16304,16576,16516,49000.0,4000000.0
1999-08-13,16372,16372,14750,15358,6527,45400.0,4000000.0
1999-08-16,14206,16234,14206,14614,7273,43200.0,4000000.0
1999-08-17,14210,15560,13668,14478,9542,42800.0,4000000.0
1999-08-18,14207,14885,12787,14884,24633,44000.0,4000000.0
1999-08-19,13667,15559,13667,14884,10826,44000.0,4000000.0
1999-08-20,13934,15153,13934,14884,6873,44000.0,4000000.0
1999-08-23,14888,15430,14210,15425,14573,45600.0,4000000.0
1999-08-24,15289,15427,14613,14884,20037,44000.0,4000000.0
1999-08-25,15017,15559,14749,14884,19618,44000.0,4000000.0
1999-08-26,15424,15556,14206,14614,19464,43200.0,4000000.0
1999-08-27,15153,15153,14071,14884,12760,44000.0,4000000.0
1999-08-30,14210,14887,13936,14478,9495,42800.0,4000000.0
1999-08-31,14211,14888,13937,14005,12256,41400.0,4000000.0
