펄어비스(263750),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-09-14,92700,100800,86400,98900,1657818,1193357.0,12066300.0
2017-09-15,98200,108500,96200,108000,597607,1303160.0,12066300.0
2017-09-18,110500,112600,105800,108000,352954,1303160.0,12066300.0
2017-09-19,111500,117900,107400,114300,253257,1379178.0,12066300.0
2017-09-20,114300,120400,114300,118000,413541,1423823.0,12066300.0
2017-09-21,120400,120500,111600,116200,258192,1402104.0,12066300.0
2017-09-22,118000,119200,114900,119000,186203,1435890.0,12066300.0
2017-09-25,119000,126800,115000,118600,175688,1431063.0,12066300.0
2017-09-26,119000,119900,114400,117800,103645,1421410.0,12066300.0
2017-09-27,117200,118800,114400,116500,103693,1405724.0,12066300.0
2017-09-28,115500,116000,108500,113300,166640,1367112.0,12066300.0
2017-09-29,112300,115400,110100,113700,95661,1371938.0,12066300.0
2017-10-10,114400,115600,107300,108500,133180,1309194.0,12066300.0
2017-10-11,108500,109900,104100,108200,121600,1305574.0,12066300.0
2017-10-12,109700,110800,107000,107400,71631,1295921.0,12066300.0
2017-10-13,107500,118200,105300,107500,239356,1297127.0,12066300.0
2017-10-16,107500,115300,107500,113000,204563,1363492.0,12066300.0
2017-10-17,116900,133500,116600,129200,627898,1558966.0,12066300.0
2017-10-18,133200,139800,129800,136200,642542,1643430.0,12066300.0
2017-10-19,137200,138500,130000,133000,256209,1604818.0,12066300.0
2017-10-20,131400,135000,129900,132400,147618,1597578.0,12066300.0
2017-10-23,133500,134300,130400,132500,115374,1598785.0,12066300.0
2017-10-24,133700,147000,133200,141900,551324,1712208.0,12066300.0
2017-10-25,142100,149000,139800,147600,195363,1780986.0,12066300.0
2017-10-26,150800,151600,139900,141700,269341,1709795.0,12066300.0
2017-10-27,142300,145900,137800,138300,194963,1668769.0,12066300.0
2017-10-30,140000,142100,137100,140400,122513,1694109.0,12066300.0
2017-10-31,139900,148700,139800,147500,180227,1779779.0,12066300.0
2017-11-01,148300,149700,144800,147800,109261,1783399.0,12066300.0
2017-11-02,148000,151900,147000,150800,144096,1819598.0,12066300.0
2017-11-03,146800,149400,144900,148700,142408,1794259.0,12066300.0
2017-11-06,149300,153100,145100,146200,170824,1764093.0,12066300.0
2017-11-07,146500,146700,139100,140400,201375,1694109.0,12066300.0
2017-11-08,141600,143100,137200,139900,189659,1688075.0,12066300.0
2017-11-09,139900,139900,134200,138800,213006,1674802.0,12066300.0
2017-11-10,139500,150000,136000,149700,465742,1806325.0,12066300.0
2017-11-13,152900,161000,147900,157500,375549,1900442.0,12066300.0
2017-11-14,157000,160700,152900,158000,196757,1906475.0,12066300.0
2017-11-15,156500,167800,156500,165000,266419,1990940.0,12066300.0
2017-11-16,165200,167700,160000,165200,119308,1993353.0,12066300.0
2017-11-17,170000,170000,162600,165000,102264,1990940.0,12066300.0
2017-11-20,164300,166500,159800,164400,142724,1983700.0,12066300.0
2017-11-21,164500,167800,161600,166700,164309,2011452.0,12066300.0
2017-11-22,168600,175000,162600,165800,259706,2000593.0,12066300.0
2017-11-23,167800,181300,166100,178000,435150,2147801.0,12066300.0
2017-11-24,183000,194400,183000,189800,352257,2290184.0,12066300.0
2017-11-27,195900,200000,188500,200000,318088,2413260.0,12066300.0
2017-11-28,197400,198500,188000,188000,256138,2268464.0,12066300.0
2017-11-29,187900,200000,187900,199600,230774,2408433.0,12066300.0
2017-11-30,195000,205500,192400,192500,194068,2322763.0,12066300.0
2017-12-01,194600,198900,190500,194200,174042,2343275.0,12066300.0
2017-12-04,198700,206600,197300,202000,181573,2437393.0,12066300.0
2017-12-05,203600,203600,195300,199000,120077,2401194.0,12066300.0
2017-12-06,198000,200100,187500,190900,203162,2303457.0,12066300.0
2017-12-07,190900,192500,181700,186500,209708,2250365.0,12066300.0
2017-12-08,185600,193800,185100,187000,137274,2256398.0,12066300.0
2017-12-11,188200,193500,184800,193400,159764,2333622.0,12066300.0
2017-12-12,195200,204300,194200,204000,189520,2461525.0,12066300.0
2017-12-13,203500,208500,201600,205000,159302,2473592.0,12066300.0
2017-12-14,212000,215000,204100,205000,394873,2473592.0,12066300.0
2017-12-15,206700,207300,197100,202000,189986,2437393.0,12066300.0
2017-12-18,201000,217000,201000,216400,232904,2611147.0,12066300.0
2017-12-19,216400,219700,212100,216500,133334,2612354.0,12066300.0
2017-12-20,216400,217000,210500,214100,126146,2583395.0,12066300.0
2017-12-21,214100,223800,212100,216400,185147,2611147.0,12066300.0
2017-12-22,215000,225000,213200,225000,142765,2714918.0,12066300.0
2017-12-26,228000,235400,225000,228900,192848,2761976.0,12066300.0
2017-12-27,235000,250000,235000,250000,210931,3016575.0,12066300.0
2017-12-28,245700,249900,240400,247600,152701,2987616.0,12066300.0
2018-01-02,252100,265000,245000,249000,204926,3004509.0,12066300.0
2018-01-03,249400,249400,231000,241600,344534,2915218.0,12066300.0
2018-01-04,244200,247900,231000,233100,239031,2812655.0,12066300.0
2018-01-05,236500,245600,225800,239200,228694,2886259.0,12066300.0
2018-01-08,241000,243800,231800,233800,158077,2821101.0,12066300.0
2018-01-09,234900,237500,223100,225000,227172,2714918.0,12066300.0
2018-01-10,228000,240900,225800,240900,254871,2906772.0,12066300.0
2018-01-11,233200,250800,229900,249900,254836,3015368.0,12066300.0
2018-01-12,254800,256400,242100,252700,177312,3049154.0,12066300.0
2018-01-15,252700,252700,246100,248300,151405,2996062.0,12066300.0
2018-01-16,245100,267900,245000,262900,211003,3172230.0,12066300.0
2018-01-17,267000,272000,260200,265100,143339,3198776.0,12066300.0
2018-01-18,268000,269400,259500,267200,111512,3224115.0,12066300.0
2018-01-19,269800,269800,254100,258800,90669,3122758.0,12066300.0
