파버나인(177830),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2014-08-04,6150,6450,5925,6000,1774327,48996.0,4083000.0
2014-08-05,5975,6049,5600,5625,736867,45934.0,4083000.0
2014-08-06,5575,5825,5350,5400,397048,44096.0,4083000.0
2014-08-07,5425,5600,5100,5275,334787,43076.0,4083000.0
2014-08-08,5300,5300,4970,5025,188735,41034.0,4083000.0
2014-08-11,5100,5250,5025,5150,117901,42055.0,4083000.0
2014-08-12,5075,5675,4990,5325,318427,43484.0,4083000.0
2014-08-13,5425,5550,5225,5450,118508,44505.0,4083000.0
2014-08-14,5500,5575,5400,5500,60262,55662.0,5060200.0
2014-08-18,5525,5700,5525,5625,45015,56927.0,5060200.0
2014-08-19,5600,5650,5425,5625,68169,56927.0,5060200.0
2014-08-20,5625,5850,5625,5700,79292,57686.0,5060200.0
2014-08-21,5650,5750,5525,5525,35062,55915.0,5060200.0
2014-08-22,5450,5700,5450,5650,18600,57180.0,5060200.0
2014-08-25,5625,5750,5250,5675,45352,57433.0,5060200.0
2014-08-26,5675,5675,5475,5525,33653,55915.0,5060200.0
2014-08-27,5525,5725,5450,5500,23341,55662.0,5060200.0
2014-08-28,5525,5625,5425,5475,34337,55409.0,5060200.0
2014-08-29,5450,5550,5425,5450,15509,55156.0,5060200.0
2014-09-01,5450,5600,5400,5500,22402,55662.0,5060200.0
2014-09-02,5500,5525,5125,5275,29239,53385.0,5060200.0
2014-09-03,5075,5450,5050,5450,44990,55156.0,5060200.0
2014-09-04,5475,5475,5175,5175,38118,52373.0,5060200.0
2014-09-05,4850,5025,4770,4825,97564,51682.0,5355636.0
2014-09-11,4875,4875,4655,4655,27990,49861.0,5355636.0
2014-09-12,4655,4700,4555,4555,28439,48790.0,5355636.0
2014-09-15,4585,4615,4525,4545,11686,48683.0,5355636.0
2014-09-16,4515,4545,4460,4480,27090,47986.0,5355636.0
2014-09-17,4510,4615,4500,4600,14399,49272.0,5355636.0
2014-09-18,4600,4820,4580,4820,35180,51628.0,5355636.0
2014-09-19,4765,5225,4705,5025,39740,53824.0,5355636.0
2014-09-22,5175,5175,4915,5000,8571,53556.0,5355636.0
2014-09-23,4925,4975,4885,4975,8539,53289.0,5355636.0
2014-09-24,4975,5000,4750,4785,9167,51253.0,5355636.0
2014-09-25,4795,4975,4710,4785,4367,51253.0,5355636.0
2014-09-26,4750,4750,4610,4615,20208,49433.0,5355636.0
2014-09-29,4775,4775,4520,4530,22995,48522.0,5355636.0
2014-09-30,4595,4675,4505,4675,14185,50075.0,5355636.0
