티에스이(131290),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2011-01-05,20335,23358,20304,23359,1484872,248495.0,3248298.0
2011-01-06,25343,26838,19877,19878,1555203,211464.0,3248298.0
2011-01-07,19328,19816,16916,16916,814675,179956.0,3248298.0
2011-01-10,16579,17618,16244,16641,305422,177032.0,3248298.0
2011-01-11,16976,18930,16763,17313,630981,184178.0,3248298.0
2011-01-12,16518,17220,16274,16336,220876,173784.0,3248298.0
2011-01-13,16671,16823,15816,15939,172186,169561.0,3248298.0
2011-01-14,16457,16793,15694,15908,230761,169236.0,3248298.0
2011-01-17,15938,16396,15785,16184,91598,172160.0,3248298.0
2011-01-18,16549,16793,14244,14672,335266,156081.0,3248298.0
2011-01-19,14717,15220,14060,14809,149042,157542.0,3248298.0
2011-01-20,14900,15389,14518,14611,81519,155431.0,3248298.0
2011-01-21,14411,14534,13999,14000,85968,148934.0,3248298.0
2011-01-24,13999,14289,13602,13633,80541,145037.0,3248298.0
2011-01-25,13709,13999,13129,13267,76519,141139.0,3248298.0
2011-01-26,13282,14457,12885,13481,156778,143412.0,3248298.0
2011-01-27,13679,13816,13205,13221,48041,140651.0,3248298.0
2011-01-28,13403,13648,12976,13588,42554,144549.0,3248298.0
2011-01-31,13435,13740,13236,13542,24676,144062.0,3248298.0
2011-02-01,13740,14350,13587,13802,44353,146823.0,3248298.0
2011-02-07,14106,14854,13953,14565,97128,154944.0,3248298.0
2011-02-08,14655,14748,14121,14199,34490,151046.0,3248298.0
2011-02-09,14289,14304,13679,13679,34924,145524.0,3248298.0
2011-02-10,13740,13740,13129,13298,23415,141463.0,3248298.0
2011-02-11,13419,13542,13114,13115,17350,139514.0,3248298.0
2011-02-14,13038,13358,13022,13130,16783,139677.0,3248298.0
2011-02-15,13282,13282,12915,13038,14199,138702.0,3248298.0
2011-02-16,12961,13724,12915,13405,35371,142600.0,3248298.0
2011-02-17,13175,13542,13129,13435,15895,142925.0,3248298.0
2011-02-18,13282,14014,13175,13665,24504,147375.0,3293298.0
2011-02-21,13786,13786,13189,13191,15719,142270.0,3293298.0
2011-02-22,13205,13342,13007,13282,17029,143258.0,3293298.0
2011-02-23,13159,14655,13129,13954,51483,150504.0,3293298.0
2011-02-24,14030,15175,13740,14809,73828,159725.0,3293298.0
2011-02-25,14854,15006,14350,14794,23134,159560.0,3293298.0
2011-02-28,14808,14854,14183,14595,12984,157420.0,3293298.0
2011-03-02,14442,14534,14106,14214,15524,153303.0,3293298.0
2011-03-03,14197,15251,13953,15252,40862,164500.0,3293298.0
2011-03-04,15357,15755,15129,15420,44522,166312.0,3293298.0
2011-03-07,15419,16305,15266,16184,50941,174545.0,3293298.0
2011-03-08,16182,16182,15785,16061,24254,173227.0,3293298.0
2011-03-09,16182,16457,15694,15694,37148,169276.0,3293298.0
2011-03-10,15755,16030,15159,15329,32322,165324.0,3293298.0
2011-03-11,15052,15480,14808,15329,13517,165324.0,3293298.0
2011-03-14,14992,15266,14228,14764,25934,159231.0,3293298.0
2011-03-15,14411,14778,12854,13665,44149,147375.0,3293298.0
2011-03-16,13526,13907,13251,13435,25376,144905.0,3293298.0
2011-03-17,13098,15327,12945,15176,64910,163677.0,3293298.0
2011-03-18,15175,15266,14610,14641,27704,157914.0,3293298.0
2011-03-21,14641,16793,14641,16244,191623,175203.0,3293298.0
2011-03-22,16488,16488,15419,15573,67909,167958.0,3293298.0
2011-03-23,15724,15938,15236,15267,46586,164665.0,3293298.0
2011-03-24,15297,16030,15297,15542,33903,167629.0,3293298.0
2011-03-25,15571,15908,15327,15542,23623,167629.0,3293298.0
2011-03-28,15450,15694,15113,15115,38198,163018.0,3293298.0
2011-03-29,15113,15266,14655,14992,23719,161701.0,3293298.0
2011-03-30,15099,15968,14900,15908,59204,171581.0,3293298.0
2011-03-31,16182,16335,15571,15786,31731,170264.0,3293298.0
2011-04-01,15785,17648,15785,17374,89678,187389.0,3293298.0
2011-04-04,16946,17831,16916,16916,77968,182449.0,3293298.0
2011-04-05,18744,19430,17921,19431,165348,69983.0,3293298.0
2011-04-06,21579,22310,21442,22311,53563,80356.0,3293298.0
2011-04-07,25602,25648,22859,25648,397836,92377.0,3293298.0
2011-04-08,25694,28208,24368,24963,458395,89907.0,3293298.0
2011-04-11,24139,24185,21808,21854,236828,78710.0,3293298.0
2011-04-12,21762,22905,21350,21945,138963,79039.0,3293298.0
2011-04-13,22859,22996,20847,20939,81867,75417.0,3293298.0
2011-04-14,20939,21213,20116,20939,86396,75417.0,3293298.0
2011-04-15,20939,22539,20482,21945,69564,79039.0,3293298.0
2011-04-18,22128,22402,20162,20162,63573,72617.0,3293298.0
2011-04-19,20025,22859,19659,20711,74188,74593.0,3293298.0
2011-04-20,21396,21396,20116,20345,43125,73276.0,3293298.0
2011-04-21,20482,20756,19887,19934,41596,71794.0,3293298.0
2011-04-22,20527,20665,18882,19385,55974,69818.0,3293298.0
2011-04-25,19384,19750,18744,19156,29804,68995.0,3293298.0
2011-04-26,18561,19110,17830,17830,45973,64219.0,3293298.0
2011-04-27,17830,18470,17464,17968,29365,64713.0,3293298.0
2011-04-28,16733,17144,15361,15819,262249,170922.0,9879894.0
2011-04-29,16093,16093,14630,14676,163960,158572.0,9879894.0
2011-05-02,14767,16276,14584,15362,203402,165982.0,9879894.0
2011-05-03,15361,16047,14995,15316,131881,165488.0,9879894.0
2011-05-04,16413,17601,16276,17602,488513,190188.0,9879894.0
2011-05-06,17739,17830,16138,16185,429348,174874.0,9879894.0
2011-05-09,16413,16413,15087,15636,229595,168946.0,9879894.0
2011-05-11,15773,16001,15315,15636,100892,168946.0,9879894.0
2011-05-12,15544,16230,15270,16093,110443,173886.0,9879894.0
2011-05-13,16596,17510,16596,17510,270865,189200.0,9879894.0
2011-05-16,17647,17693,16641,16962,284313,183272.0,9879894.0
2011-05-17,17053,18196,17007,17008,253730,183766.0,9879894.0
2011-05-18,17144,17327,16001,16139,150893,174380.0,9879894.0
2011-05-19,16093,16504,15041,15224,156028,164500.0,9879894.0
2011-05-20,14813,15590,14813,15179,71092,164006.0,9879894.0
2011-05-23,14813,15361,14172,14264,98969,154126.0,9879894.0
2011-05-24,13852,14767,13852,14127,76275,152644.0,9879894.0
2011-05-25,14218,14538,13395,13396,67971,144740.0,9879894.0
2011-05-26,13395,14172,13395,14173,75732,153138.0,9879894.0
2011-05-27,14355,14401,13624,13807,56520,149186.0,9879894.0
2011-05-30,13807,13990,13304,13396,53055,144740.0,9879894.0
2011-05-31,13624,14172,13441,13853,66591,149680.0,9879894.0
2011-06-01,13898,14127,13487,13624,39660,147210.0,9879894.0
2011-06-02,13212,13395,12755,12847,74089,138813.0,9879894.0
2011-06-03,13532,14172,13258,13533,159014,146222.0,9879894.0
2011-06-07,13487,13715,12984,12984,47870,140294.0,9879894.0
2011-06-08,13121,13304,12572,12618,70679,136343.0,9879894.0
2011-06-09,12709,12892,12161,12344,93155,133379.0,9879894.0
2011-06-10,12481,12755,11566,11658,96477,125969.0,9879894.0
2011-06-13,11704,12069,10972,11064,80531,119547.0,9879894.0
2011-06-14,10835,11521,10835,11338,51749,122511.0,9879894.0
2011-06-15,11429,12207,11429,11613,68794,125475.0,9879894.0
2011-06-16,11566,12252,11475,11750,42513,126957.0,9879894.0
2011-06-17,11978,12069,11475,11750,47454,126957.0,9879894.0
2011-06-20,11841,12207,11384,11521,50856,124487.0,9879894.0
2011-06-21,11612,11795,11201,11521,43706,124487.0,9879894.0
2011-06-22,11612,11841,11429,11567,38390,124981.0,9879894.0
2011-06-23,11384,11612,11246,11338,37380,122511.0,9879894.0
2011-06-24,11384,11749,11384,11704,59076,126463.0,9879894.0
2011-06-27,11521,11658,11384,11430,39855,123499.0,9879894.0
2011-06-28,11612,11658,11201,11201,39528,121029.0,9879894.0
2011-06-29,11566,11566,11292,11293,28105,122017.0,9879894.0
2011-06-30,11292,12115,11292,11704,61788,126463.0,9879894.0
2011-07-01,11932,12755,11795,12390,123216,133873.0,9879894.0
2011-07-04,12527,12892,12298,12710,77301,137331.0,9879894.0
