나무가(190510),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-11-12,33400,37450,30450,33000,739414,96505.0,2924383.0
2015-11-13,36500,40300,32650,34250,971707,100160.0,2924383.0
2015-11-16,33400,37250,32400,33800,133078,98844.0,2924383.0
2015-11-17,35200,35450,32400,34500,65040,100891.0,2924383.0
2015-11-18,34200,34750,32700,32800,29620,95920.0,2924383.0
2015-11-19,33150,33700,32000,32200,26955,94165.0,2924383.0
2015-11-20,31900,32750,30400,30400,41777,88901.0,2924383.0
2015-11-23,30600,31550,30300,30650,20881,89632.0,2924383.0
2015-11-24,30650,31400,29600,30800,28200,90071.0,2924383.0
2015-11-25,31200,34150,31000,34000,55993,99429.0,2924383.0
2015-11-26,34000,37200,33200,36650,64529,111320.0,3037377.0
2015-11-27,35500,37700,35500,36700,44089,111472.0,3037377.0
2015-11-30,36250,36700,34350,35900,20961,109042.0,3037377.0
2015-12-01,36450,36450,34550,34600,17365,105093.0,3037377.0
2015-12-02,34600,34900,33800,34700,13192,105397.0,3037377.0
2015-12-03,34750,35250,32800,35150,15704,107347.0,3053956.0
2015-12-04,34300,40750,34250,40750,159344,124449.0,3053956.0
2015-12-07,42100,42950,38650,39500,78759,120631.0,3053956.0
2015-12-08,40300,47750,39250,43550,274151,133000.0,3053956.0
2015-12-09,43500,55000,43500,50000,267858,152698.0,3053956.0
2015-12-10,51200,52500,48000,49800,111302,152087.0,3053956.0
2015-12-11,50500,56000,50500,52200,154439,159417.0,3053956.0
2015-12-14,50500,54800,50500,53300,67947,162776.0,3053956.0
2015-12-15,53400,58000,52000,56700,153085,189176.0,3336441.0
2015-12-16,56300,57300,53700,54500,45420,181836.0,3336441.0
2015-12-17,54800,54800,51700,53400,57819,178166.0,3336441.0
2015-12-18,52800,57000,52000,55500,50737,185172.0,3336441.0
2015-12-21,54500,55300,52500,52500,22637,175163.0,3336441.0
2015-12-22,52800,53000,49500,50000,43456,166822.0,3336441.0
2015-12-23,50300,54000,49550,51500,42903,171827.0,3336441.0
2015-12-24,51600,51600,49650,50000,30654,166822.0,3336441.0
2015-12-28,50300,52800,50300,50600,21260,168824.0,3336441.0
2015-12-29,50600,54000,50500,52700,26298,175830.0,3336441.0
2015-12-30,52600,63000,52600,58000,64479,193514.0,3336441.0
2016-01-04,57100,59500,55600,57400,40779,191512.0,3336441.0
2016-01-05,58400,68000,57600,62400,130751,208194.0,3336441.0
2016-01-06,62200,66200,61500,66000,61782,220205.0,3336441.0
2016-01-07,65900,66000,62300,64700,44507,215868.0,3336441.0
2016-01-08,63900,72000,62600,70500,117472,235219.0,3336441.0
2016-01-11,71900,74200,67100,70200,55527,234218.0,3336441.0
2016-01-12,69800,69800,65400,68400,52617,228213.0,3336441.0
2016-01-13,68400,70000,66500,68200,36744,227545.0,3336441.0
2016-01-14,67100,68100,65400,66800,37035,222874.0,3336441.0
2016-01-15,68000,71300,66200,70700,83002,235886.0,3336441.0
2016-01-18,70000,73000,69500,70500,81989,235219.0,3336441.0
2016-01-19,69500,70500,66000,68000,65493,226878.0,3336441.0
2016-01-20,68200,68900,64500,66000,46486,220205.0,3336441.0
2016-01-21,66100,69000,64000,67800,51915,226211.0,3336441.0
2016-01-22,69100,69100,66500,68400,29627,228213.0,3336441.0
2016-01-25,68700,72500,68700,70000,47854,233551.0,3336441.0
2016-01-26,70000,70500,68100,69200,18480,230882.0,3336441.0
2016-01-27,68900,71500,67600,71500,49075,238556.0,3336441.0
2016-01-28,71500,72400,69400,69600,24041,232216.0,3336441.0
2016-01-29,70000,70000,66700,69100,35311,230548.0,3336441.0
2016-02-01,70500,74200,68500,74200,77078,247564.0,3336441.0
2016-02-02,74000,74800,70900,71500,35675,238556.0,3336441.0
2016-02-03,71200,72000,69300,70300,22766,234552.0,3336441.0
