제로투세븐(159580),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2013-02-19,13050,14000,11850,12000,4905175,138480.0,11540000.0
2013-02-20,12250,12650,12000,12150,1289661,140211.0,11540000.0
2013-02-21,12200,12450,11950,12400,641031,143096.0,11540000.0
2013-02-22,12250,12700,12150,12500,520713,144250.0,11540000.0
2013-02-25,12600,13000,12350,12700,435246,146558.0,11540000.0
2013-02-26,12700,12900,12450,12700,206727,146558.0,11540000.0
2013-02-27,12700,12700,12250,12500,243240,144250.0,11540000.0
2013-02-28,12500,12650,12300,12450,224640,143673.0,11540000.0
2013-03-04,12450,13800,12450,13400,695783,154636.0,11540000.0
2013-03-05,13600,13650,13150,13350,359600,154059.0,11540000.0
2013-03-06,13500,14350,13400,13650,524511,157521.0,11540000.0
2013-03-07,13500,14100,13300,13750,239642,158675.0,11540000.0
2013-03-08,13850,14100,13600,13800,124693,159252.0,11540000.0
2013-03-11,13950,14800,13800,14550,473067,167907.0,11540000.0
2013-03-12,14800,16300,14600,15400,654294,177716.0,11540000.0
2013-03-13,15500,15500,14700,15150,312620,174831.0,11540000.0
2013-03-14,15050,15200,14750,14950,130192,172523.0,11540000.0
2013-03-15,14950,15200,14500,14600,191211,168484.0,11540000.0
2013-03-18,14400,14650,14050,14450,122640,166753.0,11540000.0
2013-03-19,13950,14300,13100,13900,833909,160406.0,11540000.0
2013-03-20,13800,14450,13800,14100,199765,162714.0,11540000.0
2013-03-21,14250,14250,13900,13900,104952,160406.0,11540000.0
2013-03-22,13900,14100,13600,13850,152668,159829.0,11540000.0
2013-03-25,13950,14650,13950,14550,238390,167907.0,11540000.0
2013-03-26,14550,14750,14250,14650,158560,169061.0,11540000.0
2013-03-27,14500,14600,14100,14200,123276,163868.0,11540000.0
2013-03-28,14250,14400,13750,14150,125318,163291.0,11540000.0
2013-03-29,14100,14300,13800,14150,127658,163291.0,11540000.0
2013-04-01,14300,14400,13800,13850,134033,159829.0,11540000.0
2013-04-02,13850,14000,13400,13550,93263,156367.0,11540000.0
2013-04-03,13550,13850,13550,13750,61894,158675.0,11540000.0
2013-04-04,13600,13750,13050,13600,108641,156944.0,11540000.0
2013-04-05,13700,13700,13200,13250,57260,152905.0,11540000.0
2013-04-08,13100,13350,12900,12900,85848,148866.0,11540000.0
2013-04-09,12750,13400,12300,12850,144936,148289.0,11540000.0
2013-04-10,12950,13250,12700,13000,63082,150020.0,11540000.0
2013-04-11,13350,13650,13100,13550,65779,156367.0,11540000.0
2013-04-12,13600,13750,13350,13650,92545,157521.0,11540000.0
2013-04-15,13500,14550,13500,14250,212914,164445.0,11540000.0
2013-04-16,14000,14550,14000,14250,139299,164445.0,11540000.0
2013-04-17,14400,14550,14200,14350,84462,165599.0,11540000.0
2013-04-18,14350,14500,13800,13850,86157,159829.0,11540000.0
2013-04-19,14150,14150,13300,13850,115760,159829.0,11540000.0
2013-04-22,13900,14450,13500,14350,116635,165599.0,11540000.0
2013-04-23,14500,15100,14250,14950,157447,172523.0,11540000.0
2013-04-24,15050,15200,14700,14950,114068,172523.0,11540000.0
2013-04-25,15000,15450,14800,15050,282023,173677.0,11540000.0
2013-04-26,14950,15200,14700,14950,128467,172523.0,11540000.0
2013-04-29,14800,15100,14650,14950,78203,172523.0,11540000.0
2013-04-30,14950,15300,14750,14900,105122,171946.0,11540000.0
2013-05-02,14900,15000,14600,14850,71315,171369.0,11540000.0
2013-05-03,15050,15050,14600,14900,44017,171946.0,11540000.0
2013-05-06,14900,15850,14850,15600,256150,180024.0,11540000.0
2013-05-07,15800,16200,15600,15800,171091,182332.0,11540000.0
2013-05-08,15950,16100,15550,15950,103106,184063.0,11540000.0
2013-05-09,15800,16000,15400,15700,119203,181178.0,11540000.0
2013-05-10,15650,15800,14850,15100,242154,174254.0,11540000.0
2013-05-13,15100,15100,14400,14900,95165,171946.0,11540000.0
2013-05-14,14750,15150,13350,14350,421076,165599.0,11540000.0
2013-05-15,14250,14700,13950,14300,112845,165022.0,11540000.0
2013-05-16,14400,14600,14150,14600,58081,168484.0,11540000.0
2013-05-20,14500,14800,14350,14600,69074,168484.0,11540000.0
2013-05-21,14550,14700,14300,14650,58197,169061.0,11540000.0
2013-05-22,14600,14950,14450,14550,102904,167907.0,11540000.0
2013-05-23,14400,14600,13700,14000,131454,161560.0,11540000.0
2013-05-24,14200,14200,13400,13900,223583,160406.0,11540000.0
2013-05-27,13900,14200,13650,14050,42511,162137.0,11540000.0
2013-05-28,14150,14250,13650,14250,79200,164445.0,11540000.0
2013-05-29,14250,14300,13700,13900,93921,160406.0,11540000.0
2013-05-30,13900,14350,13700,14200,62831,163868.0,11540000.0
2013-05-31,14150,15450,14150,15200,308981,175408.0,11540000.0
2013-06-03,15050,15450,14950,15150,94931,174831.0,11540000.0
2013-06-04,15200,15400,14950,15150,88856,174831.0,11540000.0
2013-06-05,15050,15250,14700,14950,57872,172523.0,11540000.0
2013-06-07,15050,15200,14100,14100,76818,162714.0,11540000.0
2013-06-10,13900,14350,13650,14300,120033,165022.0,11540000.0
2013-06-11,14450,14550,14100,14150,52875,163291.0,11540000.0
2013-06-12,14150,14300,14000,14250,41568,164445.0,11540000.0
2013-06-13,14050,14250,13350,13550,121424,156367.0,11540000.0
2013-06-14,13700,13800,13100,13250,62570,152905.0,11540000.0
2013-06-17,13250,13300,12750,12950,58803,149443.0,11540000.0
2013-06-18,12850,13450,12850,13300,23191,153482.0,11540000.0
2013-06-19,13500,13700,13000,13400,32478,154636.0,11540000.0
2013-06-20,13050,13600,12900,13600,31268,156944.0,11540000.0
2013-06-21,13100,13250,12900,13000,27476,150020.0,11540000.0
2013-06-24,13150,13150,12650,12700,32186,146558.0,11540000.0
2013-06-25,12400,12600,10900,11600,120988,133864.0,11540000.0
2013-06-26,11550,11950,10900,11350,111120,130979.0,11540000.0
2013-06-27,11450,11950,11450,11850,61341,136749.0,11540000.0
2013-06-28,12000,12450,12000,12050,50329,139057.0,11540000.0
2013-07-01,11950,12250,11850,12050,14923,139057.0,11540000.0
2013-07-02,12100,12200,11250,11600,120847,133864.0,11540000.0
2013-07-03,11600,11950,11300,11700,67020,135018.0,11540000.0
2013-07-04,11900,11900,11400,11750,33165,135595.0,11540000.0
2013-07-05,11900,12150,11750,11850,38626,136749.0,11540000.0
2013-07-08,11900,11900,11450,11550,13447,133287.0,11540000.0
2013-07-09,11550,11800,11300,11500,15722,132710.0,11540000.0
2013-07-10,11550,11750,11250,11600,45203,133864.0,11540000.0
2013-07-11,11600,12150,11450,12000,66024,138480.0,11540000.0
2013-07-12,12100,12100,11800,11900,17692,137326.0,11540000.0
2013-07-15,11950,12000,11750,11850,32145,136749.0,11540000.0
2013-07-16,11900,12400,11900,12300,56057,141942.0,11540000.0
2013-07-17,12350,12700,12150,12600,46311,145404.0,11540000.0
2013-07-18,12750,12750,12300,12350,16105,142519.0,11540000.0
2013-07-19,12450,12600,12200,12350,17567,142519.0,11540000.0
2013-07-22,12500,13950,12350,13150,315040,151751.0,11540000.0
2013-07-23,13000,13350,12750,12750,120172,147135.0,11540000.0
2013-07-24,12700,13200,12600,12950,45496,149443.0,11540000.0
2013-07-25,12750,12900,12450,12800,60750,147712.0,11540000.0
2013-07-26,12650,12950,12600,12700,24551,146558.0,11540000.0
2013-07-29,12650,12800,11950,12100,62893,139634.0,11540000.0
2013-07-30,12000,12700,11900,12550,44084,144827.0,11540000.0
2013-07-31,12650,12650,12150,12450,40424,143673.0,11540000.0
2013-08-01,12450,12550,12150,12150,33617,140211.0,11540000.0
2013-08-02,12250,12250,11900,12000,34482,138480.0,11540000.0
2013-08-05,12550,13600,12400,12450,319430,143673.0,11540000.0
2013-08-06,12650,13050,12450,12850,112516,148289.0,11540000.0
2013-08-07,12750,13050,12550,13050,79596,150597.0,11540000.0
2013-08-08,13200,13550,13000,13200,147002,152328.0,11540000.0
2013-08-09,13200,13750,13000,13100,52159,151174.0,11540000.0
2013-08-12,13000,13650,12850,13400,98900,154636.0,11540000.0
2013-08-13,13350,13850,13150,13400,77378,154636.0,11540000.0
2013-08-14,13450,13850,13300,13600,70656,156944.0,11540000.0
2013-08-16,13400,13950,13400,13600,43368,156944.0,11540000.0
2013-08-19,13900,13900,13200,13550,52064,156367.0,11540000.0
2013-08-20,13550,13550,12650,13100,71332,151174.0,11540000.0
2013-08-21,13000,13200,12400,13000,83124,150020.0,11540000.0
2013-08-22,12900,12900,12550,12600,24663,145404.0,11540000.0
2013-08-23,12550,13050,12550,12800,37239,147712.0,11540000.0
2013-08-26,12950,13450,12800,13400,55696,154636.0,11540000.0
2013-08-27,13150,13500,12650,13200,55690,152328.0,11540000.0
2013-08-28,13000,13150,12700,13150,59198,151751.0,11540000.0
2013-08-29,13050,13550,12900,13000,73418,150020.0,11540000.0
2013-08-30,13000,13150,12400,12650,85149,145981.0,11540000.0
2013-09-02,12450,12700,12400,12650,21794,145981.0,11540000.0
2013-09-03,12650,12800,12500,12500,21000,144250.0,11540000.0
2013-09-04,12600,12600,12250,12300,59984,141942.0,11540000.0
2013-09-05,12300,12550,12250,12300,22439,141942.0,11540000.0
2013-09-06,12250,12450,12050,12350,41696,142519.0,11540000.0
2013-09-09,12300,12600,12200,12450,41283,143673.0,11540000.0
2013-09-10,12350,12650,12350,12550,21884,144827.0,11540000.0
2013-09-11,12450,12750,12400,12550,28854,144827.0,11540000.0
2013-09-12,12600,12800,12450,12800,43498,147712.0,11540000.0
2013-09-13,12750,12800,12600,12750,22919,147135.0,11540000.0
2013-09-16,12750,12850,12600,12850,39238,148289.0,11540000.0
2013-09-17,12850,12900,12750,12800,16337,147712.0,11540000.0
2013-09-23,12900,13050,12700,12900,13732,148866.0,11540000.0
2013-09-24,12950,13050,12750,13000,24281,150020.0,11540000.0
2013-09-25,12900,13050,12700,12800,30006,147712.0,11540000.0
2013-09-26,12700,12850,12600,12800,19743,147712.0,11540000.0
2013-09-27,12950,12950,12750,12750,14401,147135.0,11540000.0
2013-09-30,12700,12800,12600,12800,19370,147712.0,11540000.0
2013-10-01,12800,13000,12400,12650,57788,145981.0,11540000.0
2013-10-02,12750,12750,12500,12550,18672,144827.0,11540000.0
2013-10-04,12550,12550,12150,12350,17769,142519.0,11540000.0
2013-10-07,12300,12350,12050,12250,50642,141365.0,11540000.0
2013-10-08,12200,12450,12100,12450,26405,143673.0,11540000.0
2013-10-10,12350,12500,12200,12200,19148,140788.0,11540000.0
2013-10-11,12250,12500,12200,12500,30587,144250.0,11540000.0
2013-10-14,12550,12600,12250,12250,28615,141365.0,11540000.0
2013-10-15,12500,12500,12200,12300,33042,141942.0,11540000.0
2013-10-16,12300,12450,11600,12300,59094,141942.0,11540000.0
2013-10-17,12400,12400,11950,12100,49831,139634.0,11540000.0
2013-10-18,12100,12150,11850,11900,28366,137326.0,11540000.0
2013-10-21,11900,12050,11750,12000,19406,138480.0,11540000.0
2013-10-22,11750,12500,11750,12500,53317,144250.0,11540000.0
2013-10-23,12400,12750,12400,12450,66031,143673.0,11540000.0
2013-10-24,12600,13150,12400,13150,107035,151751.0,11540000.0
2013-10-25,13250,13250,12950,13100,39505,151174.0,11540000.0
2013-10-28,12950,13250,12650,13000,34265,150020.0,11540000.0
2013-10-29,12900,13450,12700,13300,120299,153482.0,11540000.0
2013-10-30,13450,13500,13050,13500,44395,155790.0,11540000.0
2013-10-31,13450,13550,13250,13450,31208,155213.0,11540000.0
2013-11-01,13450,13550,13150,13200,32652,152328.0,11540000.0
2013-11-04,13200,13200,12750,13050,31032,150597.0,11540000.0
2013-11-05,12900,13200,12550,12750,33913,147135.0,11540000.0
2013-11-06,12650,12750,12450,12600,35862,145404.0,11540000.0
2013-11-07,12550,12800,12450,12450,18073,143673.0,11540000.0
2013-11-08,12500,12800,12300,12450,22741,143673.0,11540000.0
2013-11-11,12500,12500,12000,12000,42065,138480.0,11540000.0
2013-11-12,12300,12300,11950,12050,19098,139057.0,11540000.0
2013-11-13,12100,12250,11900,12100,27918,139634.0,11540000.0
2013-11-14,12000,12200,11900,12200,16845,140788.0,11540000.0
2013-11-15,12250,12250,11850,11900,63788,137326.0,11540000.0
2013-11-18,12900,13500,12150,12250,377193,141365.0,11540000.0
2013-11-19,12200,12450,11900,12000,86287,138480.0,11540000.0
2013-11-20,11950,12300,11950,12000,25733,138480.0,11540000.0
2013-11-21,12000,12100,11700,11900,28515,137326.0,11540000.0
2013-11-22,11850,12050,11800,11900,34168,137326.0,11540000.0
2013-11-25,11900,12200,11800,12000,23761,138480.0,11540000.0
2013-11-26,12000,12200,12000,12150,41413,140211.0,11540000.0
2013-11-27,12150,12250,11950,12000,15997,138480.0,11540000.0
2013-11-28,12000,12150,11800,12150,40955,140211.0,11540000.0
2013-11-29,11950,12250,11850,12000,62154,138480.0,11540000.0
2013-12-02,12200,12300,12000,12300,52730,141942.0,11540000.0
2013-12-03,12200,12350,12000,12150,25003,140211.0,11540000.0
2013-12-04,12100,12200,11850,11850,34814,136749.0,11540000.0
2013-12-05,12000,12000,11650,11650,35806,134441.0,11540000.0
2013-12-06,11550,11850,11300,11700,49421,135018.0,11540000.0
2013-12-09,11650,11750,11200,11600,78433,133864.0,11540000.0
2013-12-10,11600,11600,11100,11300,35977,130402.0,11540000.0
2013-12-11,11300,11450,10950,11050,32544,127517.0,11540000.0
2013-12-12,10950,11300,10800,11000,26010,126940.0,11540000.0
2013-12-13,11400,11400,11000,11250,8443,129825.0,11540000.0
2013-12-16,11300,11300,10900,11050,17062,127517.0,11540000.0
2013-12-17,11050,11050,10600,10750,45051,124055.0,11540000.0
2013-12-18,10600,11150,10500,10950,28508,126363.0,11540000.0
2013-12-19,10950,11300,10900,11050,40255,127517.0,11540000.0
2013-12-20,10950,11300,10900,11150,15680,128671.0,11540000.0
2013-12-23,11100,11250,10950,11050,19195,127517.0,11540000.0
2013-12-24,11100,11450,10800,11400,36744,131556.0,11540000.0
2013-12-26,11400,11600,11250,11600,16653,133864.0,11540000.0
2013-12-27,11500,11650,11450,11600,21062,133864.0,11540000.0
2013-12-30,11500,11750,11500,11750,4183,135595.0,11540000.0
2014-01-02,11850,11850,11450,11450,9247,132133.0,11540000.0
2014-01-03,11400,11550,11350,11500,8136,132710.0,11540000.0
2014-01-06,11500,11550,11350,11350,4090,130979.0,11540000.0
2014-01-07,11400,11450,11150,11400,10748,131556.0,11540000.0
2014-01-08,11300,11400,11050,11300,14863,130402.0,11540000.0
2014-01-09,11150,11250,11050,11200,15806,129248.0,11540000.0
2014-01-10,11150,11300,10900,11200,18625,129248.0,11540000.0
2014-01-13,11200,11450,11150,11350,7537,130979.0,11540000.0
2014-01-14,11350,11450,11250,11300,10908,130402.0,11540000.0
2014-01-15,11300,11550,11000,11100,27812,128094.0,11540000.0
2014-01-16,11050,11300,11050,11300,20249,130402.0,11540000.0
2014-01-17,11500,11500,11300,11300,10187,130402.0,11540000.0
2014-01-20,11250,11450,11150,11250,14735,129825.0,11540000.0
2014-01-21,11150,11300,11000,11150,23322,128671.0,11540000.0
2014-01-22,11150,11350,11100,11150,11100,128671.0,11540000.0
2014-01-23,11300,11500,11150,11450,21330,132133.0,11540000.0
2014-01-24,11450,11550,11200,11400,11345,131556.0,11540000.0
2014-01-27,11000,11450,10900,11200,41418,129248.0,11540000.0
2014-01-28,11150,11350,11100,11200,6441,129248.0,11540000.0
2014-01-29,11200,11600,11100,11400,51498,131556.0,11540000.0
2014-02-03,11250,11650,11150,11600,44736,133864.0,11540000.0
2014-02-04,11450,11900,11250,11350,57010,130979.0,11540000.0
2014-02-05,11400,11700,11300,11500,32664,132710.0,11540000.0
2014-02-06,11650,11750,11300,11500,22294,132710.0,11540000.0
2014-02-07,11450,11650,11250,11400,24342,131556.0,11540000.0
2014-02-10,11350,11450,10950,11000,57895,126940.0,11540000.0
2014-02-11,11100,11100,10950,11050,14499,127517.0,11540000.0
2014-02-12,11150,11150,11000,11050,6465,127517.0,11540000.0
2014-02-13,11050,11150,11000,11000,5498,126940.0,11540000.0
2014-02-14,11000,11250,11000,11250,16842,129825.0,11540000.0
2014-02-17,11250,11250,11000,11200,10990,129248.0,11540000.0
2014-02-18,11100,11150,10950,11000,10613,126940.0,11540000.0
2014-02-19,10950,11050,10750,10900,28736,125786.0,11540000.0
2014-02-20,10800,10950,10600,10800,30094,124632.0,11540000.0
2014-02-21,10750,10850,10500,10750,25365,124055.0,11540000.0
2014-02-24,10800,10850,10550,10650,27571,122901.0,11540000.0
2014-02-25,10800,10950,10650,10950,21006,126363.0,11540000.0
2014-02-26,10950,11000,10650,10800,19406,124632.0,11540000.0
2014-02-27,10950,10950,10550,10650,27135,122901.0,11540000.0
2014-02-28,10700,10750,10500,10600,15186,122324.0,11540000.0
2014-03-03,10600,10800,10550,10650,20825,122901.0,11540000.0
2014-03-04,10650,10800,10600,10700,27411,123478.0,11540000.0
2014-03-05,10800,11100,10800,11050,59751,127517.0,11540000.0
2014-03-06,10900,11100,10850,10900,31713,125786.0,11540000.0
2014-03-07,11000,11000,10650,10850,38464,125209.0,11540000.0
2014-03-10,10850,10850,10600,10850,25579,125209.0,11540000.0
2014-03-11,10900,11000,10650,10700,22555,123478.0,11540000.0
2014-03-12,10650,10750,10500,10650,47849,122901.0,11540000.0
2014-03-13,10650,11000,10650,10950,45856,126363.0,11540000.0
2014-03-14,10900,11150,10750,11000,38375,126940.0,11540000.0
2014-03-17,11100,11100,10400,10650,45234,122901.0,11540000.0
2014-03-18,10700,10700,10450,10650,27971,122901.0,11540000.0
2014-03-19,10550,10600,10450,10450,27863,120593.0,11540000.0
2014-03-20,10450,10550,10000,10100,46150,116554.0,11540000.0
2014-03-21,10200,10200,9500,9700,76719,111938.0,11540000.0
2014-03-24,9590,9810,9240,9500,141323,109630.0,11540000.0
2014-03-25,9620,9720,9400,9630,64553,111130.0,11540000.0
2014-03-26,9630,9720,9590,9720,18130,112169.0,11540000.0
2014-03-27,9740,10100,9630,9890,25641,114131.0,11540000.0
2014-03-28,9890,10150,9750,10000,19242,115400.0,11540000.0
2014-03-31,10100,10100,9850,9950,20955,114823.0,11540000.0
2014-04-01,10050,10050,9860,9960,26305,114938.0,11540000.0
2014-04-02,10050,10050,9840,10050,17350,115977.0,11540000.0
2014-04-03,9970,10050,9820,9820,26793,113323.0,11540000.0
2014-04-04,9900,10000,9770,10000,12376,115400.0,11540000.0
2014-04-07,9950,10050,9900,10000,15646,115400.0,11540000.0
2014-04-08,10050,10050,9880,10050,7903,115977.0,11540000.0
2014-04-09,10150,10150,9900,9970,4063,115054.0,11540000.0
2014-04-10,9970,10150,9900,10100,29841,116554.0,11540000.0
2014-04-11,10050,10200,9900,10150,14896,117131.0,11540000.0
2014-04-14,10150,10200,9980,10150,31472,117131.0,11540000.0
2014-04-15,10050,10400,10050,10300,40683,118862.0,11540000.0
2014-04-16,10400,10500,10250,10450,14153,120593.0,11540000.0
2014-04-17,10450,10550,10300,10550,24577,121747.0,11540000.0
2014-04-18,10450,10550,10100,10100,63053,116554.0,11540000.0
2014-04-21,10150,10150,9940,10000,45365,115400.0,11540000.0
2014-04-22,9950,10050,9930,9940,23288,114708.0,11540000.0
2014-04-23,10000,10050,9840,9840,28705,113554.0,11540000.0
2014-04-24,9950,9950,9830,9890,8945,114131.0,11540000.0
2014-04-25,10000,10350,9910,10050,115867,115977.0,11540000.0
2014-04-28,10200,10350,9990,10100,68193,116554.0,11540000.0
2014-04-29,10050,10100,9920,9980,13945,115169.0,11540000.0
2014-04-30,10000,10150,9860,10050,26451,115977.0,11540000.0
2014-05-02,9950,10050,9920,9970,10390,115054.0,11540000.0
