청담러닝(096240),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2008-06-27,35100,40350,35100,40350,319380,197926.0,4905221.0
2008-06-30,44400,46400,41050,46400,455785,227602.0,4905221.0
2008-07-01,49000,53100,40200,40800,674120,200133.0,4905221.0
2008-07-02,41200,43500,40000,40800,227726,200133.0,4905221.0
2008-07-03,40000,42500,36050,40600,142383,199152.0,4905221.0
2008-07-04,41200,41450,37600,37700,87556,184927.0,4905221.0
2008-07-07,36800,40150,36500,39500,85023,193756.0,4905221.0
2008-07-08,39500,39500,35000,36950,87119,181248.0,4905221.0
2008-07-09,37800,39450,36550,38700,98800,189832.0,4905221.0
2008-07-10,37400,41000,37250,40500,85699,198661.0,4905221.0
2008-07-11,41500,42000,39750,42000,82126,206019.0,4905221.0
2008-07-14,42300,42850,41200,41400,45365,204739.0,4945397.0
2008-07-15,41400,41450,38500,39250,69506,194107.0,4945397.0
2008-07-16,39450,39950,37500,39350,47442,194601.0,4945397.0
2008-07-17,40700,40850,39100,40450,36674,200041.0,4945397.0
2008-07-18,40450,41100,39700,40000,22680,197816.0,4945397.0
2008-07-21,40250,40600,39000,40300,20445,199299.0,4945397.0
2008-07-22,40550,40550,38800,39100,19184,193365.0,4945397.0
2008-07-23,39400,39750,38050,38700,24777,191387.0,4945397.0
2008-07-24,39000,39300,38050,39050,20178,193118.0,4945397.0
2008-07-25,38500,39150,38050,38100,14382,188420.0,4945397.0
2008-07-28,38700,38700,37000,38000,26154,187925.0,4945397.0
2008-07-29,37700,38350,35100,37450,14522,185205.0,4945397.0
2008-07-30,37500,39800,37450,38800,25740,191881.0,4945397.0
2008-07-31,39150,40900,37500,38600,46628,190892.0,4945397.0
2008-08-01,39000,39250,37850,38200,12238,188914.0,4945397.0
2008-08-04,38350,38400,37350,38050,6598,188172.0,4945397.0
2008-08-05,37700,38450,37350,38450,16807,190151.0,4945397.0
2008-08-06,39000,40600,38300,39500,51661,195343.0,4945397.0
2008-08-07,39400,40550,38800,40200,45701,198805.0,4945397.0
2008-08-08,39800,40100,39300,40100,14129,198310.0,4945397.0
2008-08-11,40100,40450,38850,39450,18037,195096.0,4945397.0
2008-08-12,39450,39450,38250,38800,16283,191881.0,4945397.0
2008-08-13,38500,38500,37750,37800,12829,186936.0,4945397.0
2008-08-14,37800,37900,36200,37200,22141,183969.0,4945397.0
2008-08-18,36800,37200,35600,36500,29132,180507.0,4945397.0
2008-08-19,35750,36400,34250,34250,25224,169380.0,4945397.0
2008-08-20,35900,37250,32550,33950,55529,167896.0,4945397.0
2008-08-21,33850,34300,31350,33100,39724,163693.0,4945397.0
2008-08-22,32500,32500,30750,31700,27099,156769.0,4945397.0
2008-08-25,32800,33400,31000,32950,23875,162951.0,4945397.0
2008-08-26,32600,34300,32200,34050,30009,168391.0,4945397.0
2008-08-27,34300,35450,34000,35450,22914,175314.0,4945397.0
2008-08-28,35900,35900,34100,34300,14834,169627.0,4945397.0
2008-08-29,34500,35150,34000,34900,12854,172594.0,4945397.0
2008-09-01,33900,35000,33000,33000,9029,163198.0,4945397.0
2008-09-02,32100,33000,30850,32800,16607,162209.0,4945397.0
2008-09-03,31650,32800,31650,32000,14435,158253.0,4945397.0
2008-09-04,31500,32000,31100,32000,21763,158253.0,4945397.0
2008-09-05,31700,31700,30250,31000,16032,153307.0,4945397.0
2008-09-08,31200,32100,31100,32100,12766,158747.0,4945397.0
2008-09-09,32500,32500,31500,32000,15926,158253.0,4945397.0
2008-09-10,31800,32300,30500,30550,15707,151082.0,4945397.0
2008-09-11,30700,31300,29650,30000,16843,148362.0,4945397.0
2008-09-12,30500,30500,29500,30100,16089,148856.0,4945397.0
2008-09-16,26400,28400,26400,27000,17861,133526.0,4945397.0
2008-09-17,27950,28500,27000,27900,30393,137977.0,4945397.0
2008-09-18,26350,27250,26000,26500,16024,131053.0,4945397.0
2008-09-19,27150,29600,27150,28350,40002,140202.0,4945397.0
2008-09-22,28900,28900,27200,27200,21557,134515.0,4945397.0
2008-09-23,26600,27100,26000,27000,22825,133526.0,4945397.0
2008-09-24,26500,27050,25900,26600,26393,131548.0,4945397.0
2008-09-25,26200,26550,26000,26550,15567,131300.0,4945397.0
2008-09-26,27000,28250,26550,28000,21403,138471.0,4945397.0
2008-09-29,28850,30200,28750,29950,15015,148115.0,4945397.0
2008-09-30,28500,30200,28500,29700,16504,146878.0,4945397.0
2008-10-01,31000,31500,29200,31500,24252,155780.0,4945397.0
2008-10-02,31500,31500,30000,30800,14798,152318.0,4945397.0
2008-10-06,29900,30800,28350,29250,24050,144653.0,4945397.0
2008-10-07,29100,29550,28100,29250,10087,144653.0,4945397.0
2008-10-08,28950,28950,27300,28300,14510,139955.0,4945397.0
2008-10-09,27650,28500,27500,28050,11981,138718.0,4945397.0
2008-10-10,27400,27400,24500,27000,14892,133526.0,4945397.0
2008-10-13,26700,27800,26600,27500,9693,135998.0,4945397.0
2008-10-14,28050,29000,27700,28350,12904,140202.0,4945397.0
2008-10-15,27900,28200,27050,27500,17469,135998.0,4945397.0
2008-10-16,26000,26450,25400,25700,15554,127097.0,4945397.0
2008-10-17,26000,26800,25100,26000,11335,128580.0,4945397.0
2008-10-20,26600,26600,24250,25700,22985,127097.0,4945397.0
2008-10-21,26450,26450,25700,25900,9589,128086.0,4945397.0
2008-10-22,25900,25900,25150,25150,11300,124377.0,4945397.0
2008-10-23,23550,24600,22500,23200,10357,114733.0,4945397.0
2008-10-24,21000,22950,19750,21350,19443,105584.0,4945397.0
