대모(317850),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-07-24,8710,11300,8050,11300,21797462,94066.0,8324420.0
2019-07-25,11100,14350,10600,13000,15752882,108217.0,8324420.0
2019-07-26,13000,13450,9980,10550,4206990,87823.0,8324420.0
2019-07-29,10400,10700,8640,8770,2458263,73005.0,8324420.0
2019-07-30,8540,8700,7590,8000,1769929,66595.0,8324420.0
2019-07-31,7930,10400,7780,10400,10223624,86574.0,8324420.0
2019-08-01,10100,10250,8280,8390,2515002,69842.0,8324420.0
2019-08-02,8180,10250,7850,8800,7570329,73255.0,8324420.0
2019-08-05,8680,9140,8000,8080,1013817,67261.0,8324420.0
2019-08-06,7960,9360,7530,8000,3302003,66595.0,8324420.0
2019-08-07,8450,8840,8110,8360,1088431,69592.0,8324420.0
2019-08-08,8270,9120,8270,8570,1545080,71340.0,8324420.0
2019-08-09,8560,9120,8510,8720,1083620,72589.0,8324420.0
2019-08-12,8810,8930,8560,8580,572350,71424.0,8324420.0
2019-08-13,8500,8580,8040,8080,632177,67261.0,8324420.0
2019-08-14,8770,9060,8020,8100,1611428,67428.0,8324420.0
2019-08-16,8000,8080,7600,7680,422338,63932.0,8324420.0
2019-08-19,7700,7950,7130,7200,439225,59936.0,8324420.0
2019-08-20,7290,7620,7240,7300,406292,60768.0,8324420.0
2019-08-21,7210,7420,7210,7280,211886,60602.0,8324420.0
2019-08-22,7360,7460,6810,6900,258958,57438.0,8324420.0
2019-08-23,6850,8000,6650,7090,1878212,59020.0,8324420.0
2019-08-26,6810,6850,6330,6370,508661,53027.0,8324420.0
2019-08-27,6500,6690,6130,6350,359510,52860.0,8324420.0
2019-08-28,6500,6790,6350,6410,715748,53360.0,8324420.0
2019-08-29,6480,7120,6440,6740,2209140,56107.0,8324420.0
2019-08-30,6780,7230,6750,6770,1321873,56356.0,8324420.0
2019-09-02,6690,7340,6580,6980,1347257,58104.0,8324420.0
2019-09-03,6940,7330,6830,7170,1508196,59686.0,8324420.0
2019-09-04,7170,7320,7050,7140,564143,59436.0,8324420.0
2019-09-05,7150,7280,7020,7230,542298,60186.0,8324420.0
2019-09-06,7220,7360,7070,7070,341288,58854.0,8324420.0
2019-09-09,7200,8120,7090,7620,4535948,63432.0,8324420.0
2019-09-10,7600,9850,7590,9240,13839929,76918.0,8324420.0
2019-09-11,9340,11150,9240,9900,8867483,82412.0,8324420.0
2019-09-16,10000,10500,9800,10000,2552184,83244.0,8324420.0
2019-09-17,9720,10650,9450,9750,3022192,81163.0,8324420.0
2019-09-18,9750,10250,9570,9590,1460829,79831.0,8324420.0
2019-09-19,9620,9760,9250,9430,759929,78499.0,8324420.0
2019-09-20,9610,10350,9500,10150,3137080,84493.0,8324420.0
2019-09-23,10250,10650,9970,10650,1637259,88655.0,8324420.0
2019-09-24,10350,10350,9750,9870,1100221,82162.0,8324420.0
2019-09-25,9610,9760,8830,8890,879934,74004.0,8324420.0
2019-09-26,9090,9700,9070,9510,2330917,79165.0,8324420.0
2019-09-27,9280,9460,9110,9200,499066,76585.0,8324420.0
2019-09-30,9300,9710,8990,9150,1240482,76168.0,8324420.0
2019-10-01,9150,9350,8740,8750,529314,72839.0,8324420.0
2019-10-02,9000,9300,8400,8400,874619,69925.0,8324420.0
2019-10-04,8630,8790,8340,8470,373643,70508.0,8324420.0
2019-10-07,8040,8140,7750,7870,368538,65513.0,8324420.0
