씨티케이코스메틱스(260930),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-12-07,49500,49500,39900,42300,1502563,428167.0,10122151.0
2017-12-08,42000,53300,41150,46000,1622121,465619.0,10122151.0
2017-12-11,48500,51000,45050,45400,285631,459546.0,10122151.0
2017-12-12,45800,45900,41900,43000,299679,435252.0,10122151.0
2017-12-13,43000,44850,42950,43200,94899,437277.0,10122151.0
2017-12-14,43900,43900,42300,42600,71267,431204.0,10122151.0
2017-12-15,42400,43950,42250,42450,50477,429685.0,10122151.0
2017-12-18,43650,43650,41250,41300,86592,418045.0,10122151.0
2017-12-19,41500,41700,39600,41400,117957,419057.0,10122151.0
2017-12-20,41700,41700,39000,39000,108531,394764.0,10122151.0
2017-12-21,39000,40800,38100,38900,54693,393752.0,10122151.0
2017-12-22,38900,39300,37900,38250,48086,387172.0,10122151.0
2017-12-26,38100,38300,36950,37000,108355,374520.0,10122151.0
2017-12-27,37050,39150,36550,37050,77432,375026.0,10122151.0
2017-12-28,37650,39750,37500,39250,70011,397294.0,10122151.0
2018-01-02,39650,41800,39250,41450,84782,419563.0,10122151.0
2018-01-03,41400,43000,40950,42450,74811,429685.0,10122151.0
2018-01-04,42950,42950,41600,42400,43873,429179.0,10122151.0
2018-01-05,42700,42700,41100,41550,45669,420575.0,10122151.0
2018-01-08,41550,42000,39550,40250,62299,407417.0,10122151.0
2018-01-09,39850,40300,38300,38500,49862,389703.0,10122151.0
2018-01-10,38550,39750,38000,38300,59811,387678.0,10122151.0
2018-01-11,38200,39400,38200,38800,24404,392739.0,10122151.0
2018-01-12,39000,39000,37400,37800,58790,382617.0,10122151.0
2018-01-15,37600,37650,36600,36900,69534,373507.0,10122151.0
2018-01-16,37000,37000,36200,36450,83074,368952.0,10122151.0
2018-01-17,36350,36950,35000,35200,118686,356300.0,10122151.0
2018-01-18,35550,37400,35350,36850,61235,373001.0,10122151.0
2018-01-19,37500,37500,36200,36650,27300,370977.0,10122151.0
2018-01-22,37150,37500,36100,36450,40128,368952.0,10122151.0
2018-01-23,36600,36900,36200,36700,20951,371483.0,10122151.0
2018-01-24,36900,38300,36750,37150,69423,376038.0,10122151.0
2018-01-25,37800,37900,37100,37550,37930,380087.0,10122151.0
2018-01-26,37600,38000,37000,37700,43877,381605.0,10122151.0
2018-01-29,38100,38700,37650,38000,47938,384642.0,10122151.0
2018-01-30,37900,38050,37450,37650,32621,381099.0,10122151.0
2018-01-31,37400,37800,36450,37500,44136,379581.0,10122151.0
2018-02-01,37500,38700,37050,38550,54020,390209.0,10122151.0
2018-02-02,38200,38900,37900,38350,44003,388184.0,10122151.0
2018-02-05,37600,38050,37000,37200,40350,376544.0,10122151.0
2018-02-06,35100,36300,34500,35800,67783,362373.0,10122151.0
2018-02-07,36600,36700,34650,34700,42780,351239.0,10122151.0
2018-02-08,34850,35300,34500,35150,16097,355794.0,10122151.0
2018-02-09,33950,34750,33800,33950,36629,343647.0,10122151.0
2018-02-12,34450,34500,33250,33250,34512,336562.0,10122151.0
2018-02-13,33500,33600,32500,32550,42664,329476.0,10122151.0
2018-02-14,32950,32950,31350,31850,68169,322391.0,10122151.0
2018-02-19,32050,34450,31950,33900,44489,343141.0,10122151.0
2018-02-20,33900,35700,33550,34900,35147,353263.0,10122151.0
2018-02-21,34800,35200,34500,34900,27190,353263.0,10122151.0
2018-02-22,34900,35800,34400,35800,24313,362373.0,10122151.0
2018-02-23,35900,35900,34600,35400,21279,358324.0,10122151.0
2018-02-26,35450,35450,34150,34150,17173,345671.0,10122151.0
2018-02-27,34550,35550,34000,35300,19701,357312.0,10122151.0
2018-02-28,35000,35300,34500,35000,8845,354275.0,10122151.0
2018-03-02,34950,34950,33850,34000,12527,344153.0,10122151.0
2018-03-05,33750,34050,32750,32800,19915,332007.0,10122151.0
2018-03-06,32900,33200,32600,32800,9547,332007.0,10122151.0
2018-03-07,32800,33500,32100,33400,32507,338080.0,10122151.0
2018-03-08,33650,33650,33200,33400,18132,338080.0,10122151.0
2018-03-09,33600,34150,33050,33600,19875,340104.0,10122151.0
2018-03-12,33500,34700,33500,34350,23223,347696.0,10122151.0
2018-03-13,35600,38500,35050,36800,154150,372495.0,10122151.0
2018-03-14,36800,36950,35800,36200,33463,366422.0,10122151.0
2018-03-15,36000,36700,35550,36400,25269,368446.0,10122151.0
2018-03-16,36050,36450,35700,36000,14493,364397.0,10122151.0
2018-03-19,36400,36400,35100,35450,12033,358830.0,10122151.0
2018-03-20,35450,36350,34900,36300,21636,367434.0,10122151.0
2018-03-21,37300,37300,35900,36050,14176,364904.0,10122151.0
2018-03-22,36150,36500,35850,36400,25343,368446.0,10122151.0
2018-03-23,35700,36350,35150,35300,26937,357312.0,10122151.0
2018-03-26,34900,36100,34300,36100,29400,365410.0,10122151.0
2018-03-27,36650,36800,35850,36100,18035,365410.0,10122151.0
2018-03-28,36100,36350,35800,36300,13418,367434.0,10122151.0
2018-03-29,36650,38350,36500,37800,95903,382617.0,10122151.0
2018-03-30,38250,39100,37500,38750,80862,392233.0,10122151.0
2018-04-02,39400,40000,38200,38550,60945,390209.0,10122151.0
2018-04-03,37700,38550,37550,38250,32018,387172.0,10122151.0
2018-04-04,38400,38500,37000,37350,26361,378062.0,10122151.0
2018-04-05,37850,37850,36900,37200,16523,376544.0,10122151.0
2018-04-06,37450,37450,36550,37000,17729,374520.0,10122151.0
2018-04-09,37100,37300,36500,36750,12082,371989.0,10122151.0
2018-04-10,37000,37000,35850,36050,19399,364904.0,10122151.0
2018-04-11,36100,36600,35600,36600,23694,370471.0,10122151.0
2018-04-12,36650,36750,35800,35950,18105,363891.0,10122151.0
2018-04-13,36400,36400,35200,35500,23208,359336.0,10122151.0
2018-04-16,35500,35900,34300,34650,31349,350733.0,10122151.0
2018-04-17,34850,36400,34000,36350,37520,367940.0,10122151.0
2018-04-18,36350,37150,35450,35750,27484,361867.0,10122151.0
2018-04-19,36000,37600,35700,37000,41158,374520.0,10122151.0
2018-04-20,38000,39500,37850,39000,216494,394764.0,10122151.0
2018-04-23,39000,39100,37350,38500,75442,389703.0,10122151.0
2018-04-24,38500,41400,38500,39900,188297,403874.0,10122151.0
2018-04-25,40050,40150,39200,39900,64153,403874.0,10122151.0
2018-04-26,39900,40400,38200,39200,64553,396788.0,10122151.0
2018-04-27,39500,40800,38250,39100,70696,395776.0,10122151.0
2018-04-30,39100,39550,37900,39250,44027,397294.0,10122151.0
2018-05-02,38350,40200,38350,39950,51700,404380.0,10122151.0
2018-05-03,40300,41400,39150,40000,65173,404886.0,10122151.0
2018-05-04,40750,42350,40250,42150,123469,426649.0,10122151.0
2018-05-08,41550,42500,39800,41200,89617,417033.0,10122151.0
2018-05-09,41200,42200,40150,42050,51267,425636.0,10122151.0
2018-05-10,41500,42200,40450,40700,24622,411972.0,10122151.0
2018-05-11,40700,41300,39550,40250,42538,407417.0,10122151.0
2018-05-14,40200,40400,39050,39500,21070,399825.0,10122151.0
2018-05-15,39400,40400,38900,40200,19114,406910.0,10122151.0
2018-05-16,40700,40750,38950,39550,14858,400331.0,10122151.0
2018-05-17,39500,39700,38450,39000,16598,394764.0,10122151.0
2018-05-18,39000,39200,38350,39200,9805,396788.0,10122151.0
2018-05-21,39050,40250,38750,39600,20632,400837.0,10122151.0
2018-05-23,39600,39650,38500,38800,16115,392739.0,10122151.0
2018-05-24,38550,39050,38500,38500,11717,389703.0,10122151.0
2018-05-25,38500,38800,37300,38400,11241,388691.0,10122151.0
2018-05-28,38400,38800,37750,38350,11741,388184.0,10122151.0
2018-05-29,38350,38350,37200,37550,12950,380087.0,10122151.0
2018-05-30,37200,37550,36500,36550,19953,369965.0,10122151.0
2018-05-31,36400,37600,36400,36800,15857,372495.0,10122151.0
2018-06-01,37100,37650,36350,37500,14885,379581.0,10122151.0
2018-06-04,37000,37950,37000,37400,13973,378568.0,10122151.0
2018-06-05,37450,37500,36300,37400,18359,378568.0,10122151.0
2018-06-07,37400,37700,36850,37250,11729,377050.0,10122151.0
2018-06-08,37050,37650,36900,37600,6745,380593.0,10122151.0
2018-06-11,37450,37850,37000,37600,7248,380593.0,10122151.0
2018-06-12,37000,37850,36950,37300,8538,377556.0,10122151.0
2018-06-14,37300,37300,35750,36800,25819,372495.0,10122151.0
2018-06-15,36850,36950,35900,35900,18105,363385.0,10122151.0
2018-06-18,35900,36650,35300,35950,47397,363891.0,10122151.0
2018-06-19,35750,36600,33350,33500,38779,339092.0,10122151.0
2018-06-20,32900,34600,32900,33400,12114,338080.0,10122151.0
2018-06-21,33700,33700,32500,32500,14116,328970.0,10122151.0
2018-06-22,32500,32500,30100,30650,112268,310244.0,10122151.0
2018-06-25,30500,30650,30000,30250,32082,306195.0,10122151.0
2018-06-26,30400,31750,29950,31400,14235,317836.0,10122151.0
2018-06-27,31050,32050,31050,31950,9046,323403.0,10122151.0
2018-06-28,31900,32800,31300,31550,11422,319354.0,10122151.0
2018-06-29,31000,31550,30550,30600,12717,309738.0,10122151.0
2018-07-02,30800,30800,29150,29700,22081,300628.0,10122151.0
2018-07-03,29400,29950,27250,27550,67872,278865.0,10122151.0
2018-07-04,27550,28600,27500,28100,52829,284432.0,10122151.0
2018-07-05,28300,28750,27750,28500,17630,288481.0,10122151.0
2018-07-06,28150,31150,28150,31000,21684,313787.0,10122151.0
2018-07-09,31000,32600,30100,31900,24835,322897.0,10122151.0
2018-07-10,31900,32200,30100,30600,18398,309738.0,10122151.0
2018-07-11,30400,31100,30200,30550,4654,309232.0,10122151.0
2018-07-12,30550,31950,29850,31750,15027,321378.0,10122151.0
2018-07-13,32450,32850,31250,32600,22170,329982.0,10122151.0
2018-07-16,31800,32200,31100,31100,13352,314799.0,10122151.0
2018-07-17,31000,31650,30250,31000,6391,313787.0,10122151.0
2018-07-18,30450,31100,29800,29900,13062,302652.0,10122151.0
2018-07-19,29950,30500,28500,28850,16420,292024.0,10122151.0
2018-07-20,28850,29250,28600,29100,12466,294555.0,10122151.0
2018-07-23,29750,29750,27600,27650,24474,279877.0,10122151.0
2018-07-24,27350,28800,27100,27500,22106,278359.0,10122151.0
2018-07-25,27150,28350,26900,27500,10151,278359.0,10122151.0
2018-07-26,27450,27500,26900,27500,12505,278359.0,10122151.0
2018-07-27,27500,28800,27200,27300,16711,276335.0,10122151.0
2018-07-30,27300,27400,26700,27050,16199,273804.0,10122151.0
2018-07-31,26750,27300,26600,27000,23163,273298.0,10122151.0
2018-08-01,27500,27500,26750,27250,27843,275829.0,10122151.0
2018-08-02,27250,27250,26200,26500,45283,268237.0,10122151.0
2018-08-03,26500,27100,26200,26950,15746,272792.0,10122151.0
2018-08-06,27100,27450,26350,27250,26236,275829.0,10122151.0
2018-08-07,27350,27350,26500,26600,9057,269249.0,10122151.0
2018-08-08,26100,26850,26100,26250,14074,265706.0,10122151.0
2018-08-09,26250,26300,26050,26200,14562,265200.0,10122151.0
2018-08-10,26250,26250,25250,25500,36286,258115.0,10122151.0
2018-08-13,25700,25700,23150,23750,78289,240401.0,10122151.0
2018-08-14,23850,24300,22750,23150,34642,234328.0,10122151.0
2018-08-16,22550,22700,21950,22250,56860,225218.0,10122151.0
2018-08-17,22100,22250,21050,21300,74031,215602.0,10122151.0
2018-08-20,21500,22100,21100,22100,34989,223700.0,10122151.0
2018-08-21,22150,22900,21700,22900,31326,231797.0,10122151.0
2018-08-22,22550,23050,22450,22700,5419,229773.0,10122151.0
2018-08-23,22700,23250,22550,22850,7720,231291.0,10122151.0
2018-08-24,22850,22850,21950,22100,27896,223700.0,10122151.0
2018-08-27,22350,22350,21450,21700,10773,219651.0,10122151.0
2018-08-28,21600,22000,21200,21450,36099,217120.0,10122151.0
2018-08-29,21500,23000,21000,22300,36099,225724.0,10122151.0
2018-08-30,22300,22700,21700,22200,16812,224712.0,10122151.0
2018-08-31,21800,22200,21450,21800,19976,220663.0,10122151.0
2018-09-03,21750,22350,21100,21450,37325,217120.0,10122151.0
2018-09-04,21200,21400,21150,21250,11866,215096.0,10122151.0
2018-09-05,21400,23900,21150,22500,124975,227748.0,10122151.0
2018-09-06,22350,22450,21850,22050,25110,223193.0,10122151.0
2018-09-07,22200,24700,22200,23350,179356,236352.0,10122151.0
2018-09-10,23350,23350,22650,22850,34830,231291.0,10122151.0
2018-09-11,22850,23450,22600,23000,29436,232809.0,10122151.0
2018-09-12,23200,23200,22500,22500,29921,227748.0,10122151.0
2018-09-13,22500,23000,22150,22750,19895,230279.0,10122151.0
2018-09-14,22550,23850,22500,23200,51168,234834.0,10122151.0
2018-09-17,23500,23700,22850,23500,39908,237871.0,10122151.0
2018-09-18,23150,24050,23150,23350,36441,236352.0,10122151.0
2018-09-19,23700,24350,23450,24300,45961,245968.0,10122151.0
2018-09-20,24200,24550,23800,24000,44993,242932.0,10122151.0
2018-09-21,24150,24600,23600,23650,39106,239389.0,10122151.0
2018-09-27,23600,24050,23300,23550,13159,238377.0,10122151.0
2018-09-28,23400,23600,23000,23500,15732,237871.0,10122151.0
2018-10-01,23500,24050,23200,23200,35803,234834.0,10122151.0
2018-10-02,23000,23450,22450,22650,21144,229267.0,10122151.0
2018-10-04,23350,23350,22250,22950,13577,232303.0,10122151.0
2018-10-05,22350,22950,21500,21800,18964,220663.0,10122151.0
2018-10-08,22100,22100,21650,21700,11956,219651.0,10122151.0
2018-10-10,21550,22200,21050,21450,18090,217120.0,10122151.0
2018-10-11,20400,21050,19950,20750,48787,210035.0,10122151.0
2018-10-12,19850,21900,19850,21650,24910,219145.0,10122151.0
2018-10-15,22000,23350,21300,22500,31711,227748.0,10122151.0
2018-10-16,22350,23350,22350,22800,29013,230785.0,10122151.0
2018-10-17,23150,23750,23150,23350,27362,236352.0,10122151.0
2018-10-18,23800,24300,23400,23750,27700,240401.0,10122151.0
2018-10-19,23750,24100,23450,23750,30990,240401.0,10122151.0
2018-10-22,23450,24250,23450,23650,13893,239389.0,10122151.0
2018-10-23,23500,24050,23300,23700,10301,239895.0,10122151.0
2018-10-24,24050,24150,23150,23200,16622,234834.0,10122151.0
2018-10-25,22600,23150,21900,22650,19614,229267.0,10122151.0
2018-10-26,22700,23100,22050,22500,13650,227748.0,10122151.0
2018-10-29,22000,23000,21100,21150,24733,214083.0,10122151.0
2018-10-30,20150,21650,20150,21450,27227,217120.0,10122151.0
2018-10-31,21300,23800,21300,22850,18614,231291.0,10122151.0
2018-11-01,23450,25000,23050,24500,62173,247993.0,10122151.0
2018-11-02,24250,24950,24000,24300,22626,245968.0,10122151.0
2018-11-05,24500,25200,23700,24850,24180,251535.0,10122151.0
2018-11-06,24900,25250,24350,24650,11579,249511.0,10122151.0
2018-11-07,24450,24700,23900,24200,6183,244956.0,10122151.0
2018-11-08,24400,24450,23250,23450,7925,237364.0,10122151.0
2018-11-09,23450,23700,23200,23200,3220,234834.0,10122151.0
2018-11-12,23750,23750,22100,22350,8217,226230.0,10122151.0
2018-11-13,21500,21750,21000,21450,20026,217120.0,10122151.0
2018-11-14,21300,21700,21000,21550,8744,218132.0,10122151.0
2018-11-15,21150,22000,21100,21600,6146,218638.0,10122151.0
2018-11-16,21600,22750,21600,22650,6897,229267.0,10122151.0
2018-11-19,22700,22950,22100,22350,4642,226230.0,10122151.0
2018-11-20,21850,22800,21850,21900,8955,221675.0,10122151.0
2018-11-21,21950,23000,21500,22800,7717,230785.0,10122151.0
2018-11-22,22800,23200,22500,22800,3621,230785.0,10122151.0
2018-11-23,23350,23350,22050,22100,6341,223700.0,10122151.0
2018-11-26,22250,23000,21700,22200,1457,224712.0,10122151.0
2018-11-27,22500,22550,21900,22350,4536,226230.0,10122151.0
2018-11-28,22500,22550,21550,21800,12429,220663.0,10122151.0
2018-11-29,22350,22350,21050,21200,10934,214590.0,10122151.0
2018-11-30,21700,21700,21100,21250,2002,215096.0,10122151.0
2018-12-03,21650,21800,21250,21600,3885,218638.0,10122151.0
2018-12-04,21500,21850,21350,21450,2439,217120.0,10122151.0
2018-12-05,21450,21450,21000,21250,2840,215096.0,10122151.0
2018-12-06,21200,21250,20350,20500,7710,207504.0,10122151.0
2018-12-07,20300,20950,20150,20850,3413,211047.0,10122151.0
2018-12-10,20550,20700,19700,20450,4395,206998.0,10122151.0
2018-12-11,20450,21000,20000,20550,7706,208010.0,10122151.0
2018-12-12,20950,20950,20300,20600,4240,208516.0,10122151.0
2018-12-13,20300,20800,20300,20600,5406,208516.0,10122151.0
2018-12-14,20600,20850,20300,20450,2046,206998.0,10122151.0
2018-12-17,20000,21600,20000,20850,13881,211047.0,10122151.0
2018-12-18,20800,21200,20500,20550,4241,208010.0,10122151.0
2018-12-19,20950,20950,20300,20500,2949,207504.0,10122151.0
2018-12-20,20550,20550,20000,20450,7221,206998.0,10122151.0
2018-12-21,20100,20400,20000,20300,5015,205480.0,10122151.0
2018-12-24,20300,20350,19800,20250,6820,204974.0,10122151.0
2018-12-26,19800,20300,19550,20150,18459,203961.0,10122151.0
2018-12-27,20250,20400,19900,20350,7667,205986.0,10122151.0
2018-12-28,20350,21500,20150,21000,14994,212565.0,10122151.0
2019-01-02,21400,21400,20850,20950,4765,212059.0,10122151.0
2019-01-03,21300,21300,20550,20550,5945,208010.0,10122151.0
2019-01-04,20500,20500,20000,20150,6110,203961.0,10122151.0
2019-01-07,20500,20500,20000,20100,3841,203455.0,10122151.0
2019-01-08,19950,20050,19650,20000,9451,202443.0,10122151.0
2019-01-09,19950,20400,19950,20300,4646,205480.0,10122151.0
2019-01-10,20350,20500,19950,20150,1988,203961.0,10122151.0
2019-01-11,20000,20900,20000,20500,6685,207504.0,10122151.0
2019-01-14,20800,20800,20250,20500,2003,207504.0,10122151.0
2019-01-15,20300,20850,20300,20650,5743,209022.0,10122151.0
2019-01-16,20900,21100,20500,20800,4748,210541.0,10122151.0
2019-01-17,20450,21000,20450,20700,4089,209529.0,10122151.0
2019-01-18,20550,25350,20550,24600,179334,249005.0,10122151.0
2019-01-21,24400,26100,24150,25250,43277,255584.0,10122151.0
2019-01-22,24900,25250,24100,24400,16793,246980.0,10122151.0
2019-01-23,23850,27000,23500,25250,64697,255584.0,10122151.0
2019-01-24,25250,26550,25250,25600,25005,259127.0,10122151.0
2019-01-25,26100,26100,24900,25100,13198,254066.0,10122151.0
2019-01-28,24850,25350,24650,25100,11757,254066.0,10122151.0
2019-01-29,24700,25450,24500,25400,11085,257103.0,10122151.0
2019-01-30,24850,25250,24550,25000,12861,253054.0,10122151.0
2019-01-31,24950,25350,24300,25000,7170,253054.0,10122151.0
2019-02-01,24550,25050,24250,24650,6536,249511.0,10122151.0
2019-02-07,24550,25000,24100,24200,4077,244956.0,10122151.0
2019-02-08,24050,24500,23100,23750,10416,240401.0,10122151.0
2019-02-11,23450,24500,23350,24250,5897,245462.0,10122151.0
2019-02-12,24000,24000,23050,23100,16959,233822.0,10122151.0
2019-02-13,23000,23500,22850,23100,7722,233822.0,10122151.0
2019-02-14,22900,23800,22900,23400,8053,236858.0,10122151.0
2019-02-15,23050,24500,23050,23350,15367,236352.0,10122151.0
2019-02-18,23750,24750,23450,24650,16751,249511.0,10122151.0
2019-02-19,24700,24900,24450,24700,6589,250017.0,10122151.0
2019-02-20,24350,26600,24350,26600,62666,269249.0,10122151.0
2019-02-21,26350,27050,26100,26450,22517,267731.0,10122151.0
2019-02-22,26450,27300,26250,26800,22241,271274.0,10122151.0
2019-02-25,26850,27500,26750,27500,27056,278359.0,10122151.0
2019-02-26,27700,27750,26550,27250,26806,275829.0,10122151.0
2019-02-27,27200,27850,26200,26800,20188,271274.0,10122151.0
2019-02-28,26600,27700,26400,26400,21140,267225.0,10122151.0
2019-03-04,26400,26850,25200,25500,17226,258115.0,10122151.0
2019-03-05,25200,26550,25150,25750,14816,260645.0,10122151.0
2019-03-06,25600,27000,25500,26950,12976,272792.0,10122151.0
2019-03-07,27250,27250,25500,25900,11723,262164.0,10122151.0
2019-03-08,25900,27200,25900,26350,24904,266719.0,10122151.0
2019-03-11,26850,27150,25600,25900,6513,262164.0,10122151.0
2019-03-12,25900,26450,25250,25950,9592,262670.0,10122151.0
2019-03-13,25500,27450,25500,27450,18698,277853.0,10122151.0
2019-03-14,27150,27700,26500,26950,18689,272792.0,10122151.0
2019-03-15,27200,27200,26150,27200,11372,275323.0,10122151.0
2019-03-18,27200,27850,26700,27800,11763,281396.0,10122151.0
2019-03-19,27950,28050,27100,28000,9171,283420.0,10122151.0
2019-03-20,28100,28100,26350,26900,19569,272286.0,10122151.0
2019-03-21,27100,27250,26050,26800,7507,271274.0,10122151.0
2019-03-22,27450,27500,26450,27400,14228,277347.0,10122151.0
2019-03-25,26800,26800,26450,26550,5507,268743.0,10122151.0
2019-03-26,26500,26950,26150,26650,12738,269755.0,10122151.0
2019-03-27,26150,26950,26000,26750,2496,270768.0,10122151.0
2019-03-28,26900,26900,25450,25750,6163,260645.0,10122151.0
2019-03-29,26100,26100,25250,25950,3947,262670.0,10122151.0
2019-04-01,25950,26100,25700,25900,4011,262164.0,10122151.0
2019-04-02,25900,26250,25500,25900,3433,262164.0,10122151.0
2019-04-03,25900,26400,25750,25900,4575,262164.0,10122151.0
2019-04-04,25900,26500,25550,25950,3443,262670.0,10122151.0
2019-04-05,26150,26150,25450,25700,5719,260139.0,10122151.0
2019-04-08,26400,26400,25550,26000,6385,263176.0,10122151.0
2019-04-09,26000,26000,25150,25400,10132,257103.0,10122151.0
2019-04-10,25950,25950,25100,25300,7796,256090.0,10122151.0
2019-04-11,25300,25850,24550,24900,19131,252042.0,10122151.0
2019-04-12,25200,25200,24150,24700,18556,250017.0,10122151.0
2019-04-15,24950,26500,24550,24650,50258,249511.0,10122151.0
2019-04-16,25000,25000,24550,24850,5644,251535.0,10122151.0
