까스텔바쟉(308100),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-06-10,17000,21250,17000,19250,12356757,126986.0,6596700.0
2019-06-11,19450,19600,17500,17800,2189100,117421.0,6596700.0
2019-06-12,18750,18750,16850,17100,1460133,112804.0,6596700.0
2019-06-13,16700,17300,16100,16350,702998,107856.0,6596700.0
2019-06-14,16350,17050,15150,15250,981031,100600.0,6596700.0
2019-06-17,15300,15450,14600,14800,513001,97631.0,6596700.0
2019-06-18,14850,15000,13950,14100,637585,93013.0,6596700.0
2019-06-19,14400,14650,14000,14150,381172,93343.0,6596700.0
2019-06-20,14200,14350,14050,14100,337374,93013.0,6596700.0
2019-06-21,14100,15150,14050,14300,619926,94333.0,6596700.0
2019-06-24,14500,14500,13300,13350,336095,88066.0,6596700.0
2019-06-25,13400,13850,12650,12850,311360,84768.0,6596700.0
2019-06-26,12850,13350,12600,12750,302069,84108.0,6596700.0
2019-06-27,12850,13050,12150,12350,256325,81469.0,6596700.0
2019-06-28,12350,12700,12150,12250,295600,80810.0,6596700.0
2019-07-01,12350,12850,12150,12500,242287,82459.0,6596700.0
2019-07-02,12600,13350,12450,12750,347195,84108.0,6596700.0
2019-07-03,13000,13000,12400,12450,114392,82129.0,6596700.0
2019-07-04,12450,12550,11750,11900,231342,78501.0,6596700.0
2019-07-05,11900,12000,11700,11800,93595,77841.0,6596700.0
2019-07-08,11850,12000,11200,11300,137416,74543.0,6596700.0
2019-07-09,11200,11450,10850,11100,125583,73223.0,6596700.0
2019-07-10,11250,11400,11000,11250,156403,74213.0,6596700.0
2019-07-11,11350,14600,11300,13400,4086027,88396.0,6596700.0
2019-07-12,13400,13650,12800,13450,735818,88726.0,6596700.0
2019-07-15,13500,14000,13100,13750,923824,90705.0,6596700.0
2019-07-16,14100,14750,13050,13200,872960,87076.0,6596700.0
2019-07-17,13300,13300,12150,12400,319253,81799.0,6596700.0
2019-07-18,12400,12650,11800,11800,251909,77841.0,6596700.0
2019-07-19,11850,12700,11700,12600,432649,83118.0,6596700.0
2019-07-22,12750,14450,12650,13850,2129998,91364.0,6596700.0
2019-07-23,13950,14150,13300,13750,530282,90705.0,6596700.0
2019-07-24,13850,15200,13700,14350,1629171,94663.0,6596700.0
2019-07-25,14400,14750,13550,13550,704795,89385.0,6596700.0
2019-07-26,13350,13800,12600,12750,414774,84108.0,6596700.0
2019-07-29,13000,14900,12700,14150,1855764,93343.0,6596700.0
2019-07-30,14450,15450,14150,15400,1544823,101589.0,6596700.0
2019-07-31,15950,16400,13600,13800,1683252,91034.0,6596700.0
2019-08-01,13650,14400,13200,13550,458825,89385.0,6596700.0
2019-08-02,13550,14100,13150,13450,341211,88726.0,6596700.0
2019-08-05,13700,14500,13600,14450,819932,95322.0,6596700.0
2019-08-06,14200,14450,12800,13650,669180,90045.0,6596700.0
2019-08-07,14000,14500,13850,14300,700918,94333.0,6596700.0
2019-08-08,14500,14650,13500,14050,439776,92684.0,6596700.0
2019-08-09,14100,14150,13600,13650,221245,90045.0,6596700.0
2019-08-12,13750,13750,12850,12950,279846,85427.0,6596700.0
2019-08-13,13050,13350,12000,12100,400946,79820.0,6596700.0
2019-08-14,12300,12700,12150,12300,238159,81139.0,6596700.0
2019-08-16,12200,12500,11800,11800,125724,77841.0,6596700.0
2019-08-19,12000,12350,11800,11900,139817,78501.0,6596700.0
2019-08-20,12000,12350,11900,12200,92872,80480.0,6596700.0
2019-08-21,12150,12600,12150,12200,136029,80480.0,6596700.0
2019-08-22,12300,12400,11900,12050,115315,79490.0,6596700.0
2019-08-23,12100,12350,11800,11950,155402,78831.0,6596700.0
2019-08-26,11500,11750,11000,11100,191764,73223.0,6596700.0
2019-08-27,11300,11600,11050,11050,92770,72894.0,6596700.0
2019-08-28,10900,11200,10900,11100,95198,73223.0,6596700.0
2019-08-29,11300,11500,11100,11100,72100,73223.0,6596700.0
2019-08-30,11200,11500,11200,11200,107049,73883.0,6596700.0
2019-09-02,11200,11350,11150,11300,61784,74543.0,6596700.0
2019-09-03,11250,11500,11200,11300,85346,74543.0,6596700.0
2019-09-04,11350,11650,11300,11550,134434,76192.0,6596700.0
2019-09-05,11700,11700,11400,11550,90360,76192.0,6596700.0
2019-09-06,11550,11700,11300,11300,64992,74543.0,6596700.0
2019-09-09,11250,11450,11050,11100,58751,73223.0,6596700.0
2019-09-10,11150,11450,11100,11150,75276,73553.0,6596700.0
2019-09-11,11200,11400,11150,11300,39605,74543.0,6596700.0
2019-09-16,11400,11750,11350,11500,125858,75862.0,6596700.0
2019-09-17,11450,11650,11400,11550,83981,76192.0,6596700.0
2019-09-18,11600,11750,11500,11650,71474,76852.0,6596700.0
2019-09-19,11700,11950,11450,11600,118612,76522.0,6596700.0
2019-09-20,11600,11700,11450,11500,61835,75862.0,6596700.0
2019-09-23,11500,11800,11500,11600,79171,76522.0,6596700.0
2019-09-24,11650,11800,11450,11450,64875,75532.0,6596700.0
2019-09-25,11400,11500,11150,11150,68520,73553.0,6596700.0
2019-09-26,11150,11450,11050,11100,66060,73223.0,6596700.0
2019-09-27,11100,11200,10850,10900,60436,71904.0,6596700.0
2019-09-30,10900,11150,10300,10500,97818,69265.0,6596700.0
2019-10-01,10550,10600,10300,10600,54829,69925.0,6596700.0
2019-10-02,10450,10800,10400,10550,46957,69595.0,6596700.0
2019-10-04,10550,10750,10400,10550,55409,69595.0,6596700.0
2019-10-07,10600,10800,10450,10700,58161,70585.0,6596700.0
