제닉(123330),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2011-08-03,25435,29223,23578,29224,3353101,160447.0,3922909.0
2011-08-04,30723,32152,26507,29224,1532030,160447.0,3922909.0
2011-08-05,26865,31366,25865,29297,1064381,160839.0,3922909.0
2011-08-08,29150,29722,24900,24902,851811,136713.0,3922909.0
2011-08-09,22648,23828,21184,22544,681274,123768.0,3922909.0
2011-08-10,24006,24293,20684,21079,437501,115726.0,3922909.0
2011-08-11,18968,21899,18719,21079,462659,115726.0,3922909.0
2011-08-12,21791,23578,20969,22151,459452,121610.0,3922909.0
2011-08-16,22934,25472,22684,25474,354221,171529.0,4811461.0
2011-08-17,25721,27257,25472,25938,406800,174656.0,4811461.0
2011-08-18,26435,27114,24900,26653,179164,179467.0,4811461.0
2011-08-19,25435,27542,25007,25438,234543,173249.0,4866541.0
2011-08-22,25721,27758,25721,26152,408196,178115.0,4866541.0
2011-08-23,26900,27542,25757,26439,207706,180062.0,4866541.0
2011-08-24,26579,26793,25292,26081,115053,177629.0,4866541.0
2011-08-25,26793,27293,25577,25581,115187,174222.0,4866541.0
2011-08-26,25113,25435,23184,24758,201237,168626.0,4866541.0
2011-08-29,24722,24972,23756,24009,153375,163516.0,4866541.0
2011-08-30,24006,25221,24006,24616,139967,167652.0,4866541.0
2011-08-31,24684,25113,23863,25080,113572,170816.0,4866541.0
2011-09-01,25149,27792,25149,26475,194186,180305.0,4866541.0
2011-09-02,26935,28651,26830,28188,255224,191985.0,4866541.0
2011-09-05,27650,29937,27365,28974,356034,197338.0,4866541.0
2011-09-06,28364,29188,26900,28583,151635,194662.0,4866541.0
2011-09-07,28865,31009,28579,29511,154400,200988.0,4866541.0
2011-09-08,29652,30079,28723,28724,79676,195635.0,4866541.0
2011-09-09,28937,30008,27508,29403,52936,200258.0,4866541.0
2011-09-14,29401,29472,27722,28296,59384,192715.0,4866541.0
2011-09-15,29007,29545,26935,27690,98053,188578.0,4866541.0
2011-09-16,28508,28937,27650,27974,46761,190525.0,4866541.0
2011-09-19,28080,29188,27650,27867,55166,189795.0,4866541.0
2011-09-20,27937,28687,27150,28583,57193,194662.0,4866541.0
2011-09-21,29295,32046,29080,31083,408317,211695.0,4866541.0
2011-09-22,30365,32008,30079,31511,118724,214614.0,4866541.0
2011-09-23,30651,31045,29258,29297,113559,199528.0,4866541.0
2011-09-26,30008,30545,26507,27153,99253,184929.0,4866541.0
