코윈테크(282880),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-08-05,31050,31050,21750,21750,2679490,195750.0,9000000.0
2019-08-06,20550,21850,18500,19300,836651,173700.0,9000000.0
2019-08-07,20700,22000,19650,20700,958702,186300.0,9000000.0
2019-08-08,20800,22700,20800,21800,535863,196200.0,9000000.0
2019-08-09,22900,25500,22400,24400,1071066,219600.0,9000000.0
2019-08-12,24500,26500,24000,26400,542568,237600.0,9000000.0
2019-08-13,26200,27150,25600,25700,186081,231300.0,9000000.0
2019-08-14,26100,26450,24500,24600,212492,221400.0,9000000.0
2019-08-16,23950,24150,22900,23000,199859,207000.0,9000000.0
2019-08-19,23700,24350,23150,24100,165669,216900.0,9000000.0
2019-08-20,24650,26000,24450,25500,200535,229500.0,9000000.0
2019-08-21,25500,26750,24800,26350,248161,237150.0,9000000.0
2019-08-22,27000,29500,26750,28600,686720,257400.0,9000000.0
2019-08-23,28300,30400,27800,29150,413197,262350.0,9000000.0
2019-08-26,28400,29150,27500,28000,174883,252000.0,9000000.0
2019-08-27,28900,29700,26800,28800,294490,259200.0,9000000.0
2019-08-28,28550,29850,27400,28350,135812,255150.0,9000000.0
2019-08-29,28750,28750,27200,27650,135046,248850.0,9000000.0
2019-08-30,27950,28400,26800,27300,144824,245700.0,9000000.0
2019-09-02,27100,27800,26650,27350,108416,246150.0,9000000.0
2019-09-03,27350,29350,27150,28800,192522,259200.0,9000000.0
2019-09-04,29500,29850,28400,29100,190715,261900.0,9000000.0
2019-09-05,29350,30500,28900,29250,220256,263250.0,9000000.0
2019-09-06,29300,29550,28600,29100,73369,261900.0,9000000.0
2019-09-09,29100,29300,27800,28000,125855,252000.0,9000000.0
2019-09-10,27850,28650,27850,27950,73893,251550.0,9000000.0
2019-09-11,28100,28550,27700,28500,66441,256500.0,9000000.0
2019-09-16,28500,30000,28400,29250,132749,263250.0,9000000.0
2019-09-17,29050,29700,28650,28850,58776,259650.0,9000000.0
2019-09-18,29000,29000,27050,27900,183026,251100.0,9000000.0
2019-09-19,28050,28200,27350,27700,57867,249300.0,9000000.0
2019-09-20,27900,28000,26650,26800,113853,241200.0,9000000.0
2019-09-23,26800,27600,26750,27150,53474,247544.0,9117647.0
2019-09-24,27150,27250,26850,27000,39932,246176.0,9117647.0
2019-09-25,26850,27100,25300,25650,136491,233868.0,9117647.0
2019-09-26,26500,26800,26100,26200,61801,238882.0,9117647.0
2019-09-27,26100,26600,26100,26300,35630,239794.0,9117647.0
2019-09-30,26400,26700,26200,26700,34059,243441.0,9117647.0
2019-10-01,26550,27100,26450,26950,39354,245721.0,9117647.0
2019-10-02,26900,26950,26400,26900,30317,245265.0,9117647.0
2019-10-04,26800,26850,26400,26500,30607,241618.0,9117647.0
2019-10-07,26400,26550,23850,25000,139289,227941.0,9117647.0
