유비쿼스(264450),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-03-31,22500,28000,22500,24450,886490,125281.0,5123955.0
2017-04-03,24650,24800,23100,24000,155442,122975.0,5123955.0
2017-04-04,23700,24150,23100,24000,74242,122975.0,5123955.0
2017-04-05,24100,24350,23100,23500,79887,120413.0,5123955.0
2017-04-06,23350,23800,23250,23350,38078,119644.0,5123955.0
2017-04-07,23500,24050,23400,23950,65725,122719.0,5123955.0
2017-04-10,24150,24150,23000,23000,50969,117851.0,5123955.0
2017-04-11,23000,23550,21850,23000,67486,117851.0,5123955.0
2017-04-12,23150,24500,22400,23650,53863,121182.0,5123955.0
2017-04-13,23500,24150,23450,23800,39806,121950.0,5123955.0
2017-04-14,23550,25800,23550,24300,49398,124512.0,5123955.0
2017-04-17,24450,24950,24250,24450,27826,125281.0,5123955.0
2017-04-18,24450,24650,23850,24300,18239,124512.0,5123955.0
2017-04-19,24250,24450,23600,24300,25016,124512.0,5123955.0
2017-04-20,24400,25700,24400,25300,66667,129636.0,5123955.0
2017-04-21,25700,25750,24750,24850,21692,127330.0,5123955.0
2017-04-24,24900,24900,23900,24700,36075,126562.0,5123955.0
2017-04-25,24600,24850,24200,24450,21948,125281.0,5123955.0
2017-04-26,24450,24900,24300,24800,27226,127074.0,5123955.0
2017-04-27,24950,24950,24200,24300,24635,124512.0,5123955.0
2017-04-28,24300,24300,23500,23850,36505,122206.0,5123955.0
2017-05-02,23750,24000,23150,23300,32934,119388.0,5123955.0
2017-05-04,23300,24100,22850,24050,33196,123231.0,5123955.0
2017-05-08,24050,24050,23250,23650,42909,121182.0,5123955.0
2017-05-10,23650,24150,23550,24100,16611,123487.0,5123955.0
2017-05-11,23950,24350,23750,24000,16928,122975.0,5123955.0
2017-05-12,23850,23900,23300,23350,37246,119644.0,5123955.0
2017-05-15,23700,23750,23200,23400,18393,119901.0,5123955.0
2017-05-16,23600,23600,22900,22950,28395,117595.0,5123955.0
2017-05-17,22900,23150,22350,22350,22874,114520.0,5123955.0
2017-05-18,22150,22300,21650,21650,37108,110934.0,5123955.0
2017-05-19,21650,21900,21050,21500,23014,110165.0,5123955.0
