네오오토(212560),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-11-18,7866,8066,6666,6667,895610,52500.0,5250000.0
2015-11-19,6733,7033,6620,6653,259428,52395.0,5250000.0
2015-11-20,6700,6700,6206,6207,166825,48878.0,5250000.0
2015-11-23,6333,6346,6126,6133,63675,48300.0,5250000.0
2015-11-24,6200,6213,6026,6080,56920,47880.0,5250000.0
2015-11-25,6100,6173,6053,6093,51009,47985.0,5250000.0
2015-11-26,6093,6286,6093,6193,36454,48772.0,5250000.0
2015-11-27,6266,6366,6166,6353,54356,50032.0,5250000.0
2015-11-30,6260,6373,6200,6360,35079,50085.0,5250000.0
2015-12-01,6360,6453,6280,6400,17316,50400.0,5250000.0
2015-12-02,6400,6566,6393,6427,27599,50610.0,5250000.0
2015-12-03,6433,6460,6340,6347,18722,49980.0,5250000.0
2015-12-04,6346,6613,6200,6520,25011,51345.0,5250000.0
2015-12-07,6466,6633,6466,6600,33219,51975.0,5250000.0
2015-12-08,6553,6600,6453,6520,16249,51345.0,5250000.0
2015-12-09,6413,6593,6413,6473,12334,50978.0,5250000.0
2015-12-10,6473,6473,6180,6240,27979,49140.0,5250000.0
2015-12-11,6260,6326,6200,6233,8056,49088.0,5250000.0
2015-12-14,6233,6233,6073,6073,11295,47828.0,5250000.0
2015-12-15,6260,6260,6113,6127,6331,48248.0,5250000.0
2015-12-16,6133,6380,6133,6327,17598,49822.0,5250000.0
2015-12-17,6266,6413,6193,6327,14906,49822.0,5250000.0
2015-12-18,6366,6440,6306,6433,10433,50662.0,5250000.0
2015-12-21,6406,6633,6380,6413,16409,50505.0,5250000.0
2015-12-22,6413,6560,6166,6233,23058,49088.0,5250000.0
2015-12-23,6366,6420,6206,6393,13825,50348.0,5250000.0
2015-12-24,6413,6486,6353,6453,14246,50820.0,5250000.0
2015-12-28,6486,6486,6333,6420,13229,50558.0,5250000.0
2015-12-29,6366,6440,6253,6420,12240,50558.0,5250000.0
2015-12-30,6426,6426,6273,6307,6439,49665.0,5250000.0
2016-01-04,6333,6393,6246,6300,4137,49612.0,5250000.0
2016-01-05,6300,6453,6266,6280,6146,49455.0,5250000.0
2016-01-06,6280,6766,6206,6733,98520,53025.0,5250000.0
2016-01-07,7600,8333,6666,6700,636421,52762.0,5250000.0
2016-01-08,6473,6966,6473,6667,83651,52500.0,5250000.0
2016-01-11,6833,6866,6300,6400,74568,50400.0,5250000.0
2016-01-12,6406,6493,6306,6347,18388,49980.0,5250000.0
2016-01-13,6240,6533,6233,6533,29236,51450.0,5250000.0
2016-01-14,6480,6560,6253,6527,24664,51398.0,5250000.0
2016-01-15,6533,6633,6366,6533,19338,51450.0,5250000.0
2016-01-18,6566,6833,6480,6507,29188,51240.0,5250000.0
2016-01-19,6406,6566,6406,6453,8742,50820.0,5250000.0
2016-01-20,6426,6626,6326,6460,30039,50872.0,5250000.0
2016-01-21,6500,6566,6280,6280,16304,49455.0,5250000.0
2016-01-22,6293,6733,6293,6433,24232,50662.0,5250000.0
2016-01-25,6666,7200,6533,7067,117308,55650.0,5250000.0
2016-01-26,7200,7200,6833,6933,61698,54600.0,5250000.0
2016-01-27,6966,7033,6733,6967,20517,54862.0,5250000.0
2016-01-28,6966,7333,6933,7067,76467,55650.0,5250000.0
2016-01-29,7133,7400,7000,7367,68853,58012.0,5250000.0
2016-02-01,7366,7533,7200,7400,46413,58275.0,5250000.0
2016-02-02,7300,7533,7066,7400,85583,58275.0,5250000.0
2016-02-03,7400,7566,7233,7533,31255,59325.0,5250000.0
2016-02-04,7433,7633,7400,7600,27358,59850.0,5250000.0
2016-02-05,7500,7500,7133,7333,30528,57750.0,5250000.0
2016-02-11,7133,7333,6966,7233,48169,56962.0,5250000.0
2016-02-12,7000,7333,6800,6800,23143,53550.0,5250000.0
2016-02-15,6800,7200,6733,7133,22261,56175.0,5250000.0
2016-02-16,7133,7166,7000,7167,4571,56438.0,5250000.0
2016-02-17,7166,7166,6733,6867,9013,54075.0,5250000.0
2016-02-18,6933,7066,6733,6800,15134,53550.0,5250000.0
2016-02-19,6700,6900,6633,6647,27778,52342.0,5250000.0
2016-02-22,6640,6733,6633,6700,7686,52762.0,5250000.0
2016-02-23,6666,6866,6613,6613,14272,52080.0,5250000.0
2016-02-24,6833,6833,6653,6800,4563,53550.0,5250000.0
2016-02-25,6800,6933,6666,6867,12316,54075.0,5250000.0
2016-02-26,6800,6900,6700,6867,8948,54075.0,5250000.0
2016-02-29,6966,6966,6640,6660,10238,52448.0,5250000.0
2016-03-02,6700,6766,6573,6573,12215,51765.0,5250000.0
2016-03-03,6600,6866,6540,6733,10865,53025.0,5250000.0
2016-03-04,6640,6900,6640,6900,18131,54338.0,5250000.0
2016-03-07,6966,6966,6833,6933,8650,54600.0,5250000.0
2016-03-08,6833,7033,6766,7033,11503,55388.0,5250000.0
2016-03-09,6866,7100,6866,7000,10181,55125.0,5250000.0
2016-03-10,7000,7066,6866,6867,5958,54075.0,5250000.0
2016-03-11,7000,7000,6833,6833,2652,53812.0,5250000.0
2016-03-14,6933,6933,6733,6767,4514,53288.0,5250000.0
2016-03-15,6766,6800,6660,6700,5605,52762.0,5250000.0
2016-03-16,6733,6733,6480,6700,22401,52762.0,5250000.0
2016-03-17,6733,6733,6580,6580,5016,51818.0,5250000.0
2016-03-18,6580,6593,6486,6487,13153,51082.0,5250000.0
2016-03-21,6593,6593,6460,6500,4925,51188.0,5250000.0
2016-03-22,6646,6646,6446,6613,7445,52080.0,5250000.0
2016-03-23,6660,6660,6573,6607,6779,52028.0,5250000.0
2016-03-24,6666,6666,6553,6553,7620,51608.0,5250000.0
2016-03-25,6653,6766,6553,6733,12187,53025.0,5250000.0
2016-03-28,6766,6866,6700,6767,4344,53288.0,5250000.0
2016-03-29,6833,6833,6466,6467,31256,50925.0,5250000.0
2016-03-30,6433,6766,6433,6767,13592,53288.0,5250000.0
2016-03-31,6800,6800,6553,6600,13416,51975.0,5250000.0
2016-04-01,6660,6833,6560,6800,22567,53550.0,5250000.0
2016-04-04,6900,6900,6700,6833,16017,53812.0,5250000.0
2016-04-05,6833,6933,6700,6933,15611,54600.0,5250000.0
2016-04-06,7000,7000,6833,6967,21178,54862.0,5250000.0
2016-04-07,6966,7033,6833,6967,11803,54862.0,5250000.0
2016-04-08,7033,7033,6833,6967,5891,54862.0,5250000.0
2016-04-11,7066,7066,6833,6933,10337,54600.0,5250000.0
2016-04-12,7200,7600,6966,7033,74318,55388.0,5250000.0
2016-04-14,7066,7333,7033,7267,38315,57225.0,5250000.0
2016-04-15,7166,7466,7066,7067,33552,55650.0,5250000.0
2016-04-18,7133,7166,6933,7100,15847,55912.0,5250000.0
2016-04-19,7100,7233,6866,7133,31517,56175.0,5250000.0
2016-04-20,7100,7166,7000,7067,8272,55650.0,5250000.0
2016-04-21,7066,7133,6900,6900,21330,54338.0,5250000.0
2016-04-22,6900,7000,6866,6933,12785,54600.0,5250000.0
2016-04-25,6866,7000,6766,6867,11800,54075.0,5250000.0
2016-04-26,6833,7100,6766,7100,25207,55912.0,5250000.0
2016-04-27,7133,7133,6700,6767,47189,53288.0,5250000.0
2016-04-28,6833,6933,6733,6767,15717,53288.0,5250000.0
2016-04-29,6700,6800,6666,6733,11205,53025.0,5250000.0
2016-05-02,6933,6933,6646,6767,15866,53288.0,5250000.0
2016-05-03,6800,6966,6700,6867,15004,54075.0,5250000.0
2016-05-04,6900,6900,6766,6767,9018,53288.0,5250000.0
2016-05-09,6800,6833,6660,6700,13475,52762.0,5250000.0
2016-05-10,6833,6833,6666,6767,9095,53288.0,5250000.0
2016-05-11,6833,6833,6700,6733,12113,53025.0,5250000.0
2016-05-12,6733,6833,6733,6800,7758,53550.0,5250000.0
2016-05-13,6866,6866,6700,6833,7600,53812.0,5250000.0
2016-05-16,6833,6833,6700,6733,7052,53025.0,5250000.0
2016-05-17,6733,6866,6666,6733,21044,53025.0,5250000.0
2016-05-18,6866,6866,6653,6700,30707,52762.0,5250000.0
2016-05-19,6800,6833,6626,6733,19786,53025.0,5250000.0
2016-05-20,6733,6733,6646,6660,12049,52448.0,5250000.0
2016-05-23,6660,6733,6600,6660,6385,52448.0,5250000.0
2016-05-24,6660,6660,6480,6513,13179,51292.0,5250000.0
2016-05-25,6466,6573,6420,6420,23369,50558.0,5250000.0
2016-05-26,6500,6533,6360,6427,10664,50610.0,5250000.0
2016-05-27,6360,6500,6360,6460,8859,50872.0,5250000.0
2016-05-30,6586,6586,6440,6513,3381,51292.0,5250000.0
2016-05-31,6513,6593,6460,6507,5274,51240.0,5250000.0
2016-06-01,6540,6666,6466,6640,10080,52290.0,5250000.0
2016-06-02,6660,6660,6593,6640,2707,52290.0,5250000.0
2016-06-03,6633,6633,6460,6460,5086,50872.0,5250000.0
2016-06-07,6400,6633,6400,6467,4582,50925.0,5250000.0
2016-06-08,6580,6580,6400,6433,8795,50662.0,5250000.0
2016-06-09,6553,6553,6346,6367,11040,50138.0,5250000.0
2016-06-10,6373,6566,6300,6473,18996,50978.0,5250000.0
2016-06-13,6433,6533,6433,6473,12077,50978.0,5250000.0
2016-06-14,6533,6566,6326,6547,16560,51555.0,5250000.0
2016-06-15,6466,6586,6400,6540,15714,51502.0,5250000.0
2016-06-16,6566,6866,6540,6613,53846,52080.0,5250000.0
2016-06-17,6613,6733,6533,6613,8538,52080.0,5250000.0
2016-06-20,6613,6700,6526,6547,6391,51555.0,5250000.0
2016-06-21,6546,6600,6453,6547,14398,51555.0,5250000.0
2016-06-22,6600,6600,6486,6593,6276,51922.0,5250000.0
2016-06-23,6586,6586,6480,6580,5358,51818.0,5250000.0
2016-06-24,6600,6666,6293,6360,17064,50085.0,5250000.0
2016-06-27,6360,6486,6200,6300,4457,49612.0,5250000.0
2016-06-28,6346,6593,6240,6480,7978,51030.0,5250000.0
2016-06-29,6666,6833,6566,6667,33377,52500.0,5250000.0
2016-06-30,6733,6766,6613,6767,15717,53288.0,5250000.0
2016-07-01,6833,6833,6640,6767,15754,53288.0,5250000.0
