바른전자(064520),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2002-12-04,13579,13579,13579,13589,239648,20765.0,5768000.0
2002-12-05,15210,15210,15210,15210,383061,23245.0,5768000.0
2002-12-06,17018,17018,16713,17024,1381997,26014.0,5768000.0
2002-12-09,17701,18041,16451,16871,1234143,25783.0,5768000.0
2002-12-10,16977,16977,14942,15098,465552,23072.0,5768000.0
2002-12-11,14829,16904,14829,16799,625090,25668.0,5768000.0
2002-12-12,16413,16788,15548,16234,335740,24802.0,5768000.0
2002-12-13,15883,16223,15208,15403,228448,23533.0,5768000.0
2002-12-16,15287,16382,15172,15852,330848,24226.0,5768000.0
2002-12-17,16304,17733,16074,16759,1031431,25610.0,5768000.0
2002-12-18,16602,16942,15617,15893,279987,24283.0,5768000.0
2002-12-20,15660,16450,15430,15475,216411,23649.0,5768000.0
2002-12-23,15210,15695,13625,13625,323817,20822.0,5768000.0
2002-12-24,12942,13962,11998,12723,213675,19438.0,5768000.0
2002-12-26,12491,12946,12076,12081,99514,18458.0,5768000.0
2002-12-27,11017,11882,10827,11098,158431,16958.0,5768000.0
2002-12-30,11692,11692,9998,10303,81970,15747.0,5768000.0
2003-01-02,10375,11510,10375,11511,144425,17592.0,5768000.0
2003-01-03,12182,12867,12072,12683,198825,19380.0,5768000.0
2003-01-06,12450,13890,12000,13401,466080,20476.0,5768000.0
2003-01-07,13891,14076,12946,13136,204452,20073.0,5768000.0
2003-01-08,13204,14679,13169,14685,766806,22438.0,5768000.0
2003-01-09,14717,15282,13768,15098,817546,23072.0,5768000.0
2003-01-10,15317,15847,13278,13778,626737,21053.0,5768000.0
2003-01-13,13737,14832,13662,14532,453051,22207.0,5768000.0
2003-01-14,14491,14641,13771,13967,246792,21342.0,5768000.0
2003-01-15,14342,14532,13847,14532,229992,22207.0,5768000.0
2003-01-16,14225,14795,14035,14721,227357,22495.0,5768000.0
2003-01-17,14563,16223,14073,14079,656466,21515.0,5768000.0
2003-01-20,13923,13923,12638,13024,275892,19900.0,5768000.0
2003-01-21,13360,13580,12680,13100,178580,20015.0,5768000.0
2003-01-22,12828,14528,12828,13248,651603,20246.0,5768000.0
2003-01-23,13623,13963,12638,12983,189743,19842.0,5768000.0
2003-01-24,13280,13965,12450,12835,574425,19611.0,5768000.0
2003-01-27,12340,12640,11320,11511,193419,17592.0,5768000.0
2003-01-28,11318,12038,11318,11704,118881,17881.0,5768000.0
