SNK(950180),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-05-07,36400,38600,33300,33650,3227163,,
2019-05-08,35050,39250,34300,36450,4206997,,
2019-05-09,37500,39000,36200,38450,1561060,,
2019-05-10,37950,38450,35850,36250,935992,,
2019-05-13,36700,36800,34950,35000,431000,,
2019-05-14,35000,35250,33100,33700,475817,,
2019-05-15,34000,36600,33600,36550,760357,,
2019-05-16,37000,37050,34650,34750,239729,,
2019-05-17,35400,36050,34750,34900,175650,,
2019-05-20,34850,36750,34800,35050,301552,,
2019-05-21,35050,35350,33700,33950,214870,,
2019-05-22,34150,34850,32900,32900,302653,,
2019-05-23,32800,32800,28150,28150,894339,,
2019-05-24,27900,28000,24150,26000,1010590,,
2019-05-27,25100,26350,24500,25800,337659,,
2019-05-28,25900,26200,24950,25600,240892,,
2019-05-29,25600,26300,25100,25600,187732,,
2019-05-30,25700,27350,25400,26450,366318,,
2019-05-31,26000,28000,26000,27250,286499,,
2019-06-03,27450,27750,24950,25200,255647,,
2019-06-04,24950,25850,24950,25250,95195,,
2019-06-05,25600,26200,24950,26150,158130,,
2019-06-07,26650,28850,26350,28500,435563,,
2019-06-10,28100,30050,27300,28700,362066,,
2019-06-11,29250,29800,28100,28850,156086,,
2019-06-12,29300,29900,28600,28750,93477,,
2019-06-13,28750,28950,27500,27850,128002,,
2019-06-14,28100,28100,26200,26600,168466,,
2019-06-17,26600,26900,25700,25850,103574,,
2019-06-18,25900,26400,25350,25500,128451,,
2019-06-19,25850,26650,25550,26500,104035,,
2019-06-20,26750,26750,25650,26100,95774,,
2019-06-21,26000,26000,25450,25500,66482,,
2019-06-24,25650,25700,24800,25150,85381,,
2019-06-25,25100,25150,22750,24000,269060,,
2019-06-26,23550,24000,23300,24000,50942,,
2019-06-27,24050,25600,23550,25450,169045,,
2019-06-28,25450,25450,24150,24850,94155,,
2019-07-01,24850,25450,23550,23850,197497,,
2019-07-02,23800,24200,23600,23950,64378,,
2019-07-03,23850,23950,22250,22900,182689,,
2019-07-04,22700,22950,21250,21750,174954,,
2019-07-05,21900,21900,20400,20650,254693,,
2019-07-08,20500,20800,19200,19400,210769,,
2019-07-09,19250,20200,19100,19750,180881,,
2019-07-10,19600,20700,19600,20400,149121,,
2019-07-11,20300,21050,20150,20900,71838,,
2019-07-12,20900,21100,20550,20850,49320,,
2019-07-15,20650,20650,19850,20000,60707,,
2019-07-16,20000,20750,20000,20250,70931,,
2019-07-17,20050,20250,19700,19900,52505,,
2019-07-18,19700,20600,19700,20400,53125,,
2019-07-19,20300,20600,20000,20550,32414,,
2019-07-22,20350,20750,20350,20700,39874,,
2019-07-23,20650,21250,20400,20700,71656,,
2019-07-24,20800,20800,20050,20400,43821,,
2019-07-25,20200,20450,19550,19750,63005,,
2019-07-26,19500,19900,18900,19050,89948,,
2019-07-29,19050,19550,17550,18250,94524,,
2019-07-30,18400,18850,18000,18600,36690,,
2019-07-31,18550,18800,17950,18800,24276,,
2019-08-01,18600,19000,18150,18550,21570,,
2019-08-02,17950,18600,17800,18000,41710,,
2019-08-05,18000,18000,14800,15500,188751,,
2019-08-06,14600,15350,14100,15100,108629,,
2019-08-07,15100,15400,14400,15150,87156,,
2019-08-08,15150,16750,15150,16200,86066,,
2019-08-09,16200,16900,16000,16450,27617,,
2019-08-12,16250,16650,16000,16550,28258,,
2019-08-13,16450,16650,16150,16600,31736,,
2019-08-14,16850,17000,16250,16500,37822,,
2019-08-16,16200,16450,15950,16400,16669,,
2019-08-19,16450,16850,16350,16550,39107,,
2019-08-20,16700,17400,16550,16950,79115,,
2019-08-21,16750,16950,16400,16800,51161,,
2019-08-22,16750,17050,16500,16850,39477,,
2019-08-23,18100,18800,17600,17600,187006,,
2019-08-26,17400,17550,17050,17350,52210,,
2019-08-27,17600,17800,17400,17450,37089,,
2019-08-28,17550,17750,17500,17600,43537,,
2019-08-29,17600,17800,17250,17450,41538,,
2019-08-30,17450,17600,17300,17350,66692,,
2019-09-02,17500,17500,17300,17400,21031,,
2019-09-03,17500,18100,17500,17650,45968,,
2019-09-04,17650,17800,17550,17650,25748,,
2019-09-05,17650,17900,17550,17700,28832,,
2019-09-06,17900,18300,17700,17750,33603,,
2019-09-09,17800,18100,17700,17850,26047,,
2019-09-10,17850,18550,17700,18300,117616,,
2019-09-11,18200,18550,18000,18450,54429,,
2019-09-16,18450,18800,18150,18600,96390,,
2019-09-17,18650,19250,18500,19250,69943,,
2019-09-18,19300,20450,19050,20250,174561,,
2019-09-19,20250,20600,19750,20050,74807,,
2019-09-20,19850,20050,19350,19950,60497,,
2019-09-23,19800,20050,19300,19850,53342,,
2019-09-24,19800,20000,19600,19950,19481,,
2019-09-25,19800,19900,18800,18950,71310,,
2019-09-26,19150,19150,18350,18900,67578,,
2019-09-27,18600,18700,18350,18600,45922,,
2019-09-30,18350,18500,17450,17500,89267,,
2019-10-01,17300,17800,17250,17750,26531,,
2019-10-02,17650,17750,17250,17500,26536,,
2019-10-04,17650,17800,17400,17650,17633,,
2019-10-07,17650,17750,17250,17550,37250,,
