현대사료(016790),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-06-01,13200,17150,13200,17150,426760,105481.0,6150486.0
2018-06-04,19950,22250,19900,22250,1318127,136848.0,6150486.0
2018-06-05,27200,28900,26300,28900,2449058,177749.0,6150486.0
2018-06-07,31300,36450,29150,31000,3238345,190665.0,6150486.0
2018-06-08,31250,35450,31150,32000,1491069,196816.0,6150486.0
2018-06-11,34350,34500,29250,31500,1359270,193740.0,6150486.0
2018-06-12,30850,31000,28000,28250,533335,173751.0,6150486.0
2018-06-14,26800,27000,22350,23500,418751,144536.0,6150486.0
2018-06-15,22900,30550,21800,30550,2495153,187897.0,6150486.0
2018-06-18,29000,37850,28750,33500,4757184,206041.0,6150486.0
2018-06-19,33350,39350,33250,34200,2004043,210347.0,6150486.0
2018-06-20,35800,37000,33600,33700,677335,207271.0,6150486.0
2018-06-21,35400,38450,33400,34200,1582150,210347.0,6150486.0
2018-06-22,36800,37500,30600,32200,1076335,198046.0,6150486.0
2018-06-25,31800,34100,30100,30100,537883,185130.0,6150486.0
2018-06-26,29200,30000,27450,27500,425901,169138.0,6150486.0
2018-06-27,27800,28500,23600,24800,506095,152532.0,6150486.0
2018-06-28,24750,32200,24550,32200,2401475,198046.0,6150486.0
2018-06-29,35400,36250,30200,31400,2773533,193125.0,6150486.0
2018-07-02,29350,33250,28700,28700,1251621,176519.0,6150486.0
2018-07-03,30350,32350,29300,32050,1637771,197123.0,6150486.0
2018-07-04,31150,32600,30800,31300,712068,192510.0,6150486.0
2018-07-05,31750,33050,29750,29850,766990,183592.0,6150486.0
2018-07-06,31150,31550,28400,30300,665941,186360.0,6150486.0
2018-07-09,28500,29500,26800,27600,329965,169753.0,6150486.0
2018-07-10,28500,28750,27300,27450,161285,168831.0,6150486.0
2018-07-11,27300,30450,26200,28500,692967,175289.0,6150486.0
2018-07-12,28300,28950,27400,27400,241891,168523.0,6150486.0
2018-07-13,28300,28700,27250,27600,243111,169753.0,6150486.0
2018-07-16,27900,27900,26800,26900,120715,165448.0,6150486.0
2018-07-17,26650,27050,25850,25950,119713,159605.0,6150486.0
2018-07-18,25650,26450,23750,24250,190420,149149.0,6150486.0
