엔텔스(069410),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2007-06-20,10184,11712,10184,11713,596681,75900.0,3300000.0
2007-06-21,12731,13393,10083,10541,597472,68310.0,3300000.0
2007-06-22,10745,10948,8962,8963,353669,58080.0,3300000.0
2007-06-25,8402,8631,7715,7944,593178,51480.0,3300000.0
2007-06-26,7893,8224,6849,7078,766786,45870.0,3300000.0
2007-06-27,7333,7969,6798,7155,1018701,46365.0,3300000.0
2007-06-28,7307,7638,7103,7308,670488,47355.0,3300000.0
2007-06-29,7460,7689,6772,6926,509227,44880.0,3300000.0
2007-07-02,6976,7078,6492,6722,249578,43560.0,3300000.0
2007-07-03,6823,7536,6747,7333,473643,47520.0,3300000.0
2007-07-04,7333,7638,7027,7562,405327,49005.0,3300000.0
2007-07-05,7638,7740,6696,6697,481102,43395.0,3300000.0
2007-07-06,6747,6951,6518,6722,209288,43560.0,3300000.0
2007-07-09,6798,7002,6722,6977,143327,45210.0,3300000.0
2007-07-10,6976,7256,6696,6824,235395,44220.0,3300000.0
2007-07-11,6823,7078,6798,6875,124770,44550.0,3300000.0
2007-07-12,7002,7027,6696,6697,137589,43395.0,3300000.0
2007-07-13,6823,6874,6569,6620,129687,42900.0,3300000.0
2007-07-16,6620,6620,6110,6213,191002,40260.0,3300000.0
2007-07-18,6263,6289,5932,5984,146084,38775.0,3300000.0
2007-07-19,5932,6543,5932,6315,141869,40920.0,3300000.0
2007-07-20,6187,6263,5372,5831,382169,37785.0,3300000.0
2007-07-23,5932,6263,5779,6035,151932,39105.0,3300000.0
2007-07-24,6034,6212,5881,6187,102454,40095.0,3300000.0
2007-07-25,6085,6340,6009,6035,112015,39105.0,3300000.0
2007-07-26,6136,6136,5881,5882,138840,38115.0,3300000.0
2007-07-27,5728,5805,5525,5551,86030,35970.0,3300000.0
2007-07-30,5448,5830,5397,5449,126379,35310.0,3300000.0
2007-07-31,5474,5703,5372,5474,191509,35475.0,3300000.0
2007-08-01,5499,5703,5194,5194,125400,33660.0,3300000.0
2007-08-02,5270,5423,5092,5398,124581,34980.0,3300000.0
2007-08-03,5423,5627,5321,5474,54632,35475.0,3300000.0
2007-08-06,5397,5550,5245,5500,44570,35640.0,3300000.0
2007-08-07,5601,5805,5448,5602,89091,36300.0,3300000.0
2007-08-08,5703,5805,5499,5500,63162,35640.0,3300000.0
2007-08-09,5576,5779,5397,5423,129797,35145.0,3300000.0
2007-08-10,5347,5347,5117,5194,119534,33660.0,3300000.0
2007-08-13,5245,5270,4837,4838,140714,31350.0,3300000.0
2007-08-14,4725,4730,4165,4201,264369,27225.0,3300000.0
2007-08-16,3997,3997,3732,3799,119023,24618.0,3300000.0
