피엔티(137400),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2012-07-06,5656,5834,4844,4921,1778626,62265.0,3209547.0
2012-07-09,4794,4984,4692,4833,362799,61142.0,3209547.0
2012-07-10,4920,4958,4730,4731,249160,59858.0,3209547.0
2012-07-11,4604,4756,4451,4744,356466,60019.0,3209547.0
2012-07-12,4819,4920,4616,4655,244400,58895.0,3209547.0
2012-07-13,4642,4768,4388,4427,292486,56007.0,3209547.0
2012-07-16,4477,4781,4439,4452,293537,56328.0,3209547.0
2012-07-17,4451,4553,4375,4389,125579,55525.0,3209547.0
2012-07-18,4401,4413,4109,4122,193850,52155.0,3209547.0
2012-07-19,4159,4172,3969,3970,128190,50229.0,3209547.0
2012-07-20,3982,4197,3957,3983,95832,50390.0,3209547.0
2012-07-23,3969,4020,3881,3932,64224,49748.0,3209547.0
2012-07-24,3931,4185,3931,4097,124320,51834.0,3209547.0
2012-07-25,3995,4071,3792,3818,68108,48304.0,3209547.0
2012-07-26,3881,3893,3576,3666,88780,46378.0,3209547.0
2012-07-27,3728,3868,3665,3729,126763,55860.0,3800000.0
2012-07-30,3805,3805,3513,3514,105875,52630.0,3800000.0
2012-07-31,3525,3551,3399,3437,129311,51490.0,3800000.0
2012-08-01,3437,3462,3335,3424,68459,51300.0,3800000.0
2012-08-02,3437,3551,3386,3424,99130,51300.0,3800000.0
2012-08-03,3399,3525,3361,3488,46688,52250.0,3800000.0
2012-08-06,3538,3652,3513,3539,89400,53010.0,3800000.0
2012-08-07,3576,3677,3525,3552,107791,53200.0,3800000.0
2012-08-08,3703,3868,3677,3742,214006,56050.0,3800000.0
2012-08-09,3779,3779,3639,3704,63888,55480.0,3800000.0
2012-08-10,3690,3728,3551,3590,59399,53770.0,3800000.0
2012-08-13,3551,3753,3551,3754,81492,56240.0,3800000.0
2012-08-14,3753,3931,3703,3919,137348,58710.0,3800000.0
2012-08-16,3982,3982,3817,3830,66578,57380.0,3800000.0
2012-08-17,3855,3881,3753,3868,77662,57950.0,3800000.0
2012-08-20,3906,4033,3830,4021,106175,60230.0,3800000.0
2012-08-21,3969,4185,3957,4097,130973,61370.0,3800000.0
2012-08-22,4096,4210,4007,4084,70649,61180.0,3800000.0
2012-08-23,4058,4109,3969,4071,74334,60990.0,3800000.0
2012-08-24,4058,4172,3982,4008,56110,60040.0,3800000.0
2012-08-27,3982,3995,3779,3856,62665,57760.0,3800000.0
2012-08-28,3868,3957,3805,3894,39419,58330.0,3800000.0
2012-08-29,3982,4020,3931,3932,44290,58900.0,3800000.0
2012-08-30,3969,4185,3881,4135,116595,61940.0,3800000.0
2012-08-31,4134,4350,4058,4148,193559,62130.0,3800000.0
2012-09-03,4159,4210,4058,4186,81842,62700.0,3800000.0
2012-09-04,4235,4388,4210,4325,228375,64790.0,3800000.0
2012-09-05,4350,4350,4121,4122,96329,61750.0,3800000.0
2012-09-06,4185,4299,4109,4262,62804,63840.0,3800000.0
2012-09-07,4312,4312,4172,4186,67057,62700.0,3800000.0
2012-09-10,4185,4578,4185,4541,277189,68020.0,3800000.0
2012-09-11,4502,4604,4451,4553,115213,68210.0,3800000.0
2012-09-12,4527,4667,4489,4642,149070,69540.0,3800000.0
2012-09-13,4680,4756,4464,4490,279703,67260.0,3800000.0
2012-09-14,4565,4895,4540,4744,305692,71060.0,3800000.0
2012-09-17,4756,4844,4705,4845,115818,72580.0,3800000.0
2012-09-18,4895,5048,4882,4921,195604,73720.0,3800000.0
2012-09-19,4882,4971,4806,4820,82516,72200.0,3800000.0
2012-09-20,4794,5149,4667,5086,192404,76190.0,3800000.0
2012-09-21,5060,5149,4946,5023,98722,75240.0,3800000.0
2012-09-24,5022,5022,4705,4820,162821,72200.0,3800000.0
2012-09-25,4857,4857,4616,4680,106842,70110.0,3800000.0
2012-09-26,4667,4730,4553,4566,80069,68400.0,3800000.0
2012-09-27,4540,4654,4502,4566,76438,68400.0,3800000.0
2012-09-28,4629,4794,4565,4769,69843,71440.0,3800000.0
2012-10-02,4768,4806,4654,4667,56088,69920.0,3800000.0
2012-10-04,4680,4730,4426,4604,88322,68970.0,3800000.0
2012-10-05,4642,4667,4527,4617,52600,69160.0,3800000.0
2012-10-08,4642,4743,4337,4427,191646,66310.0,3800000.0
2012-10-09,4426,4527,4337,4465,69091,66880.0,3800000.0
2012-10-10,4489,4629,4388,4566,62348,68400.0,3800000.0
2012-10-11,4565,4591,4439,4528,43808,67830.0,3800000.0
2012-10-12,4489,4565,4426,4465,54741,66880.0,3800000.0
2012-10-15,4464,4705,4464,4579,126744,68590.0,3800000.0
2012-10-16,4604,4654,4515,4642,38171,69540.0,3800000.0
2012-10-17,4642,4768,4616,4693,77889,70300.0,3800000.0
2012-10-18,4692,4870,4413,4477,167963,67070.0,3800000.0
2012-10-19,4439,4527,4248,4452,45589,66690.0,3800000.0
2012-10-22,4337,4540,4337,4490,36286,67260.0,3800000.0
2012-10-23,4540,4591,4413,4490,34108,67260.0,3800000.0
2012-10-24,4426,4515,4413,4515,37792,67640.0,3800000.0
2012-10-25,4540,4667,4439,4591,41816,68780.0,3800000.0
2012-10-26,4629,4654,4324,4427,53384,66310.0,3800000.0
2012-10-29,4489,4489,4147,4148,52266,62130.0,3800000.0
2012-10-30,4058,4413,4058,4160,50340,62320.0,3800000.0
2012-10-31,4274,4274,4020,4046,85676,60610.0,3800000.0
2012-11-01,4045,4109,3703,3754,144862,56240.0,3800000.0
2012-11-02,3843,3843,3538,3615,207939,54150.0,3800000.0
2012-11-05,3614,3703,3513,3678,117261,55100.0,3800000.0
2012-11-06,3652,3703,3563,3577,96565,53580.0,3800000.0
