컴투스(078340),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2007-07-06,21346,24548,18144,18144,4186094,160736.0,7879231.0
2007-07-09,16898,18010,15431,15476,1691007,137099.0,7879231.0
2007-07-10,16098,16898,15742,15743,1012781,139462.0,7879231.0
2007-07-11,15564,16098,14452,14720,713068,130401.0,7879231.0
2007-07-12,14675,15342,14497,14498,721958,128431.0,7879231.0
2007-07-13,14942,16053,14586,14987,1385728,132765.0,7879231.0
2007-07-16,15208,15564,14363,14364,427463,127250.0,7879231.0
2007-07-18,14363,14586,12896,13164,711989,149284.0,10086746.0
2007-07-19,13430,13918,13118,13386,512331,151806.0,10086746.0
2007-07-20,13341,13430,12629,12719,350922,144240.0,10086746.0
2007-07-23,12540,13741,12495,12853,600884,145753.0,10086746.0
2007-07-24,12896,13029,12006,12452,333442,141214.0,10086746.0
2007-07-25,12274,12317,11829,12229,210067,138693.0,10086746.0
2007-07-26,12317,12896,12095,12097,261695,137180.0,10086746.0
2007-07-27,11829,11918,11295,11607,203578,131632.0,10086746.0
2007-07-30,11428,12495,11339,11918,310562,135162.0,10086746.0
2007-07-31,12006,12095,11473,11518,166556,130623.0,10086746.0
2007-08-01,11518,11918,11028,11029,201969,125076.0,10086746.0
2007-08-02,11295,12674,11161,12674,560397,143736.0,10086746.0
2007-08-03,13029,13162,12229,12319,467716,139701.0,10086746.0
2007-08-06,11918,12674,11873,12097,250306,137180.0,10086746.0
2007-08-07,12362,12540,11784,11785,203878,133649.0,10086746.0
2007-08-08,11829,11961,11339,11474,191731,130119.0,10086746.0
2007-08-09,11606,11695,11295,11429,146525,129615.0,10086746.0
2007-08-10,11250,11918,11073,11118,278030,126084.0,10086746.0
2007-08-13,11384,11918,11206,11252,169856,127597.0,10086746.0
2007-08-14,11384,12229,11117,11652,416438,132136.0,10086746.0
2007-08-16,11161,11339,9917,9917,238628,112467.0,10086746.0
2007-08-17,10094,10183,8822,8895,318202,100867.0,10086746.0
2007-08-20,9249,9605,9072,9339,308292,105911.0,10086746.0
2007-08-21,9427,9917,9072,9783,462531,110954.0,10086746.0
2007-08-22,9960,10094,9560,9739,408206,110450.0,10086746.0
2007-08-23,10005,10539,9605,9739,515606,110450.0,10086746.0
2007-08-24,9917,10139,9293,9295,231104,105406.0,10086746.0
2007-08-27,9605,9827,9383,9606,287914,108937.0,10086746.0
2007-08-28,9960,11028,9783,10139,1958505,114989.0,10086746.0
2007-08-29,9605,9917,9427,9739,462966,110450.0,10086746.0
2007-08-30,10049,10228,9560,9561,294131,108433.0,10086746.0
2007-08-31,9560,9872,9472,9828,227863,111459.0,10086746.0
2007-09-03,10049,10094,9738,10095,199146,114485.0,10086746.0
2007-09-04,10094,10139,9694,9783,182187,110954.0,10086746.0
2007-09-05,9917,10094,9560,9561,188361,108433.0,10086746.0
2007-09-06,9516,9738,9472,9695,107164,109946.0,10086746.0
2007-09-07,9694,10317,9649,10228,532667,115998.0,10086746.0
2007-09-10,9917,10272,9694,10273,354891,116502.0,10086746.0
2007-09-11,10761,11117,10583,10807,1147097,122554.0,10086746.0
2007-09-12,10984,11384,10673,10807,640119,122554.0,10086746.0
2007-09-13,11028,11829,10894,10984,731222,124571.0,10086746.0
2007-09-14,11161,11339,10360,10362,412305,117511.0,10086746.0
2007-09-17,10360,10673,10139,10628,305894,120537.0,10086746.0
2007-09-18,10628,11206,10450,11029,388995,125076.0,10086746.0
2007-09-19,11384,11384,10494,10496,387332,119024.0,10086746.0
2007-09-20,10539,10805,10094,10095,214763,114485.0,10086746.0
2007-09-21,10094,10228,9649,9651,239107,109441.0,10086746.0
2007-09-27,9649,9960,9649,9917,117849,112467.0,10086746.0
2007-09-28,9872,10228,9872,9873,186515,111963.0,10086746.0
2007-10-01,9827,9960,9694,9783,150297,110954.0,10086746.0
2007-10-02,9917,10405,9738,10406,337511,118015.0,10086746.0
2007-10-04,10405,10583,10228,10451,209203,118519.0,10086746.0
2007-10-05,10494,10494,9605,9695,230818,109946.0,10086746.0
2007-10-08,9872,9917,9427,9428,234572,106920.0,10086746.0
2007-10-09,9472,9649,9293,9339,155822,105911.0,10086746.0
