피에스케이(319660),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-09-06,17000,17400,16750,17200,141224,253958.0,14765020.0
2019-09-09,17200,17350,16050,16300,136825,240670.0,14765020.0
2019-09-10,16400,17200,16400,16800,247724,248052.0,14765020.0
2019-09-11,16850,16850,16100,16250,110252,239932.0,14765020.0
2019-09-16,16150,16450,16150,16150,76449,238455.0,14765020.0
2019-09-17,16150,16500,16050,16400,47539,242146.0,14765020.0
2019-09-18,16350,17250,16250,17150,199709,253220.0,14765020.0
2019-09-19,17100,17900,17050,17550,237512,259126.0,14765020.0
2019-09-20,17650,17650,17200,17400,96311,256911.0,14765020.0
2019-09-23,17200,17500,16950,16950,89369,250267.0,14765020.0
2019-09-24,17000,17500,16850,17150,110163,253220.0,14765020.0
2019-09-25,16900,18150,16850,17550,278312,259126.0,14765020.0
2019-09-26,17650,17750,17100,17300,119720,255435.0,14765020.0
2019-09-27,17200,17450,17000,17350,82314,256173.0,14765020.0
2019-09-30,17300,17550,16850,17450,71898,,
2019-10-01,17500,17700,17300,17400,83175,,
2019-10-02,17100,17400,16900,16900,78776,,
2019-10-04,16650,17450,16650,17000,117394,,
2019-10-07,17150,17350,16900,16900,63912,,
