예스티(122640),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2014-12-29,6500,6500,6500,6500,0,16025.0,2465454.0
2014-12-30,6500,6500,6500,6500,0,,
2015-01-02,6500,6500,6500,6500,0,,
2015-01-05,6500,6500,6500,6500,0,,
2015-01-06,6500,6500,6500,6500,0,,
2015-01-07,6500,6500,6500,6500,0,,
2015-01-08,6500,6500,6500,6500,0,,
2015-01-09,6500,6500,6500,6500,0,,
2015-01-12,6500,6500,6500,6500,0,,
2015-01-13,6500,6500,6500,6500,0,,
2015-01-14,6500,6500,6500,6500,0,,
2015-01-15,6500,6500,6500,6500,0,,
2015-01-16,6500,6500,6500,6500,0,,
2015-01-19,6500,6500,6500,6500,0,,
2015-01-20,6500,6500,6500,6500,0,,
2015-01-21,6500,6500,6500,6500,0,,
2015-01-22,6500,6500,6500,6500,0,,
2015-01-23,6500,6500,6500,6500,0,,
2015-01-26,6500,6500,6500,6500,0,,
2015-01-27,6500,6500,6500,6500,0,,
2015-01-28,6500,6500,6500,6500,0,,
2015-01-29,6500,6500,6500,6500,0,,
2015-01-30,6500,6500,6500,6500,0,,
2015-02-02,6500,6500,6500,6500,0,,
2015-02-03,6500,6500,6500,6500,0,,
2015-02-04,6500,6500,6500,6500,0,,
2015-02-05,7000,7000,7000,7000,0,17258.0,2465454.0
2015-02-06,7000,7000,7000,7000,0,17258.0,2465454.0
2015-02-09,7000,7000,7000,7000,0,,
2015-02-10,7000,7000,7000,7000,0,,
2015-02-11,7000,7000,7000,7000,0,,
2015-02-12,7000,7000,7000,7000,0,,
2015-02-13,7000,7000,7000,7000,0,,
2015-02-16,7000,7000,7000,7000,0,,
2015-02-17,7000,7000,7000,7000,0,,
2015-02-23,7000,7000,7000,7000,0,,
2015-02-24,7000,7000,7000,7000,0,,
2015-02-25,7000,7000,7000,7000,0,,
2015-02-26,7000,7000,7000,7000,0,,
2015-02-27,7000,7000,7000,7000,0,,
2015-03-02,7000,7000,7000,7000,0,,
2015-03-03,7000,7000,7000,7000,0,,
2015-03-04,7000,7000,7000,7000,0,,
2015-03-05,7000,7000,7000,7000,0,,
2015-03-06,7000,7000,7000,7000,0,,
2015-03-09,7000,7000,7000,7000,0,,
2015-03-10,7000,7000,7000,7000,0,,
2015-03-11,7000,7000,7000,7000,0,,
2015-03-12,7000,7000,7000,7000,0,,
2015-03-13,7000,7000,7000,7000,0,,
2015-03-16,7000,7000,7000,7000,0,,
2015-03-17,7000,7000,7000,7000,0,,
2015-03-18,7000,7000,7000,7000,0,,
2015-03-19,7000,7000,7000,7000,0,,
2015-03-20,7000,7000,7000,7000,0,,
2015-03-23,7000,7000,7000,7000,0,,
2015-03-24,7000,7000,7000,7000,0,,
2015-03-25,7000,7000,7000,7000,0,,
2015-03-26,7000,7000,7000,7000,0,,
2015-03-27,7000,7000,7000,7000,0,,
2015-03-30,7000,7000,7000,7000,0,,
2015-03-31,7000,7000,7000,7000,0,,
2015-04-01,7000,7000,7000,7000,100,17258.0,2465454.0
2015-04-02,6010,6010,6010,6010,0,14817.0,2465454.0
2015-04-03,6010,6010,6010,6010,0,14817.0,2465454.0
2015-04-06,6010,6010,6010,6010,0,,
2015-04-07,6910,6910,6000,6000,301,14793.0,2465454.0
2015-04-08,6000,6900,5800,5800,302,14300.0,2465454.0
2015-04-09,4930,4930,4930,4930,1,12155.0,2465454.0
2015-04-10,4195,4195,4195,4195,1,10343.0,2465454.0
2015-04-13,3570,4820,3570,4820,3,11883.0,2465454.0
2015-04-14,4410,4410,4410,4410,0,10873.0,2465454.0
2015-04-15,4410,4410,4410,4410,2,10873.0,2465454.0
2015-04-16,4410,4410,4410,4410,0,10873.0,2465454.0
2015-04-17,4420,4420,4420,4420,0,10897.0,2465454.0
2015-04-20,4990,4990,4990,4990,0,12303.0,2465454.0
2015-04-21,5000,5000,5000,5000,0,12327.0,2465454.0
2015-04-22,5750,5750,5750,5750,0,14176.0,2465454.0
2015-04-23,5750,5750,5750,5750,0,14176.0,2465454.0
2015-04-24,6000,6000,6000,6000,0,14793.0,2465454.0
2015-04-27,5100,5100,5100,5100,1,12574.0,2465454.0
2015-04-28,4400,4400,4400,4400,1,10848.0,2465454.0
2015-04-29,5060,5060,5060,5060,0,12475.0,2465454.0
