데이타솔루션(263800),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-08-03,6600,7140,5400,5680,11916912,87237.0,15358580.0
2017-08-04,5530,5940,5050,5100,3134912,78329.0,15358580.0
2017-08-07,5340,6630,5260,6630,2902999,101827.0,15358580.0
2017-08-08,7630,7690,6240,6320,8828732,97066.0,15358580.0
2017-08-09,6260,6880,6000,6620,5206171,101674.0,15358580.0
2017-08-10,6880,6980,6270,6270,2359391,96298.0,15358580.0
2017-08-11,6050,6680,5950,6330,2450454,97220.0,15358580.0
2017-08-14,6270,6360,5900,5970,1110964,91691.0,15358580.0
2017-08-16,5940,6020,5520,5610,1231717,86162.0,15358580.0
2017-08-17,5640,5720,5560,5650,621889,86776.0,15358580.0
2017-08-18,5550,5780,5510,5780,1200177,88773.0,15358580.0
2017-08-21,6080,6500,5660,5670,3201007,87083.0,15358580.0
2017-08-22,5790,5870,5560,5660,786170,86930.0,15358580.0
2017-08-23,5690,5800,5610,5740,607258,88158.0,15358580.0
2017-08-24,5690,5750,5430,5430,658461,83397.0,15358580.0
2017-08-25,5430,5460,5310,5330,434787,81861.0,15358580.0
2017-08-28,5370,5390,5240,5240,266962,80479.0,15358580.0
2017-08-29,5220,5670,5180,5290,768677,81247.0,15358580.0
2017-08-30,5330,5440,5250,5290,265812,81247.0,15358580.0
2017-08-31,5340,5390,5240,5320,197491,81708.0,15358580.0
2017-09-01,5320,5540,5320,5370,367474,82476.0,15358580.0
2017-09-04,5140,5250,5130,5130,341223,78790.0,15358580.0
2017-09-05,5130,5180,4925,4950,303826,76025.0,15358580.0
2017-09-06,4910,5060,4870,4880,203858,74950.0,15358580.0
2017-09-07,5000,5000,4860,4860,141573,74643.0,15358580.0
2017-09-08,4860,4920,4645,4645,260363,71341.0,15358580.0
2017-09-11,4645,4705,4475,4520,203831,69421.0,15358580.0
2017-09-12,4550,5060,4510,4665,1016910,71648.0,15358580.0
2017-09-13,4700,4710,4520,4630,174195,71110.0,15358580.0
2017-09-14,4595,4790,4570,4585,125423,70419.0,15358580.0
