플레이위드(023770),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,31946,31946,31946,31946,0,2344.0,280000.0
1999-01-05,31946,31946,31946,31946,0,,
1999-01-06,28195,28195,28195,28129,1000,2064.0,280000.0
1999-01-07,28195,28195,28195,28129,0,2064.0,280000.0
1999-01-08,24874,24874,24874,24809,5000,1820.0,280000.0
1999-01-11,24874,24874,24874,24809,0,1820.0,280000.0
1999-01-12,21897,21897,21897,21832,15000,1602.0,280000.0
1999-01-13,21897,21897,21897,21832,0,1602.0,280000.0
1999-01-14,21897,21897,21897,21832,0,,
1999-01-15,19302,19302,19302,19236,19000,1411.0,280000.0
1999-01-18,19302,19302,19302,19236,0,1411.0,280000.0
1999-01-19,19302,19302,19302,19236,0,,
1999-01-20,19302,19302,19302,19236,0,,
1999-01-21,19302,19302,19302,19236,0,,
1999-01-22,19302,19302,19302,19236,0,,
1999-01-25,19302,19302,19302,19236,0,,
1999-01-26,19302,19302,19302,19236,0,,
1999-01-27,19302,19302,19302,19236,0,,
1999-01-28,19302,19302,19302,19236,0,,
1999-01-29,19302,19302,19302,19236,0,,
1999-02-01,19302,19302,19302,19236,0,,
1999-02-02,19302,19302,19302,19236,0,,
1999-02-03,19302,19302,19302,19236,0,,
1999-02-04,19302,19302,19302,19236,0,,
1999-02-05,19302,19302,19302,19236,0,,
1999-02-08,19302,19302,19302,19236,0,,
1999-02-09,19302,19302,19302,19236,0,,
1999-02-10,19302,19302,19302,19236,0,,
1999-02-11,19302,19302,19302,19236,0,,
1999-02-12,19302,19302,19302,19236,0,,
1999-02-18,19302,19302,19302,19236,0,,
1999-02-19,19302,19302,19302,19236,0,,
1999-02-22,19302,19302,19302,19236,0,,
1999-02-23,19302,19302,19302,19236,0,,
1999-02-24,19302,19302,19302,19236,0,,
1999-02-25,19302,19302,19302,19236,0,,
1999-02-26,19302,19302,19302,19236,0,,
1999-03-02,19302,19302,19302,19236,0,,
1999-03-03,19302,19302,19302,19236,0,,
1999-03-04,19302,19302,19302,19236,0,,
1999-03-05,19302,19302,19302,19236,0,,
1999-03-08,19302,19302,19302,19236,0,,
1999-03-09,19302,19302,19302,19236,0,,
1999-03-10,19302,19302,19302,19236,0,,
1999-03-11,19302,19302,19302,19236,0,,
1999-03-12,19302,19302,19302,19236,0,,
1999-03-15,19302,19302,19302,19236,0,,
1999-03-16,19302,19302,19302,19236,0,,
1999-03-17,19302,19302,19302,19236,0,,
1999-03-18,19302,19302,19302,19236,0,,
1999-03-19,19302,19302,19302,19236,0,,
1999-03-22,19302,19302,19302,19236,0,,
1999-03-23,19302,19302,19302,19236,0,,
1999-03-24,19302,19302,19302,19236,0,,
1999-03-25,19302,19302,19302,19236,0,,
1999-03-26,19302,19302,19302,19236,0,,
1999-03-29,19302,19302,19302,19236,0,,
1999-03-30,19302,19302,19302,19236,0,,
1999-03-31,19302,19302,19302,19236,0,,
1999-04-01,19302,19302,19302,19236,0,,
1999-04-02,19302,19302,19302,19236,0,,
1999-04-06,19302,19302,19302,19236,0,,
1999-04-07,19302,19302,19302,19236,0,,
1999-04-08,19302,19302,19302,19236,0,,
1999-04-09,19302,19302,19302,19236,0,,
1999-04-12,19302,19302,19302,19236,0,,
1999-04-13,19302,19302,19302,19236,0,,
1999-04-14,19302,19302,19302,19236,0,,
1999-04-15,19302,19302,19302,19236,0,,
1999-04-16,19302,19302,19302,19236,0,,
1999-04-19,19302,19302,19302,19236,0,,
1999-04-20,19302,19302,19302,19236,0,,
1999-04-21,21592,21592,21592,21526,1000,1579.0,280000.0
1999-04-22,21592,21592,21592,21526,0,1579.0,280000.0
1999-04-23,21592,21592,21592,21526,0,,
1999-04-26,21592,21592,21592,21526,0,,
1999-04-27,21592,21592,21592,21526,0,,
1999-04-28,21592,21592,21592,21526,0,,
1999-04-29,21592,21592,21592,21526,0,,
1999-04-30,21592,21592,21592,21526,0,,
1999-05-03,21592,21592,21592,21526,0,,
