팅크웨어(084730),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2006-05-19,12473,13221,10621,10620,1101236,77019.0,6391646.0
2006-05-22,10667,10887,9256,9255,882204,67112.0,6391646.0
2006-05-23,9255,9299,8559,8743,544691,63405.0,6391646.0
2006-05-24,8859,10050,8816,10048,1709392,72865.0,6391646.0
2006-05-25,10622,10755,8903,8946,748981,64875.0,6391646.0
2006-05-26,9255,9784,8902,9387,478383,68071.0,6391646.0
2006-05-29,9299,9607,9079,9078,363119,65834.0,6391646.0
2006-05-30,8990,9123,8550,8743,232389,63405.0,6391646.0
2006-06-01,8595,8728,7714,8188,315863,59378.0,6391646.0
2006-06-02,8197,8453,7748,7747,437504,56183.0,6391646.0
2006-06-05,7721,7907,7140,7157,254625,51900.0,6391646.0
2006-06-07,6700,6850,6426,6443,265513,46723.0,6391646.0
2006-06-08,6304,6612,6082,6434,183555,46659.0,6391646.0
2006-06-09,6541,7396,6541,7007,415794,50814.0,6391646.0
2006-06-12,6928,6963,6638,6760,98662,49024.0,6391646.0
2006-06-13,6479,7123,6426,6884,164687,49919.0,6391646.0
2006-06-14,6867,7563,6805,7359,128004,53370.0,6391646.0
2006-06-15,7466,7547,7052,7166,78397,51964.0,6391646.0
2006-06-16,7273,7537,7167,7166,81663,51964.0,6391646.0
2006-06-19,7123,7132,6594,6637,96629,48129.0,6391646.0
2006-06-20,6523,6628,6337,6390,71810,46339.0,6391646.0
2006-06-21,6276,6505,6214,6258,55826,45381.0,6391646.0
2006-06-22,6355,6576,6162,6169,86116,44742.0,6391646.0
2006-06-23,6048,6304,5986,6073,64783,44038.0,6391646.0
2006-06-26,6162,6982,6092,6919,397689,50174.0,6391646.0
2006-06-27,6954,6954,6540,6733,151075,48832.0,6391646.0
2006-06-28,6531,6681,6461,6681,52925,48449.0,6391646.0
2006-06-29,6681,6822,6567,6566,59294,47618.0,6391646.0
2006-06-30,6664,6743,6531,6566,90173,47618.0,6391646.0
2006-07-03,6532,6612,6356,6355,83304,46084.0,6391646.0
2006-07-04,6391,6515,6259,6329,128370,45892.0,6391646.0
2006-07-05,6092,6383,6092,6293,77280,45636.0,6391646.0
2006-07-06,6312,6964,6259,6699,216072,49158.0,6468146.0
2006-07-07,6946,7334,6813,7051,268511,51745.0,6468146.0
2006-07-10,7183,7183,6699,6875,94444,50452.0,6468146.0
2006-07-11,6753,6788,6586,6699,88223,49158.0,6468146.0
2006-07-12,6788,6955,6665,6866,85970,50387.0,6468146.0
2006-07-13,6743,6858,6523,6733,70403,49417.0,6468146.0
2006-07-14,6611,7052,6531,7051,72543,51745.0,6468146.0
2006-07-18,7140,7466,7052,7209,115266,52909.0,6468146.0
2006-07-19,7211,7237,6471,6602,284213,48446.0,6468146.0
2006-07-20,6682,6832,6524,6831,117319,50128.0,6468146.0
2006-07-21,6813,6963,6619,6963,33921,51098.0,6468146.0
2006-07-24,6963,7369,6963,7068,94223,51875.0,6468146.0
2006-07-25,7123,7273,6964,7087,69467,52004.0,6468146.0
