DB금융스팩7호(322780),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-05-31,2080,2700,2050,2700,15613289,12285.0,4550000.0
2019-06-03,2860,3510,2840,3510,6739504,15970.0,4550000.0
2019-06-04,3850,4100,2805,2865,15824024,13036.0,4550000.0
2019-06-05,2745,2750,2430,2530,4093333,11512.0,4550000.0
2019-06-07,2610,2655,2380,2400,3566625,10920.0,4550000.0
2019-06-10,2370,2425,2215,2230,1708638,10146.0,4550000.0
2019-06-11,2250,2315,2215,2245,1677399,10215.0,4550000.0
2019-06-12,2290,2295,2175,2215,948620,10078.0,4550000.0
2019-06-13,2200,2300,2180,2215,1254587,10078.0,4550000.0
2019-06-14,2230,2280,2180,2190,1035059,9964.0,4550000.0
2019-06-17,2215,2250,2180,2190,636388,9964.0,4550000.0
2019-06-18,2215,2225,2130,2140,656314,9737.0,4550000.0
2019-06-19,2155,2170,2105,2115,743327,9623.0,4550000.0
2019-06-20,2115,2180,2115,2160,588638,9828.0,4550000.0
2019-06-21,2160,2165,2120,2140,319238,9737.0,4550000.0
2019-06-24,2150,2150,2105,2110,321547,9600.0,4550000.0
2019-06-25,2125,2125,2075,2095,424326,9532.0,4550000.0
2019-06-26,2105,2390,2090,2120,5260396,9646.0,4550000.0
2019-06-27,2140,2150,2095,2100,508498,9555.0,4550000.0
2019-06-28,2120,2130,2090,2095,316614,9532.0,4550000.0
2019-07-01,2090,2105,2080,2090,236646,9510.0,4550000.0
2019-07-02,2100,2145,2085,2135,233045,9714.0,4550000.0
2019-07-03,2145,2145,2100,2120,130862,9646.0,4550000.0
2019-07-04,2120,2125,2090,2095,140649,9532.0,4550000.0
2019-07-05,2120,2120,2085,2115,111871,9623.0,4550000.0
2019-07-08,2105,2145,2090,2090,238914,9510.0,4550000.0
2019-07-09,2085,2125,2085,2095,203091,9532.0,4550000.0
2019-07-10,2110,2110,2085,2085,205140,9487.0,4550000.0
2019-07-11,2090,2110,2085,2105,119303,9578.0,4550000.0
2019-07-12,2105,2110,2090,2105,44513,9578.0,4550000.0
2019-07-15,2100,2110,2090,2105,84379,9578.0,4550000.0
2019-07-16,2095,2105,2080,2090,113465,9510.0,4550000.0
